Pessoa;Empr.;Bco;Agência;Espécie;Título;Série;Parc;Depositário;Dt. Emissão;Dt. Movimento;Vencimento Programado;Prazo Efetivo;SC;SJ;Dias de Atraso;DV;Multa;Juros;% Desc. Financeiro;% Desc. Acordo;Desconto;Taxa Adm.;Vlr Original;Valor Aberto;Valor Líquido;A;P;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;12;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;14/02/2026;02/02/2026;1;L;N;77;13;0,00;0,00;0,00;0,00;0,00;10,14;1559,60;1559,60;1549,46;;;;
6432 - BANRISUL SERVICOS LTDA;12;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;14/02/2026;02/02/2026;1;L;N;77;13;0,00;0,00;0,00;0,00;0,00;20,18;2017,95;2017,95;1997,77;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;13;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;14/02/2026;02/02/2026;1;L;N;77;13;0,00;0,00;0,00;0,00;0,00;18,67;2705,22;2705,22;2686,55;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;13;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;14/02/2026;02/02/2026;1;L;N;77;13;0,00;0,00;0,00;0,00;0,00;2,50;385,19;385,19;382,69;;;;
6432 - BANRISUL SERVICOS LTDA;13;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;14/02/2026;02/02/2026;1;L;N;77;13;0,00;0,00;0,00;0,00;0,00;4,35;434,61;434,61;430,26;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;14;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;14/02/2026;02/02/2026;1;L;N;77;13;0,00;0,00;0,00;0,00;0,00;42,25;6123,63;6123,63;6081,38;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;14;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;14/02/2026;02/02/2026;1;L;N;77;13;0,00;0,00;0,00;0,00;0,00;19,31;2970,23;2970,23;2950,92;;;;
6432 - BANRISUL SERVICOS LTDA;14;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;14/02/2026;02/02/2026;1;L;N;77;13;0,00;0,00;0,00;0,00;0,00;20,81;2080,82;2080,82;2060,01;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;18;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;16/02/2026;02/02/2026;1;L;N;77;15;0,00;0,00;0,00;0,00;0,00;24,19;3506,32;3506,32;3482,13;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;18;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;16/02/2026;02/02/2026;1;L;N;77;15;0,00;0,00;0,00;0,00;0,00;3,95;607,37;607,37;603,42;;;;
6432 - BANRISUL SERVICOS LTDA;18;900;CARTEIRA;CARDEB;20260201;;1;1 - Contas a Receber;01/02/2026;16/02/2026;02/02/2026;1;L;N;77;15;0,00;0,00;0,00;0,00;0,00;25,32;2532,34;2532,34;2507,02;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;3;900;CARTEIRA;CARTAO;202656;012;1;1 - Contas a Receber;02/02/2026;02/02/2026;02/02/2026;0;L;N;77;0;0,00;0,00;0,00;0,00;0,00;0,00;54628,39;54628,39;54628,39;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;14;900;CARTEIRA;CARTAO;2021565;01;1;1 - Contas a Receber;02/02/2026;02/02/2026;02/02/2026;0;L;N;77;0;0,00;0,00;0,00;0,00;0,00;0,00;27375,61;27375,61;27375,61;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;7;900;CARTEIRA;CARTAO;2011566;01;1;1 - Contas a Receber;02/02/2026;02/02/2026;02/02/2026;0;L;N;77;0;0,00;0,00;0,00;0,00;0,00;0,00;9484,41;9484,41;9484,41;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;1;900;CARTEIRA;CARTAO;2020126;01;1;1 - Contas a Receber;02/02/2026;02/02/2026;02/02/2026;0;L;N;77;0;0,00;0,00;0,00;0,00;0,00;0,00;682,49;682,49;682,49;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;2;900;CARTEIRA;CARTAO;2022565;01;1;1 - Contas a Receber;02/02/2026;02/02/2026;02/02/2026;0;L;N;77;0;0,00;0,00;0,00;0,00;0,00;0,00;26774,09;26774,09;26774,09;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;5;900;CARTEIRA;CARTAO;216200;02;1;1 - Contas a Receber;02/02/2026;02/02/2026;02/02/2026;0;L;N;77;0;0,00;0,00;0,00;0,00;0,00;0,00;10638,47;10638,47;10638,47;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;11;900;CARTEIRA;CARTAO;20155;02;1;1 - Contas a Receber;02/02/2026;02/02/2026;02/02/2026;0;L;N;77;0;0,00;0,00;0,00;0,00;0,00;0,00;22430,15;22430,15;22430,15;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;4;900;CARTEIRA;CARTAO;2021656;02;1;1 - Contas a Receber;02/02/2026;02/02/2026;02/02/2026;0;L;N;77;0;0,00;0,00;0,00;0,00;0,00;0,00;13674,76;13674,76;13674,76;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;17;900;CARTEIRA;CARTAO;2021001;02;1;1 - Contas a Receber;02/02/2026;02/02/2026;02/02/2026;0;L;N;77;0;0,00;0,00;0,00;0,00;0,00;0,00;9388,18;9388,18;9388,18;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;6;900;CARTEIRA;CARTAO;2021645;02;1;1 - Contas a Receber;02/02/2026;02/02/2026;02/02/2026;0;L;N;77;0;0,00;0,00;0,00;0,00;0,00;0,00;17836,82;17836,82;17836,82;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;12;900;CARTEIRA;CARTAO;20515665;02;1;1 - Contas a Receber;02/02/2026;02/02/2026;02/02/2026;0;L;N;77;0;0,00;0,00;0,00;0,00;0,00;0,00;32281,86;32281,86;32281,86;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;18;900;CARTEIRA;CARTAO;102215;02;1;1 - Contas a Receber;02/02/2026;02/02/2026;02/02/2026;0;L;N;77;0;0,00;0,00;0,00;0,00;0,00;0,00;24684,67;24684,67;24684,67;;;;
