Pessoa;Empr.;Bco;Agência;Espécie;Título;Série;Parc;Depositário;Dt. Emissão;Dt. Movimento;Vencimento Programado;Prazo Efetivo;SC;SJ;Dias de Atraso;DV;Multa;Juros;% Desc. Financeiro;% Desc. Acordo;Desconto;Taxa Adm.;Vlr Original;Valor Aberto;Valor Líquido;A;P;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;18;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;21/02/2026;23/02/2026;3;L;N;58;1;0,00;0,00;0,00;0,00;0,00;25,03;3850,20;3850,20;3825,17;;;;
20505 - FRANCIELE VERCOSA VARGAS BORGES;17;900;CARTEIRA;CARDEB;2478;706;1;1 - Contas a Receber;21/02/2026;21/02/2026;23/02/2026;2;L;N;58;0;0,00;0,00;0,00;0,00;0,00;0,00;424,24;424,24;424,24;;;;
7640 - BANRISUL SOLUCOES EM PAGAMENTOS S.A. - INSTITUICAO DE PAGAMENTO;13;900;CARTEIRA;TICKET;20260209;;1;1 - Contas a Receber;09/02/2026;21/02/2026;23/02/2026;14;L;N;56;12;0,00;0,00;0,00;0,00;0,00;18,19;454,68;454,68;436,49;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;6;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;21/02/2026;23/02/2026;3;L;N;58;1;0,00;0,00;0,00;0,00;0,00;84,76;12284,48;12284,48;12199,72;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;6;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;21/02/2026;23/02/2026;3;L;N;58;1;0,00;0,00;0,00;0,00;0,00;103,84;15049,74;15049,74;14945,90;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;6;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;21/02/2026;23/02/2026;3;L;N;58;1;0,00;0,00;0,00;0,00;0,00;24,20;3723,61;3723,61;3699,41;;;;
6432 - BANRISUL SERVICOS LTDA;6;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;21/02/2026;23/02/2026;3;L;N;58;1;0,00;0,00;0,00;0,00;0,00;14,85;1484,74;1502,61;1487,76;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;2;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;21/02/2026;23/02/2026;3;L;N;58;1;0,00;0,00;0,00;0,00;0,00;93,01;13480,23;13480,23;13387,22;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;2;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;21/02/2026;23/02/2026;3;L;N;58;1;0,00;0,00;0,00;0,00;0,00;108,08;15663,16;15663,16;15555,08;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;2;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;21/02/2026;23/02/2026;3;L;N;58;1;0,00;0,00;0,00;0,00;0,00;15,32;2357,21;2357,21;2341,89;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;14;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;21/02/2026;23/02/2026;3;L;N;58;1;0,00;0,00;0,00;0,00;0,00;67,18;9736,15;9736,15;9668,97;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;14;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;21/02/2026;23/02/2026;3;L;N;58;1;0,00;0,00;0,00;0,00;0,00;49,74;7209,11;7209,11;7159,37;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;14;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;21/02/2026;23/02/2026;3;L;N;58;1;0,00;0,00;0,00;0,00;0,00;9,21;1417,27;1417,27;1408,06;;;;
6432 - BANRISUL SERVICOS LTDA;14;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;21/02/2026;23/02/2026;3;L;N;58;1;0,00;0,00;0,00;0,00;0,00;0,08;7,79;4005,58;4005,50;;;;
19850 - ANA CAROLINE FAGUNDES JACQUES;14;900;CARTEIRA;CARDEB;4627;706;1;1 - Contas a Receber;21/02/2026;21/02/2026;23/02/2026;2;L;N;58;0;0,00;0,00;0,00;0,00;0,00;0,00;29,98;29,98;29,98;;;;
19850 - ANA CAROLINE FAGUNDES JACQUES;14;900;CARTEIRA;CARDEB;4684;706;1;1 - Contas a Receber;22/02/2026;22/02/2026;23/02/2026;1;L;N;57;0;0,00;0,00;0,00;0,00;0,00;0,00;168,42;168,42;168,42;;;;
19015 - BRUNA RODRIGUES DA COSTA;7;900;CARTEIRA;CARDEB;2780;709;1;1 - Contas a Receber;22/02/2026;22/02/2026;23/02/2026;1;L;N;57;0;0,00;0,00;0,00;0,00;0,00;0,00;29,00;29,00;29,00;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;6;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;118,42;17162,74;17162,74;17044,32;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;6;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;130,89;18969,79;18969,79;18838,90;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;6;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;42,60;6554,37;6554,37;6511,77;;;;
6432 - BANRISUL SERVICOS LTDA;6;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;27,88;2787,74;2787,74;2759,86;;;;
5750 - GREEN CARD S/A COMERCIO E SERVICOS;6;900;CARTEIRA;TICKET;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;58;2;0,00;0,00;0,00;0,00;0,00;4,90;122,48;122,48;117,58;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;18;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;106,51;15436,79;15436,79;15330,28;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;18;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;99,08;14358,78;14358,78;14259,70;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;18;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;32,23;4959,00;4959,00;4926,77;;;;
13360 - TICKET SOLUCOES HDFGT SA;18;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;58;2;0,00;0,00;0,00;0,00;0,00;1,67;34,80;34,80;33,13;;;;
6432 - BANRISUL SERVICOS LTDA;18;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;2,81;280,69;9139,44;9136,63;;;;
5750 - GREEN CARD S/A COMERCIO E SERVICOS;18;900;CARTEIRA;TICKET;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;58;2;0,00;0,00;0,00;0,00;0,00;0,75;18,86;18,86;18,11;;;;
7640 - BANRISUL SOLUCOES EM PAGAMENTOS S.A. - INSTITUICAO DE PAGAMENTO;3;900;CARTEIRA;TICKET;20260209;;1;1 - Contas a Receber;09/02/2026;23/02/2026;23/02/2026;14;L;N;56;14;0,00;0,00;0,00;0,00;0,00;60,26;1506,55;1506,55;1446,29;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;14;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;83,89;12158,36;12158,36;12074,47;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;14;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;82,37;11937,07;11937,07;11854,70;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;14;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;12,17;1871,57;1871,57;1859,40;;;;
6432 - BANRISUL SERVICOS LTDA;14;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;0,12;11,89;3038,95;3038,83;;;;
5750 - GREEN CARD S/A COMERCIO E SERVICOS;14;900;CARTEIRA;TICKET;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;58;2;0,00;0,00;0,00;0,00;0,00;0,96;24,08;24,08;23,12;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;14;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;69,20;10029,54;10029,54;9960,34;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;14;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;59,42;8612,01;8612,01;8552,59;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;14;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;18,14;2791,17;2791,17;2773,03;;;;
6432 - BANRISUL SERVICOS LTDA;14;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;5,83;582,95;1521,00;1515,17;;;;
5750 - GREEN CARD S/A COMERCIO E SERVICOS;14;900;CARTEIRA;TICKET;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;57;1;0,00;0,00;0,00;0,00;0,00;13,03;325,71;325,71;312,68;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;18;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;41,51;6015,88;6015,88;5974,37;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;18;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;42,70;6188,05;6188,05;6145,35;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;18;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;17,28;2658,52;2658,52;2641,24;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;11;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;138,32;20046,94;20046,94;19908,62;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;11;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;130,22;18872,04;18872,04;18741,82;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;11;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;27,24;4190,24;4190,24;4163,00;;;;
5750 - GREEN CARD S/A COMERCIO E SERVICOS;11;900;CARTEIRA;TICKET;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;58;2;0,00;0,00;0,00;0,00;0,00;141,15;3528,85;3528,85;3387,70;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;6;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;79,33;11496,66;11496,66;11417,33;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;6;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;91,63;13279,67;13279,67;13188,04;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;6;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;20,28;3120,33;3120,33;3100,05;;;;
6432 - BANRISUL SERVICOS LTDA;6;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;16,40;1639,79;1639,79;1623,39;;;;
5750 - GREEN CARD S/A COMERCIO E SERVICOS;6;900;CARTEIRA;TICKET;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;57;1;0,00;0,00;0,00;0,00;0,00;4,18;104,58;104,58;100,40;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;4;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;23/02/2026;23/02/2026;3;L;N;58;3;0,00;0,00;0,00;0,00;0,00;65,74;9526,99;9526,99;9461,25;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;4;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;23/02/2026;23/02/2026;3;L;N;58;3;0,00;0,00;0,00;0,00;0,00;68,84;9977,52;9977,52;9908,68;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;4;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;23/02/2026;23/02/2026;3;L;N;58;3;0,00;0,00;0,00;0,00;0,00;11,75;1807,11;1807,11;1795,36;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;12;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;23/02/2026;23/02/2026;3;L;N;58;3;0,00;0,00;0,00;0,00;0,00;108,48;15721,28;15721,28;15612,80;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;12;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;23/02/2026;23/02/2026;3;L;N;58;3;0,00;0,00;0,00;0,00;0,00;89,43;12960,64;12960,64;12871,21;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;12;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;23/02/2026;23/02/2026;3;L;N;58;3;0,00;0,00;0,00;0,00;0,00;35,65;5485,04;5485,04;5449,39;;;;
6432 - BANRISUL SERVICOS LTDA;12;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;23/02/2026;23/02/2026;3;L;N;58;3;0,00;0,00;0,00;0,00;0,00;54,24;5423,50;5470,65;5416,41;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;2;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;136,96;19849,38;19849,38;19712,42;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;2;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;134,41;19480,07;19480,07;19345,66;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;2;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;29,52;4541,14;4541,14;4511,62;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;12;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;179,78;26055,10;26055,10;25875,32;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;12;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;96,34;13962,30;13962,30;13865,96;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;12;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;37,59;5783,08;5783,08;5745,49;;;;
6432 - BANRISUL SERVICOS LTDA;12;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;56,92;5692,36;5692,36;5635,44;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;12;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;61,05;8847,33;8847,33;8786,28;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;12;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;38,57;5590,49;5590,49;5551,92;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;12;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;12,66;1947,08;1984,61;1971,95;;;;
6432 - BANRISUL SERVICOS LTDA;12;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;14,66;1465,74;1428,21;1413,55;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;2;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;84,74;12281,58;12281,58;12196,84;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;2;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;78,32;11350,63;11350,63;11272,31;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;2;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;15,31;2355,75;2355,75;2340,44;;;;
5750 - GREEN CARD S/A COMERCIO E SERVICOS;2;900;CARTEIRA;TICKET;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;57;1;0,00;0,00;0,00;0,00;0,00;0,86;21,48;21,48;20,62;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;7;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;23/02/2026;23/02/2026;3;L;N;58;3;0,00;0,00;0,00;0,00;0,00;49,59;7186,96;7186,96;7137,37;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;7;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;23/02/2026;23/02/2026;3;L;N;58;3;0,00;0,00;0,00;0,00;0,00;65,05;9427,86;9427,86;9362,81;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;7;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;23/02/2026;23/02/2026;3;L;N;58;3;0,00;0,00;0,00;0,00;0,00;9,41;1447,86;1447,86;1438,45;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;13;900;CARTEIRA;CARTAO;20260219;;1;1 - Contas a Receber;19/02/2026;23/02/2026;23/02/2026;4;L;N;58;4;0,00;0,00;0,00;0,00;0,00;3,75;269,61;0,00;-3,75;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;13;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;23/02/2026;23/02/2026;3;L;N;58;3;0,00;0,00;0,00;0,00;0,00;26,07;3778,66;3778,66;3752,59;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;13;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;23/02/2026;23/02/2026;3;L;N;58;3;0,00;0,00;0,00;0,00;0,00;44,82;6496,05;6496,05;6451,23;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;13;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;23/02/2026;23/02/2026;3;L;N;58;3;0,00;0,00;0,00;0,00;0,00;7,96;1224,35;1224,35;1216,39;;;;
6432 - BANRISUL SERVICOS LTDA;13;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;23/02/2026;23/02/2026;3;L;N;58;3;0,00;0,00;0,00;0,00;0,00;43,76;4375,99;4242,07;4198,31;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;13;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;49,82;7220,59;7242,48;7192,66;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;13;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;33,95;4920,05;4920,05;4886,10;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;13;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;9,33;1435,38;1435,38;1426,05;;;;
6432 - BANRISUL SERVICOS LTDA;13;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;32,37;3237,00;3643,35;3610,98;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;13;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;16,97;2459,19;2459,19;2442,22;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;13;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;18,06;2617,75;2617,75;2599,69;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;13;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;1,30;200,74;200,74;199,44;;;;
6432 - BANRISUL SERVICOS LTDA;13;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;15,17;1517,45;1536,41;1521,24;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;8;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;23/02/2026;23/02/2026;3;L;N;58;3;0,00;0,00;0,00;0,00;0,00;28,81;4175,96;4175,96;4147,15;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;8;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;23/02/2026;23/02/2026;3;L;N;58;3;0,00;0,00;0,00;0,00;0,00;26,37;3821,15;3821,15;3794,78;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;8;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;23/02/2026;23/02/2026;3;L;N;58;3;0,00;0,00;0,00;0,00;0,00;3,75;576,53;576,53;572,78;;;;
6432 - BANRISUL SERVICOS LTDA;8;900;CARTEIRA;CARDEB;20260220;;1;1 - Contas a Receber;20/02/2026;23/02/2026;23/02/2026;3;L;N;58;3;0,00;0,00;0,00;0,00;0,00;5,02;502,39;1277,29;1272,27;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;8;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;22,02;3191,52;3191,52;3169,50;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;8;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;32,62;4726,95;4726,95;4694,33;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;8;900;CARTEIRA;CARDEB;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;57;2;0,00;0,00;0,00;0,00;0,00;8,61;1325,04;1325,04;1316,43;;;;
5750 - GREEN CARD S/A COMERCIO E SERVICOS;8;900;CARTEIRA;TICKET;20260221;;1;1 - Contas a Receber;21/02/2026;23/02/2026;23/02/2026;2;L;N;58;2;0,00;0,00;0,00;0,00;0,00;1,96;48,95;48,95;46,99;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;8;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;11,29;1636,65;1636,65;1625,36;;;;
17007 - CIELO S.A - INSTITUICAO DE PAGAMENTO;8;900;CARTEIRA;CARDEB;20260222;;1;1 - Contas a Receber;22/02/2026;23/02/2026;23/02/2026;1;L;N;56;1;0,00;0,00;0,00;0,00;0,00;15,26;2212,27;2212,27;2197,01;;;;
