DEPARTAMENTO;CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMPRESA;STATUS;EMBL_TRANSFERENCIA;ESTOQUE;PEDIDOS_PENDENTES;ESTOQUE_MINIMO;DATA_CADASTRO_PRODUTO;DIAS_DESDE_CADASTRO
PERECIVEIS;38105;CAQUI RAMA FORTE BDJ 600G;11;ATIVO;10;-2;0;0;14/04/2026;27
PERECIVEIS;38105;CAQUI RAMA FORTE BDJ 600G;12;ATIVO;10;6;0;0;14/04/2026;27
PERECIVEIS;38105;CAQUI RAMA FORTE BDJ 600G;13;ATIVO;10;34;0;0;14/04/2026;27
PERECIVEIS;38105;CAQUI RAMA FORTE BDJ 600G;14;ATIVO;10;24;0;0;14/04/2026;27
PERECIVEIS;38105;CAQUI RAMA FORTE BDJ 600G;15;ATIVO;10;0;0;0;14/04/2026;27
PERECIVEIS;38105;CAQUI RAMA FORTE BDJ 600G;16;ATIVO;10;0;0;0;14/04/2026;27
PERECIVEIS;38105;CAQUI RAMA FORTE BDJ 600G;17;ATIVO;10;16;0;0;14/04/2026;27
PERECIVEIS;38105;CAQUI RAMA FORTE BDJ 600G;18;ATIVO;10;19;0;0;14/04/2026;27
PERECIVEIS;38105;CAQUI RAMA FORTE BDJ 600G;50;ATIVO;10;0;0;0;14/04/2026;27
PERECIVEIS;38097;CEBOLA ANEIS EXCELSIOR 400G;1;ATIVO;20;0;0;0;14/04/2026;27
PERECIVEIS;38097;CEBOLA ANEIS EXCELSIOR 400G;2;ATIVO;20;41;0;0;14/04/2026;27
PERECIVEIS;38097;CEBOLA ANEIS EXCELSIOR 400G;3;ATIVO;20;37;0;0;14/04/2026;27
PERECIVEIS;38097;CEBOLA ANEIS EXCELSIOR 400G;4;ATIVO;20;57;0;0;14/04/2026;27
PERECIVEIS;38097;CEBOLA ANEIS EXCELSIOR 400G;5;ATIVO;20;7;0;0;14/04/2026;27
PERECIVEIS;38097;CEBOLA ANEIS EXCELSIOR 400G;6;ATIVO;20;32;0;0;14/04/2026;27
PERECIVEIS;38097;CEBOLA ANEIS EXCELSIOR 400G;7;ATIVO;20;31;0;0;14/04/2026;27
PERECIVEIS;38097;CEBOLA ANEIS EXCELSIOR 400G;8;ATIVO;20;40;0;0;14/04/2026;27
PERECIVEIS;38097;CEBOLA ANEIS EXCELSIOR 400G;11;ATIVO;20;26;0;0;14/04/2026;27
PERECIVEIS;38097;CEBOLA ANEIS EXCELSIOR 400G;12;ATIVO;20;65;0;0;14/04/2026;27
PERECIVEIS;38097;CEBOLA ANEIS EXCELSIOR 400G;13;ATIVO;20;3;20;0;14/04/2026;27
PERECIVEIS;38097;CEBOLA ANEIS EXCELSIOR 400G;14;ATIVO;20;10;20;0;14/04/2026;27
PERECIVEIS;38097;CEBOLA ANEIS EXCELSIOR 400G;15;ATIVO;20;0;0;0;14/04/2026;27
PERECIVEIS;38097;CEBOLA ANEIS EXCELSIOR 400G;16;ATIVO;20;0;0;0;14/04/2026;27
PERECIVEIS;38097;CEBOLA ANEIS EXCELSIOR 400G;17;ATIVO;20;17;0;0;14/04/2026;27
PERECIVEIS;38097;CEBOLA ANEIS EXCELSIOR 400G;18;ATIVO;20;59;0;0;14/04/2026;27
PERECIVEIS;38097;CEBOLA ANEIS EXCELSIOR 400G;50;ATIVO;20;0;0;0;14/04/2026;27
PERECIVEIS;38337;COCO SECO KG CORTADO;1;ATIVO;18;0;0;0;05/05/2026;6
PERECIVEIS;38337;COCO SECO KG CORTADO;2;ATIVO;18;0;0;0;05/05/2026;6
PERECIVEIS;38337;COCO SECO KG CORTADO;3;ATIVO;18;0;0;0;05/05/2026;6
PERECIVEIS;38337;COCO SECO KG CORTADO;4;ATIVO;18;0;0;0;05/05/2026;6
PERECIVEIS;38337;COCO SECO KG CORTADO;5;ATIVO;18;0;0;0;05/05/2026;6
PERECIVEIS;38337;COCO SECO KG CORTADO;6;ATIVO;18;0;0;0;05/05/2026;6
PERECIVEIS;38337;COCO SECO KG CORTADO;7;ATIVO;18;0;0;0;05/05/2026;6
PERECIVEIS;38337;COCO SECO KG CORTADO;8;ATIVO;18;0;0;0;05/05/2026;6
PERECIVEIS;38337;COCO SECO KG CORTADO;11;ATIVO;18;0;0;0;05/05/2026;6
PERECIVEIS;38337;COCO SECO KG CORTADO;12;ATIVO;18;0;0;0;05/05/2026;6
PERECIVEIS;38337;COCO SECO KG CORTADO;13;ATIVO;18;0;0;0;05/05/2026;6
PERECIVEIS;38337;COCO SECO KG CORTADO;14;ATIVO;18;0;0;0;05/05/2026;6
PERECIVEIS;38337;COCO SECO KG CORTADO;15;ATIVO;18;0;0;0;05/05/2026;6
PERECIVEIS;38337;COCO SECO KG CORTADO;16;ATIVO;18;0;0;0;05/05/2026;6
PERECIVEIS;38337;COCO SECO KG CORTADO;17;ATIVO;18;0;0;0;05/05/2026;6
PERECIVEIS;38337;COCO SECO KG CORTADO;18;ATIVO;18;0;0;0;05/05/2026;6
PERECIVEIS;38337;COCO SECO KG CORTADO;50;ATIVO;18;0;0;0;05/05/2026;6
PERECIVEIS;38149;HAMBURGUER ASSADO UN;1;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38149;HAMBURGUER ASSADO UN;2;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38149;HAMBURGUER ASSADO UN;3;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38149;HAMBURGUER ASSADO UN;4;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38149;HAMBURGUER ASSADO UN;5;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38149;HAMBURGUER ASSADO UN;6;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38149;HAMBURGUER ASSADO UN;7;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38149;HAMBURGUER ASSADO UN;8;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38149;HAMBURGUER ASSADO UN;11;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38149;HAMBURGUER ASSADO UN;12;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38149;HAMBURGUER ASSADO UN;13;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38149;HAMBURGUER ASSADO UN;14;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38149;HAMBURGUER ASSADO UN;15;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38149;HAMBURGUER ASSADO UN;16;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38149;HAMBURGUER ASSADO UN;17;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38149;HAMBURGUER ASSADO UN;18;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38149;HAMBURGUER ASSADO UN;50;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38150;LANCHE FOLHADO UN;1;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38150;LANCHE FOLHADO UN;2;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38150;LANCHE FOLHADO UN;3;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38150;LANCHE FOLHADO UN;4;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38150;LANCHE FOLHADO UN;5;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38150;LANCHE FOLHADO UN;6;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38150;LANCHE FOLHADO UN;7;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38150;LANCHE FOLHADO UN;8;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38150;LANCHE FOLHADO UN;11;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38150;LANCHE FOLHADO UN;12;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38150;LANCHE FOLHADO UN;13;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38150;LANCHE FOLHADO UN;14;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38150;LANCHE FOLHADO UN;15;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38150;LANCHE FOLHADO UN;16;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38150;LANCHE FOLHADO UN;17;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38150;LANCHE FOLHADO UN;18;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38150;LANCHE FOLHADO UN;50;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38398;LEITE FERM UNIBABY GF 850G;1;ATIVO;6;0;0;0;08/05/2026;3
PERECIVEIS;38398;LEITE FERM UNIBABY GF 850G;2;ATIVO;6;0;6;0;08/05/2026;3
PERECIVEIS;38398;LEITE FERM UNIBABY GF 850G;3;ATIVO;6;0;12;0;08/05/2026;3
PERECIVEIS;38398;LEITE FERM UNIBABY GF 850G;4;ATIVO;6;0;6;0;08/05/2026;3
PERECIVEIS;38398;LEITE FERM UNIBABY GF 850G;5;ATIVO;6;0;0;0;08/05/2026;3
PERECIVEIS;38398;LEITE FERM UNIBABY GF 850G;6;ATIVO;6;0;0;0;08/05/2026;3
PERECIVEIS;38398;LEITE FERM UNIBABY GF 850G;7;ATIVO;6;0;0;0;08/05/2026;3
PERECIVEIS;38398;LEITE FERM UNIBABY GF 850G;8;ATIVO;6;0;0;0;08/05/2026;3
PERECIVEIS;38398;LEITE FERM UNIBABY GF 850G;11;ATIVO;6;0;0;0;08/05/2026;3
PERECIVEIS;38398;LEITE FERM UNIBABY GF 850G;12;ATIVO;6;0;6;0;08/05/2026;3
PERECIVEIS;38398;LEITE FERM UNIBABY GF 850G;13;ATIVO;6;0;0;0;08/05/2026;3
PERECIVEIS;38398;LEITE FERM UNIBABY GF 850G;14;ATIVO;6;0;12;0;08/05/2026;3
PERECIVEIS;38398;LEITE FERM UNIBABY GF 850G;15;ATIVO;6;0;0;0;08/05/2026;3
PERECIVEIS;38398;LEITE FERM UNIBABY GF 850G;16;ATIVO;6;0;0;0;08/05/2026;3
PERECIVEIS;38398;LEITE FERM UNIBABY GF 850G;17;ATIVO;6;0;0;0;08/05/2026;3
PERECIVEIS;38398;LEITE FERM UNIBABY GF 850G;18;ATIVO;6;0;12;0;08/05/2026;3
PERECIVEIS;38398;LEITE FERM UNIBABY GF 850G;50;ATIVO;6;0;0;0;08/05/2026;3
PERECIVEIS;38282;PAO PULLMAN FIBRA 370G MAIS PROT;1;ATIVO;1;0;0;0;29/04/2026;12
PERECIVEIS;38282;PAO PULLMAN FIBRA 370G MAIS PROT;2;ATIVO;1;0;26;0;29/04/2026;12
PERECIVEIS;38282;PAO PULLMAN FIBRA 370G MAIS PROT;3;ATIVO;1;0;39;0;29/04/2026;12
PERECIVEIS;38282;PAO PULLMAN FIBRA 370G MAIS PROT;4;ATIVO;1;0;26;0;29/04/2026;12
PERECIVEIS;38282;PAO PULLMAN FIBRA 370G MAIS PROT;5;ATIVO;1;0;13;0;29/04/2026;12
PERECIVEIS;38282;PAO PULLMAN FIBRA 370G MAIS PROT;6;ATIVO;1;0;13;0;29/04/2026;12
PERECIVEIS;38282;PAO PULLMAN FIBRA 370G MAIS PROT;7;ATIVO;1;0;13;0;29/04/2026;12
PERECIVEIS;38282;PAO PULLMAN FIBRA 370G MAIS PROT;8;ATIVO;1;0;13;0;29/04/2026;12
PERECIVEIS;38282;PAO PULLMAN FIBRA 370G MAIS PROT;11;ATIVO;1;0;26;0;29/04/2026;12
PERECIVEIS;38282;PAO PULLMAN FIBRA 370G MAIS PROT;12;ATIVO;1;0;26;0;29/04/2026;12
PERECIVEIS;38282;PAO PULLMAN FIBRA 370G MAIS PROT;13;ATIVO;1;0;26;0;29/04/2026;12
PERECIVEIS;38282;PAO PULLMAN FIBRA 370G MAIS PROT;14;ATIVO;1;0;26;0;29/04/2026;12
PERECIVEIS;38282;PAO PULLMAN FIBRA 370G MAIS PROT;15;ATIVO;1;0;0;0;29/04/2026;12
PERECIVEIS;38282;PAO PULLMAN FIBRA 370G MAIS PROT;16;ATIVO;1;0;0;0;29/04/2026;12
PERECIVEIS;38282;PAO PULLMAN FIBRA 370G MAIS PROT;17;ATIVO;1;0;26;0;29/04/2026;12
PERECIVEIS;38282;PAO PULLMAN FIBRA 370G MAIS PROT;18;ATIVO;1;0;26;0;29/04/2026;12
PERECIVEIS;38282;PAO PULLMAN FIBRA 370G MAIS PROT;50;ATIVO;1;0;0;0;29/04/2026;12
PERECIVEIS;38148;SANDUICHE BAURU UN;1;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38148;SANDUICHE BAURU UN;2;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38148;SANDUICHE BAURU UN;3;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38148;SANDUICHE BAURU UN;4;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38148;SANDUICHE BAURU UN;5;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38148;SANDUICHE BAURU UN;6;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38148;SANDUICHE BAURU UN;7;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38148;SANDUICHE BAURU UN;8;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38148;SANDUICHE BAURU UN;11;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38148;SANDUICHE BAURU UN;12;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38148;SANDUICHE BAURU UN;13;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38148;SANDUICHE BAURU UN;14;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38148;SANDUICHE BAURU UN;15;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38148;SANDUICHE BAURU UN;16;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38148;SANDUICHE BAURU UN;17;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38148;SANDUICHE BAURU UN;18;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38148;SANDUICHE BAURU UN;50;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38152;SANDUICHE BOLONHA UN;1;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38152;SANDUICHE BOLONHA UN;2;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38152;SANDUICHE BOLONHA UN;3;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38152;SANDUICHE BOLONHA UN;4;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38152;SANDUICHE BOLONHA UN;5;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38152;SANDUICHE BOLONHA UN;6;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38152;SANDUICHE BOLONHA UN;7;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38152;SANDUICHE BOLONHA UN;8;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38152;SANDUICHE BOLONHA UN;11;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38152;SANDUICHE BOLONHA UN;12;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38152;SANDUICHE BOLONHA UN;13;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38152;SANDUICHE BOLONHA UN;14;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38152;SANDUICHE BOLONHA UN;15;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38152;SANDUICHE BOLONHA UN;16;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38152;SANDUICHE BOLONHA UN;17;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38152;SANDUICHE BOLONHA UN;18;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38152;SANDUICHE BOLONHA UN;50;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38153;SANDUICHE PAO HAMBURGUER UN;1;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38153;SANDUICHE PAO HAMBURGUER UN;2;ATIVO;1;0;0;0;17/04/2026;24
PERECIVEIS;38153;SANDUICHE PAO HAMBURGUER UN;3;ATIVO;1;0;0;0;17/04/2026;24
