NUMERONF;SERIENF;EMPRESA;DTAEMISSAO;DTAENTRADA;VLRTOTALNF;VLR_BONIFICADO;SITUACAO_DESC;SITUACAO;SEQNOTAFISCAL;SEQAUXNOTAFISCAL;SEQPESSOA;FORNECEDOR;STATUSCARGA;USUARIORF;NFECHAVEACESSO;CODGERALOPER;CFOP_FORNECEDOR;CFOP_INTERNO;ITENS_CODIGO;ITENS_DESCRICAO;ITENS_QUANTIDADE
6809;1;011-BAKLIZI;27/04/2026;11/05/2026;126,00;126,00;RECEBIDA;I;;161140;3894;3894 - ANTUNES DISTRIBUIDORA DE GAS L;L;;43260404171851000310550010000068091872413366;101;5910;1910;36155;VALE GAS GLP 13 SUP GAS BRAS ITAQUI;1
136632;1;015-CD;01/04/2026;11/05/2026;1147,18;1147,18;RECEBIDA;I;;161221;4596;4596 - TECMAES TECNOLOGIA DE MAQUINAS;L;;35260467370510000121550010001366321372840276;100;6910;2910;36142;CONS JETFIX STILLO FITA LACRADORA 1;355
403216;2;015-CD;30/04/2026;11/05/2026;2878,80;2878,80;RECEBIDA;I;;161064;5894;5894 - UNIDASUL DISTRIBUIDORA ALIMENT;L;;43260407718633006896550020004032161068011842;103;5910;1910;17156 / 17157 / 17320 / 17321;DESINF APYCE 2L JASMIM / DESINF APYCE 2L LAVANDA / DET LIQ APYCE LIMP TOT 3L ROSA / DET LIQ APYCE MULTIACAO 3L AZUL;180 / 180 / 48 / 48
826259;3;015-CD;30/04/2026;11/05/2026;151,99;151,99;RECEBIDA;I;;161038;5894;5894 - UNIDASUL DISTRIBUIDORA ALIMENT;L;;43260407718633006896550030008262591068011848;100;5910;1910;24846 / 24890;TINTURA FLEURY COLOR 120G 2 0 PTO / TINTURA MAXTON POUCH 140G 2 0 PTO NATU;11 / 8
207536;1;015-CD;27/04/2026;12/05/2026;1937,97;1937,97;RECEBIDA;I;;162351;7550;7550 - DISTRIBUIDORA MEMPHIS;L;;43260404781843000638550010002075361008089439;100;5910;1910;8001;SABONETE SENADOR 130G;360
395821;1;015-CD;05/05/2026;12/05/2026;1009,32;1009,32;RECEBIDA;I;;162040;5894;5894 - UNIDASUL DISTRIBUIDORA ALIMENT;L;;43260507718633006896550010003958211068011841;100;5910;1910;5187 / 5405;COTONETE JOHNSON 75UN / CURATIVO BAND AID 40UN TRANS;76 / 48
654225;1;015-CD;30/04/2026;12/05/2026;1010,88;1010,88;RECEBIDA;I;;161907;15476;15476 - M DIAS BRANCO S A IND E COM DE;L;;43260407206816004293550010006542251885214940;100;5910;1910;1020 / 1121 / 1415 / 1427;BISC AGUA E SAL ISABELA 350G / BISC ISABELA CREAM CRACKER 350G / BISC MAIZENA ISABELA 350G / BISC MARIA ISABELA 350G;24 / 24 / 48 / 96
916725;1;015-CD;31/03/2026;12/05/2026;3028,00;3028,00;RECEBIDA;I;;161816;3527;3527 - FABIANO ZAFFALON E CIA LTDA;L;;43260302284641000302550010009167251006725317;100;5910;1910;3902 / 7361;ABS C ABAS INTIMUS LV16PG14 SUAVE / PAPEL HIG NEVE NEUTRO 12X20M TOQUE DE SEDA;180 / 100
2440333;1;015-CD;30/04/2026;12/05/2026;2508,00;2508,00;RECEBIDA;I;;162072;15318;15318 - PODAL IND E COM DE ALIMENTOS L;L;;43260493470805000180550010024403331251459323;101;5910;1910;517 / 33730 / 33731;ENERG RED BULL LT 250ML ORIGINAL / ENERG RED BULL LT 250ML ZERO / ENERG RED BULL LT 250ML AMORA SA;72 / 216 / 12
68826;1;015-CD;04/05/2026;13/05/2026;518,40;518,40;RECEBIDA;I;;162867;5866;5866 - ADESUL IND E COM LTDA;L;;42260586548088000104550010000688261170031234;100;6910;2910;12481 / 12482;ANTI MOFO SANI ALL 80G FLORAL / ANTI MOFO SANI ALL 80G NEUTRO;48 / 48
