NUMERONF;SERIENF;EMPRESA;DTAEMISSAO;DTAENTRADA;VLRTOTALNF;VLR_BONIFICADO;SITUACAO_DESC;SITUACAO;SEQNOTAFISCAL;SEQAUXNOTAFISCAL;SEQPESSOA;FORNECEDOR;STATUSCARGA;USUARIORF;NFECHAVEACESSO;CODGERALOPER;CFOP_FORNECEDOR;CFOP_INTERNO;ITENS_CODIGO;ITENS_DESCRICAO;ITENS_QUANTIDADE
2429706;2;015-CD;23/05/2026;25/05/2026;182,88;182,88;RECEBIDA;I;;172076;15441;15441 - SPAL IND BRAS BEBIDAS AS;L;;43260561186888015620550020024297061005821753;100;5910;1910;164;CERV EST GALICIA P MALTE LT 473ML;36
2429707;2;015-CD;23/05/2026;25/05/2026;1713,60;1713,60;RECEBIDA;I;;172077;15441;15441 - SPAL IND BRAS BEBIDAS AS;L;;43260561186888015620550020024297071009320098;100;5910;1910;570;REPOS POWERADE 500ML MIX;480
2429708;2;015-CD;23/05/2026;25/05/2026;904,87;904,87;RECEBIDA;I;;172078;15441;15441 - SPAL IND BRAS BEBIDAS AS;L;;43260561186888015620550020024297081051606724;100;5910;1910;448;BEB SCHWEPPES LT 269ML GIN TONICA;198
2429709;2;015-CD;23/05/2026;25/05/2026;1792,80;1792,80;RECEBIDA;I;;172072;15441;15441 - SPAL IND BRAS BEBIDAS AS;L;;43260561186888015620550020024297091083730258;100;5910;1910;389;ENERG MONSTER LT 473ML GREEN;240
2429710;2;015-CD;23/05/2026;25/05/2026;2591,82;2591,82;RECEBIDA;I;;172073;15441;15441 - SPAL IND BRAS BEBIDAS AS;L;;43260561186888015620550020024297101029620505;100;5910;1910;570;REPOS POWERADE 500ML MIX;726
2429711;2;015-CD;23/05/2026;25/05/2026;37856,00;37856,00;RECEBIDA;I;;172728;15441;15441 - SPAL IND BRAS BEBIDAS AS;L;;43260561186888015620550020024297111089305115;100;5910;1910;10;REFRIG COCA COLA PET 2L;4160
2429712;2;015-CD;23/05/2026;25/05/2026;1811,16;1811,16;RECEBIDA;I;;172079;15441;15441 - SPAL IND BRAS BEBIDAS AS;L;;43260561186888015620550020024297121023345760;100;5910;1910;43;AGUA MIN CRYSTAL PET 500ML S GAS;1404
2429714;2;015-CD;23/05/2026;25/05/2026;33633,60;33633,60;RECEBIDA;I;;172730;15441;15441 - SPAL IND BRAS BEBIDAS AS;L;;43260561186888015620550020024297141041526130;100;5910;1910;10;REFRIG COCA COLA PET 2L;3696
2429716;2;015-CD;23/05/2026;25/05/2026;30430,40;30430,40;RECEBIDA;I;;172731;15441;15441 - SPAL IND BRAS BEBIDAS AS;L;;43260561186888015620550020024297161038696547;100;5910;1910;10;REFRIG COCA COLA PET 2L;3344
15488;1;015-CD;22/05/2026;26/05/2026;605,51;605,51;RECEBIDA;I;;173523;18958;18958 - CDC INDUSTRIA DE COSMETICOS LT;L;;43260516584409000213550010000154881174391069;100;5910;1910;22914 / 22915 / 22916 / 24638;REPARADOR PONTAS JAYLUC 30ML BLIND QUERAT / REPARADOR PONTAS JAYLUC 30ML CERAMIDAS / REPARADOR PONTAS JAYLUC 30ML OLEO ARGAN / TCO CORP JAYLUC 80G JASMIN;24 / 24 / 24 / 6
76069;1;015-CD;21/05/2026;26/05/2026;1459,92;1459,92;RECEBIDA;I;;172977;3555;3555 - CEREALE PRODUTOS INTEGRAIS LTD;L;;43260503367152000115550010000760691213165626;100;5910;1910;3432 / 3434;GRANOLA CERELUS PREMIUM 200G BANANA / GRANOLA CERELUS PREMIUM 200G ERVAS FINAS;84 / 84
1137806;1;015-CD;20/05/2026;26/05/2026;680,55;680,55;RECEBIDA;I;;173428;6485;6485 - PIETROBON E CIA. LTDA;L;;43260597580260000115550010011378061507281931;100;5910;1910;1176;BALA PIETROBON 600G MENTA;90
1579726;1;015-CD;24/05/2026;26/05/2026;2183,72;2183,72;RECEBIDA;I;;173515;10190;10190 - MILI S/A;L;;42260578908266000205550010015797261511411580;100;6910;2910;7558 / 33364;PROT DIARIO MILI 15UN SUAVE S ABAS / ABS MILI NOT DISCRETO C ABAS;24 / 264
2241962;1;016-BAKLIZI;23/05/2026;26/05/2026;500,22;500,22;RECEBIDA;I;;173760;11947;11947 - COOPERATIVA AGROINDUSTRIAL LAR;L;;41260577752293006048550010022419621104209751;100;6910;2910;32980;TIRINHAS FGO LAR 1 5KG;28
1579725;1;015-CD;24/05/2026;27/05/2026;4846,71;4846,71;RECEBIDA;I;;174297;10190;10190 - MILI S/A;L;;42260578908266000205550010015797251181738176;100;6910;2910;7353;PAPEL HIG ATUALLE 20M FLA DP 32UN NEUTRO COMPACTO;180
133682;1;006-BAKLIZI;29/04/2026;29/05/2026;433,16;433,16;RECEBIDA;I;;176730;12150;12150 - BRASMART INDUSTRIA DO VESTUARI;L;;42260404011349000180550010001336821501989865;100;6910 / 6949;2910;38362 / 38370 / 38428;KIT 3 MEIAS ESPORT PT BC CZ 39 44 / CONS EXPOSITOR CIA DA MEIA / CONS EXPOSITOR BALCAO P MEIA CALCA;12 / 2 / 2
828307;1;011-BAKLIZI;28/05/2026;30/05/2026;452,56;452,56;RECEBIDA;I;;177368;14469;14469 - CARLOS CANCIAN E CIA LTDA;L;;43260590057415000194550010008283071000203486;100;5910;1910;136;CERV HEINEKEN PILSEN GF 600ML;24
