COD_PONTO_EXTRA;NOME_PONTO_EXTRA;LOJA;COMPRADOR;COD_PRODUTO;DESCRICAO_PRODUTO;MINIMO_PONTO_EXTRA;MAXIMO_PONTO_EXTRA;INICIO_VIGENCIA;FIM_VIGENCIA;STATUS_ITEM_EMP;SITUACAO_VIGENCIA
121;Pontas fixas;3;NICOLAS;161;CERV CRYSTAL PILSEN LT 473ML;1320;1716;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;163;CERV EISENBAHN PILSEN LT 473ML;2640;3432;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;167;CERV GLACIAL PILSEN LT 473ML;2640;3432;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;169;CERV HEINEKEN LT 473ML;1096;3736;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;15757;CERV IMPERIO PILSEN LT 473ML PURO MALTE;2640;3432;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;178;CERV KAISER LT 473ML;1872;4248;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;179;CERV ORIGINAL LT 473ML;2640;3432;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;193;CERV PROVINCIA PILSEN PREM LT 473ML;2640;3432;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;207;CERV SCHIN PILSEN LT 473ML;2640;3432;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;116;CERV SKOL 1L;600;780;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;213;CERV SKOL PILSEN LT 473ML;3960;5280;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;784;REFRIG ANTARCTICA GUARANA PET 2L;600;780;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;786;REFRIG ANTARCTICA GUARANA PET 2L ZERO;600;780;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;834;REFRIG ANTARCTICA GUARANA PET 3L;320;416;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;790;REFRIG CHARRUA GUARANA PET 2L;600;1200;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;33255;REFRIG CHARRUA PET 3L GUARANA;360;468;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;10;REFRIG COCA COLA PET 2L;3000;3600;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;795;REFRIG COCA COLA PET 2L ZERO;600;780;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;806;REFRIG FANTA LARANJA PET 2L;600;1200;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;812;REFRIG FANTA UVA PET 2L;600;780;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;815;REFRIG FRUKI PET 2L GUARANA GUARANA;600;780;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;825;REFRIG PEPSI PET 2L;600;780;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;824;REFRIG PEPSI PET 2L BLACK;600;780;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;840;REFRIG PEPSI PET 3L;360;480;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;3;NICOLAS;830;REFRIG SPRITE PET 2L;600;720;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;4;NICOLAS;48;AGUA MIN FLORESTA PET 500ML C GAS;2016;2616;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;4;NICOLAS;49;AGUA MIN FLORESTA PET 500ML S GAS;2016;2616;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;4;NICOLAS;152;CERV BRAHMA CHOPP LT 473ML;600;720;10/06/2026;30/12/2026;A;VIGENTE
121;Pontas fixas;4;NICOLAS;167;CERV GLACIAL PILSEN LT 473ML;360;480;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;4;NICOLAS;193;CERV PROVINCIA PILSEN PREM LT 473ML;600;720;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;4;NICOLAS;207;CERV SCHIN PILSEN LT 473ML;720;1320;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;4;NICOLAS;213;CERV SKOL PILSEN LT 473ML;1320;1716;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;4;NICOLAS;10;REFRIG COCA COLA PET 2L;600;1200;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;5;NICOLAS;48;AGUA MIN FLORESTA PET 500ML C GAS;2016;2616;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;5;NICOLAS;49;AGUA MIN FLORESTA PET 500ML S GAS;2016;2616;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;5;NICOLAS;152;CERV BRAHMA CHOPP LT 473ML;600;720;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;5;NICOLAS;167;CERV GLACIAL PILSEN LT 473ML;840;1320;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;5;NICOLAS;178;CERV KAISER LT 473ML;1188;1536;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;5;NICOLAS;193;CERV PROVINCIA PILSEN PREM LT 473ML;840;1320;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;5;NICOLAS;207;CERV SCHIN PILSEN LT 473ML;1320;1716;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;5;NICOLAS;213;CERV SKOL PILSEN LT 473ML;1320;2640;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;5;NICOLAS;10;REFRIG COCA COLA PET 2L;600;1200;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;48;AGUA MIN FLORESTA PET 500ML C GAS;4032;5232;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;49;AGUA MIN FLORESTA PET 500ML S GAS;4032;5232;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;144;CERV AMSTEL LAGER LT 473ML;1716;2640;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;147;CERV ANTARCTICA PILSEN LT 473ML;1320;1716;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;145;CERV ANTARCTICA SUBZERO LT 473ML;1320;2640;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;152;CERV BRAHMA CHOPP LT 473ML;2640;3432;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;156;CERV BUDWEISER LT 473ML;1320;2640;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;163;CERV EISENBAHN PILSEN LT 473ML;720;1320;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;167;CERV GLACIAL PILSEN LT 473ML;2640;3432;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;169;CERV HEINEKEN LT 473ML;1320;1716;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;178;CERV KAISER LT 473ML;1248;3624;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;179;CERV ORIGINAL LT 473ML;1716;2640;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;193;CERV PROVINCIA PILSEN PREM LT 473ML;2640;3432;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;207;CERV SCHIN PILSEN LT 473ML;2640;3432;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;213;CERV SKOL PILSEN LT 473ML;3960;5280;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;784;REFRIG ANTARCTICA GUARANA PET 2L;320;480;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;790;REFRIG CHARRUA GUARANA PET 2L;600;780;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;33255;REFRIG CHARRUA PET 3L GUARANA;360;468;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;10;REFRIG COCA COLA PET 2L;1200;1800;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;795;REFRIG COCA COLA PET 2L ZERO;600;780;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;806;REFRIG FANTA LARANJA PET 2L;600;780;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;815;REFRIG FRUKI PET 2L GUARANA GUARANA;600;780;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;824;REFRIG PEPSI PET 2L BLACK;168;216;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;6;NICOLAS;830;REFRIG SPRITE PET 2L;600;720;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;7;NICOLAS;48;AGUA MIN FLORESTA PET 500ML C GAS;2016;2616;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;7;NICOLAS;49;AGUA MIN FLORESTA PET 500ML S GAS;2016;2616;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;7;NICOLAS;152;CERV BRAHMA CHOPP LT 473ML;600;720;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;7;NICOLAS;167;CERV GLACIAL PILSEN LT 473ML;840;1320;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;7;NICOLAS;178;CERV KAISER LT 473ML;1188;1536;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;7;NICOLAS;193;CERV PROVINCIA PILSEN PREM LT 473ML;840;1320;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;7;NICOLAS;207;CERV SCHIN PILSEN LT 473ML;1320;1716;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;7;NICOLAS;213;CERV SKOL PILSEN LT 473ML;1320;2640;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;7;NICOLAS;10;REFRIG COCA COLA PET 2L;600;1200;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;8;NICOLAS;48;AGUA MIN FLORESTA PET 500ML C GAS;2016;2616;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;8;NICOLAS;49;AGUA MIN FLORESTA PET 500ML S GAS;2016;2616;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;8;NICOLAS;152;CERV BRAHMA CHOPP LT 473ML;600;720;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;8;NICOLAS;167;CERV GLACIAL PILSEN LT 473ML;480;600;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;8;NICOLAS;178;CERV KAISER LT 473ML;1188;1536;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;8;NICOLAS;193;CERV PROVINCIA PILSEN PREM LT 473ML;600;720;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;8;NICOLAS;207;CERV SCHIN PILSEN LT 473ML;1320;1716;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;8;NICOLAS;213;CERV SKOL PILSEN LT 473ML;2640;3432;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;8;NICOLAS;10;REFRIG COCA COLA PET 2L;600;1200;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;11;NICOLAS;48;AGUA MIN FLORESTA PET 500ML C GAS;4032;5232;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;11;NICOLAS;49;AGUA MIN FLORESTA PET 500ML S GAS;4032;5232;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;11;NICOLAS;144;CERV AMSTEL LAGER LT 473ML;1716;2640;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;11;NICOLAS;152;CERV BRAHMA CHOPP LT 473ML;2640;3432;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;11;NICOLAS;156;CERV BUDWEISER LT 473ML;1320;2640;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;11;NICOLAS;169;CERV HEINEKEN LT 473ML;1320;1716;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;11;NICOLAS;179;CERV ORIGINAL LT 473ML;1716;2640;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;11;NICOLAS;193;CERV PROVINCIA PILSEN PREM LT 473ML;1320;1716;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;11;NICOLAS;207;CERV SCHIN PILSEN LT 473ML;5280;7920;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;11;NICOLAS;116;CERV SKOL 1L;600;780;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;11;NICOLAS;213;CERV SKOL PILSEN LT 473ML;3960;5280;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;11;NICOLAS;784;REFRIG ANTARCTICA GUARANA PET 2L;320;480;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;11;NICOLAS;790;REFRIG CHARRUA GUARANA PET 2L;600;780;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;11;NICOLAS;33255;REFRIG CHARRUA PET 3L GUARANA;360;468;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;11;NICOLAS;10;REFRIG COCA COLA PET 2L;2400;3000;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;11;NICOLAS;806;REFRIG FANTA LARANJA PET 2L;600;780;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;11;NICOLAS;824;REFRIG PEPSI PET 2L BLACK;168;216;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;11;NICOLAS;830;REFRIG SPRITE PET 2L;600;720;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;12;NICOLAS;48;AGUA MIN FLORESTA PET 500ML C GAS;4032;5232;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;12;NICOLAS;49;AGUA MIN FLORESTA PET 500ML S GAS;4032;5232;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;12;NICOLAS;144;CERV AMSTEL LAGER LT 473ML;1320;1716;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;12;NICOLAS;152;CERV BRAHMA CHOPP LT 473ML;2640;3432;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;12;NICOLAS;156;CERV BUDWEISER LT 473ML;1320;2640;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;12;NICOLAS;169;CERV HEINEKEN LT 473ML;1320;1716;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;12;NICOLAS;179;CERV ORIGINAL LT 473ML;1716;2640;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;12;NICOLAS;207;CERV SCHIN PILSEN LT 473ML;2640;3432;10/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;12;NICOLAS;213;CERV SKOL PILSEN LT 473ML;3960;5280;09/06/2026;31/12/2026;A;VIGENTE
121;Pontas fixas;12;NICOLAS;790;REFRIG CHARRUA GUARANA PET 2L;600;780;10/06/2026;31/12/2026;A;VIGENTE
