"Código Produto";"Produto";"CGO";"Quantidade";"Valor Bruto";"Valor Liquido"
"8293";"SH PANTENE 175ML QUERATINA";"800";"42,000";"658,59";"658,59"
"8294";"SH PANTENE 175ML RESTAURACAO PRO";"800";"30,000";"484,30";"484,30"
"8296";"SH PANTENE 200ML BAMBU";"800";"82,000";"1.298,88";"1.298,88"
"8299";"SH PANTENE 300ML BIOTINAMINA";"800";"29,000";"782,71";"782,71"
"35115";"SH PANTENE 300ML BOND REPAIR";"800";"18,000";"503,82";"503,82"
"8300";"SH PANTENE 300ML EQUIL ALGA MAR";"800";"30,000";"833,86";"833,86"
"8301";"SH PANTENE 300ML QUERATINA";"800";"21,000";"566,79";"566,79"
"8303";"SH PANTENE 400ML BRILHO EXTREMO";"800";"6,000";"172,57";"172,57"
"8306";"SH PANTENE 400ML HIDRATACAO";"800";"54,000";"1.564,23";"1.564,23"
"8307";"SH PANTENE 400ML HIDROCAUTERIZA";"800";"5,000";"144,88";"144,88"
"8308";"SH PANTENE 400ML LISO EXTREMO";"800";"72,000";"2.088,18";"2.088,18"
"8309";"SH PANTENE 400ML MICELAR";"800";"3,000";"86,69";"86,69"
"8313";"SH PANTENE 510ML BIOTINAMINA";"800";"33,000";"1.286,67";"1.286,67"
"35118";"SH PANTENE 510ML BOND REPAIR";"800";"31,000";"1.354,39";"1.354,39"
"10291";"SH POMPOM 200ML CAMOMILA";"800";"37,000";"665,39";"665,39"
"10292";"SH POMPOM 200ML SUAVE";"800";"13,000";"235,95";"235,95"
"24347";"SH PRIME DESAMARELADOR 270ML";"800";"2,000";"29,98";"29,98"
"38240";"SH SALLON LINDA 240ML POS QUIMICA";"800";"1,000";"9,99";"9,99"
"8324";"SH SANOL 500ML ANTIPULGAS";"800";"3,000";"104,97";"104,97"
"24357";"SH SANOL DOG NEUTRO 500ML GLICERINA";"800";"10,000";"319,90";"319,90"
"8330";"SH SEDA 300ML JUNTINHOS CRESPOS";"800";"46,000";"553,51";"553,51"
"8331";"SH SEDA 300ML JUNTINHOS TODOS OS TIPOS";"800";"54,000";"648,77";"641,17"
"8332";"SH SEDA 300ML LUMINOSO UV";"800";"240,000";"2.861,49";"2.809,04"
"37398";"SH SEDA 300ML REGENERACAO INT";"800";"278,000";"3.210,62";"3.176,12"
"35788";"SH SEDA 300ML TOQUE DE SEDA";"800";"292,000";"3.483,57";"3.405,06"
"8335";"SH SEDA 325ML BABOSA OLEOS";"800";"10,000";"118,90";"115,10"
"8338";"SH SEDA 325ML BOMBA COCO";"800";"9,000";"107,01";"107,01"
"8339";"SH SEDA 325ML CACHOS DEFINID";"800";"221,000";"2.640,15";"2.580,71"
"8352";"SH SEDA 325ML CERAMIDAS";"800";"704,000";"8.388,66";"8.219,09"
"8340";"SH SEDA 325ML COLAGENO E VITA";"800";"11,000";"130,79";"125,09"
"8345";"SH SEDA 325ML LISO PERFEITO";"800";"383,000";"4.558,43";"4.470,63"
"8349";"SH SEDA 325ML PREBIO BIOTINA";"800";"6,000";"71,34";"71,34"
