OWNER;TABLE_NAME;COLUMN_NAME
CONSINCO;MLOV_CW_LISTAENDERECO_INV;NROPREDIO
CONSINCO;MLOV_CW_LISTAENDERECO_INV;NROSALA
CONSINCO;MLOV_CW_LISTAENDERECO_INV;QTDCONTADA
CONSINCO;MLOV_CW_LISTAENDERECO_INV;QTDEMBALAGEM
CONSINCO;MLOV_CW_LISTAENDERECO_INV;QTDEMBCONTADA
CONSINCO;MLOV_CW_LISTAENDERECO_SE;CODRUA
CONSINCO;MLOV_CW_LISTAENDERECO_SE;INDBTVERIFICAQTDSEPARADA
CONSINCO;MLOV_CW_LISTAENDERECO_SE;INDESTOQUENEGATIVO
CONSINCO;MLOV_CW_LISTAENDERECO_SEAG;CODRUA
CONSINCO;MLOV_CW_LISTAENDERECO_SEAG;INDBTVERIFICAQTDSEPARADA
CONSINCO;MLOV_CW_LISTAENDERECO_SEAG;INDESTOQUENEGATIVO
CONSINCO;MLOV_CW_LISTASALAEND_AE;CODRUA
CONSINCO;MLOV_CW_LISTASALAEND_AE;NROAPARTAMENTO
CONSINCO;MLOV_CW_LISTASALAEND_AE;NROPREDIO
CONSINCO;MLOV_CW_LISTASALAEND_AE;NROSALA
CONSINCO;MLOV_CW_LISTASALAEND_AE;QTDATUALEMB
CONSINCO;MLOV_CW_LISTASALAEND_AE;QTDATUALUNITARIA
CONSINCO;MLOV_CW_LISTENDNAOVISITADO_INV;CODRUA
CONSINCO;MLOV_CW_MOV_ENDORIGEM;CODRUA
CONSINCO;MLOV_CW_MOV_ENDORIGEM;DESCQTDEPOREMBALAGEMEND
CONSINCO;MLOV_CW_MOV_ENDORIGEM;DESCQTDEPOREMBALAGEMMOVTO
CONSINCO;MLOV_CW_MOV_ENDORIGEM;NROAPARTAMENTO
CONSINCO;MLOV_CW_MOV_ENDORIGEM;NROPREDIO
CONSINCO;MLOV_CW_MOV_ENDORIGEM;NROSALA
CONSINCO;MLOV_CW_MOV_ENDORIGEM;QTDATUAL
CONSINCO;MLOV_CW_MOV_ENDORIGEM;QTDEMBALAGEM
CONSINCO;MLOV_CW_PRODSALAEND_MOV;CODRUA
CONSINCO;MLOV_CW_PRODSALAEND_MOV;NROAPARTAMENTO
CONSINCO;MLOV_CW_PRODSALAEND_MOV;NROPREDIO
CONSINCO;MLOV_CW_PRODSALAEND_MOV;QTDATUALEMB
CONSINCO;MLOV_CW_PRODSALAEND_MOV;QTDESALA
CONSINCO;MLOV_CW_PRODSALAEND_MOV_CHEC;CODRUA
CONSINCO;MLOV_CW_PRODSALAEND_MOV_CHEC;NROAPARTAMENTO
CONSINCO;MLOV_CW_PRODSALAEND_MOV_CHEC;NROPREDIO
CONSINCO;MLOV_CW_PRODSALAEND_MOV_CHEC;QTDATUALEMB
CONSINCO;MLOV_CW_PRODSALAEND_MOV_CHEC;QTDESALA
CONSINCO;MLOV_CW_SOLICITARREPOSICAOEND;QTDATUAL
CONSINCO;MLOV_CW_SOLICITARREPOSICAOEND;QTDEMBALAGEM
CONSINCO;MLOV_ENDERECOSALA;CODRUA
CONSINCO;MLOV_ENDERECOSALA;NROAPARTAMENTO
CONSINCO;MLOV_ENDERECOSALA;NROPREDIO
CONSINCO;MLOV_ENDERECOSALA;NROSALA
CONSINCO;MLOV_ENDERECOSALA;NROSALABASEPULMAO
CONSINCO;MLOV_ENDERECOSALA;QTDESALA
CONSINCO;MLOV_ENDERMOVTOAJUSTEENTR;QTDENTRADA
CONSINCO;MLOV_ENDERMOVTOAJUSTESAIDA;QTDSAIDA
CONSINCO;MLOV_EXPORTACAOESTOQUE;QTDATUAL
CONSINCO;MLOV_GERINVEND_PARAMETRO;INDNEXIGEQTDEAPANHA
CONSINCO;MLOV_GERINV_ENDERECOS;CODRUA
CONSINCO;MLOV_GERINV_ENDERECOS;NROAPARTAMENTO
CONSINCO;MLOV_GERINV_ENDERECOS;NROPREDIO
CONSINCO;MLOV_GERINV_ENDERECOS;NROSALA
CONSINCO;MLOV_GERINV_ENDERECOS;QTDATUAL
CONSINCO;MLOV_INFOENDERECO_NOVORF;CODRUA
CONSINCO;MLOV_INFOENDERECO_NOVORF;NROAPARTAMENTO
CONSINCO;MLOV_INFOENDERECO_NOVORF;NROPREDIO
CONSINCO;MLOV_INFOENDERECO_NOVORF;NROSALA
CONSINCO;MLOV_INFOENDERECO_NOVORF;QTDCONTADA
CONSINCO;MLOV_INFOENDERECO_NOVORF;QTDEMBALAGEM
CONSINCO;MLOV_INFOENDERECO_NOVORF;QTDEMBCONTADA
CONSINCO;MLOV_INVRTSALDOPENDENTEEND;SALDOPENDENTE
CONSINCO;MLOV_PEDVENDA_SORTER;QTDATENDIDAEMB
CONSINCO;MLOV_PEDVENDA_SORTER;QTDPEDIDAEMB
CONSINCO;MLOV_PRODEMPESTOQUE;QTDRESERVADARECEB
CONSINCO;MLOV_PRODEMPESTOQUEDETALHES;QTDCOMERCIAL
CONSINCO;MLOV_PRODESTOQUE;QTDATUAL
CONSINCO;MLOV_PRODESTOQUEDEP;CODRUA
CONSINCO;MLOV_PRODESTOQUEDEP;NROAPARTAMENTO
CONSINCO;MLOV_PRODESTOQUEDEP;NROPREDIO
CONSINCO;MLOV_PRODESTOQUEDEP;NROSALA
CONSINCO;MLOV_PRODESTOQUEDEP;QTDATUAL
CONSINCO;MLOV_PRODESTOQUEDEP;QTDEMBALAGEM
CONSINCO;MLOV_RASTREABILIDADEESTOQUE;ESTOQUEDISPONIVEL
CONSINCO;MLOV_RASTREABILIDADEESTOQUE;ESTOQUETOTAL
CONSINCO;MLOV_RASTREABILIDADEESTOQUE;QTDEMBALAGEM
CONSINCO;MLOV_RASTREABILIDADEESTOQUE;QTDENDERECO
CONSINCO;MLOX_BAIXAESTOQUEPDV;QTDMOVTO
CONSINCO;MLOX_ENDERECOSEPARACAO;QTDSEPARACAO
CONSINCO;MLOX_LANCTOENDERMOVTO;QTDEMBALAGEM
CONSINCO;MLOX_LANCTOENDERMOVTO;QTDMOVTO
CONSINCO;MLOX_MOVARMAZANAESTQ;QTDARMAZEN
CONSINCO;MLO_CARGARECARMAZSEPAR;QTDDOCUMENTO
CONSINCO;MLO_COMPARATIVOESTOQUELOG;QTDEMBALAGEM
CONSINCO;MLO_COMPARATIVOESTOQUELOG;SEQCOMPARATIVOESTOQUELOG
CONSINCO;MLO_ENDERECO;CODRUA
CONSINCO;MLO_ENDERECO;NROAPARTAMENTO
CONSINCO;MLO_ENDERECO;NROPREDIO
CONSINCO;MLO_ENDERECO;NROSALA
CONSINCO;MLO_ENDERECO;QTDATUAL
CONSINCO;MLO_ENDERECO;QTDEMBALAGEM
CONSINCO;MLO_ENDERECOMOVTO;QTDEMBALAGEM
CONSINCO;MLO_ENDERECOMOVTO;QTDMOVTO
CONSINCO;MLO_ENDERECOMOVTO;SALDOENDERECO
CONSINCO;MLO_ENDERECOMOVTOQTDE;QTDEMBALAGEM
CONSINCO;MLO_ENDERECOMOVTOQTDE;QTDMOVTO
CONSINCO;MLO_ENDERECOMOVTOQTDE;SALDOENDERECOQTDE
CONSINCO;MLO_ENDERECOMOVTOQTDE;SEQENDERECOMOVTOQTDE
CONSINCO;MLO_ENDERECOMOVTOQTDE;STATUSMOVTOQTDE
CONSINCO;MLO_ENDERECOPROXSEPAR;CODRUA
CONSINCO;MLO_ENDERECOPROXSEPAR;RUA
CONSINCO;MLO_ENDERECOQTDE;QTDATUAL
CONSINCO;MLO_ENDERECOQTDE;QTDEMBALAGEM
CONSINCO;MLO_ENDERECOQTDE;SEQENDERECOQTDE
CONSINCO;MLO_ENDERECOVOICE;CODRUA
CONSINCO;MLO_ENDERECOVOICE;NROAPARTAMENTO
CONSINCO;MLO_ENDERECOVOICE;NROPREDIO
CONSINCO;MLO_ENDERECOVOICE;NROSALA
CONSINCO;MLO_ESPECIEENDERECO;MOSTRANROSALA
CONSINCO;MLO_ESPECIEENDERECO;MOSTRANROSALASEPFLOWRACK
CONSINCO;MLO_LOTEINVFISITEMSALPEND;SALDOPENDENTE
CONSINCO;MLO_METODOARMAZENAGEM;QTDEMAXLOTEFAB
CONSINCO;MLO_METODOARMAZENAGEM;QTDMTCUBPALETE
CONSINCO;MLO_MOVIMENTACAOESTOQUE;QTDEMBALAGEM
CONSINCO;MLO_MOVIMENTACAOESTOQUE;SEQMOVIMENTACAOESTOQUE
CONSINCO;MLO_MOVIMENTACAOESTOQUE;SEQMOVIMENTACAOESTOQUEREF
CONSINCO;MLO_PEDVENDAITEM;QTDATENDIDA
CONSINCO;MLO_PEDVENDAITEM;QTDEMBALAGEM
CONSINCO;MLO_PEDVENDAITEM;QTDPEDIDA
CONSINCO;MLO_PRODESPENDERECO;QTDEMBALAGEM
CONSINCO;MLO_REPOSICAOPRODPEDVENDA;QTDATENDIDA
CONSINCO;MLO_REPOSICAOPRODPEDVENDA;QTDPALETESINT
CONSINCO;MLO_REPOSICAOPRODPEDVENDATMP;QTDATENDIDA
CONSINCO;MLO_TIPENDERECO;QTDMTCUBICOS
CONSINCO;MLO_XARMAZENAGEM;CODRUA
CONSINCO;MLO_XARMAZENAGEM;NROAPARTAMENTO
CONSINCO;MLO_XARMAZENAGEM;NROPREDIO
CONSINCO;MLO_XARMAZENAGEM;QTDARMAZENAR
CONSINCO;MLO_XARMAZENAGEM;QTDCOMPLEMENTADO
CONSINCO;MLO_XARMAZENAGEM;QTDEMBALAGEM
CONSINCO;MLO_XCARGARECARMAZSEPAR;QTDDOCUMENTO
CONSINCO;MLO_XENDERECO;CODRUA
CONSINCO;MLO_XENDERECO;NROAPARTAMENTO
CONSINCO;MLO_XENDERECO;NROPREDIO
CONSINCO;MLO_XENDERECO;NROSALA
CONSINCO;MLO_XENDERECO;QTDATUAL
CONSINCO;MLO_XENDERECO;QTDEMBALAGEM
CONSINCO;MLO_XENDERMOVTOPEDVDA;QTDMOVTOPEDVDA
CONSINCO;MLO_XENDERMOVTOPEDVDA;SEQENDERECOMOVTOQTDE
CONSINCO;MLO_XMOVIMENTACAOESTOQUE;QTDEMBALAGEM
CONSINCO;MLO_XMOVIMENTACAOESTOQUE;SEQMOVIMENTACAOESTOQUE
CONSINCO;MLO_XPEDVENDA;QTDITEM
CONSINCO;MLO_XPEDVENDAITEM;QTDATENDIDA
CONSINCO;MLO_XPEDVENDAITEM;QTDEMBALAGEM
CONSINCO;MLO_XPEDVENDAITEM;QTDPEDIDA
CONSINCO;MLO_XPRODESPENDERECO;QTDEMBALAGEM
CONSINCO;MLO_XSIMULAARMAZPROD;QTDARMAZENAR
CONSINCO;MLO_XSIMULAARMAZPROD;QTDCOMPLEMENTADO
CONSINCO;MLO_XSIMULAARMAZPROD;QTDEMBALAGEM
