CODIGO_PRODUTO;DESCRICAO;DEPARTAMENTO;PULMAO_EMB;PULMAO_LASTRO;PULMAO_ALTURA;SELECAO_EMB;SELECAO_LASTRO;SELECAO_ALTURA
1145;BISC RECH BAUDUCCO 108G CHOC MORANGO;MERCEARIA;CX 48;22;22;CX 48;22;22
1135;BISC RECH BAUDUCCO 108G DUPLO CHOCOLATE;MERCEARIA;CX 48;16;6;CX 48;16;6
1522;BISC RECH BAUDUCCO RECHEADINHO 104G CHOC;MERCEARIA;CX 45;12;7;CX 45;12;7
1520;BISC RECH BAUDUCCO RECHEADINHO 112G GOIABA;MERCEARIA;CX 45;22;22;CX 45;22;22
1488;BISC RECH DANIX 130G CHOC;MERCEARIA;CX 60;5;3;CX 60;5;3
1487;BISC RECH DANIX 130G CHOC SHAKE;MERCEARIA;CX 60;10;6;CX 60;10;6
1516;BISC RECH DANIX SMURFS 130G CHOCO CHOCO;MERCEARIA;CX 60;15;6;CX 60;15;6
1518;BISC RECH DANIX SMURFS 130G MORANGO;MERCEARIA;CX 60;5;6;CX 60;5;6
1437;BISC RECH GLUB 100G CHOC BCO;MERCEARIA;CX 30;6;12;CX 30;6;12
1438;BISC RECH GLUB 100G CHOC MORANGO;MERCEARIA;;0;0;;0;0
1436;BISC RECH GLUB 100G CHOCOLATE;MERCEARIA;;0;0;;0;0
1439;BISC RECH GLUB 100G DOCE DE LEITE;MERCEARIA;CX 30;15;7;CX 30;15;7
1435;BISC RECH GLUB 100G MORANGO;MERCEARIA;CX 30;15;8;CX 30;15;8
1528;BISC RECH ISABELA MOUSSE 130G CHOC AO LEITE;MERCEARIA;CX 50;12;7;CX 50;12;7
1527;BISC RECH ISABELA MOUSSE 130G CHOC M AMARGO;MERCEARIA;CX 50;12;7;CX 50;12;7
1525;BISC RECH ISABELA MOUSSE 130G LIMAO E CHOC;MERCEARIA;CX 50;12;7;CX 50;12;7
1526;BISC RECH ISABELA MOUSSE 130G MORANGO E CHOC;MERCEARIA;CX 50;12;7;CX 50;12;7
1474;BISC RECH NESTLE BONO 90G CHOC;MERCEARIA;CX 66;20;5;CX 66;20;5
13437;BISC RECH NESTLE BONO 90G COCO;MERCEARIA;CX 66;15;7;CX 66;15;7
1469;BISC RECH NESTLE BONO 90G DOCE DE LEITE;MERCEARIA;CX 66;15;7;CX 66;15;7
1471;BISC RECH NESTLE BONO 90G LIMAO;MERCEARIA;CX 66;15;7;CX 66;15;7
1472;BISC RECH NESTLE BONO 90G MOR;MERCEARIA;CX 66;15;7;CX 66;15;7
1468;BISC RECH NESTLE NEGRESCO 90G BAUNILHA;MERCEARIA;CX 66;15;7;CX 66;15;7
1466;BISC RECH NESTLE NEGRESCO 90G CHOC;MERCEARIA;CX 66;15;7;CX 66;15;7
1464;BISC RECH NESTLE NEGRESCO 90G MOR;MERCEARIA;CX 66;15;7;CX 66;15;7
1545;BISC RECH OREO 144G MILKSHAKE MOR;MERCEARIA;CX 28;13;8;CX 28;13;8
1546;BISC RECH OREO 144G ORIGINAL;MERCEARIA;CX 28;13;8;CX 28;13;8
1540;BISC RECH OREO 90G BAUNILHA;MERCEARIA;CX 48;15;10;CX 48;15;10
1542;BISC RECH OREO 90G CHOC;MERCEARIA;CX 48;15;10;CX 48;15;10
1543;BISC RECH OREO 90G MILKSHAKE MOR;MERCEARIA;CX 48;15;10;CX 48;15;10
1169;BISC RECH OREO MINI CHOC BAUN 35G;MERCEARIA;CX 40;10;13;CX 40;10;13
13448;BISC RECH ORQUIDEA 260G SORT;MERCEARIA;CX 20;300;2;CX 20;300;2
33699;BISC RECH PARATI Z CART JURAS 85G BROWNIE;MERCEARIA;CX 40;10;5;CX 40;10;5
33700;BISC RECH PARATI Z CART JURAS 85G MARSHMALLOW;MERCEARIA;CX 40;12;5;CX 40;12;5
33701;BISC RECH PARATI Z CART JURAS 85G NAPOLITANO;MERCEARIA;CX 40;12;5;CX 40;12;5
13455;BISC RECH PARATI Z CARTOON 85G CHOC;MERCEARIA;CX 40;8;16;CX 40;8;16
13454;BISC RECH PARATI Z CARTOON 85G BRIGADEIR;MERCEARIA;CX 40;10;3;CX 40;10;3
13456;BISC RECH PARATI Z CARTOON 85G DUO;MERCEARIA;CX 40;17;8;CX 40;17;8
13457;BISC RECH PARATI Z CARTOON 85G FLOCOS;MERCEARIA;CX 40;17;8;CX 40;17;8
13458;BISC RECH PARATI Z CARTOON 85G MOR;MERCEARIA;CX 40;20;5;CX 40;20;5
1486;BISC RECH PASSATEMPO 130G CHOC;MERCEARIA;CX 70;80;10;CX 70;80;10
1483;BISC RECH PASSATEMPO 130G CHOC MOR;MERCEARIA;CX 70;15;7;CX 70;15;7
1484;BISC RECH PASSATEMPO 130G MOR;MERCEARIA;CX 70;15;7;CX 70;15;7
1451;BISC RECH SAPECA 120G CHOC;MERCEARIA;CX 30;10;9;CX 30;10;9
1454;BISC RECH SAPECA 120G DOCE LEITE;MERCEARIA;CX 30;5;20;CX 30;5;20
1449;BISC RECH SAPECA 120G MORANGO;MERCEARIA;CX 30;5;3;CX 30;5;3
37120;BISC RECH SPANTOOO 80G CHOC BCO;MERCEARIA;;0;0;;0;0
1480;BISC RECH TORTUGUITA 120G BRIGADEIRO;MERCEARIA;CX 56;7;5;CX 56;7;5
1479;BISC RECH TORTUGUITA 120G CHOC;MERCEARIA;CX 56;18;6;CX 56;18;6
1478;BISC RECH TORTUGUITA 120G CHOC BAUNILHA;MERCEARIA;CX 56;18;5;CX 56;18;5
1481;BISC RECH TORTUGUITA 120G MORANGO;MERCEARIA;CX 56;10;5;CX 56;10;5
1491;BISC RECH TRAKINAS 126G BUBBALOO T FRUT;MERCEARIA;CX 54;13;8;CX 54;13;8
1497;BISC RECH TRAKINAS 126G CHOC;MERCEARIA;CX 54;10;8;CX 54;10;8
1493;BISC RECH TRAKINAS 126G CHOC MORANGO;MERCEARIA;CX 54;13;8;CX 54;13;8
1495;BISC RECH TRAKINAS 126G LIMAO;MERCEARIA;CX 54;15;15;CX 54;15;15
1496;BISC RECH TRAKINAS 126G MORANGO;MERCEARIA;CX 54;13;8;CX 54;13;8
1475;BISC RECH TRIUNFO TORTINI 90G CHOC;MERCEARIA;CX 65;13;7;CX 65;13;7
1476;BISC RECH TRIUNFO TORTINI 90G MORANGO;MERCEARIA;CX 65;13;7;CX 65;13;7
1477;BISC RECH TRIUNFO TORTINI 90G TRUFA;MERCEARIA;CX 65;13;7;CX 65;13;7
1229;BISC ROSQ GERMANI COCO 350G;MERCEARIA;CX 20;8;4;CX 20;8;4
37420;BISC ROSQUINHA SORTIDO 250G;MERCEARIA;;0;0;;0;0
1615;BISC SALG CLUB SOCIAL 288G INTEGRAL;MERCEARIA;;0;0;;0;0
1616;BISC SALG CLUB SOCIAL 288G ORIGINAL;MERCEARIA;CX 20;9;8;CX 20;9;8
1597;BISC SALG CLUB SOCIAL 6UN 141G MIX QUEIJOS;MERCEARIA;CX 44;8;8;CX 44;8;8
1596;BISC SALG CLUB SOCIAL 6UN 141G PIZZA;MERCEARIA;CX 44;8;8;CX 44;8;8
1594;BISC SALG CLUB SOCIAL 6UN 141G PRESUNTO;MERCEARIA;CX 44;8;8;CX 44;8;8
1605;BISC SALG CLUB SOCIAL 6UN 144G INTEGRAL;MERCEARIA;CX 44;8;8;CX 44;8;8
1606;BISC SALG CLUB SOCIAL 6UN 144G ORIGINAL;MERCEARIA;CX 44;8;8;CX 44;8;8
1608;BISC SALG CLUB SOCIAL CROSTINI 80G ORIGINAL;MERCEARIA;;0;0;;0;0
1609;BISC SALG CLUB SOCIAL CROSTINI 80G QUEIJO PARM VEG;MERCEARIA;;0;0;;0;0
1607;BISC SALG CLUB SOCIAL CROSTINI 80G TOMATE SEC SALS;MERCEARIA;;0;0;;0;0
1592;BISC SALG CLUB SOCIAL RECHEADO 106G QUEIJO TOM MAN;MERCEARIA;;0;0;;0;0
1591;BISC SALG CLUB SOCIAL RECHEADO 106G REQUEIJAO;MERCEARIA;CX 42;14;8;CX 42;14;8
1579;BISC SALG GERMANI 200G MIGNON;MERCEARIA;CX 20;9;3;CX 20;9;3
1575;BISC SALG GERMANI GRISSINI 175G;MERCEARIA;CX 16;20;5;CX 16;20;5
1578;BISC SALG GERMANI SUZI CROCK 200G BACON;MERCEARIA;CX 20;6;6;CX 20;6;6
1576;BISC SALG GERMANI SUZI CROCK 200G ORIGINAL;MERCEARIA;CX 20;8;4;CX 20;8;4
1577;BISC SALG GERMANI SUZI CROCK 200G QJO;MERCEARIA;CX 20;8;4;CX 20;8;4
1555;BISC SALG GERMANI TRICKS 110G CHURRASCO;MERCEARIA;CX 30;10;7;CX 30;10;7
1556;BISC SALG GERMANI TRICKS 110G QJO;MERCEARIA;CX 30;5;4;CX 30;5;4
1558;BISC SALG GERMANI TRICKS 110G TRAD;MERCEARIA;CX 30;4;3;CX 30;4;3
1614;BISC SALG ISABELA 320G COQUETEL;MERCEARIA;CX 24;10;6;CX 24;10;6
1613;BISC SALG ISABELA 350G PIC NIC;MERCEARIA;CX 24;10;4;CX 24;10;4
1612;BISC SALG PARATI 270G MIGNON;MERCEARIA;CX 12;7;9;CX 12;7;9
1396;BISC SALG PARATI 400G INTEG;MERCEARIA;CX 12;10;7;CX 12;10;7
1587;BISC SALG PIRAQUE 138G INTEGRAL;MERCEARIA;CX 36;10;6;CX 36;10;6
1586;BISC SALG PIRAQUE 138G ORIGINAL;MERCEARIA;CX 36;10;6;CX 36;10;6
1574;BISC SALG PIRAQUE 50G ANEIS CEBOLA;MERCEARIA;CX 24;13;6;CX 24;13;6
1573;BISC SALG PIRAQUE 50G PEPPERONI;MERCEARIA;CX 24;14;8;CX 24;14;8
1583;BISC SALG PIRAQUE 60G CEBOLA E SALSA;MERCEARIA;CX 20;22;7;CX 20;22;7
1584;BISC SALG PIRAQUE 60G ORIGINAL;MERCEARIA;CX 20;12;6;CX 20;12;6
1550;BISC SALG SALKIM 90G BACON;MERCEARIA;CX 30;5;4;CX 30;5;4
1554;BISC SALG SALKIM 90G CHURRASCO;MERCEARIA;CX 30;10;6;CX 30;10;6
1553;BISC SALG SALKIM 90G PIZZA;MERCEARIA;CX 30;12;6;CX 30;12;6
1549;BISC SALG SALKIM 90G TRAD;MERCEARIA;CX 30;5;5;CX 30;5;5
1560;BISC SALG TUCS 100G CHURRASCO;MERCEARIA;CX 30;10;10;CX 30;10;10
1562;BISC SALG TUCS 100G PIZZA;MERCEARIA;CX 30;20;5;CX 30;20;5
1561;BISC SALG TUCS 100G QUEIJO;MERCEARIA;CX 30;10;10;CX 30;10;10
1565;BISC SALG TUCS 100G SALAMINHO;MERCEARIA;CX 30;20;5;CX 30;20;5
1564;BISC SALG TUCS 100G TRAD;MERCEARIA;CX 30;10;10;CX 30;10;10
1585;BISC SALG ZEZE 200G MIGNON;MERCEARIA;CX 24;20;5;CX 24;20;5
1610;BISC SALG ZEZE 220G LUNA;MERCEARIA;CX 15;20;5;CX 15;20;5
1617;BISC SALG ZEZE 300G FOLHADO;MERCEARIA;CX 15;22;7;CX 15;22;7
1570;BISC SALG ZEZE MIGNON 60G CALABRESA;MERCEARIA;CX 24;2;5;CX 24;2;5
1567;BISC SALG ZEZE MIGNON 60G CHURRASCO;MERCEARIA;CX 24;22;7;CX 24;22;7
1569;BISC SALG ZEZE MIGNON 60G GALETO;MERCEARIA;CX 24;16;6;CX 24;16;6
1572;BISC SALG ZEZE MIGNON 60G ORIGINAL;MERCEARIA;CX 24;3;5;CX 24;3;5
1571;BISC SALG ZEZE MIGNON 60G QUEIJO;MERCEARIA;CX 24;10;5;CX 24;10;5
1618;BISC SORT DOMELLY 330G;MERCEARIA;CX 20;5;8;CX 20;5;8
1619;BISC SORT DOMELLY 560G;MERCEARIA;FD 12;10;5;FD 12;10;5
1620;BISC SORT DOMELLY JOCE 300G;MERCEARIA;FD 20;5;5;FD 20;5;5
1621;BISC SORT GERMANI 400G;MERCEARIA;CX 20;12;5;CX 20;12;5
1622;BISC SORT GERMANI 800G;MERCEARIA;CX 10;8;5;CX 10;8;5
1093;BISC SOTT BROA POLVILHO DOCE 200G;MERCEARIA;;0;0;;0;0
37753;BISC TORTINHAS CROSTATA F VERMELHAS;MERCEARIA;CX 30;20;10;CX 30;20;10
1130;BISC TRIUNFO CREAM CRACKER 164G;MERCEARIA;CX 40;10;5;CX 40;10;5
36920;BISC WAFER STICK LOOK NAPOLITANO 55;MERCEARIA;;0;0;;0;0
36537;BISC WAFER STICK LOOK SABORES 55G;MERCEARIA;;0;0;;0;0
10730;BISCOITO MIGNON;MERCEARIA;;0;0;;0;0
4446;BISCROK PEDIGREE 150G RACAS PEQUEN;PRODUTOS PET;;0;0;;0;0
4459;BISNAGA PULLMAN 300G ARTESANO;PERECIVEIS;;0;0;;0;0
4454;BISNAGA PULLMAN 300G ARTESANO CHAPA;PERECIVEIS;;0;0;;0;0
4456;BISNAGUINHA NUTRELLA 300G NUTRELINH;PERECIVEIS;;0;0;;0;0
4458;BISNAGUINHA PULLMAN 300G;PERECIVEIS;;0;0;;0;0
4460;BISNAGUINHA TCHE PAO 300G TRAD;PERECIVEIS;;0;0;;0;0
549;BITTER SANGALO 1L;BEBIDAS;UN 1;20;5;UN 1;20;5
13514;BLO LIXA P/UNHA BONITTA;PERFUMARIA E LIMPEZA;UN 1;15;5;UN 1;15;5
13521;BLO POLIDOR UNHAS 7 FASES BASIC;PERFUMARIA E LIMPEZA;;0;0;;0;0
13522;BLO SANITARIO HIGISOL LAVANDA;PERFUMARIA E LIMPEZA;CX 12;10;5;CX 12;10;5
4462;BLOCO HARPIC 45G ACQUA MARINE;PERFUMARIA E LIMPEZA;;0;0;;0;0
4466;BLOCO SANIT HIGISOL 35G ACOP FLORAL;PERFUMARIA E LIMPEZA;CX 12;10;2;CX 12;10;2
4465;BLOCO SANIT HIGISOL 35G ACOP LAVAND;PERFUMARIA E LIMPEZA;CX 12;10;5;CX 12;10;5
4467;BLOCO SANIT PATO 40G CAIXA ACOPLADA MARINE;PERFUMARIA E LIMPEZA;UN 1;14;3;UN 1;14;3
4468;BLOCO SANIT PATO C/2 50%DESC CX AC MARINE;PERFUMARIA E LIMPEZA;;0;0;;0;0
13524;BLOQ ODORES 60ML BABY;PERFUMARIA E LIMPEZA;CX 12;12;7;CX 12;12;7
13525;BLOQ ODORES 60ML ESPECIARIAS;PERFUMARIA E LIMPEZA;CX 12;5;3;CX 12;5;3
36382;BLOQ ODORES 60ML LAVANDA FRANCE;PERFUMARIA E LIMPEZA;UN 1;332;5;UN 1;332;5
36660;BLOQ ODORES AMAZON 60ML CAPIM LIMAO;PERFUMARIA E LIMPEZA;CX 12;10;10;CX 12;10;10
35677;BLOQ ODORES AMAZONIA 60ML T FRUTTI;PERFUMARIA E LIMPEZA;CX 12;10;10;CX 12;10;10
13526;BLOQ SOLAR CENOURA BRONZ FPS50 110ML;PERFUMARIA E LIMPEZA;;0;0;;0;0
33840;BODY SPLASH CARMED 200ML AMOR DE VERAO;PERFUMARIA E LIMPEZA;;0;0;;0;0
33841;BODY SPLASH CARMED 200ML LUZ DO SOL;PERFUMARIA E LIMPEZA;;0;0;;0;0
33842;BODY SPLASH CARMED 200ML NAS NUVENS;PERFUMARIA E LIMPEZA;;0;0;;0;0
34305;BODY SPLASH LOVELY 260ML;PERFUMARIA E LIMPEZA;;0;0;;0;0
13598;BOL NUTRELLA ANA MARIA 45G COB PAO MEL;PERECIVEIS;;0;0;;0;0
13599;BOL TRIGO PANINE 150G BAC;MERCEARIA;;0;0;;0;0
10735;BOLACHA DOBRADA G MARQUESPAN KG;PERECIVEIS;;0;0;;0;0
11637;BOLACHA FOLHADA MARQUESPAN KG;PERECIVEIS;;0;0;;0;0
37595;BOLINHA 4 QUEIJOS SPECIATTA KG;PERECIVEIS;;0;0;;0;0
37594;BOLINHA CALABRESA SPECIATTA KG;PERECIVEIS;;0;0;;0;0
37593;BOLINHA CHEDDAR SPECIATTA KG;PERECIVEIS;;0;0;;0;0
10739;BOLINHA SPECIATTA QJO;PERECIVEIS;;0;0;;0;0
26154;BOLINHO AIPIM HENICKA 300G;PERECIVEIS;;0;0;;0;0
10740;BOLINHO BACALHAU OCEANI 300G;PERECIVEIS;;0;0;;0;0
10742;BOLINHO TILAPIA JAPESCA 300G;PERECIVEIS;;0;0;;0;0
8922;BOLO ANA MARIA 35G CHOCO;PERECIVEIS;;0;0;;0;0
8923;BOLO ANA MARIA 35G DUPLO CHOCO;PERECIVEIS;;0;0;;0;0
8924;BOLO ANA MARIA 35G GOTAS CHOCO;PERECIVEIS;;0;0;;0;0
8925;BOLO ANA MARIA BAUNILHA 70G;PERECIVEIS;;0;0;;0;0
8926;BOLO ANA MARIA CENOURA CHOCO 35G;PERECIVEIS;;0;0;;0;0
1630;BOLO BAUDUCCO 40G BAUN MORANGO;MERCEARIA;CX 144;6;5;CX 144;6;5
1627;BOLO BAUDUCCO 40G BAUNILHA CHOC;MERCEARIA;CX 144;16;6;CX 144;16;6
1628;BOLO BAUDUCCO 40G CHOC BAUNILHA;MERCEARIA;CX 144;6;6;CX 144;6;6
1626;BOLO BAUDUCCO 40G DUPLO CHOC;MERCEARIA;;0;0;;0;0
1624;BOLO BAUDUCCO DUO 27G CHOC;MERCEARIA;CX 90;12;6;CX 90;12;6
13593;BOLO BAUDUCCO LAR CRIST C CHOC 200G;MERCEARIA;;0;0;;0;0
1625;BOLO BAUDUCCO ROLL 34G CHOC;MERCEARIA;;0;0;;0;0
4471;BOLO NUTRELLA 42G ANA MARIA COB CHOCOLATE;PERECIVEIS;;0;0;;0;0
4472;BOLO NUTRELLA 42G ANA MARIA COB NAPOLITANO;PERECIVEIS;;0;0;;0;0
13596;BOLO NUTRELLA ANA MARIA 35G BAUNILHA;PERECIVEIS;;0;0;;0;0
13597;BOLO NUTRELLA ANA MARIA 35G CHURROS;PERECIVEIS;;0;0;;0;0
33672;BOLO NUTRELLA ANA MARIA 70G BANOFFE;PERECIVEIS;;0;0;;0;0
4473;BOLO NUTRELLA ANA MARIA 70G CHOC TRAD;PERECIVEIS;;0;0;;0;0
4474;BOLO NUTRELLA ANA MARIA 70G GOTAS CHOC;PERECIVEIS;;0;0;;0;0
33512;BOLO NUTRELLA ANA MARIA 70G MOR;PERECIVEIS;;0;0;;0;0
33610;BOLO NUTRELLA ANA MARIA 70G TRIPLO CHOC;PERECIVEIS;;0;0;;0;0
4477;BOLO PULLMAN 250G CHOCOLATE;PERECIVEIS;;0;0;;0;0
4479;BOLO PULLMAN 250G FRAP CALIFORNIA;PERECIVEIS;;0;0;;0;0
4478;BOLO PULLMAN 250G GOTAS CHOCOLATE;PERECIVEIS;;0;0;;0;0
4480;BOLO PULLMAN 250G LARANJA;PERECIVEIS;;0;0;;0;0
10765;BOLO SECO VO ANA 300G ABACAXI;PERECIVEIS;;0;0;;0;0
10767;BOLO SECO VO ANA 300G BAUN;PERECIVEIS;;0;0;;0;0
10768;BOLO SECO VO ANA 300G CEN;PERECIVEIS;;0;0;;0;0
10769;BOLO SECO VO ANA 300G CHOC;PERECIVEIS;;0;0;;0;0
10770;BOLO SECO VO ANA 300G COCO;PERECIVEIS;;0;0;;0;0
10771;BOLO SECO VO ANA 300G FORMIG;PERECIVEIS;;0;0;;0;0
10773;BOLO SECO VO ANA 300G LARANJA;PERECIVEIS;;0;0;;0;0
35214;BOM AR CLICK SPRAY L3P2 12ML ALGODAO;PERFUMARIA E LIMPEZA;CX 12;8;29;CX 12;8;29
35213;BOM AR RF 250ML FLOR DE ALGODAO;PERFUMARIA E LIMPEZA;CX 6;28;8;CX 6;28;8
3874;BOMBOM AMOR CARIOCA 200G;MERCEARIA;CX 30;9;5;CX 30;9;5
3875;BOMBOM AMOR CARIOCA 200G BRANCO;MERCEARIA;CX 30;9;4;CX 30;9;4
3876;BOMBOM AMOR CARIOCA 200G DUO;MERCEARIA;CX 30;9;4;CX 30;9;4
36474;BOMBOM AMOR CARIOCA 20G;MERCEARIA;CX 300;10;10;CX 300;10;10
37396;BOMBOM AMOR CARIOCA 500G;MERCEARIA;;0;0;;0;0
13696;BOMBOM AMOR CARIOCA BCO 20G;MERCEARIA;CX 300;6;5;CX 300;6;5
37415;BOMBOM AMOR CARIOCA BCO 500G;MERCEARIA;;0;0;;0;0
13697;BOMBOM ARCOR SORT 146G;MERCEARIA;CX 30;22;7;CX 30;22;7
13699;BOMBOM BEL SORT 180G;MERCEARIA;CX 30;10;5;CX 30;10;5
13700;BOMBOM BEL SORT 450G;MERCEARIA;CX 16;10;5;CX 16;10;5
10778;BOMBOM DA ALCATRA RESERVA PORC;PERECIVEIS;;0;0;;0;0
13701;BOMBOM GAROTO 215 2G CROC E CARIBE;MERCEARIA;CX 30;10;5;CX 30;10;5
37222;BOMBOM GAROTO FINOS 220G SORTIDOS;MERCEARIA;CX 30;10;5;CX 30;10;5
13704;BOMBOM GAROTO SERENATA AMOR 20G UN BOMBOM GAROTO S;MERCEARIA;CX 500;10;5;CX 500;10;5
13716;BOMBOM GAROTO SERENATA AMOR 210 7G;MERCEARIA;CX 30;10;5;CX 30;10;5
37529;BOMBOM LACTA FAVORITOS 131 4G;MERCEARIA;;0;0;;0;0
13705;BOMBOM LACTA FAVORITOS 250 6G;MERCEARIA;CX 30;34;30;CX 30;34;30
37406;BOMBOM LACTA OREO 540G;MERCEARIA;;0;0;;0;0
36628;BOMBOM LACTA OURO BCO 1KG;MERCEARIA;SC 50;10;10;SC 50;10;10
13707;BOMBOM LACTA OURO BCO 20G;MERCEARIA;CX 500;10;5;CX 500;10;5
13709;BOMBOM LACTA SONHO OURO 220G;MERCEARIA;CX 30;4;2;CX 30;4;2
37414;BOMBOM LACTA SONHO VALSA 1KG;MERCEARIA;SC 50;10;10;SC 50;10;10
13708;BOMBOM LACTA SONHO VALSA 20G;MERCEARIA;CX 500;10;6;CX 500;10;6
1501;BOMBOM MUMU KIDS SORT 187 2G;MERCEARIA;CX 30;10;10;CX 30;10;10
36616;BOMBOM NESTLE ESPECIALIDADES 220G SORTIDOS;MERCEARIA;CX 30;10;5;CX 30;10;5
13712;BOMBOM NESTLE ESPECIALIDADES 251G;MERCEARIA;CX 30;90;5;CX 30;90;5
13713;BOMBOM NESTLE PRESTIGIO SORTS 252G;MERCEARIA;CX 30;10;5;CX 30;10;5
13714;BOMBOM NEUGEBAUER HITS 200G;MERCEARIA;CX 30;9;4;CX 30;9;4
36393;BORRIF GLADE HOME LAVAN TRANQ 265ML;PERFUMARIA E LIMPEZA;;0;0;;0;0
33824;BORRIFADOR GLADE HOME 265ML FLESH FLOWER;PERFUMARIA E LIMPEZA;;0;0;;0;0
3482;BRIGADEIRO PETRY 1 8KG;MERCEARIA;PC 4;10;2;PC 4;10;2
3483;BRIGADEIRO PETRY 400G;MERCEARIA;FD 6;6;5;FD 6;6;5
3484;BRIGADEIRO STA CLARA 400G;MERCEARIA;FD 6;10;10;FD 6;10;10
10782;BRIOCHE MARQUESPAN DOCE LEITE KG;PERECIVEIS;;0;0;;0;0
10786;BROCOLIS BDJ 200G;PERECIVEIS;;0;0;;0;0
14898;BROCOLIS EXCELSIOR CONG 300G;PERECIVEIS;;0;0;;0;0
8936;BUCHA BELLESA VEG PEDACO;PERFUMARIA E LIMPEZA;;0;0;;0;0
14901;BUCHA VEGETAL BT;PERFUMARIA E LIMPEZA;;0;0;;0;0
4499;BUCHA VEGETAL VINI LADY 5003;PERFUMARIA E LIMPEZA;UN 1;15;8;UN 1;15;8
10788;CABECA SUINO;PERECIVEIS;;0;0;;0;0
37234;CABO DE MADEIRA P VASSOURA;PERFUMARIA E LIMPEZA;;0;0;;0;0
10789;CACAO OPERGEL POSTA CONG 500G;PERECIVEIS;;0;0;;0;0
3069;CACAU PO APTI 200G;MERCEARIA;CX 12;10;10;CX 12;10;10
3068;CACAU PO CBS 200G 100;MERCEARIA;CX 12;10;5;CX 12;10;5
787;CACAU PO TRISANTI 1 005KG;MERCEARIA;CX 6;12;5;CX 6;12;5
14975;CACHORRINHO BONE DEMAIS 70G;PRODUTOS PET;;0;0;;0;0
10791;CACHORRO PAULISTA;PERECIVEIS;;0;0;;0;0
15141;CAFE 3 CORACOES DRIP GOU PORTINARI SC 10G;MERCEARIA;DP 10;10;5;DP 10;10;5
15144;CAFE 3 CORACOES DRIP TRAD SH 10G;MERCEARIA;CX 120;22;22;CX 120;22;22
2154;CAFE 3C DRIP GOURMET SH 11G DARK ROAST;MERCEARIA;DP 10;15;15;DP 10;15;15
37126;CAFE 3C DRIP RITUAIS COLOMBIA 10G;MERCEARIA;;0;0;;0;0
2250;CAFE 3C DRIP RITUAIS SH 10G FLORADA;MERCEARIA;DP 10;20;10;DP 10;20;10
2198;CAFE 3C DRIP SH 10G MATAS DE MINAS;MERCEARIA;DP 10;10;10;DP 10;10;10
1988;CAFE IGUACU SOLUVEL PT 200G CAPPUCCINO;MERCEARIA;CX 24;15;7;CX 24;15;7
2039;CAFE SOL 3C CAPPUCCINO PT 200G CLASSIC;MERCEARIA;;0;0;;0;0
33652;CAFE SOL 3C CAPPUCCINO PT 200G LOV CARAM SALGA;MERCEARIA;;0;0;;0;0
33653;CAFE SOL 3C CAPPUCCINO PT 200G LOVERS COOKIES;MERCEARIA;;0;0;;0;0
2029;CAFE SOL 3C CAPPUCCINO SH 20G BAUNILHA;MERCEARIA;CX 50;20;5;CX 50;20;5
2031;CAFE SOL 3C CAPPUCCINO SH 20G CANELA;MERCEARIA;CX 50;8;4;CX 50;8;4
2030;CAFE SOL 3C CAPPUCCINO SH 20G CLASSIC;MERCEARIA;CX 160;10;5;CX 160;10;5
1989;CAFE SOL 3C FORZA SH 250G INTENSIDADE MAX;MERCEARIA;;0;0;;0;0
2048;CAFE SOL 3C LT 160G TRAD;MERCEARIA;;0;0;;0;0
2071;CAFE SOL 3C LT 300G C LEITE;MERCEARIA;FD 12;20;5;FD 12;20;5
2069;CAFE SOL 3C SH 20G C LEITE;MERCEARIA;CX 50;12;5;CX 50;12;5
2081;CAFE SOL 3C SH 40G TRAD;MERCEARIA;CX 24;20;9;CX 24;20;9
2151;CAFE SOL 3C VD 100G LIOFILIZADO ARABICA;MERCEARIA;;0;0;;0;0
2143;CAFE SOL 3C VD 200G TRAD;MERCEARIA;CX 12;10;7;CX 12;10;7
33654;CAFE SOL 3CORACOES CAPPUCINO 180G LOV CHOC QUENTE;MERCEARIA;CX 24;12;6;CX 24;12;6
2079;CAFE SOL BOM JESUS SH 40G FORTE;MERCEARIA;CX 24;17;7;CX 24;17;7
2032;CAFE SOL IGUACU CAPPUCCINO PT 200G CHOC;MERCEARIA;;0;0;;0;0
2033;CAFE SOL IGUACU CAPPUCCINO PT 200G CONFEITOS CHOC;MERCEARIA;CX 24;15;7;CX 24;15;7
29450;CAFE SOL IGUACU DESCAFEINADO SH 40G;MERCEARIA;CX 24;12;5;CX 24;12;5
2047;CAFE SOL IGUACU LT LV200G PG190G TRAD;MERCEARIA;CX 12;8;10;CX 12;8;10
2034;CAFE SOL IGUACU PT 200G CAPPUCCINO CANELA;MERCEARIA;;0;0;;0;0
2113;CAFE SOL IGUACU SH 100G CAPPUCCINO;MERCEARIA;CX 24;10;5;CX 24;10;5
2077;CAFE SOL IGUACU SH 40G CLASSICO;MERCEARIA;CX 24;10;10;CX 24;10;10
2075;CAFE SOL IGUACU SH 40G TRAD;MERCEARIA;CX 24;10;10;CX 24;10;10
15158;CAFE SOL IGUACU SH L55P50G;MERCEARIA;CX 24;20;12;CX 24;20;12
2152;CAFE SOL IGUACU VD 200G CLASSICO CLASSICO;MERCEARIA;CX 12;10;10;CX 12;10;10
2035;CAFE SOL MELITTA CAPPUCCINO LT 200G CHOC;MERCEARIA;CX 24;9;9;CX 24;9;9
