CODIGO_PRODUTO;DESCRICAO;DEPARTAMENTO;PULMAO_EMB;PULMAO_LASTRO;PULMAO_ALTURA;SELECAO_EMB;SELECAO_LASTRO;SELECAO_ALTURA
12166;ABS DIARIO COTTONBABY C 15 S PERF;PERFUMARIA E LIMPEZA;CX 72;22;22;CX 72;22;22
12173;ABS GERIAMAX POS PARTO OPERAT C 20;PERFUMARIA E LIMPEZA;FD 6;22;22;FD 6;22;22
3913;ABS INTERNO INTIMUS 8UN MD MODERADO;PERFUMARIA E LIMPEZA;;0;0;;0;0
3914;ABS INTERNO INTIMUS 8UN SUPER INTENSO;PERFUMARIA E LIMPEZA;;0;0;;0;0
12174;ABS INTERNO INTIMUS MINI L16P15;PERFUMARIA E LIMPEZA;;0;0;;0;0
12175;ABS INTERNO INTIMUS SUPER L16P15;PERFUMARIA E LIMPEZA;;0;0;;0;0
3916;ABS INTERNO OB LV10 PG8 MEDIO;PERFUMARIA E LIMPEZA;;0;0;;0;0
3917;ABS INTERNO OB LV10 PG8 SUPER;PERFUMARIA E LIMPEZA;;0;0;;0;0
33228;ABS INTERNO OB PROMO C 16 MEDIO;PERFUMARIA E LIMPEZA;;0;0;;0;0
33229;ABS INTERNO OB PROMO C 16 SUPER;PERFUMARIA E LIMPEZA;;0;0;;0;0
8787;ABS INTIMUS INTERNO MD LV16 PG15UN;PERFUMARIA E LIMPEZA;;0;0;;0;0
8789;ABS MILI COB C ABAS SV 8UN;PERFUMARIA E LIMPEZA;CX 36;10;10;CX 36;10;10
33363;ABS MILI CONFORT TOTAL C ABAS C 32;PERFUMARIA E LIMPEZA;CX 16;6;5;CX 16;6;5
12180;ABS MILI CONFORTO TOT C ABAS 8UN;PERFUMARIA E LIMPEZA;CX 36;22;7;CX 36;22;7
33366;ABS MILI DUO C ABAS C8;PERFUMARIA E LIMPEZA;;0;0;;0;0
12181;ABS MILI MULHER CONFORTO TOT C ABAS C 16UN;PERFUMARIA E LIMPEZA;CX 24;8;5;CX 24;8;5
33364;ABS MILI NOT DISCRETO C ABAS;PERFUMARIA E LIMPEZA;CX 24;3;3;CX 24;3;3
33365;ABS MILI NOT ULTRA C ABAS C 8;PERFUMARIA E LIMPEZA;CX 36;22;7;CX 36;22;7
8791;ABS MILI NOTURNO C ABAS 8UN;PERFUMARIA E LIMPEZA;CX 36;6;10;CX 36;6;10
8792;ABS MILI NOTURNO SAUVE C ABAS 32UN;PERFUMARIA E LIMPEZA;CX 16;9;4;CX 16;9;4
3904;ABS MILI PROT TOTAL 16UN C ABAS SUAVE;PERFUMARIA E LIMPEZA;CX 24;10;6;CX 24;10;6
12183;ABS MILI SUAVE PROT TOT C ABAS C 32;PERFUMARIA E LIMPEZA;CX 16;15;7;CX 16;15;7
35584;ABS PARTO OPERATORIO MAX POS C 20;PERFUMARIA E LIMPEZA;;0;0;;0;0
35645;ABS PARTO OPERATORIO MAX POS C10;PERFUMARIA E LIMPEZA;FD 12;5;5;FD 12;5;5
3920;ABS S ABAS S LIVRE 8UN ADAPT SV;PERFUMARIA E LIMPEZA;;0;0;;0;0
3918;ABS S/ABAS INTIMUS 8UN NORMAL SECA;PERFUMARIA E LIMPEZA;;0;0;;0;0
3919;ABS S/ABAS INTIMUS 8UN NORMAL SUAVE;PERFUMARIA E LIMPEZA;;0;0;;0;0
8793;ABS SEMPRE LIVRE NOT C ABAS L16P14;PERFUMARIA E LIMPEZA;;0;0;;0;0
12188;ABS SEMPRE LIVRE NOT SECA C/ABAS C/8;PERFUMARIA E LIMPEZA;;0;0;;0;0
12190;ACAI MORANGOS 1L;PERECIVEIS;;0;0;;0;0
34501;ACEM BOV FRIBOI KG GUIS MUSC ITAQ;PERECIVEIS;;0;0;;0;0
34502;ACEM BOV FRIBOI KG GUIS MUSC SBORJ;PERECIVEIS;;0;0;;0;0
34727;ACEM E PESCOCO C OSSO BOV RESF KG;PERECIVEIS;;0;0;;0;0
10496;ACEM FRIBOI PORC KG;PERECIVEIS;;0;0;;0;0
10497;ACEM FRIBOI PORC KG BDJ;PERECIVEIS;;0;0;;0;0
34533;ACEM PESCOCO BOV RESERVA C OSSO KG ACEM TRAD;PERECIVEIS;;0;0;;0;0
34534;ACEM PESCOCO BOV RESERVA C OSSO KG BISTEQUINHA;PERECIVEIS;;0;0;;0;0
34535;ACEM PESCOCO BOV RESERVA C OSSO KG ESPEC DIANT;PERECIVEIS;;0;0;;0;0
34527;ACEM RESERVA S OSSO KG ACEM ESP;PERECIVEIS;;0;0;;0;0
10716;ACEM RESERVA S OSSO KG BIFE CACAROLA;PERECIVEIS;;0;0;;0;0
34528;ACEM RESERVA S OSSO KG CARNE CACAROLA;PERECIVEIS;;0;0;;0;0
10498;ACEM RESERVA S OSSO KG CUBOS;PERECIVEIS;;0;0;;0;0
10499;ACEM RESERVA S OSSO KG LOMBINHO;PERECIVEIS;;0;0;;0;0
10500;ACEM RESERVA S OSSO KG MOIDO;PERECIVEIS;;0;0;;0;0
10503;ACEM RESERVA S OSSO KG PAI;PERECIVEIS;;0;0;;0;0
10501;ACEM RESERVA S OSSO KG PEDACO;PERECIVEIS;;0;0;;0;0
33645;ACENDEDOR FOGAO MET PLAS 22CM A PEDRA;PERFUMARIA E LIMPEZA;;0;0;;0;0
10504;ACEROLA BDJ 400G;PERECIVEIS;;0;0;;0;0
2967;ACHOC APTI PT 210G ZERO;MERCEARIA;CX 6;22;7;CX 6;22;7
2928;ACHOC LIQ ELEGE 1L BOB ESPONJA;MERCEARIA;CX 12;20;5;CX 12;20;5
2925;ACHOC LIQ ITALAC 1L;MERCEARIA;CX 12;17;5;CX 12;17;5
2911;ACHOC LIQ ITALAC 200ML;MERCEARIA;CX 24;15;15;CX 24;15;15
2913;ACHOC LIQ NESCAU 180ML ACTIC GO;MERCEARIA;CX 27;17;14;CX 27;17;14
2915;ACHOC LIQ NESCAU 180ML ZERO LACTOSE;MERCEARIA;CX 27;10;5;CX 27;10;5
2916;ACHOC LIQ NESQUIK 180ML MORANGO;MERCEARIA;CX 27;17;10;CX 27;17;10
2923;ACHOC LIQ SHOWKINHO 1L;MERCEARIA;CX 12;17;5;CX 12;17;5
2909;ACHOC LIQ SHOWKINHO 200ML;MERCEARIA;CX 27;20;20;CX 27;20;20
2920;ACHOC LIQ TODDYNHO 200ML;MERCEARIA;CX 27;15;11;CX 27;15;11
2919;ACHOC LIQ TODDYNHO 200ML LEVINHO;MERCEARIA;CX 27;15;11;CX 27;15;11
2935;ACHOC NESCAU LT 670G;MERCEARIA;CX 12;8;11;CX 12;8;11
2934;ACHOC NESQUIK LT 380G MORANGO;MERCEARIA;CX 24;8;10;CX 24;8;10
34294;ACHOC PO 3C LT 350G CHOCOLATTO;MERCEARIA;CX 30;9;4;CX 30;9;4
2950;ACHOC PO 3C SH 560G CHOCOLATTO;MERCEARIA;CX 12;10;5;CX 12;10;5
2942;ACHOC PO APTI SH 200G;MERCEARIA;FD 20;10;10;FD 20;10;10
2946;ACHOC PO APTI SH 400G MORANGO;MERCEARIA;FD 20;22;7;FD 20;22;7
2953;ACHOC PO APTI SH 700G INSTANT POWER;MERCEARIA;CX 12;9;9;CX 12;9;9
2944;ACHOC PO CBS SH 400G SUPERCAU;MERCEARIA;FD 24;10;5;FD 24;10;5
2939;ACHOC PO CHOKILAR SH 200G;MERCEARIA;FD 20;10;10;FD 20;10;10
12216;ACHOC PO NESCAU LT 350G;MERCEARIA;CX 36;9;6;CX 36;9;6
33258;ACHOC PO NESCAU LT 350G 33PCT MENOS ACU;MERCEARIA;CX 36;4;2;CX 36;4;2
783;ACHOC PO NESCAU SH 2 01KG;MERCEARIA;CX 4;13;5;CX 4;13;5
2956;ACHOC PO NESCAU SH 550G ACTIV GO;MERCEARIA;CX 12;15;10;CX 12;15;10
2958;ACHOC PO NESCAU SH 730G ACTIV GO;MERCEARIA;CX 12;10;6;CX 12;10;6
2959;ACHOC PO TODDY SH 1 8KG MAIS ECONOMICA;MERCEARIA;CX 6;5;4;CX 6;5;4
2949;ACHOC PO TODDY SH 480G;MERCEARIA;CX 20;20;5;CX 20;20;5
2954;ACHOC PO TODDY SH 700G;MERCEARIA;CX 12;5;15;CX 12;5;15
2960;ACHOC TODDY PT 370G ORIGINAL;MERCEARIA;CX 24;6;12;CX 24;6;12
2969;ACHOC TODDY PT 750G ORIGINAL MAIS ECONOMICA;MERCEARIA;CX 12;20;5;CX 12;20;5
