CODIGO_EMPRESA;NUMERO_ACORDO;NUMERO_PROCESSO;CODIGO_FORNECEDOR;FORNECEDOR;DESCRICAO_ACORDO;DATA_EMISSAO;COMPRADOR;STATUS_ACORDO;SITUACAO_FINANCEIRA;TIPO_ACORDO;CODIGO_PRODUTO;QTD_UTILIZADA_VERBA;DATA_FINAL_VERBA;PROXIMO_VENCIMENTO;ULTIMO_RECEBIMENTO;NUMERO_NF;NUMERO_PEDIDO_SUPRIMENTO;VALOR_ACORDO;VLR_EM_ABERTO;VLR_FIN_VENCIDO;VLR_JA_QUITADO;VALOR_SALDO_ACORDO;VALOR_UTILIZADO_PRODUTO;TOTAL_PARCELAS;PARCELAS_PAGAS;PARCELAS_PENDENTES
2;1;2475;12126;SEMALO IND E COM DE ALIM LTDA;Midia para Telão;11/02/2026;WERTER;EM ANDAMENTO;EM ABERTO;VERBA EXTRA;;;;30/07/2026;;;;R$ 3.000,00;R$ 3.000,00;R$ 3.000,00;R$ 0,00;R$ 0,00;R$ 0,00;1;0;1
16;1;3581;12167;BRF S.A;ACORDO REF. PEDIDO: 16/21111/L;16/02/2026;SANDRO;EM ANDAMENTO;EM ABERTO;SELL-IN;;;;19/03/2026;;6501623;21111;R$ 5.042,15;R$ 5.042,15;R$ 4.517,54;R$ 0,00;R$ 0,00;R$ 0,00;1;0;1
2;2;3641;16491;JBS S A;ACORDO REF. PEDIDO: 2/22516/M;18/02/2026;LAURINDO;EM ANDAMENTO;QUITADO;SELL-IN;;;;;25/02/2026;421308;22516;R$ 902,75;R$ 0,00;R$ 0,00;R$ 902,75;R$ 0,00;R$ 0,00;1;1;0
4;2;3641;16491;JBS S A;ACORDO REF. PEDIDO: 4/22517/L;18/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;22517;R$ 232,03;R$ 232,03;R$ 0,00;R$ 0,00;R$ 232,03;R$ 0,00;0;0;0
5;2;3641;16491;JBS S A;ACORDO REF. PEDIDO: 5/22518/L;18/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;22518;R$ 221,20;R$ 221,20;R$ 0,00;R$ 0,00;R$ 221,20;R$ 0,00;0;0;0
6;2;3641;16491;JBS S A;ACORDO REF. PEDIDO: 6/22519/L;18/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;22519;R$ 519,69;R$ 519,69;R$ 0,00;R$ 0,00;R$ 519,69;R$ 0,00;0;0;0
7;2;3641;16491;JBS S A;ACORDO REF. PEDIDO: 7/22520/L;18/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;22520;R$ 549,77;R$ 549,77;R$ 0,00;R$ 0,00;R$ 549,77;R$ 0,00;0;0;0
8;2;3641;16491;JBS S A;ACORDO REF. PEDIDO: 8/22521/L;18/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;22521;R$ 138,97;R$ 138,97;R$ 0,00;R$ 0,00;R$ 138,97;R$ 0,00;0;0;0
11;2;3641;16491;JBS S A;ACORDO REF. PEDIDO: 11/22522/L;18/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;22522;R$ 566,90;R$ 566,90;R$ 0,00;R$ 0,00;R$ 566,90;R$ 0,00;0;0;0
12;2;3641;16491;JBS S A;ACORDO REF. PEDIDO: 12/22523/L;18/02/2026;LAURINDO;CONCLUIDO;EM ABERTO;SELL-IN;;;;;;420673;22523;R$ 675,80;R$ 675,80;R$ 0,00;R$ 0,00;R$ 675,80;R$ 0,00;0;0;0
13;2;3641;16491;JBS S A;ACORDO REF. PEDIDO: 13/22524/L;18/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;22524;R$ 575,62;R$ 575,62;R$ 0,00;R$ 0,00;R$ 575,62;R$ 0,00;0;0;0
14;2;3641;16491;JBS S A;ACORDO REF. PEDIDO: 14/22525/L;18/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;22525;R$ 136,35;R$ 136,35;R$ 0,00;R$ 0,00;R$ 136,35;R$ 0,00;0;0;0
16;2;3601;16491;JBS S A;ACORDO REF. PEDIDO: 16/21374/L;17/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;21374;R$ 8.898,83;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0
17;2;3641;16491;JBS S A;ACORDO REF. PEDIDO: 17/22527/L;18/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;22527;R$ 578,37;R$ 578,37;R$ 0,00;R$ 0,00;R$ 578,37;R$ 0,00;0;0;0
18;2;3641;16491;JBS S A;ACORDO REF. PEDIDO: 18/22528/L;18/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;22528;R$ 262,55;R$ 262,55;R$ 0,00;R$ 0,00;R$ 262,55;R$ 0,00;0;0;0
16;3;3641;16491;JBS S A;ACORDO REF. PEDIDO: 16/22526/L;18/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;22526;R$ 5.886,59;R$ 5.886,59;R$ 0,00;R$ 0,00;R$ 5.886,59;R$ 0,00;0;0;0
2;4;4066;6675;COOPERATIVA CENTRAL AURORA ALIMENTOS;FRISA CAMAROTE GOLD;20/02/2026;SANDRO;CONCLUIDO;PARCIALMENTE QUITADO;VERBA EXTRA;;;;17/08/2026;10/07/2026;;;R$ 3.500,00;R$ 583,35;R$ 583,35;R$ 2.916,65;R$ 0,00;R$ 0,00;6;5;1
5;4;4446;16491;JBS S A;ACORDO REF. PEDIDO: 5/26189/L;23/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;26189;R$ 465,22;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0
6;4;4446;16491;JBS S A;ACORDO REF. PEDIDO: 6/26190/L;23/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;26190;R$ 760,37;R$ 760,37;R$ 0,00;R$ 0,00;R$ 760,37;R$ 0,00;0;0;0
7;4;4446;16491;JBS S A;ACORDO REF. PEDIDO: 7/26191/L;23/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;26191;R$ 470,26;R$ 470,26;R$ 0,00;R$ 0,00;R$ 470,26;R$ 0,00;0;0;0
8;4;4446;16491;JBS S A;ACORDO REF. PEDIDO: 8/26192/L;23/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;26192;R$ 227,47;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;0;0;0
11;4;4446;16491;JBS S A;ACORDO REF. PEDIDO: 11/26193/L;23/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;26193;R$ 945,89;R$ 945,89;R$ 0,00;R$ 0,00;R$ 945,89;R$ 0,00;0;0;0
12;4;4446;16491;JBS S A;ACORDO REF. PEDIDO: 12/26194/L;23/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;26194;R$ 1.061,70;R$ 1.061,70;R$ 0,00;R$ 0,00;R$ 1.061,70;R$ 0,00;0;0;0
13;4;4446;16491;JBS S A;ACORDO REF. PEDIDO: 13/26195/L;23/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;26195;R$ 710,21;R$ 710,21;R$ 0,00;R$ 0,00;R$ 710,21;R$ 0,00;0;0;0
17;4;4446;16491;JBS S A;ACORDO REF. PEDIDO: 17/26197/L;23/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;26197;R$ 417,62;R$ 417,62;R$ 0,00;R$ 0,00;R$ 417,62;R$ 0,00;0;0;0
18;4;4446;16491;JBS S A;ACORDO REF. PEDIDO: 18/26198/L;23/02/2026;LAURINDO;EM ANDAMENTO;EM ABERTO;SELL-IN;;;;;;420668;26198;R$ 435,66;R$ 435,66;R$ 0,00;R$ 0,00;R$ 435,66;R$ 0,00;0;0;0
2;5;4086;6643;ONIZ DISTRIBUIDORA LTDA.;CARNAVAL BAKLIZI 2026;20/02/2026;WERTER;CONCLUIDO;PARCIALMENTE QUITADO;VERBA EXTRA;;;;19/05/2026;18/06/2026;;;R$ 3.000,00;R$ 558,00;R$ 500,00;R$ 2.442,00;R$ 0,00;R$ 0,00;6;4;2
14;5;4446;16491;JBS S A;ACORDO REF. PEDIDO: 14/26196/L;23/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;26196;R$ 227,54;R$ 227,54;R$ 0,00;R$ 0,00;R$ 227,54;R$ 0,00;0;0;0
16;5;5746;6675;COOPERATIVA CENTRAL AURORA ALIMENTOS;VERBA;27/02/2026;SANDRO;CONCLUIDO;QUITADO;VERBA EXTRA;;;;;20/05/2026;;;R$ 20.000,00;R$ 0,00;R$ 0,00;R$ 20.000,00;R$ 0,00;R$ 0,00;1;1;0
17;5;5726;3303;TRIVIALY ALIMENTOS LTDA;BONIFICAÇAO;27/02/2026;SANDRO;EM ANDAMENTO;EM ABERTO;VERBA EXTRA;;;;27/03/2026;;;;R$ 516,60;R$ 516,60;R$ 516,60;R$ 0,00;R$ 0,00;R$ 0,00;1;0;1
18;5;5986;6539;INDUSTRIA E COMERCIO DE MASSAS DITALIA;MASSA FOLHADA DITALIA ROLO 300G;11/03/2026;SANDRO;EM ANDAMENTO;EM ABERTO;VERBA EXTRA;;;;20/03/2026;;;;R$ 50,00;R$ 50,00;R$ 50,00;R$ 0,00;R$ 0,00;R$ 0,00;1;0;1
2;6;4366;12257;PARATI IND.COM.DE ALIMENTOS LTDA;Sell out;21/02/2026;WERTER;CONCLUIDO;QUITADO;VERBA EXTRA;;;;;02/03/2026;;;R$ 1.906,00;R$ 0,00;R$ 0,00;R$ 1.906,00;R$ 0,00;R$ 0,00;1;1;0
3;6;381;16491;JBS S A;Referente Sell Out;03/02/2026;LAURINDO;CONCLUIDO;QUITADO;VERBA EXTRA;;;;;25/02/2026;;;R$ 1.461,60;R$ 0,00;R$ 0,00;R$ 1.461,60;R$ 0,00;R$ 0,00;1;1;0
4;6;6686;10511;MARQUESPAN ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;EM ABERTO;SELL-OUT;10735;17,825;24/03/2026;07/05/2026;;;;R$ 53,48;R$ 53,48;R$ 53,48;R$ 0,00;R$ 0,01;R$ 53,48;1;0;1
5;6;6686;10511;MARQUESPAN ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;EM ABERTO;SELL-OUT;10735;8,176;24/03/2026;07/05/2026;;;;R$ 24,53;R$ 24,53;R$ 24,53;R$ 0,00;R$ 0,00;R$ 24,53;1;0;1
6;6;6686;10511;MARQUESPAN ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;EM ABERTO;SELL-OUT;10735;16,284;24/03/2026;07/05/2026;;;;R$ 48,85;R$ 48,85;R$ 48,85;R$ 0,00;R$ 0,00;R$ 48,85;1;0;1
7;6;6686;10511;MARQUESPAN ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;EM ABERTO;SELL-OUT;10735;11,25;24/03/2026;07/05/2026;;;;R$ 33,75;R$ 33,75;R$ 33,75;R$ 0,00;R$ 0,00;R$ 33,75;1;0;1
8;6;6686;10511;MARQUESPAN ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;EM ABERTO;SELL-OUT;10735;5,01;24/03/2026;07/05/2026;;;;R$ 15,03;R$ 15,03;R$ 15,03;R$ 0,00;R$ 0,00;R$ 15,03;1;0;1
11;6;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;10496;3,808;29/03/2026;;24/07/2026;;;R$ 9,52;R$ 0,00;R$ 0,00;R$ 9,52;R$ 0,00;R$ 9,52;1;1;0
12;6;6686;10511;MARQUESPAN ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;EM ABERTO;SELL-OUT;10735;20,32;24/03/2026;07/05/2026;;;;R$ 60,96;R$ 60,96;R$ 60,96;R$ 0,00;R$ 0,00;R$ 60,96;1;0;1
13;6;6686;10511;MARQUESPAN ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;EM ABERTO;SELL-OUT;10735;4,418;24/03/2026;07/05/2026;;;;R$ 13,25;R$ 13,25;R$ 13,25;R$ 0,00;R$ 0,00;R$ 13,25;1;0;1
16;6;5788;17064;JBS AVES LTDA;ACORDO REF. PEDIDO: 16/31537/L;02/03/2026;LAURINDO;EM ANDAMENTO;EM ABERTO;SELL-IN;;;;08/04/2026;;;31537;R$ 2.273,06;R$ 2.273,06;R$ 2.273,06;R$ 0,00;R$ 0,00;R$ 0,00;1;0;1
2;7;4386;12257;PARATI IND.COM.DE ALIMENTOS LTDA;Sell Out;21/02/2026;WERTER;CONCLUIDO;QUITADO;VERBA EXTRA;;;;;12/03/2026;;;R$ 6.588,00;R$ 0,00;R$ 0,00;R$ 6.588,00;R$ 0,00;R$ 0,00;1;1;0
4;7;6686;10511;MARQUESPAN ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;EM ABERTO;SELL-OUT;11637;4,376;24/03/2026;07/05/2026;;;;R$ 13,13;R$ 13,13;R$ 13,13;R$ 0,00;R$ 0,00;R$ 13,13;1;0;1
5;7;6686;10511;MARQUESPAN ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;EM ABERTO;SELL-OUT;11637;2,606;24/03/2026;07/05/2026;;;;R$ 7,82;R$ 7,82;R$ 7,82;R$ 0,00;R$ 0,00;R$ 7,82;1;0;1
6;7;6686;10511;MARQUESPAN ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;EM ABERTO;SELL-OUT;11637;3,9;24/03/2026;07/05/2026;;;;R$ 11,70;R$ 11,70;R$ 11,70;R$ 0,00;R$ 0,00;R$ 11,70;1;0;1
7;7;6686;10511;MARQUESPAN ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;EM ABERTO;SELL-OUT;11637;5,642;24/03/2026;07/05/2026;;;;R$ 16,93;R$ 16,93;R$ 16,93;R$ 0,00;R$ 0,00;R$ 16,93;1;0;1
8;7;6686;10511;MARQUESPAN ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;EM ABERTO;SELL-OUT;11637;5,96;24/03/2026;07/05/2026;;;;R$ 17,88;R$ 17,88;R$ 17,88;R$ 0,00;R$ 0,00;R$ 17,88;1;0;1
11;7;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;11596;4,086;29/03/2026;;24/07/2026;;;R$ 10,22;R$ 0,00;R$ 0,00;R$ 10,22;R$ 0,01;R$ 10,22;1;1;0
12;7;6686;10511;MARQUESPAN ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;EM ABERTO;SELL-OUT;11637;8,468;24/03/2026;07/05/2026;;;;R$ 25,40;R$ 25,40;R$ 25,40;R$ 0,00;R$ 0,00;R$ 25,40;1;0;1
13;7;6686;10511;MARQUESPAN ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;EM ABERTO;SELL-OUT;11637;3,778;24/03/2026;07/05/2026;;;;R$ 11,33;R$ 11,33;R$ 11,33;R$ 0,00;R$ 0,00;R$ 11,33;1;0;1
14;7;6686;10511;MARQUESPAN ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;EM ABERTO;SELL-OUT;10735;6,635;24/03/2026;07/05/2026;;;;R$ 19,91;R$ 19,91;R$ 19,91;R$ 0,00;R$ 0,01;R$ 19,91;1;0;1
16;7;6167;12167;BRF S.A;ACORDO REF. PEDIDO: 16/39111/L;19/03/2026;SANDRO;CONCLUIDO;EM ABERTO;SELL-IN;;;;;;6366387, 6368251, 6376911, 6376912, 6376913, 6386938;39111;R$ 3.600,02;R$ 3.600,02;R$ 0,00;R$ 0,00;R$ 3.600,02;R$ 0,00;0;0;0
17;7;6686;10511;MARQUESPAN ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;EM ABERTO;SELL-OUT;10735;7,13;24/03/2026;07/05/2026;;;;R$ 21,39;R$ 21,39;R$ 21,39;R$ 0,00;R$ 0,00;R$ 21,39;1;0;1
18;7;6686;10511;MARQUESPAN ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;EM ABERTO;SELL-OUT;10735;18,476;24/03/2026;07/05/2026;;;;R$ 55,43;R$ 55,43;R$ 55,43;R$ 0,00;R$ 0,00;R$ 55,43;1;0;1
2;8;4406;16963;GERMANI ALIMENTOS LTDA;Sell Out;21/02/2026;WERTER;EM ANDAMENTO;EM ABERTO;VERBA EXTRA;;;;20/03/2026;;;;R$ 4.950,40;R$ 4.950,40;R$ 4.950,40;R$ 0,00;R$ 0,00;R$ 0,00;1;0;1
4;8;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;10496;2,4;29/03/2026;;24/07/2026;;;R$ 6,00;R$ 0,00;R$ 0,00;R$ 6,00;R$ 0,00;R$ 6,00;1;1;0
5;8;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;10496;2,246;29/03/2026;;24/07/2026;;;R$ 5,62;R$ 0,00;R$ 0,00;R$ 5,62;R$ 0,01;R$ 5,62;1;1;0
6;8;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;10496;7,94;29/03/2026;;24/07/2026;;;R$ 19,85;R$ 0,00;R$ 0,00;R$ 19,85;R$ 0,00;R$ 19,85;1;1;0
7;8;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;10496;5,724;29/03/2026;;24/07/2026;;;R$ 14,31;R$ 0,00;R$ 0,00;R$ 14,31;R$ 0,00;R$ 14,31;1;1;0
8;8;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;10496;2,593;29/03/2026;;24/07/2026;;;R$ 6,48;R$ 0,00;R$ 0,00;R$ 6,48;R$ 0,00;R$ 6,48;1;1;0
11;8;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;11705;13,214;29/03/2026;;24/07/2026;;;R$ 33,04;R$ 0,00;R$ 0,00;R$ 33,04;R$ 0,01;R$ 33,04;1;1;0
12;8;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;10496;7,556;29/03/2026;;24/07/2026;;;R$ 18,89;R$ 0,00;R$ 0,00;R$ 18,89;R$ 0,00;R$ 18,89;1;1;0
13;8;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;10496;2,486;29/03/2026;;25/05/2026;;;R$ 6,22;R$ 0,00;R$ 0,00;R$ 6,22;R$ 0,01;R$ 6,22;1;1;0
14;8;6686;10511;MARQUESPAN ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;EM ABERTO;SELL-OUT;11637;2,776;24/03/2026;07/05/2026;;;;R$ 8,33;R$ 8,33;R$ 8,33;R$ 0,00;R$ 0,00;R$ 8,33;1;0;1
16;8;6186;12167;BRF S.A;bonificaçao;19/03/2026;SANDRO;CONCLUIDO;QUITADO;VERBA EXTRA;;;;;03/07/2026;;;R$ 49.380,00;R$ 0,00;R$ 0,00;R$ 49.380,00;R$ 0,00;R$ 0,00;1;1;0
17;8;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;11705;2,832;29/03/2026;;25/05/2026;;;R$ 7,08;R$ 0,00;R$ 0,00;R$ 7,08;R$ 0,00;R$ 7,08;1;1;0
18;8;6686;10511;MARQUESPAN ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;EM ABERTO;SELL-OUT;11637;6,994;24/03/2026;07/05/2026;;;;R$ 20,98;R$ 20,98;R$ 20,98;R$ 0,00;R$ 0,00;R$ 20,98;1;0;1
2;9;4426;12257;PARATI IND.COM.DE ALIMENTOS LTDA;Sell Out;21/02/2026;WERTER;CONCLUIDO;QUITADO;VERBA EXTRA;;;;;04/03/2026;;;R$ 1.206,00;R$ 0,00;R$ 0,00;R$ 1.206,00;R$ 0,00;R$ 0,00;1;1;0
3;9;4446;16491;JBS S A;ACORDO REF. PEDIDO: 3/26187/C;23/02/2026;LAURINDO;EM ANDAMENTO;EM ABERTO;SELL-IN;;;;;;420403;26187;R$ 1.201,45;R$ 1.201,45;R$ 0,00;R$ 0,00;R$ 1.201,45;R$ 0,00;0;0;0
4;9;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;11596;11,174;29/03/2026;;24/07/2026;;;R$ 27,94;R$ 0,00;R$ 0,00;R$ 27,94;R$ 0,01;R$ 27,94;1;1;0
5;9;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;11596;9,942;29/03/2026;;24/07/2026;;;R$ 24,86;R$ 0,00;R$ 0,00;R$ 24,86;R$ 0,01;R$ 24,86;1;1;0
6;9;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;11596;10,972;29/03/2026;;24/07/2026;;;R$ 27,43;R$ 0,00;R$ 0,00;R$ 27,43;R$ 0,00;R$ 27,43;1;1;0
7;9;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;11596;6,176;29/03/2026;;24/07/2026;;;R$ 15,44;R$ 0,00;R$ 0,00;R$ 15,44;R$ 0,00;R$ 15,44;1;1;0
8;9;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;11596;5,011;29/03/2026;;24/07/2026;;;R$ 12,53;R$ 0,00;R$ 0,00;R$ 12,53;R$ 0,00;R$ 12,53;1;1;0
11;9;7006;16491;JBS S A;ACORDO REF. PEDIDO: 11/53533/L;18/04/2026;LAURINDO;EM ANDAMENTO;EM ABERTO;SELL-IN;;;;23/05/2026;;422226;53533;R$ 739,39;R$ 739,39;R$ 739,39;R$ 0,00;R$ 0,00;R$ 0,00;1;0;1
12;9;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;11596;21,394;29/03/2026;;25/05/2026;;;R$ 53,49;R$ 0,00;R$ 0,00;R$ 53,49;R$ 0,01;R$ 53,49;1;1;0
13;9;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;11596;5,224;29/03/2026;;25/05/2026;;;R$ 13,06;R$ 0,00;R$ 0,00;R$ 13,06;R$ 0,00;R$ 13,06;1;1;0
14;9;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;10496;1,36;29/03/2026;;25/05/2026;;;R$ 3,40;R$ 0,00;R$ 0,00;R$ 3,40;R$ 0,00;R$ 3,40;1;1;0
16;9;6246;19510;ITALIA COMERCIO E DISTRIBUIDORA LTDA;bonificaçao;21/03/2026;SANDRO;CONCLUIDO;EM ABERTO;SELL-OUT;13126;10632;25/05/2026;22/04/2026;;;;R$ 1.000,00;R$ 1.000,00;R$ 1.000,00;R$ 0,00;R$ 432,28;R$ 567,72;1;0;1
17;9;7006;16491;JBS S A;ACORDO REF. PEDIDO: 17/53538/L;18/04/2026;LAURINDO;EM ANDAMENTO;EM ABERTO;SELL-IN;;;;23/05/2026;;422236;53538;R$ 415,19;R$ 415,19;R$ 415,19;R$ 0,00;R$ 0,00;R$ 0,00;1;0;1
18;9;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;10496;1,994;29/03/2026;;25/05/2026;;;R$ 4,99;R$ 0,00;R$ 0,00;R$ 4,99;R$ 0,01;R$ 4,99;1;1;0
900;9;341;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;Mesa;02/02/2026;WERTER;EM ANDAMENTO;PARCIALMENTE QUITADO;VERBA EXTRA;;;;30/07/2026;;;;R$ 3.000,00;R$ 49,01;R$ 49,01;R$ 2.950,99;R$ 0,00;R$ 0,00;1;0;1
2;10;4446;16491;JBS S A;ACORDO REF. PEDIDO: 2/26186/M;23/02/2026;LAURINDO;CANCELADO;CANCELADO;SELL-IN;;;;;;;26186;R$ 845,08;R$ 845,08;R$ 0,00;R$ 0,00;R$ 845,08;R$ 0,00;0;0;0
4;10;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;11705;6,322;29/03/2026;;24/07/2026;;;R$ 15,81;R$ 0,00;R$ 0,00;R$ 15,81;R$ 0,01;R$ 15,81;1;1;0
5;10;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;11705;2,322;29/03/2026;;24/07/2026;;;R$ 5,81;R$ 0,00;R$ 0,00;R$ 5,81;R$ 0,01;R$ 5,81;1;1;0
6;10;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;11705;7,142;29/03/2026;;24/07/2026;;;R$ 17,86;R$ 0,00;R$ 0,00;R$ 17,86;R$ 0,01;R$ 17,86;1;1;0
