CODIGO_EMPRESA;NUMERO_ACORDO;NUMERO_PROCESSO;CODIGO_FORNECEDOR;FORNECEDOR;DESCRICAO_ACORDO;DATA_EMISSAO;COMPRADOR;STATUS_ACORDO;SITUACAO_FINANCEIRA;TIPO_ACORDO;CODIGO_PRODUTO;QTD_UTILIZADA_VERBA;DATA_FINAL_VERBA;PROXIMO_VENCIMENTO;ULTIMO_RECEBIMENTO;NUMERO_NF;NUMERO_PEDIDO_SUPRIMENTO;VALOR_ACORDO;VLR_EM_ABERTO;VLR_FIN_VENCIDO;VLR_JA_QUITADO;VALOR_SALDO_ACORDO;VALOR_UTILIZADO_PRODUTO;TOTAL_PARCELAS;PARCELAS_PAGAS;PARCELAS_PENDENTES
900;19;561;8430;WAC IMPORTACAO E EXPORTACAO LTDA;CAMAROTE GOLD 2026;06/02/2026;NUJUD;CONCLUIDO;PARCIALMENTE QUITADO;VERBA EXTRA;;;;04/06/2026;15/08/2026;;;R$ 1.500,00;R$ 524,83;R$ 250,00;R$ 975,17;R$ 0,00;R$ 0,00;6;3;3
2;20;6407;15134;NESTLE BRASIL LTDA;SELL IN;27/03/2026;WERTER;CONCLUIDO;QUITADO;VERBA EXTRA;;;;;03/06/2026;;;R$ 83.520,00;R$ 0,00;R$ 0,00;R$ 83.520,00;R$ 0,00;R$ 0,00;1;1;0
3;20;6687;16491;JBS S A;ACORDO RF.VERBA SEM ACORDO 07/04/2026;07/04/2026;LAURINDO;CONCLUIDO;QUITADO;SELL-OUT;10496;17,456;29/03/2026;;24/07/2026;;;R$ 43,64;R$ 0,00;R$ 0,00;R$ 43,64;R$ 0,00;R$ 43,64;1;1;0
4;20;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;6871;1;12/07/2026;03/09/2026;;;;R$ 1,00;R$ 1,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1,00;1;0;1
5;20;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;8639;1;12/07/2026;03/09/2026;;;;R$ 2,40;R$ 2,40;R$ 0,00;R$ 0,00;R$ 1,20;R$ 1,20;1;0;1
5;20;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;8640;1;12/07/2026;03/09/2026;;;;R$ 2,40;R$ 2,40;R$ 0,00;R$ 0,00;R$ 1,20;R$ 1,20;1;0;1
6;20;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;4119;6;12/07/2026;03/09/2026;;;;R$ 3,50;R$ 3,50;R$ 0,00;R$ 0,00;R$ 0,50;R$ 3,00;1;0;1
6;20;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;4120;1;12/07/2026;03/09/2026;;;;R$ 3,50;R$ 3,50;R$ 0,00;R$ 0,00;R$ 3,00;R$ 0,50;1;0;1
7;20;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;36116;2;12/07/2026;03/09/2026;;;;R$ 3,00;R$ 3,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3,00;1;0;1
8;20;9806;15318;PODAL IND E COM DE ALIMENTOS LTDA;ACORDO RF.VERBA SEM ACORDO 30/07/2026;30/07/2026;BATISTA;CONCLUIDO;EM ABERTO;SELL-OUT;8639;2;12/07/2026;03/09/2026;;;;R$ 2,40;R$ 2,40;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2,40;1;0;1
