SEQPRODUTO;SEQFAMILIA;COMPLEMENTO;DESCCOMPLETA;DESCREDUZIDA;REFFABRICANTE;ESPECIFICDETALHADA;DESCCOMPOSICAO;PZOVALIDADEDIA;INDPROCFABRICACAO;QTDFABRICADALOTE;SEQPRODUTOBASE;PERCACRESPRECO;INDPRECOZEROBALANCA;FATORCONVERSAO;SEQPRODUTOINSUMO;DTAHORINCLUSAO;USUARIOINCLUSAO;DTAHORALTERACAO;USUARIOALTERACAO;INDREPLICACAO;INDGEROUREPLICACAO;PZOVALIDADEMES;NROREGMINSAUDE;CODPRODFISCAL;DESCGENERICA;PROPQTDPRODUTOBASE;NRODIASADVERRECBTO;PERCALTPRECRELAC;NROITEMFIXO;GERALIVROCPROD;INDUSANFDESPESA;SEQBULARIO;SEQPRODUTOTMP;INDEMITECODPRODFISCALNFE;PERCDIASADVERRECBTO;CODIGOANP;CODIGOIF;INDINTEGRAECOMMERCE;QTDLIMITEPROMOCECOMMERCE;YOUTUBECODEECOMMERCE;DATAHORINTEGRACAOECOMMERCE;INDRES3166;DTAHORALTERACARGAPDV;IMPDATAVALIDADEBALANC;IMPDATAEMBBALANC;SEQINFNUTRICPROD;INDREPLICAINFOFORNEC;TITULOECOMMERCE;DESCECOMMERCE;PALAVRACHAVEECOMMERCE;URLECOMMERCE;PERCGASNATURAL;INDPARTCOTATAC;PERCACRESCCUSTORELAC;PERCACRESCCUSTORELACVIG;INDEMITEETQHORT;QTDMULTIPLOVDAECOMMERCE;INDCONTROLATEMPERATURA;PERSIMILIARECOMMERCE;DATAHORINTEGRACAOECOMMERCEESTQ;PZOVALIDLOTE;SEQPRODRELACLOTE;ALIQADJUD;INDCALCFLEXPOSITIVO;SEQPRODUTOSECUNDARIO;CENTROCUSTOPROD;SEQPRODUTOBASEANTIGO;INDCALCCOMISINDICEMGM;SEQPRODUTOEMBALAGEM;CODIMAGEM;INDACTFAIXATOLERANCIACARGAREC;INDCADASTROATIVO;PZOVALIDADENATIMORTO;PROPQTDPERDAAUTO;DESCRICAOANP;PZOVALIDADEDIASAIDA;INDGERARESSARCICMSSTPRODINSUMO;PERCGASNATURALNACIONAL;PERCGASNATURALIMPORTADO;VLRPARTIDAGLP;NRODIASVALPRODRESFRIADO;NRODIASVALPRODABERTO;TEMPIDEALMIN;TEMPIDEALMAX;DESCENCARTE;NOMEPRODUTOECOMM;MOTIVOISENCAOMINSAUDE;OBSENCARTE;INDESCRITURAPRODUTOBASE;SEQPRODUTOIMPORTACAOERP;URLECOMMALTERNATIVA;INDPRODTRIBUTMONOICMS;PERCALIQADREM;PERCINDMISTBIODIESEL;NRODIASADVERMAXRECBTO;NROBASEEXPORTACAOERP
3674;2686;CARNES;TEMP MAGGI TEMPERO E SABOR 50G CARNES;TEMP MAGGI TEMP SAB 50G;12600503;;;0;S;;;;N;;;2024-12-30-16.16.23.000000;MYGOMES;2026-08-24-19.58.00.000000;ALSOARES;S;;;;3674;TEMP MAGGI TEMPERO E SABOR 50G CARNES;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
3675;2686;AVES;TEMP MAGGI TEMPERO E SABOR 50G AVES;TEMP MAGGI TEMP SAB 50G;12600497;;;0;S;;;;N;;;2024-12-30-16.26.01.000000;MYGOMES;2026-07-29-18.06.31.000000;ALSOARES;S;;;;3675;TEMP MAGGI TEMPERO E SABOR 50G AVES;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
3678;2687;;LEITE COND TIROL TP 395G;LEITE COND TIROL TP 395G;;;;;S;;;;N;;;2024-12-30-16.42.25.000000;JORSALDA;2026-07-06-14.56.51.000000;CVELOSO;S;;;;3678;LEITE COND TIROL TP 395G;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
3680;2690;;LEITE COND TRIANGULO TP 395G;LEITE COND TRIANGULO TP;;;;0;S;;;;N;;;2024-12-31-08.41.37.000000;JORSALDA;2026-08-24-19.58.53.000000;ALSOARES;S;;;;3680;LEITE COND TRIANGULO TP 395G;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
3682;2692;;MIST LACTEA COND TRIANGULO TP 395G;MIST LACTEA COND TRIANGU;12071;;;0;S;;;;N;;;2024-12-31-08.51.02.000000;JORSALDA;2026-08-24-19.59.14.000000;ALSOARES;S;;;;3682;MIST LACTEA COND TRIANGULO TP 395G;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
3683;2691;ALHO SAL;TEMP ODERICH 300G ALHO SAL;TEMP ODERICH 300G ALHO S;;;;0;S;;;;N;;;2024-12-31-08.57.39.000000;MYGOMES;2026-08-24-19.59.27.000000;ALSOARES;S;;;;3683;TEMP ODERICH 300G ALHO SAL;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
3685;2693;;MIST LACTEA COND ITALAC TP 395G;MIST LACTEA COND ITALAC;;;;0;S;;;;N;;;2024-12-31-09.10.10.000000;JORSALDA;2026-08-24-19.59.40.000000;ALSOARES;S;;;;3685;MIST LACTEA COND ITALAC TP 395G;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
3687;2696;LEGUMES;TEMP TEMPERAPTI 50G LEGUMES;TEMP TEMPERAPTI 50G LEGU;041447;;;0;S;;;;N;;;2024-12-31-09.19.07.000000;MYGOMES;2026-03-13-09.24.03.000000;ANDRESSA;S;;;;3687;TEMP TEMPERAPTI 50G LEGUMES;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
3689;2696;CARNES;TEMP TEMPERAPTI 50G CARNES;TEMP TEMPERAPTI 50G CARN;041445;;;0;S;;;;N;;;2024-12-31-09.24.50.000000;MYGOMES;2026-03-13-09.22.15.000000;ANDRESSA;S;;;;3689;TEMP TEMPERAPTI 50G CARNES;;;;;;;;;N;;;;;;;;;2024-12-31-09.25.45.000000;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;0
3694;2701;C LOURO;TEMP COMPLETO EXTREMO SABOR 230G C LOURO;TEMP COMP EXT SAB 230G L;584;;;;S;;;;N;;;2024-12-31-09.53.11.000000;MYGOMES;2025-09-10-09.12.00.000000;MYGOMES;S;;;;3694;TEMP COMPLETO EXTREMO SABOR 230G C LOURO;;;;;;;;;N;;;;;;;;;;N;N;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N;;;;;;;
