CODIGO_PRODUTO;DESCRICAO_PRODUTO;QTD_INCINERADA;CODIGO_FORNECEDOR;FORNECEDOR
5696;DETERG YPE 500ML MACA;27;4434;QUIMICA AMPARO LTDA.
50;AGUA MIN DA PEDRA PET 5L S GAS;27;6424;BEBIDAS FRUKI LTDA
295;CERV STELLA ARTOIS LN 330ML PURE GOLD;27;9638;CRBS AS CDD PELOTAS
1110;BISC CREAM CRACKER BAUDUCCO 165G TRAD;27;15497;PANDURATA ALIMENTOS LTDA
2181;CAPSULA 3C 90G C 10 CAFE C LEITE;27;8702;CAFE TRES CORACOES S.A
1616;BISC SALG CLUB SOCIAL 288G ORIGINAL;27;13838;TOPFLEX DISTRIBUIDOR DE ALIMENTOS
18094;ESM IMPALA CREM CAFE CAFE;27;16877;UNIDASUL DISTRIBUIDORA ALIMENTICIAS E A
33905;MAIONESE HELLMANNS SUPREME 230G SMALL;27;17017;ZAFFALON E CIA LTDA
1369;CHOC STICK 25G OURO BCO;26;13838;TOPFLEX DISTRIBUIDOR DE ALIMENTOS
1149;BALA FORTGURT MIX 250G;26;14838;TOFFANO PRODUTOS ALIMENTICIOS LTDA
2468;SARDINHA COQUEIRO 125G OLEO;26;15318;PODAL IND E COM DE ALIMENTOS LTDA
2596;MOLHO TOM POMAROLA SH 300G TRAD;26;15139;CARGIL AGRICOLA S A GOIANI
542;GATORADE 500ML MARACUJA;26;9638;CRBS AS CDD PELOTAS
140;CERV SPATEN ONE WAY GF 600ML;26;9638;CRBS AS CDD PELOTAS
981;OLEO SOJA SOYA PET 900ML;26;7086;BUNGE ALIMENTOS S/A
1737;DOCE N BONN 1 01KG SORVETE;26;3818;ALIMENTOS N BONN LTDA
3300;CHA REAL MULTIERVAS 15G ANIS;26;6364;MOINHOS UNIDOS BRASIL MATE S.A
17340;DET LIQ BIO KRISS 500ML CLEAR;26;21220;SENIR EMBALAGENS LTDA
5486;DESINF VIM 700ML CLORO GEL ADITIV ORIGINAL;26;17017;ZAFFALON E CIA LTDA
2799;FAROFA MANDIOCA YOKI 400G TRADICIONAL;26;3528;FABIANO ZAFFALON E CIA.
