SEQFAMILIA;SEQFORNECEDOR;PRINCIPAL;INDREPLICACAO;INDGEROUREPLICACAO;NROSEGFORNEC;INDINDENIZAVARIA;TIPFORNECEDORFAM;PADRAOEMBCOMPRAFORNEC;CALCDESCSUFRAMAPISCOFINS;INDCONTROLAFLEX;INDMEDIDAMETADISTRIB;NROBASEEXPORTACAO;EMBPADRAOIMPXML;USUARIOALTERACAO;INDBUSCANFAUTODEVFORNEC;FATORCONVEMBXML;INDCONTROLAPRINC;INDCOBRAIPIRECEB;DATAHORAALTERACAO;INDCONSIDTIPFORNCGO;NROBASEEXPORTACAOERP
16421;3989;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
16422;3989;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
16433;3527;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
16455;3989;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
25402;4489;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.43.000000;;
16524;10190;S;S;;;;;;S;;;5094209;;AD_AJUSTE;;;;;2025-12-08-10.25.39.000000;;
16576;13115;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
16653;6757;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
16667;6757;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
16678;6757;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
25473;5595;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.43.000000;;
16767;8309;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
16863;8309;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
16941;9973;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
17002;9973;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
17037;8309;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
17062;8309;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
25542;9973;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.43.000000;;
17183;8309;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
17214;9973;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
17228;9973;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
17263;8309;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
17322;14334;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
17338;12692;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
17357;16099;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
17511;13229;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
25743;6424;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.43.000000;;
17659;16670;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
17797;9973;S;S;;;;;;S;;;4934616;;AD_AJUSTE;;;;;2025-10-03-16.54.41.000000;;
