OWNER;TABLE_NAME;COLUMN_NAME;DATA_TYPE;DATA_LENGTH
CONSINCO;MACV_GERCOMPRAITEMAGRUP;INDQTDDTARECEBDIFITEM;VARCHAR2;1
CONSINCO;MACV_GERCOMPRAITEMAGRUP;NROPEDIDOORIGEMMACX;NUMBER;22
CONSINCO;MACV_GERCOMPRAITEMAGRUP;PERRECEBTO;NUMBER;22
CONSINCO;MACV_GERCOMPRAITEMAGRUP;PROXDTARECEBTO;DATE;7
CONSINCO;MACV_GERCOMPRAITEMAGRUP;QTDRESERVADARECEB;NUMBER;22
CONSINCO;MACV_GERCOMPRAITEMAGRUP;TIPPEDIDOSUPRIM;VARCHAR2;1
CONSINCO;MACV_GERCOMPRAITEMAGRUP;USUGERPEDIDO;VARCHAR2;12
CONSINCO;MACV_GERCOMPRAITEMPED;DTALIMRECEBTO;DATE;7
CONSINCO;MACV_GERCOMPRAITEMPED;NROPEDIDO;NUMBER;22
CONSINCO;MACV_GERCOMPRAITEMREC;DTALIMITERECEBTO;DATE;7
CONSINCO;MACV_GERCOMPRAITEMREC;DTARECEBTO;DATE;7
CONSINCO;MACV_GERCOMPRAITEMREC;DTARECEBTOITEM;DATE;7
CONSINCO;MACV_GERCOMPRAITEMREC;ID_PEDIDOSUPRIM;ROWID;10
CONSINCO;MACV_GERCOMPRAITEMREC;NROPEDFORNECEDOR;VARCHAR2;10
CONSINCO;MACV_GERCOMPRAITEMREC;NROPEDFORNECEDORNUM;NUMBER;22
CONSINCO;MACV_GERCOMPRAITEMREC;NROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MACV_GERCOMPRAITEMREC;TIPPEDIDOSUPRIM;VARCHAR2;1
CONSINCO;MACV_GERCOMPRARECEBTOITEMPED;DTARECEBTO;DATE;7
CONSINCO;MACV_GERCOMPRATRANSF;INDQTDDTARECEBDIFITEM;VARCHAR2;1
CONSINCO;MACV_GERCOMPRATRANSF;USUGERPEDIDO;VARCHAR2;12
CONSINCO;MACV_LIMCOMPRACOMPDIVCATEGDIF;DTARECEBIMENTO;DATE;7
CONSINCO;MACV_LIMCOMPRACOMPDIVCATEGDIF;NROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MACV_LIMCOMPRACOMPDIVCATEGDIF;TOTALRECEBIDO;NUMBER;22
CONSINCO;MACV_LIMCOMPRACOMPDIVCATEGDIF;VLRPEDIDO;NUMBER;22
CONSINCO;MACV_LIMCOMPRACOMPEMPCATEGDIF;DTARECEBIMENTO;DATE;7
CONSINCO;MACV_LIMCOMPRACOMPEMPCATEGDIF;NROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MACV_LIMCOMPRACOMPEMPCATEGDIF;TOTALRECEBIDO;NUMBER;22
CONSINCO;MACV_LIMCOMPRACOMPEMPCATEGDIF;VLRPEDIDO;NUMBER;22
CONSINCO;MACV_MOB_LOTECOMPRA;ADVRECEBIMENTO;VARCHAR2;240
CONSINCO;MACV_MOB_LOTECOMPRA;DTALIMITERECEBTO;DATE;7
CONSINCO;MACV_MOB_LOTECOMPRAITEM;NROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MACV_MOB_PAINELBOX;NROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MACV_MOB_PEDIDOSTRANSF;NROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MACV_PEDIDOSTRANSITO;NROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MACV_PSITEMEXPEDIR;ADVRECEBIMENTO;VARCHAR2;240
CONSINCO;MACV_PSITEMEXPEDIR;DTALIMITERECEBTO;DATE;7
CONSINCO;MACV_PSITEMEXPEDIR;DTARECEBTO;DATE;7
CONSINCO;MACV_PSITEMEXPEDIR;ID_PEDIDOSUPRIM;ROWID;10
CONSINCO;MACV_PSITEMEXPEDIR;NROPEDFORNECEDOR;VARCHAR2;10
CONSINCO;MACV_PSITEMEXPEDIR;NROPEDFORNECEDORNUM;NUMBER;22
CONSINCO;MACV_PSITEMEXPEDIR;NROPEDIDOSUPRIM;NUMBER;22
CONSINCO;MACV_PSITEMEXPEDIR;SEQPSITEMEXPEDIDO;NUMBER;22
CONSINCO;MACV_PSITEMEXPEDIR;TIPPEDIDOSUPRIM;VARCHAR2;1
CONSINCO;MACV_PSITEMRECEBER;ADVRECEBIMENTO;VARCHAR2;240
CONSINCO;MACV_PSITEMRECEBER;ALTERAPCOVALIDRECEBTO;VARCHAR2;1
CONSINCO;MACV_PSITEMRECEBER;DTALIMITERECEBTO;DATE;7
CONSINCO;MACV_PSITEMRECEBER;DTAPRIMRECEBTO;DATE;7
