SEQFAMILIA;SEQMARCA;FAMILIA;PESAVEL;INDISENTOPIS;INDICEFORMBASEIPI;ALIQUOTAIPI;PMTDECIMAL;PMTMULTIPLICACAO;INDVASILHAME;SEQVASILHAME;ARQUIVOFIGURA;DTAHORINCLUSAO;USUARIOINCLUSAO;DTAHORALTERACAO;USUARIOALTERACAO;INDREPLICACAO;INDGEROUREPLICACAO;INDCALCIPISAIDA;PERBASEIPI;PERISENTOIPI;PEROUTROIPI;PERALIQUOTAIPI;VLRIPIPAUTA;INDTRIBPISCOFINS;INDCONTROLEVDA;INDGENERICO;INDPRECOMONITORADO;INDSTPISCOFINS;INDUSALOTEESTOQUE;INDISENTODEBPISCOFINS;INDCONFAZ;INDALIQZPISCOFINS;INDPERMCONVENIO;OBSEMERGENCIAL;CODTIPI;INDCOMPLVLRIMP;INDMONOPISCOFINS;TIPORECEITA;CODSERVICO;INDDIGCHECKOUT;CODSEFAZCOMBLUB;INDEXIGLICENCA;CODNBMSH;COMPCESTABASICA;PAPELIMUNE;INDUSAFIGURA;INDSIMILAR;INDRECEITA;INDRECEITACOR;SEQFAMILIATMP;SITUACAONFPIS;SITUACAONFCOFINS;INDISENTOSUFRAMA;PERBASEPIS;PERBASECOFINS;INDINCONSISTANVISA;NROBASEEXPORTACAO;NROEMPRESAABASTEC;ATUALIZNCMIPI;INDMEDICAMENTO;INDETICO;ALIQPADRAOICMS;CODNATREC;SITUACAONFPISSAI;SITUACAONFCOFINSSAI;INDISENTOTSA;SEQNATREC;INDACEITAVENDAFRAC;SEQCERTIFICADO;TEXTONFCOMPLEMCERTIF;ATUALIZANCMIMPIMPORT;PERIMPOSTOIMPORT;PERREDIMPOSTOIMPORT;PERREDBASEIPIENT;INDMEDCONTROLADO;LISTAMEDCONTROLADO;CODMEDCONTROLADO;SUBITEMCODSERVICO;INDBEBIDAALCOOLICA;CODISENTAGIARS;CODOUTRASGIARS;SEQINFCONSERVDOMEST;INDETIQUETAANTIFURTO;SITPISCOFINSSIMPLES;INDEXIGEREQUISICAO;SITUACAONFIPI;SITUACAONFIPISAI;NRODIAGARANTIA;INDTIPORECEITA;INDANTIMICROBIANO;DTAHORALTERACARGAPDV;INDUSOPROLONGADO;UNIDADEMEDIDAMED;INDFARMACIAPOPULAR;ALIQPADRAOICMSPROTEGE;INDESCRITOUTROSEI;QTDPARCELAETIQUETA;NRODIASGARANTIAFAB;TIPOMODALGARANTIA;CODPRODDACAL;CODNVE;DTAHORINCLUSAOMSGCONT;USUARIOINCLUSAOMSGCONT;LEITURAMSGCONT;SEQTIPOFAMILIA;SEQMARCAFAMILIA;SEQCOMPLEMENTOFAMILIA;SEQGRAMATURAFAMILIA;INDPERMSUSPPISCOFINS;INDEXIGELOTE;CLASSEENQUADRAMENTOIPI;CODIGOSELOIPI;CODIGOENQUADRAMENTOIPI;GIARSTIPO;GIARSCODIGO;GIARSESPECIFICACAO;LITROSTABIPIPISCOFINS;CODGIACREDITOPRESUMIDO;CODGIATRANSFERENCIA;CODGIARECEBIMENTO;CODGIAOUTROSCREDITOS;CODGIAOUTROSDEBITOS;QTDMAXTRANSFLOCAL;CODCEST;PERCADICPRECOSETOR;EXIGEDTAVENCCONF;INDFAMTIPOEMBALAGEM;NROCODDCB;DESCDCB;APRESENTCONC;CHECAPESO;INDCADASTROATIVO;CODNBMSHAPROVACAO;INDENVIAQTDMAXTRANSPNFE;QTDMAXPERMNFE;CODISENTAGIARSINTEREST;CODOUTRASGIARSINTEREST;TIPOCALCTCIF;PERREDTCIF;VLRLIMTCIF;INDIMEI;INDEMITERELCALCIPIEQUIPIND;NROSERVREINF;DESCENCARTE;TIPOEVENTO;TIPOREPASSE;DESCRICAORECURSO;INDMATERIALAPOIO;SITUACAONFPISAUX;SITUACAONFCOFINSAUX;SITUACAONFIPIAUX;ALIQUOTAIPIAUX;CODCESTAUX;CODNATRECAUX;DTAALTERAIMPOSTOFAM;PERTRIBUTADOINT;SITUACAONFPISSAIAUX;SITUACAONFCOFINSSAIAUX;SITUACAONFIPISAIAUX;SEQNATRECAUX;CODNBMSHAUX;OBSENCARTE;INDALTERAIMPOSTO;INDEXIGEMAPA;SEQFAMILIAIMPORTACAOERP;INDUSAPESODRENADO;INDPERMITELERPESOPDV;TIPOCADASTRO;CODTIPMERCADORIA;INDDEDUZICMSDESONERADO;NROBASEEXPORTACAOERP;INDCONFIGTRIBUFDEVFORN;CODDIRBI
277;43;VH BELTRAME BORDO SC PET 1 9L;N;;100;6,5;N;S;N;;;2024-09-26-16.15.20.000000;LUSENA;2025-07-21-09.31.26.000000;DAVIDS.ETC;S;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;22042100;;;;N;N;;;50;50;;;;;5411345;;;;;;;01;01;;;;;;;0;;;;;;;S;;;;;N;;;;;;;2024-09-26-16.15.20.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;202400;;;;;;;S;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;N;S;M;;C;0;;
279;43;VH BELTRAME TINTO PET 1 9L;N;;100;6,5;N;S;N;;;2024-09-26-16.38.35.000000;LUSENA;2025-07-21-09.31.27.000000;DAVIDS.ETC;S;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;22042100;;;;N;N;;;50;50;;;;;5411345;;;;;;;01;01;;;;;;;0;;;;;;;S;;;;;N;;;;;;;2024-09-26-16.38.35.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;202400;;;;;;;S;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;N;S;M;;C;0;;
172;13;AGUA TONICA FRUKI PET 1 5L;N;;100;1,95;N;S;N;;;2024-09-18-10.40.50.000000;CARIOS;2026-06-11-15.13.26.000000;JOB_ETCCOM;S;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;22021000;;;;N;N;;;70;70;;;;;5613005;;;;;;918;06;06;;530;;;;;0;;;;;;;;;408;;;N;;;;;;;2024-09-18-10.40.50.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;301100;;;;;;;S;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;N;N;M;;C;0;;
187;9;AGUA MIN DA PEDRA LT 350ML;N;;100;1,95;N;S;N;;;2024-09-19-17.38.50.000000;CARIOS;2026-06-11-10.37.20.000000;JOB_ETCCOM;S;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;22021000;;;;N;N;;;73;73;;;;;5613005;;;;;;918;06;06;;530;;;;;0;;;;;;;;;408;;;N;;;;;;;2026-06-11-10.35.11.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;300700;;;;;;;S;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;N;N;M;;C;0;;
288;21;VH CANCAO BCO 750ML;N;;100;6,5;N;S;N;;;2024-09-27-14.27.55.000000;LUSENA;2025-07-16-09.08.33.000000;DAVIDS.ETC;S;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;22042100;;;;N;N;;;50;50;;;;;5411345;;;;;;;01;01;;;;;;;0;;;;;;;S;;;;;N;;;;;;;2024-09-27-14.27.55.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;202400;;;;;;;S;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;N;S;M;;C;0;;
289;21;VH CANCAO ROSADO SV 750ML;N;;100;6,5;N;S;N;;;2024-09-27-14.46.27.000000;LUSENA;2025-07-16-09.08.35.000000;DAVIDS.ETC;S;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;22042100;;;;N;N;;;50;50;;;;;5411345;;;;;;;01;01;;;;;;;0;;;;;;;S;;;;;N;;;;;;;2024-09-27-14.46.27.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;202400;;;;;;;S;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;N;S;M;;C;0;;
336;61;VH MARCUS JAMES CABERNET 750ML;N;;100;6,5;N;S;N;;;2024-10-01-08.21.10.000000;LUSENA;2025-07-16-09.09.18.000000;DAVIDS.ETC;S;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;22042100;;;;N;N;;;50;50;;;;;5411345;;;;;;;01;01;;;;;;;0;;;;;;;S;;;;;N;;;;;;;2024-10-01-08.21.10.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;202400;;;;;;;S;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;N;S;M;;C;0;;
339;62;VH NOVECENTO 750ML;N;;100;6,5;N;S;N;;;2024-10-01-09.23.47.000000;LUSENA;2026-01-28-15.38.13.000000;CVELOSO;S;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;22042100;;;;N;N;;;50;50;;;;;5411345;;;;;;;01;01;;;;;;;0;;;;;;;S;;;;;N;;;;;;;2024-10-01-09.23.47.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;202400;;;;;;;S;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;N;N;M;;C;0;;
340;63;VH QUINTA CARVALHO BCO 750ML;N;;100;6,5;N;S;N;;;2024-10-01-09.43.08.000000;LUSENA;2025-07-21-09.31.50.000000;DAVIDS.ETC;S;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;22042100;;;;N;N;;;50;50;;;;;5411345;;;;;;;01;01;;;;;;;0;;;;;;;S;;;;;N;;;;;;;2024-10-01-09.43.08.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;202400;;;;;;;S;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;N;S;M;;C;0;;
431;91;ICE KISLLA GIN LIMAO LN 275ML;N;;100;6,5;N;S;N;;;2024-10-08-08.34.45.000000;CARIOS;2026-05-15-10.03.13.000000;JOB_ETCCOM;S;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;22060090;;;;N;N;;;50;50;;;;;5613005;;;;;;;01;01;;;;;;;0;;;;;;;S;;440;;;N;;;;;;;2026-05-15-10.01.36.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;202300;;;;;;;S;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;N;N;M;;C;0;;
