CODIGO_PRODUTO;DESCRICAO_PRODUTO;ESTOQUE_ATUAL_CD;QTD_PEDIDOS;VEZES_ATENDIDO_TOTAL;VEZES_ATENDIDO_PARCIAL;VEZES_CORTADO_CANCELADO;VEZES_EM_TRANSITO;VEZES_EM_SEPARACAO;VEZES_NAO_ATENDIDO;QTD_NFS_EMITIDAS;TOTAL_QTD_SOLICITADA;TOTAL_QTD_EXPEDIDA;ULTIMA_EXPEDICAO
910;REFRIG SUKITA LT 350 ML;0;54;16;0;36;0;2;0;16;828;204;01/08/2026
23001;SAB FONTANA SENSUS 150G FOR MEN;0;42;5;0;36;0;1;0;5;3456;432;30/07/2026
7860;SABAO PO SURF 800G LAVANDA;442;66;25;3;36;0;2;0;28;1600;928;03/08/2026
7926;SABONETE LUX 85G FLOR DE VERBENA;0;37;1;0;36;0;0;0;1;3996;108;25/07/2026
3750;TEMP COMPLETO ARISCO 300G S PIMENTA;0;46;6;0;36;0;4;0;6;1248;240;03/08/2026
12396;AMACIANTE AQUAFAST 5L ENER;0;47;11;0;35;0;1;0;11;208;52;30/07/2026
2104;ARROZ BCO PRATO FINO T1 2K;5;46;6;0;35;0;5;0;6;280;80;03/08/2026
3400;BARRA CEREAL RITTER 25G BAN AVEIA MEL;0;35;0;0;35;0;0;0;0;1032;0;21/07/2026
2071;CAFE SOL 3C LT 300G C LEITE;0;48;11;1;35;0;1;0;12;708;192;23/07/2026
15186;CAFE SOL NESCAFE ORIG SH L40P36G;311;43;5;3;35;0;0;0;8;2376;312;31/07/2026
2139;CAFE SOL NESCAFE VD 160G TRADICAO FORTE;2736;55;20;0;35;0;0;0;20;2304;1728;01/08/2026
191;CERV PROVINCIA MALZBIER LT 473ML;0;35;0;0;35;0;0;0;0;1908;0;20/07/2026
15640;COND DARLING 350ML DETOX;0;36;0;0;35;0;1;0;0;222;0;03/08/2026
484;ENERG BALY LT 250ML TRADICIONAL;30;40;0;0;35;0;5;0;0;1290;0;03/08/2026
439;ENERG BALY PET 2L TRADICIONAL SA;0;35;0;0;35;0;0;0;0;234;0;27/07/2026
2688;FARINHA MILHO SAUDAVEL 1KG MEDIA;1410;70;32;0;35;0;3;0;32;3000;1440;03/08/2026
37075;FARINHA TAPIOCA DINDA 400G TRAD;0;35;0;0;35;0;0;0;0;960;0;27/07/2026
36996;FARINHA TAPIOCA ROCHA 500G TRAD;20;42;5;1;35;0;1;0;6;1060;180;01/08/2026
20161;LIMP VIDROS ZAVASKI AP 500ML;0;39;1;1;35;0;2;0;2;540;24;03/08/2026
10474;LIMP YPE PERFUMADO 500ML AZUL TROPICAL;0;44;9;0;35;0;0;0;9;1104;216;03/08/2026
2406;OVO CODORNA CONS PETRY SH 130G;24;46;9;0;35;0;2;0;9;648;204;03/08/2026
852;REFRIG FANTA LARANJA PET 600ML;180;137;80;5;35;1;16;0;86;3144;1950;03/08/2026
33649;SAB LIQ MADE IN BRAZIL 1L CEREJA;0;41;0;0;35;0;6;0;0;492;0;03/08/2026
7833;SABAO PO GIRANDO SOL 800G ROSA;0;45;10;0;35;0;0;0;10;1225;350;01/08/2026
10024;TCO POLVILHO ANT GRANADO 100G FRESH;0;35;0;0;35;0;0;0;0;516;0;22/07/2026
37900;TIT COR E TON S AMONIA 6 7 CHOC;0;40;5;0;35;0;0;0;5;240;30;27/07/2026
15180;CAFE SOL NESCAFE MATINAL SH L40P36G;0;35;0;0;34;0;1;0;0;864;0;22/07/2026
1983;CAPPUCCINO PRONTO 3C 260ML CLASSIC;24;46;12;0;34;0;0;0;12;348;96;30/07/2026
336;CHA ICE TEA LEAO PET 1 5L LIMAO;0;34;0;0;34;0;0;0;0;204;0;23/07/2026
2186;CHA PRENDA GOLD 15G CAMOMILA;-60;45;10;0;34;0;1;0;10;1130;340;28/07/2026
9287;DESINF YPE BAK 500ML EUCALIPTO BAK;72;38;3;0;34;0;1;0;3;480;36;03/08/2026
6909;LIMP PERF YPE 500ML JARDIM SECRETO;0;34;0;0;34;0;0;0;0;1440;0;24/07/2026
3096;LINHACA DOURADA CERELUS 250G;12;39;4;0;34;0;1;0;4;468;48;03/08/2026
2938;MOLHO PIMENTA TRISANTI 225G DEDO MOCA C ALH;0;42;7;1;34;0;0;0;8;276;54;29/07/2026
1713;PIPOCA DOCE KEVYTOS 50G;662;66;29;0;34;0;3;0;29;1700;710;03/08/2026
758;REFRIG SPRITE PET 1 5L FRESH LIMAO;0;34;0;0;34;0;0;0;0;204;0;28/07/2026
814;REFRIGC COLA FRUKI PET 2 L COLA ZERO;0;34;0;0;34;0;0;0;0;378;0;29/07/2026
23022;SAB LIQ BELEZA AMAZONIA 370ML FLORES CAMPO;180;40;5;1;34;0;0;0;6;648;109;29/07/2026
10196;SAB SENSUS BEAUTY ESSENCE 80G FOR MEN;2052;39;5;0;34;0;0;0;5;5076;756;28/07/2026
7949;SABON PALMOLIVE NATURALS 150G OLEO NUTRITIVO;0;35;0;0;34;0;1;0;0;2736;0;30/07/2026
7929;SABONETE LUX 85G ORQUIDEA NEGRA;0;46;10;1;34;0;1;0;11;8964;2916;01/08/2026
8755;VINHO JOTA PE 1 5L TTO SUAVE;0;34;0;0;34;0;0;0;0;204;0;28/07/2026
25484;WAFER ORQUIDEA 100G CHOC;100;48;10;2;34;0;2;0;12;2950;900;03/08/2026
