DEPARTAMENTO;CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMPRESA;STATUS;EMBL_TRANSFERENCIA;ESTOQUE;PEDIDOS_PENDENTES;ESTOQUE_MINIMO;DATA_CADASTRO_PRODUTO;DIAS_DESDE_CADASTRO
BEBIDAS;38158;VH DEL GRANO GOLD ROSE BORDO 750ML SUAVE;13;ATIVO;6;0;0;6;17/04/2026;27
BEBIDAS;38158;VH DEL GRANO GOLD ROSE BORDO 750ML SUAVE;14;ATIVO;6;0;0;6;17/04/2026;27
BEBIDAS;38158;VH DEL GRANO GOLD ROSE BORDO 750ML SUAVE;15;ATIVO;6;0;0;0;17/04/2026;27
BEBIDAS;38158;VH DEL GRANO GOLD ROSE BORDO 750ML SUAVE;16;ATIVO;6;0;0;0;17/04/2026;27
BEBIDAS;38158;VH DEL GRANO GOLD ROSE BORDO 750ML SUAVE;17;ATIVO;6;0;0;6;17/04/2026;27
BEBIDAS;38158;VH DEL GRANO GOLD ROSE BORDO 750ML SUAVE;18;ATIVO;6;0;0;6;17/04/2026;27
BEBIDAS;38158;VH DEL GRANO GOLD ROSE BORDO 750ML SUAVE;50;ATIVO;6;0;0;0;17/04/2026;27
MERCEARIA;38161;ALHO EM PASTA SABOR CASEIRO 1 01KG;1;ATIVO;6;0;0;0;17/04/2026;27
MERCEARIA;38161;ALHO EM PASTA SABOR CASEIRO 1 01KG;2;ATIVO;6;0;0;6;17/04/2026;27
MERCEARIA;38161;ALHO EM PASTA SABOR CASEIRO 1 01KG;3;ATIVO;6;0;0;6;17/04/2026;27
MERCEARIA;38161;ALHO EM PASTA SABOR CASEIRO 1 01KG;4;ATIVO;6;0;0;0;17/04/2026;27
MERCEARIA;38161;ALHO EM PASTA SABOR CASEIRO 1 01KG;5;ATIVO;6;0;0;0;17/04/2026;27
MERCEARIA;38161;ALHO EM PASTA SABOR CASEIRO 1 01KG;6;ATIVO;6;0;0;6;17/04/2026;27
MERCEARIA;38161;ALHO EM PASTA SABOR CASEIRO 1 01KG;7;ATIVO;6;0;0;0;17/04/2026;27
MERCEARIA;38161;ALHO EM PASTA SABOR CASEIRO 1 01KG;8;ATIVO;6;0;0;0;17/04/2026;27
MERCEARIA;38161;ALHO EM PASTA SABOR CASEIRO 1 01KG;11;ATIVO;6;0;0;6;17/04/2026;27
MERCEARIA;38161;ALHO EM PASTA SABOR CASEIRO 1 01KG;12;ATIVO;6;0;0;6;17/04/2026;27
MERCEARIA;38161;ALHO EM PASTA SABOR CASEIRO 1 01KG;13;ATIVO;6;0;0;0;17/04/2026;27
MERCEARIA;38161;ALHO EM PASTA SABOR CASEIRO 1 01KG;14;ATIVO;6;0;0;0;17/04/2026;27
MERCEARIA;38161;ALHO EM PASTA SABOR CASEIRO 1 01KG;15;ATIVO;6;0;0;0;17/04/2026;27
MERCEARIA;38161;ALHO EM PASTA SABOR CASEIRO 1 01KG;16;ATIVO;6;0;0;0;17/04/2026;27
MERCEARIA;38161;ALHO EM PASTA SABOR CASEIRO 1 01KG;17;ATIVO;6;0;0;6;17/04/2026;27
