LOJA;DEPARTAMENTO;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;CUSTO_BRUTO;CUSTO_LIQUIDO;CODIGO_TRANSICAO
15;A CLASSIFICAR;35491;CONS CAMISETA TRADICIONAL TAM M;A;0;0;1016416
15;A CLASSIFICAR;35496;CONS CAMISETA TRADICIONAL TAM P;A;0;0;1016417
15;A CLASSIFICAR;35505;CONS CAMISETA TRADICIONAL TAM XG;A;0;0;1016419
15;A CLASSIFICAR;35508;CONS CAMISETA TRADICIONAL TAM XG2;A;0;0;1016420
15;A CLASSIFICAR;35512;CONS CAMISETA TRADICIONAL TAM XG3;A;0;0;1016421
15;A CLASSIFICAR;35514;CONS CAMISETA TRADICIONAL TAM XG4;A;0;0;1016422
15;A CLASSIFICAR;35554;CONS CANETA UN;A;,44;,39;0047597
15;A CLASSIFICAR;35560;CONS CAPA DE CHUVA TAM EXG;A;0;0;1016461
15;A CLASSIFICAR;35568;CONS CAPA DE CHUVA TAM G;A;0;0;1016462
15;A CLASSIFICAR;35781;CONS CAPA DE CHUVA TAM GG;A;0;0;1016463
15;A CLASSIFICAR;35784;CONS CAPACETE DE PROTECAO C JUGULAR;A;0;0;1016470
15;A CLASSIFICAR;35786;CONS CARACOL PC 98;A;0;0;7803130
15;A CLASSIFICAR;35798;CONS CARBONO AZUL;A;0;0;0099653
15;A CLASSIFICAR;35858;CONS CARTAZ 58X47CM AMARELO;A;0;0;7899661
15;A CLASSIFICAR;35882;CONS CARTAZ A3 SUPER AMARELO;A;0;0;1000152
15;A CLASSIFICAR;35802;CONS CARTAZ A3H APROVEITE;A;0;0;1000205
15;A CLASSIFICAR;35805;CONS CARTAZ A3V APROVEITE;A;0;0;1000086
15;A CLASSIFICAR;35810;CONS CARTAZ A3V OFERTA;A;0;0;1000109
15;A CLASSIFICAR;35812;CONS CARTAZ A4V APROVEITE;A;0;0;1000090
15;A CLASSIFICAR;35814;CONS CARTAZ A4V OFERTA;A;0;0;1000107
15;A CLASSIFICAR;35888;CONS CARTAZ A5 CLUBE MAIS;A;0;0;1000083
15;A CLASSIFICAR;35825;CONS CARTAZ A5H APROVEITE;A;0;0;1000103
15;A CLASSIFICAR;35828;CONS CARTAZ A5H LANCAMENTO;A;0;0;1000082
15;A CLASSIFICAR;35835;CONS CARTAZ A5H OFERTA;A;0;0;1000105
15;A CLASSIFICAR;35838;CONS CARTAZ A5V APROVEITE;A;0;0;1000106
