DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;QUANTIDADE_DISPONIVEL;QTD_PEND_PEDCOMPRA;QTD_VENDIDA;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO;DATA_CADASTRO_PRODUTO
PERECIVEIS;SANDRO MARTINS VIANNA;1;10587;AVE NATAL SADIA SUPREME KG;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;36337;BA MACA SENINHA KG;Ativo;1;1;0;0;0;0;0;01/02/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;10664;BACON MILAN KG CORT;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;10665;BACON MILAN KG FAT;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;34437;BACON MILAN KG RETALHO;Ativo;1;1;0;0;0;0;0;22/10/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;10671;BACON STA CLARA KG CORT;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;10672;BACON STA CLARA KG FAT;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;8882;BANHA AURORA 1KG;Ativo;1;1;4;0;11;15;30;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;4340;BANHA PAMPLONA PCT 1KG;Ativo;1;1;0;0;0;0;0;26/04/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;37368;BATATA INGLESA BCA PENEIRA 45 5KG;Ativo;1;1;0;0;0;0;0;06/03/2026
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;37168;BATATA INGLESA BCA PIRULITO 5KG;Ativo;1;1;0;0;0;0;0;27/02/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;13124;BATATA PRE FRITA LAR 1 5KG;Ativo;7;1;-2;0;0;0;0;20/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;13125;BATATA PRE FRITA NOBRE 2KG;Ativo;7;1;0;0;14;0;0;20/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;13126;BATATA PRE FRITA OK FRIES 1 5KG;Ativo;1;1;18;1;134;14;28;20/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;4397;BEB LACT BATAVO 510G POLPA MORANGO;Ativo;12;12;10;12;88;0;0;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;4398;BEB LACT BATAVO 510G POLPA MORANGO COCO;Ativo;12;12;72;36;49;0;0;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;35571;BEB LACT BIOLAT 1150G MORANGO;Ativo;1;8;38;0;13;0;0;15/01/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;13163;BEB LACT BIOLAT 130G;Ativo;32;1;11;32;56;0;0;20/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;13164;BEB LACT BIOLAT 540G MOR;Ativo;1;1;49;24;160;0;0;20/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;13165;BEB LACT BIOLAT SC 900ML AMEIXA;Ativo;1;1;95;36;159;0;0;20/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;13166;BEB LACT BIOLAT SC 900ML COCO;Ativo;1;1;74;24;330;0;0;20/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;13167;BEB LACT BIOLAT SC 900ML MOR;Ativo;1;1;199;84;726;0;0;20/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;13168;BEB LACT BIOLAT SC 900ML PESSEGO;Ativo;1;1;145;0;371;0;0;20/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;13169;BEB LACT BIOLAT SC 900ML SAL FRU;Ativo;1;1;61;12;341;0;0;20/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;13173;BEB LACT CAROLINA 1250G MOR;Ativo;1;1;41;0;25;0;0;20/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;13176;BEB LACT CAROLINA 150G COCO;Ativo;1;1;22;0;45;0;0;20/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;13180;BEB LACT CAROLINA 150G SAL FRU;Ativo;1;1;37;0;23;0;0;20/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;13181;BEB LACT CAROLINA 360G MOR COCO;Ativo;10;10;32;0;19;0;0;20/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;13182;BEB LACT CAROLINA 510G MOR;Ativo;10;1;55;0;101;0;0;20/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;13183;BEB LACT CAROLINA 510G MOR COCO;Ativo;10;1;88;0;156;0;0;20/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;13184;BEB LACT CAROLINA 510G MOR SAL FRU;Ativo;10;1;92;0;113;0;0;20/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;13185;BEB LACT CAROLINA 800G COCO;Ativo;6;6;9;0;14;0;0;20/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;13188;BEB LACT CAROLINA 800G MOR;Ativo;6;6;12;0;8;0;0;20/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;13189;BEB LACT CAROLINA 800G SALAD FRUT;Ativo;6;6;10;0;21;0;0;20/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;13195;BEB LACT CAROLINA BIBIBITS 125G ROSA;Ativo;12;12;55;0;24;0;0;20/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;4361;BEB LACT ELEGE 1 150KG MORANGO;Ativo;1;1;9;16;6;0;0;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;4362;BEB LACT ELEGE 1 150KG SALADA FRUTA;Ativo;1;1;71;8;1;0;0;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;4363;BEB LACT ELEGE 510G MORANGO;Ativo;1;12;32;36;190;0;0;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;4401;BEB LACT ELEGE 510G MORANGO AMEIXA;Ativo;1;12;63;12;28;0;0;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;4364;BEB LACT ELEGE 510G MORANGO COCO;Ativo;1;12;290;0;42;0;0;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;36804;BEB LACT FRUTIROL 480G FRUTAS;Ativo;1;1;54;60;247;0;0;13/02/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;4415;BEB LACT FRUTIROL 480G MORANGO;Ativo;12;12;69;48;123;0;0;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;36949;BEB LACT UNIBABY ABACAXI COCO 150G;Ativo;1;1;21;0;14;0;0;20/02/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;36907;BEB LACT UNIBABY ACAI BAN GUAR 510G;Ativo;1;12;66;12;38;0;0;19/02/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;36947;BEB LACT UNIBABY ACAI GUARANA 150G;Ativo;1;1;24;6;8;0;0;20/02/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;36946;BEB LACT UNIBABY ACAI MOR 150G;Ativo;1;1;5;12;19;0;0;20/02/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;36911;BEB LACT UNIBABY COLORIDO 130G;Ativo;1;1;5;0;7;0;0;19/02/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;36919;BEB LACT UNIBABY FRUTAS VRM 150G;Ativo;12;12;19;12;17;0;0;19/02/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;36898;BEB LACT UNIBABY MORANGO 100G;Ativo;1;1;43;0;77;0;0;19/02/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;36930;BEB LACT UNIBABY MORANGO 150G;Ativo;1;1;0;0;12;0;0;19/02/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;36903;BEB LACT UNIBABY MORANGO 510G;Ativo;12;12;24;264;36;0;0;19/02/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;36909;BEB LACT UNIBABY MORANGO COCO 510G;Ativo;12;12;16;0;79;0;0;19/02/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;36950;BEB LACT UNIBABY MORANGO GF 800G;Ativo;1;1;0;6;18;0;0;20/02/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;36896;BEB LACT UNIBABY PAST CONF 130G;Ativo;6;6;0;0;0;0;0;19/02/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;36932;BEB LACT UNIBABY PESSEGO 150G;Ativo;1;1;22;0;26;0;0;19/02/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;36935;BEB LACT UNIBABY SALADA FRUTA 150G;Ativo;1;1;10;0;13;0;0;19/02/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;36983;BEB LACT UNIBABY SALADA FRUTAS 100G;Ativo;1;1;14;0;66;0;0;20/02/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;36902;BEB LACT UNIBABY SENSACAO 510G;Ativo;1;1;26;12;22;0;0;19/02/2026
PERECIVEIS;SANDRO MARTINS VIANNA;1;36943;BEB LACT UNIBABY UVA VERDE 150G;Ativo;12;12;11;0;1;0;0;20/02/2026
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;37143;BERGAMOTA DECOPON KG;Ativo;3;3;0;0;0;0;0;26/02/2026
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;12121;BIFE VAZIO RESERVA BOV KG BDJ;Ativo;1;1;0;0;0;0;0;11/06/2025
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;37830;BIFE VAZIO RESERVA BOV KG MILANESA BDJ;Ativo;1;1;0;0;0;0;0;31/03/2026
PERECIVEIS;LAURINDO BISCUBI RAMOS;1;10731;BISC MARQUESPAN MIGNON KG;Ativo;1;1;1,922;0;1,08;0;0;11/06/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;4459;BISNAGA PULLMAN 300G ARTESANO;Ativo;1;1;0;31;10;0;0;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;4454;BISNAGA PULLMAN 300G ARTESANO CHAPA;Ativo;1;1;-1;31;10;0;0;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;4456;BISNAGUINHA NUTRELLA 300G NUTRELINH;Ativo;1;1;1;0;4;0;0;26/04/2025
PERECIVEIS;SANDRO MARTINS VIANNA;1;4458;BISNAGUINHA PULLMAN 300G;Ativo;1;1;12;34;77;0;0;26/04/2025
