CODIGO_FORNECEDOR;DESCRICAO_FORNECEDOR;COMPRADOR;PRAZO_PAGAMENTO_CADASTRO;PRAZO_MEDIO_ENTREGA_DIAS;FORMA_PAGAMENTO;FORMA_DEVOLUCAO;CONDICAO_DEVOLUCAO
12947;COOPAVEL COOPERATIVA AGROINDUSTRIAL;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
7473;COOPERATIVA AGRICOLA MISTA NOVA PALMA LT;NIDAL TUBASI;30;15;Faturamento;BOLETO;30 DIAS
10721;COOPERATIVA AGROINDUSTRIAL ALEGRETE LTDA;NIDAL TUBASI;28;15;Faturamento;BOLETO;30 DIAS
11947;COOPERATIVA AGROINDUSTRIAL LAR;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
6675;COOPERATIVA CENTRAL AURORA ALIMENTOS;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
6780;COOPERATIVA CENTRAL AURORA ALIMENTOS;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
22604;COOPERATIVA CENTRAL AURORA ALIMENTOS;SANDRO MARTINS VIANNA;30;15;Faturamento;;
6781;COOPERATIVA CENTRAL AURORA ALIMENTOS;SANDRO MARTINS VIANNA;30;7;Faturamento;BOLETO;30 DIAS
14321;COOPERATIVA SANTA CLARA LTDA;SANDRO MARTINS VIANNA;30;15;Faturamento;;
14322;COOPERATIVA SANTA CLARA LTDA;LAURINDO BISCUBI RAMOS;28;10;Faturamento;BOLETO;30 DIAS
14322;COOPERATIVA SANTA CLARA LTDA;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
5595;COSUEL-COOP. SUINOCULTORES DE ENCANTADO;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
9094;CPA SUL COMERCIO DE PRODUTOS AGRIC.LTDA;LAURINDO BISCUBI RAMOS;40;3;Faturamento;BOLETO;30 DIAS
9638;CRBS AS CDD PELOTAS;NICOLAS AUGUSTO P. BORGES;21;7;Faturamento;BOLETO;30 DIAS
9639;CRBS S/A;NICOLAS AUGUSTO P. BORGES;28;10;Faturamento;BOLETO;30 DIAS
22065;CRBS S/A;NICOLAS AUGUSTO P. BORGES;21;15;Faturamento;;
3684;CRISTAL MIOTO CANALI E CIA LTDA;WETER SONNENFELDET;28;10;Faturamento;BOLETO;30 DIAS
4571;CRISTIANE DA COSTA SILVA;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
22792;CROWIL DO BRASIL INDUSTRIA PET FOODS LTDA;JOAO BATISTA;21/28/35;15;Faturamento;;
14758;CURIFEST COMERCIO ARTIGOS DE FESTA;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
12452;CURIFEST COMERCIO DE ARTIGOS DE FESTA;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
9694;D.S.A.INDUSTRIA E COMERCIO LTDA;WETER SONNENFELDET;30/45;20;Faturamento;BOLETO;30 DIAS
8583;DAGEMAR ANTONIO DELLAGOSTIN;NIDAL TUBASI;40;3;Faturamento;BOLETO;30 DIAS
13063;DALI PET DIST ALIM E ACESS PEQ ANIM LTDA;JOAO BATISTA;28/35;5;Faturamento;BOLETO;30 DIAS
3542;DALLA SUL REPR LTDA;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
22353;DALMO RICARDO DUTRA E DUTRA;LAURINDO BISCUBI RAMOS;30;15;Faturamento;;
21231;DALMOLIN & VANZIN IMPORTACAO E EXPORTACAO DE PRODUTOS ALIMENTICIOS LTDA;SANDRO MARTINS VIANNA;15;10;Faturamento;;
9404;DAMARIS IND E COM DE GENEROS ALIM LTDA;WETER SONNENFELDET;28;10;Faturamento;BOLETO;30 DIAS
14112;DANONE LTDA;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
15466;DARCI JACINTO PERIN & CIA LTDA;JOAO BATISTA;30;15;Faturamento;;
12288;DARLAN BRESSAN DALENOGARE;LAURINDO BISCUBI RAMOS;15;5;Faturamento;;
3338;DARNEL- EMBALAGENS LTDA;LAURINDO BISCUBI RAMOS;28;10;Faturamento;BOLETO;30 DIAS
3338;DARNEL- EMBALAGENS LTDA;MODELO;28;10;Faturamento;BOLETO;30 DIAS
11250;DARTORA & IRMAO LTDA;JOAO BATISTA;60;5;Faturamento;BOLETO;30 DIAS
11250;DARTORA & IRMAO LTDA;NJOUD HASSAN ZITAWI;60;5;Faturamento;BOLETO;30 DIAS
16995;DAUS INDUSTRIA DE ALIMENTOS SA;NIDAL TUBASI;35;15;Faturamento;BOLETO;30 DIAS
16995;DAUS INDUSTRIA DE ALIMENTOS SA;WETER SONNENFELDET;35;15;Faturamento;BOLETO;30 DIAS
2977;DELAVY ALIMENTOS LTDA;WETER SONNENFELDET;28;15;Faturamento;BOLETO;30 DIAS
1947;DELCIO LIMA GAVIAO;LAURINDO BISCUBI RAMOS;15;5;Faturamento;;
7436;DI HELLEN IND. DE COSMETICO LTDA;JOAO BATISTA;30/45/60;10;Faturamento;BOLETO;30 DIAS
5918;DI ROCHA LTDA;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
19275;DIA A DIA RS DISTRIBUIDORA LTDA;JOAO BATISTA;28;14;Faturamento;BOLETO;30 DIAS
3989;DIA BRASIL SOCIEDADE LTDA;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
3989;DIA BRASIL SOCIEDADE LTDA;NIDAL TUBASI;28;10;Faturamento;BOLETO;30 DIAS
3989;DIA BRASIL SOCIEDADE LTDA;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
3988;DIA- BRASIL SOCIEDADE LTDA;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
10519;DICO COMERCIAL DE FRUTAS E LEGUMES LTDA;LAURINDO BISCUBI RAMOS;45;7;Faturamento;BOLETO;30 DIAS
10519;DICO COMERCIAL DE FRUTAS E LEGUMES LTDA;MODELO;45;7;Faturamento;BOLETO;30 DIAS
7215;DIMED DISTRIBUIDORA DE MEDICAMENTOS;JOAO BATISTA;35;5;Faturamento;BOLETO;30 DIAS
11342;DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
7214;DIMED S/A;JOAO BATISTA;30;15;Faturamento;;
22368;DIMED S/A DISTRIBUIDORA DE MEDICAMENTOS;JOAO BATISTA;30;15;Faturamento;;
17032;DINAMICA DIST DE PROD ALIMENTICIOS LTDA;LAURINDO BISCUBI RAMOS;30;15;Faturamento;BOLETO;30 DIAS
17032;DINAMICA DIST DE PROD ALIMENTICIOS LTDA;MODELO;30;15;Faturamento;BOLETO;30 DIAS
8487;DINDA ALIMENTOS LTDA;LAURINDO BISCUBI RAMOS;28;10;Faturamento;BOLETO;30 DIAS
9274;DISBAL RS DISTRIBUIDORA BALESTRIN LTDA;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
9274;DISBAL RS DISTRIBUIDORA BALESTRIN LTDA;NICOLAS AUGUSTO P. BORGES;28;10;Faturamento;BOLETO;30 DIAS
9274;DISBAL RS DISTRIBUIDORA BALESTRIN LTDA;NIDAL TUBASI;28;10;Faturamento;BOLETO;30 DIAS
9274;DISBAL RS DISTRIBUIDORA BALESTRIN LTDA;WETER SONNENFELDET;28;10;Faturamento;BOLETO;30 DIAS
13401;DISJOI DISTRIBUICAO E LOGISTICA LTDA;NJOUD HASSAN ZITAWI;42;5;Faturamento;BOLETO;30 DIAS
13400;DISJOI S/A DISTRIBUICAO E LOGISTICA;JOAO BATISTA;28;5;Faturamento;BOLETO;30 DIAS
13400;DISJOI S/A DISTRIBUICAO E LOGISTICA;WETER SONNENFELDET;28;5;Faturamento;BOLETO;30 DIAS
10956;DISPAL DIST.DE PRODUTOS ALIM.LAMANA;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
10956;DISPAL DIST.DE PRODUTOS ALIM.LAMANA;WETER SONNENFELDET;28;10;Faturamento;BOLETO;30 DIAS
7780;DISPAR DIST DE MEDICAMENTOS LTDA;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
14067;DIST BEBIDAS BORTOLAZZO LTDA;NICOLAS AUGUSTO P. BORGES;28;10;Faturamento;BOLETO;30 DIAS
16380;DIST BEBIDAS F.A. CHIAMULERA;NICOLAS AUGUSTO P. BORGES;45;10;Faturamento;BOLETO;30 DIAS
16727;DIST DE ALIM BRISTOT LTDA;LAURINDO BISCUBI RAMOS;28;10;Faturamento;BOLETO;30 DIAS
16727;DIST DE ALIM BRISTOT LTDA;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
16951;DISTRIBUIDORA MAXIMILIANO LTDA;NICOLAS AUGUSTO P. BORGES;28;10;Faturamento;BOLETO;30 DIAS
7550;DISTRIBUIDORA MEMPHIS;JOAO BATISTA;30;5;Faturamento;BOLETO;30 DIAS
4244;DISTRIBUIDORA MEMPHIS LTDA;JOAO BATISTA;35;5;Faturamento;BOLETO;30 DIAS
13332;DITREVISO INOX INDUSTRIA E COMERCIO LTDA;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
5439;DIWIBOM DISTR.DE PROD.ALIMENTICIOS LTDA;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
14827;DOARBELLEZA PRODUTOS DE BELEZA LTDA;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
4959;DOCE MINEIRO LTDA;WETER SONNENFELDET;28;15;Faturamento;BOLETO;30 DIAS
10648;DOCILE ALIMENTOS LTDA;WETER SONNENFELDET;35;15;Faturamento;BOLETO;30 DIAS
13228;DONATO J GOSSLER & CIA LTDA;LAURINDO BISCUBI RAMOS;40;3;Faturamento;BOLETO;30 DIAS
10543;DORI ALIMENTOS S.A;WETER SONNENFELDET;30;15;Faturamento;BOLETO;30 DIAS
8539;DORI IND COM PROD ALIM LTDA;WETER SONNENFELDET;21/28/35;20;Faturamento;BOLETO;30 DIAS
9622;DU DIGO DESCARTAVEIS LTDA;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
4285;DUALLI INDUSTRIA DE ALIMENTOS LTDA;WETER SONNENFELDET;30/45/60;10;Faturamento;;
8423;DZ PETS LTDA;JOAO BATISTA;30/45/60;5;Faturamento;BOLETO;30 DIAS
22515;EDIVALDO IUNG PORTEL;LAURINDO BISCUBI RAMOS;30;15;Faturamento;;
4547;ELEBAT ALIMENTOS S.A;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
9442;ELGIN DISTRIBUIDORA LTDA;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
9442;ELGIN DISTRIBUIDORA LTDA;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
10135;EMBALAGENS NOVA TRENTO EIRELI;LAURINDO BISCUBI RAMOS;30;15;Faturamento;BOLETO;30 DIAS
14395;ENGARRAFADORA BRAMBILA LTDA;NICOLAS AUGUSTO P. BORGES;14;10;Faturamento;BOLETO;30 DIAS
4968;ENOVA FOODS AS;NICOLAS AUGUSTO P. BORGES;35;10;Faturamento;BOLETO;30 DIAS
19525;EPG COMERCIO DE ALIMENTOS LTDA;WETER SONNENFELDET;40;15;Faturamento;;
9648;EQUILIBRIO SAUDAVEL PROD NATURAIS EIRELI;LAURINDO BISCUBI RAMOS;28;10;Faturamento;BOLETO;30 DIAS
9648;EQUILIBRIO SAUDAVEL PROD NATURAIS EIRELI;WETER SONNENFELDET;28;10;Faturamento;BOLETO;30 DIAS
10011;ERVATEIRA INVERNADA LTDA;NIDAL TUBASI;28;15;Faturamento;BOLETO;30 DIAS
7365;ERVATEIRA PICOLO BADALOTTI LTDA.;NIDAL TUBASI;46;15;Faturamento;BOLETO;30 DIAS
16061;ERVATEIRA REI VERDE LTDA;NIDAL TUBASI;60;15;Faturamento;BOLETO;30 DIAS
6394;ERVATEIRA SEIVA PURA LTDA;NIDAL TUBASI;30;15;Faturamento;BOLETO;30 DIAS
6250;ERVATEIRA TAURA LTDA;NIDAL TUBASI;45;15;Faturamento;BOLETO;30 DIAS
17048;ERVATEIRA TOMELERO LTDA;NIDAL TUBASI;30;15;Faturamento;BOLETO;30 DIAS
14196;ESDEL COMERCIO DE PRODUTOS ALIMENT LTDA;LAURINDO BISCUBI RAMOS;30;15;Faturamento;BOLETO;30 DIAS
14196;ESDEL COMERCIO DE PRODUTOS ALIMENT LTDA;MODELO;30;15;Faturamento;BOLETO;30 DIAS
8933;ESDEL COMERCIO DE PRODUTOS ALIMENT.LTDA;LAURINDO BISCUBI RAMOS;30;15;Faturamento;BOLETO;30 DIAS
8933;ESDEL COMERCIO DE PRODUTOS ALIMENT.LTDA;MODELO;30;15;Faturamento;BOLETO;30 DIAS
8467;ESSENCIAL PRODUTOS DE LIMPEZA LTDA;JOAO BATISTA;35/45;5;Faturamento;BOLETO;30 DIAS
9608;ESTANCIA DA FIGUEIRA COM HORTIFRUTI LTDA;LAURINDO BISCUBI RAMOS;30;7;Faturamento;BOLETO;30 DIAS
17035;ESTRELA INDUSTRIA DE PAPEL LTDA;JOAO BATISTA;35;15;Faturamento;BOLETO;30 DIAS
17071;EUROQUADROS IND IMP E EXP LTDA;NJOUD HASSAN ZITAWI;30/60/90;15;Faturamento;BOLETO;30 DIAS
2298;EVALDO LUIZ GLASS MORARI;LAURINDO BISCUBI RAMOS;15;10;Faturamento;BOLETO;30 DIAS
7307;EVER GREEN IND.COM.LTDA;JOAO BATISTA;30;10;Faturamento;BOLETO;30 DIAS
2467;EVERSON DOS SANTOS DA SILVA;LAURINDO BISCUBI RAMOS;28;10;Faturamento;BOLETO;30 DIAS
3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;JOAO BATISTA;30;15;Faturamento;BOLETO;30 DIAS
3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;SANDRO MARTINS VIANNA;30;15;Faturamento;BOLETO;30 DIAS
3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;WETER SONNENFELDET;30;15;Faturamento;BOLETO;30 DIAS
15011;EXCELSIOR ALIMENTOS S.A;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
7342;EXCELSIOR ALIMENTOS S.A.;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
7344;EXCELSIOR ALIMENTOS S.A.;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
8614;FABIANE TEREZINHA GOSSLER;LAURINDO BISCUBI RAMOS;28;10;Faturamento;BOLETO;30 DIAS
3527;FABIANO ZAFFALON E CIA LTDA;JOAO BATISTA;28;5;Faturamento;BOLETO;30 DIAS
3527;FABIANO ZAFFALON E CIA LTDA;NIDAL TUBASI;28;5;Faturamento;BOLETO;30 DIAS
3527;FABIANO ZAFFALON E CIA LTDA;NJOUD HASSAN ZITAWI;28;5;Faturamento;BOLETO;30 DIAS
3527;FABIANO ZAFFALON E CIA LTDA;SANDRO MARTINS VIANNA;28;5;Faturamento;BOLETO;30 DIAS
3527;FABIANO ZAFFALON E CIA LTDA;WETER SONNENFELDET;28;5;Faturamento;BOLETO;30 DIAS
16325;FABIANO ZAFFALON E CIA LTDA;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
16325;FABIANO ZAFFALON E CIA LTDA;WETER SONNENFELDET;28;10;Faturamento;BOLETO;30 DIAS
3528;FABIANO ZAFFALON E CIA.;JOAO BATISTA;28;5;Faturamento;BOLETO;30 DIAS
3528;FABIANO ZAFFALON E CIA.;NIDAL TUBASI;28;5;Faturamento;BOLETO;30 DIAS
3528;FABIANO ZAFFALON E CIA.;NJOUD HASSAN ZITAWI;28;5;Faturamento;BOLETO;30 DIAS
3528;FABIANO ZAFFALON E CIA.;SANDRO MARTINS VIANNA;28;5;Faturamento;BOLETO;30 DIAS
3528;FABIANO ZAFFALON E CIA.;WETER SONNENFELDET;28;5;Faturamento;BOLETO;30 DIAS
11923;FANTE INDUSTRIA DE BEBIDAS LTDA;NICOLAS AUGUSTO P. BORGES;30/60;42;Faturamento;BOLETO;30 DIAS
9296;FATEX IND.COM.IMP E EXP.LTDA;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
17018;FATEX INDUSTRIA COMERCIO IMP E EXP LTDA;NJOUD HASSAN ZITAWI;45;15;Faturamento;BOLETO;30 DIAS
13656;FELTRIN SEMENTES LTDA;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
17020;FERINHA FAB. DE FRALDAS DESC E PRODUTOS HIGIENICOS LTDA;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
3974;FERMENTO GOOD INSTANT LTDA.;WETER SONNENFELDET;28;15;Faturamento;BOLETO;30 DIAS
7918;FERRUCCI E MIRANDA LTDA-EPP;NIDAL TUBASI;7/14/21/28/35;15;Faturamento;BOLETO;30 DIAS
16363;FIBRAN DO BRASIL;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
16857;FITOS ALIMENTOS LTDA;WETER SONNENFELDET;28;15;Faturamento;BOLETO;30 DIAS
14149;FLAVIO ANDRE MAIDANA VERDEJO;LAURINDO BISCUBI RAMOS;28;10;Faturamento;BOLETO;30 DIAS
5827;FLAVIO TOSHIUK HIRAHATA;JOAO BATISTA;25;5;Faturamento;BOLETO;30 DIAS
9122;FLORAPACK IND;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
7493;FLORESTAL ALIMENTOS S.A.;WETER SONNENFELDET;30;30;Faturamento;BOLETO;30 DIAS
22464;FLORISVALDO MARTINS RODRIGUES;LAURINDO BISCUBI RAMOS;15;15;Faturamento;;
16424;FOBRAS COMERCIAL LTDA;JOAO BATISTA;42;10;Faturamento;BOLETO;30 DIAS
10025;FOBRAS COMERCIAL LTDA.;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
10025;FOBRAS COMERCIAL LTDA.;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
6275;FONTANA DISTRIBUIDORA DE COSMETICOS LTDA;JOAO BATISTA;60;5;Faturamento;BOLETO;30 DIAS
21822;FONTANA S.A;JOAO BATISTA;30;15;Faturamento;;
5500;FONTANA SA;JOAO BATISTA;42;5;Faturamento;BOLETO;30 DIAS
9472;FORFEST IND DE DESCARTAVEIS LTDA;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
13385;FOSFOREIRA BRASILEIRA S E A;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
13385;FOSFOREIRA BRASILEIRA S E A;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
4373;FRANCISCO IGOR COSTA E SOUSA;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
8513;FRATELLI EMBALAGENS EIRELI;LAURINDO BISCUBI RAMOS;30;15;Faturamento;BOLETO;30 DIAS
3638;FRIBOI LTDA.;LAURINDO BISCUBI RAMOS;30;7;Faturamento;BOLETO;30 DIAS
9971;FRIGORIFICO AVICOLA VOTUPORANGA LTDA;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
19418;FRIGORIFICO BRS LTDA;SANDRO MARTINS VIANNA;30;10;Faturamento;;
14556;FRIGORIFICO CHESINI LTDA;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
22518;FRUKI BEBIDAS S/A;NICOLAS AUGUSTO P. BORGES;30;15;Faturamento;;
4444;FRUTICOLA VALINHOS LTDA;LAURINDO BISCUBI RAMOS;28;10;Faturamento;BOLETO;30 DIAS
5791;FUGINI ALIMENTOS LTDA;NIDAL TUBASI;45;15;Faturamento;BOLETO;30 DIAS
5900;FUGINI ALIMENTOS LTDA;NIDAL TUBASI;45;15;Faturamento;BOLETO;30 DIAS
15561;FUGINI ALIMENTOS LTDA;NIDAL TUBASI;30;15;Faturamento;BOLETO;30 DIAS
12650;FUZIPAR COMERCIO DE FERRAGENS LTDA.;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
11903;GABOARDI IND.DE MADEIRAS LTDA;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
10281;GABOARDI INDUSTRIAL DE MADEIRAS LTDA;JOAO BATISTA;30;15;Faturamento;;
10281;GABOARDI INDUSTRIAL DE MADEIRAS LTDA;NJOUD HASSAN ZITAWI;30;15;Faturamento;;
6158;GASPARIN CEREAIS LTDA ME;NIDAL TUBASI;30;10;Faturamento;BOLETO;30 DIAS
13541;GEAZI NEVES DA SILVA;LAURINDO BISCUBI RAMOS;40;3;Faturamento;BOLETO;30 DIAS
13087;GENESIO CEOLIN E CIA LTDA;NIDAL TUBASI;21/28/35;15;Faturamento;BOLETO;30 DIAS
16963;GERMANI ALIMENTOS LTDA;NIDAL TUBASI;45;15;Faturamento;BOLETO;30 DIAS
16963;GERMANI ALIMENTOS LTDA;WETER SONNENFELDET;45;15;Faturamento;BOLETO;30 DIAS
22672;GILMARA F SILVA;NJOUD HASSAN ZITAWI;30;15;Faturamento;;
3075;GOIASMINAS INDUSTRIA DE LATICINIOS LTDA;WETER SONNENFELDET;27;15;Faturamento;BOLETO;30 DIAS
3076;GOIASMINAS INDUSTRIA DE LATICINIOS LTDA;WETER SONNENFELDET;30;15;Faturamento;;
13424;GP AGRONEGOCIOS LTDA;LAURINDO BISCUBI RAMOS;7;10;Faturamento;;
13406;GRACIELA MATOSAS LUQUE DE KUCZURA;WETER SONNENFELDET;30;15;Faturamento;BOLETO;30 DIAS
2856;GRAFICA UNIVERSITARIA LTDA;LAURINDO BISCUBI RAMOS;30;15;Faturamento;BOLETO;30 DIAS
5508;GRANJA AVICOLA BOM FRANGO LTDA;SANDRO MARTINS VIANNA;28;14;Faturamento;;
15905;GRANJA AVICOLA BOM FRANGO LTDA;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
7477;GRANJA AVICOLA PETRY LTDA;LAURINDO BISCUBI RAMOS;28/35;7;Faturamento;BOLETO;30 DIAS
10058;HARGUS COMERCIAL LTDA.;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
6567;HIGIE-PLUS INDUSTRIA E COM.LTDA;JOAO BATISTA;40;10;Faturamento;BOLETO;30 DIAS
8459;HIPER TEXTIL CAMA MESA E BANHO LTDA;JOAO BATISTA;45/60/75;5;Faturamento;BOLETO;30 DIAS
8459;HIPER TEXTIL CAMA MESA E BANHO LTDA;NJOUD HASSAN ZITAWI;45/60/75;5;Faturamento;BOLETO;30 DIAS
10885;HIPER TEXTIL LTDA;JOAO BATISTA;21;5;Faturamento;BOLETO;30 DIAS
10885;HIPER TEXTIL LTDA;NJOUD HASSAN ZITAWI;21;5;Faturamento;BOLETO;30 DIAS
14480;HOPPEN HOPPEN E CIA LTDA;NIDAL TUBASI;7;15;Faturamento;BOLETO;30 DIAS
8689;HUBERTY REPR LTDA;JOAO BATISTA;45;15;Faturamento;BOLETO;30 DIAS
7314;IEDO OSCAR FELL;LAURINDO BISCUBI RAMOS;45;10;Faturamento;;
11494;IMPORTADORA DE FRUTAS LA VIOLETERA;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
4642;IND COM GUARANY S E A;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
10334;IND COM PROD LIMP GIRANDO SOL LTDA;JOAO BATISTA;60;5;Faturamento;BOLETO;30 DIAS
10334;IND COM PROD LIMP GIRANDO SOL LTDA;NJOUD HASSAN ZITAWI;60;5;Faturamento;BOLETO;30 DIAS
9613;IND E COM DE ALIMENTOS FUCHINA LTDA;WETER SONNENFELDET;45;15;Faturamento;BOLETO;30 DIAS
13663;IND E COM DE SABAO ZAVASKI LTDA;JOAO BATISTA;45;10;Faturamento;BOLETO;30 DIAS
5714;IND E COMERCIO DE MASSA ROMENA LTDA;SANDRO MARTINS VIANNA;60;15;Faturamento;BOLETO;30 DIAS
5714;IND E COMERCIO DE MASSA ROMENA LTDA;WETER SONNENFELDET;60;15;Faturamento;BOLETO;30 DIAS
15498;IND.DE POLPAS E CONSERVAS VAL LTDA;NIDAL TUBASI;30;15;Faturamento;BOLETO;30 DIAS
15498;IND.DE POLPAS E CONSERVAS VAL LTDA;SANDRO MARTINS VIANNA;30;15;Faturamento;BOLETO;30 DIAS
15498;IND.DE POLPAS E CONSERVAS VAL LTDA;WETER SONNENFELDET;30;15;Faturamento;BOLETO;30 DIAS
5127;IND.REUN.BEB.TATUZINHO 3 FAZENDAS LTDA;NICOLAS AUGUSTO P. BORGES;28;10;Faturamento;BOLETO;30 DIAS
18272;INDAIAL PAPEL EMBALAGENS LTDA;JOAO BATISTA;45;10;Faturamento;BOLETO;30 DIAS
16062;INDUSTRIA DE ALIMENTOS PETRY LTDA;LAURINDO BISCUBI RAMOS;45;20;Faturamento;BOLETO;30 DIAS
16062;INDUSTRIA DE ALIMENTOS PETRY LTDA;NIDAL TUBASI;45;20;Faturamento;BOLETO;30 DIAS
16062;INDUSTRIA DE ALIMENTOS PETRY LTDA;WETER SONNENFELDET;45;20;Faturamento;BOLETO;30 DIAS
10033;INDUSTRIA DE BEBIDAS SERRANA EIRELI;NICOLAS AUGUSTO P. BORGES;45;10;Faturamento;BOLETO;30 DIAS
16999;INDUSTRIA E COMERCIO DE CEREAIS BOM DE GOSTO LTDA;NIDAL TUBASI;30;15;Faturamento;BOLETO;30 DIAS
17023;INDUSTRIA E COMERCIO DE ERVA MATE SAO GABRIEL;NIDAL TUBASI;28;15;Faturamento;BOLETO;30 DIAS
21827;INDUSTRIA E COMERCIO DE LATICINIOS PEREIRA LTDA;SANDRO MARTINS VIANNA;28;10;Faturamento;;
6539;INDUSTRIA E COMERCIO DE MASSAS DITALIA;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
6539;INDUSTRIA E COMERCIO DE MASSAS DITALIA;WETER SONNENFELDET;28;10;Faturamento;BOLETO;30 DIAS
16261;INDUSTRIA LATICINIOS DOM MIRO;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
12457;INDUSTRIA MIRIAM LTDA;WETER SONNENFELDET;30;20;Faturamento;BOLETO;30 DIAS
16039;INDUSTRIA MISSIATO DE BEBIDAS LTDA;JOAO BATISTA;30;10;Faturamento;BOLETO;30 DIAS
16039;INDUSTRIA MISSIATO DE BEBIDAS LTDA;MODELO;30;10;Faturamento;BOLETO;30 DIAS
9499;INDUSTRIAS ANHEMBI LTDA.;JOAO BATISTA;35;10;Faturamento;BOLETO;30 DIAS
9130;INGA IMPORT LTDA;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
15943;INGA IMPORT LTDA SC;NJOUD HASSAN ZITAWI;40;30;Faturamento;BOLETO;30 DIAS
4027;INTIMATE IND E COM DE PROD HIG LIMP E PE;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
3985;IRMAOS ALTHAUS LTDA;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
5860;IRMAOS FOLLE LTDA;NIDAL TUBASI;45;15;Faturamento;BOLETO;30 DIAS
5396;IRMAOS GUMS COM. E TRANSP. LTDA;LAURINDO BISCUBI RAMOS;28;10;Faturamento;BOLETO;30 DIAS
14588;IRMAOS RUIVO LTDA;WETER SONNENFELDET;35;15;Faturamento;BOLETO;30 DIAS
