CODIGO_FORNECEDOR;DESCRICAO_FORNECEDOR;COMPRADOR;PRAZO_PAGAMENTO_CADASTRO;PRAZO_MEDIO_ENTREGA_DIAS;FORMA_PAGAMENTO;FORMA_DEVOLUCAO;CONDICAO_DEVOLUCAO
11112;ATACADAO S.A.;JOAO BATISTA;28;10;Faturamento;BOLETO;30 DIAS
11112;ATACADAO S.A.;NICOLAS AUGUSTO P. BORGES;28;10;Faturamento;BOLETO;30 DIAS
11112;ATACADAO S.A.;NIDAL TUBASI;28;10;Faturamento;BOLETO;30 DIAS
11112;ATACADAO S.A.;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
11112;ATACADAO S.A.;WETER SONNENFELDET;28;10;Faturamento;BOLETO;30 DIAS
15427;ATALIBA PERES;LAURINDO BISCUBI RAMOS;28;10;Faturamento;BOLETO;30 DIAS
17037;ATITUDE RIO DISTRIBUIDORA LTDA;NJOUD HASSAN ZITAWI;30/60/90;15;Faturamento;BOLETO;30 DIAS
17025;ATTIC COMERCIO INTERNACIIONAL LTDA;NJOUD HASSAN ZITAWI;30;15;Faturamento;BOLETO;30 DIAS
12366;AZANELLA REPRESENTACAO LTDA;SANDRO MARTINS VIANNA;28;10;Faturamento;BOLETO;30 DIAS
21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;LAURINDO BISCUBI RAMOS;30;15;Faturamento;;
21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;MODELO;30;15;Faturamento;;
21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;NIDAL TUBASI;30;15;Faturamento;;
21608;BAKY ALIMENTOS LTDA;SANDRO MARTINS VIANNA;30;10;Faturamento;;
22581;BARA IMPORTACAO E EXPORTACAO LTDA;LAURINDO BISCUBI RAMOS;30;15;Faturamento;;
6798;BARAO - INDUSTRIA E COMERCIO DE ERVA MATE E CHAS S.A.;NIDAL TUBASI;35;15;Faturamento;BOLETO;30 DIAS
14093;BARICHELLO IND. METALURGICA LTDA;NJOUD HASSAN ZITAWI;30;15;Faturamento;;
16728;BASSO VINHOS E ESPUMANTES LTDA;NICOLAS AUGUSTO P. BORGES;45;10;Faturamento;BOLETO;30 DIAS
8714;BASTON DO BRASIL PRODUTOS QUIMICO LTDA;JOAO BATISTA;35;10;Faturamento;BOLETO;30 DIAS
8714;BASTON DO BRASIL PRODUTOS QUIMICO LTDA;NJOUD HASSAN ZITAWI;35;10;Faturamento;BOLETO;30 DIAS
11535;BASTOS E BASTOS METALURGICA E COMERCIO;NJOUD HASSAN ZITAWI;28;10;Faturamento;BOLETO;30 DIAS
6424;BEBIDAS FRUKI LTDA;NICOLAS AUGUSTO P. BORGES;28;5;Faturamento;BOLETO;30 DIAS
14226;BEBIDAS GRASSI DO BRASIL LTDA;NICOLAS AUGUSTO P. BORGES;30;14;Faturamento;BOLETO;30 DIAS
12821;BEBIDAS KOLLER LTDA;WETER SONNENFELDET;30;15;Faturamento;BOLETO;30 DIAS
