ORIGEM;EMPRESA;TITULO;PEDIDO;COD_FORNECEDOR;FORNECEDOR;COMPRADOR;DATA_EMISSAO;DATA_PREV_ENTREGA;PRAZO_PAGAMENTO_DIAS;PARCELA;DATA_VENCIMENTO;STATUS_PEDIDO;VALOR_NOMINAL;VALOR_PAGO;VALOR_PROJETADO
1-TITULO_REAL;14;140520005/700-1;;1947;DELCIO LIMA GAVIAO;LAURINDO;11/06/2026;;20;1;01/07/2026;FATURADO;477,6;7,78;469,82
1-TITULO_REAL;16;248041/1-1;;16727;DIST DE ALIM BRISTOT LTDA;SANDRO;03/06/2026;;28;1;01/07/2026;FATURADO;128448,05;128448,05;0
1-TITULO_REAL;12;185891/1-1;;6394;ERVATEIRA SEIVA PURA LTDA;NIDAL;01/06/2026;;30;1;01/07/2026;FATURADO;3032;3032;0
1-TITULO_REAL;50;157283/3-1;;17035;ESTRELA INDUSTRIA DE PAPEL LTDA;BATISTA;10/06/2026;;21;1;01/07/2026;FATURADO;16805,59;16805,59;0
1-TITULO_REAL;13;480291/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;SANDRO;03/06/2026;;28;1;01/07/2026;FATURADO;2751,15;2751,15;0
1-TITULO_REAL;6;480367/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;SANDRO;03/06/2026;;28;1;01/07/2026;FATURADO;2293,1;2293,1;0
1-TITULO_REAL;6;480368/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;WERTER;03/06/2026;;28;1;01/07/2026;FATURADO;820,6;820,6;0
1-TITULO_REAL;14;480366/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;WERTER;03/06/2026;;28;1;01/07/2026;FATURADO;213,75;213,75;0
1-TITULO_REAL;14;480365/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;SANDRO;03/06/2026;;28;1;01/07/2026;FATURADO;2035,55;2035,55;0
1-TITULO_REAL;12;480328/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;SANDRO;03/06/2026;;28;1;01/07/2026;FATURADO;5087,55;5087,55;0
1-TITULO_REAL;13;480292/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;WERTER;03/06/2026;;28;1;01/07/2026;FATURADO;763,8;763,8;0
1-TITULO_REAL;3;480292/-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;SANDRO;01/07/2026;;0;1;01/07/2026;FATURADO;14860,34;14860,34;0
1-TITULO_REAL;8;480364/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;SANDRO;03/06/2026;;28;1;01/07/2026;FATURADO;1354,4;1354,4;0
