DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;QUANTIDADE_DISPONIVEL;QTD_PEND_PEDCOMPRA;QTD_VENDIDA_30D;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;6363;INSET SBP RF ELETRICO 45 NOITES CITRONELA;Ativo;24;24;11;0;3;18;42
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;6364;INSET SBP RF ELETRICO 45 NOITES REGULAR;Ativo;24;24;15;0;4;18;42
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;22814;INSET SET ELET PAST REFIL L12 P10;Ativo;20;1;305;0;17;100;300
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;19381;INSET SET INSET ELET C 4 PAST VAP BIV;Ativo;12;12;7;0;3;10;22
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;19382;INSET SET INSET ELET REFIL LIQ 60N VAP;Ativo;12;12;-2;0;2;10;22
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;19383;INSET SET INSET MULT INSET 390ML;Ativo;1;1;0;0;0;10;22
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;31825;IPAPEL HIG NEVE TOQUE SEDA 30M C 12;Ativo;6;6;1;60;15;18;24
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;19454;ISCA BAYGON MATA BARATA 2,6G;Ativo;1;1;0;0;0;10;22
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;37051;JG ROLOS PANO LIMPEZA C 50 CADA;Ativo;1;1;0;0;0;0;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;19559;KIT 2 DET PO TIXAN 800G AMAC CONC 500ML;Ativo;6;6;-6;0;1;12;18
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;36522;KIT ABOVE GLOWY FPS 30 POS SOL;Ativo;1;1;0;0;0;0;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;36079;KIT ABOVE PROT SOLAR PROT CREME;Ativo;6;6;1;0;0;6;12
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;37469;KIT AP BARB PRESTO ULTRAGRIP C 12;Ativo;1;1;0;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;9695;KIT BONITTA ECON ESCOVA PENTE MD;Ativo;1;1;0;0;0;0;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;19641;KIT CAJOVIL PAPINHA URSO 180/12 AZUL;Ativo;1;1;4;0;1;6;8
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;19642;KIT CAJOVIL PAPINHA URSO 180/16 ROSA;Ativo;1;1;2;0;2;7;10
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;19682;KIT DESOD AERO ABOVE C 2 150ML DERMA;Ativo;1;1;0;0;0;0;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;9704;KIT ELSEVE SH 375ML COND 170ML CACHO SONHOS;Ativo;6;6;16;0;8;12;18
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;9706;KIT ELSEVE SH 375ML COND 175ML LONGOS SONHOS;Ativo;1;6;0;0;0;6;12
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;6602;KIT ELSEVE SH COND 375ML 170ML GLYCOLIC GLOSS;Ativo;6;6;12;0;48;20;24
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;8222;KIT ELSEVE SH COND 375ML 170ML HIALUR;Ativo;6;6;28;0;8;18;24
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;8223;KIT ELSEVE SH COND 375ML 170ML RT5;Ativo;6;6;4;0;14;12;18
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;12125;KIT ENXAG BUCAL CEPACOL 750ML CITRUS;Ativo;1;6;214;0;67;18;24
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;19711;KIT INF PENTE/ESC/SAB/MASSAG AZUL;Ativo;1;1;0;0;0;0;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;19712;KIT INF PENTE/ESC/SAB/MASSAG ROSA;Ativo;1;1;0;0;0;0;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;37182;KIT MACH3 4 CARG C2 E 1 AP ACQ GRIP;Ativo;24;1;0;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;19743;KIT MANICURE ALIC+ESPAT+PINCA;Ativo;1;1;1;0;0;0;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;17;35688;KIT MAQUIAGEM RAINBOW;Ativo;6;6;0;0;0;0;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;33964;KIT MIL MILHAS L AUTO B PNE ESP CER;Ativo;1;20;2;0;0;11;16
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;33973;KIT MIL MILHAS LAVA AUTO B PNEU ESP;Ativo;5;5;0;15;0;9;14
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;9712;KIT NIELY GOLD SH COND COMPRID+FORTES;Ativo;1;1;0;0;0;10;22
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;9715;KIT NIELY GOLD SH COND LISO PROLONGADO;Ativo;1;1;0;0;0;12;24
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;9716;KIT NIELY GOLD SH COND POS QUIMICA;Ativo;1;1;0;0;0;12;22
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;35167;KIT PROT SOL CENOU BRONZ 110ML FP50 FP50;Ativo;6;6;6;0;0;6;12
