DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;ESTOQUE_ATUAL
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17760;ESC CAB OVAL PET LOVERS;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17769;ESC CAB RAQUETE MEDIA;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17770;ESC CAB RET DUAL;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17771;ESC CAB TORTOSE;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17774;ESC CAB USO DIA MEDIA TOP;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;9325;ESC CABELO BONITTA OVAL POP COLOR;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;9326;ESC CABELO BONITTA RAQ TOP COLOR;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17776;ESC CABELO CABO EMBORDO 23CM;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17777;ESC CABELO OVAL COLORS 24CM;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17778;ESC CABELO RED 21,5X4,5CM;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17779;ESC CABELO RED COLORS 22CM;A;1;1;0
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;15;17780;ESC CABELO RED COLORS 23.8CM;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;17781;ESC CONDOR P SAPATO REF 01;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;17798;ESC DENT CONDOR AVANTIX BL;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;17805;ESC DENT CONDOR JUNIOR HOTWHEELS 3160 0;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;17806;ESC DENT CONDOR MAXIL EX MACIA 3258 3;A;1;1;0
PERFUMARIA E LIMPEZA;JOAO BATISTA;15;17807;ESC DENT CONDOR MAXIL MACIA R 3258 0;A;1;1;0
