NROEMPRESA;NUMERONF;SERIENF;TIPOTABELA;STATUSNF;NROSERIEECF;DTAEMISSAO;TIPNOTAFISCAL;VLRTOTAL;SEQPESSOA;NOMERAZAO;SEQNOTAFISCAL;NFECHAVEACESSO;INDEMISSAONF;DESCSTATUSNFE;STATUSNFE;DANFEEMITIDA;DTAIMPRESSAO;NFEAMBIENTE;NFEDTACANC;NFENROPROTCANC;NFEDTAENV;NFENROPROTENVIO;USUEMITIU;NROCARGA;INDENVIACANCELAMENTO;LINKERP;CODGERALOPER;INDLIBERADAINUTILIZACAO;APPORIGEM;INDRETORNOEVENTO;DTAVENCIMENTO;DTARECEBIMENTO;OBSERVACAOLF;TIPPEDIDOCOMPRA;NFREFERENCIANRO;NFREFERENCIASERIE;SEQNF;NUMERORPS;NUMERONFSE;NUMERONFPAINEL;MODELO;SEQPESSOATOMADORNFSE
15;9658;700;N;V;;2026-03-18-00.00.00.000000;S;912,87;15134;NESTLE BRASIL LTDA;1073409;43260300610350001575557000000096581220769197;S;Autorizada;4;;2026-04-10-17.14.00.000000;P;;;2026-04-10-17.14.08.000000;243260118168470;DAGUBERT;;N;5932413;802;N;39;;;;;;3269882;1;2785900;;;9658;55;
15;9661;700;N;V;;2026-03-18-00.00.00.000000;S;1461,6;14321;COOPERATIVA SANTA CLARA LTDA;1074096;43260300610350001575557000000096611843502800;S;Autorizada;4;;2026-03-18-16.43.53.000000;P;;;2026-03-18-16.43.57.000000;243260088926964;INDANIEL;;N;5933157;802;N;39;;;;;;87758;1;2786582;;;9661;55;
3;405;700;N;V;;2026-03-19-00.00.00.000000;E;17,98;3;SUPERMERCADO BAKLIZI LTDA;1088848;43260300610350000331557000000004051547587145;S;Autorizada;4;;;P;;;2026-03-19-12.53.01.000000;243260090116519;BSILVEIRA;;N;5947575;202;N;7;;;;Ref. NFCe 8810 716 18/03 Usr: SHVIANA Just: Comprou errado;;17878;CF;2801435;;;405;55;
4;159;700;N;V;;2026-03-19-00.00.00.000000;E;544,8;1947;DELCIO LIMA GAVIAO;1093848;43260300610350000501557000000001591470362076;S;Autorizada;4;;2026-03-19-17.17.29.000000;P;;;2026-03-19-17.17.39.000000;243260090599951;LERAFAEL;;N;5952390;200;N;2;;;2026-03-19-00.00.00.000000;;C;86231;233;2806323;;;159;55;
3;402;700;N;V;;2026-03-19-00.00.00.000000;S;567,16;14322;COOPERATIVA SANTA CLARA LTDA;1086371;43260300610350000331557000000004021281399936;S;Autorizada;4;;2026-03-19-11.01.27.000000;P;;;2026-03-19-11.01.18.000000;243260089970478;EZEQUIEL;;N;5945121;802;N;22;;;;;;2725914;1;2798986;;;402;55;
3;403;700;N;V;;2026-03-19-00.00.00.000000;S;429,12;14322;COOPERATIVA SANTA CLARA LTDA;1087337;43260300610350000331557000000004031920257589;S;Autorizada;4;;2026-03-19-11.38.18.000000;P;;;2026-03-19-11.38.30.000000;243260090042208;EZEQUIEL;;N;5946101;802;N;22;;;;;;;;2799945;;;403;55;
11;204;700;N;V;;2026-03-19-00.00.00.000000;S;103;16948;ITALIANY ALIMENTOS LTDA.;1091782;43260300610350001818557000000002041125594371;S;Autorizada;4;;2026-03-19-15.51.11.000000;P;;;2026-03-19-15.51.22.000000;243260090431978;CARLAMB11;;N;5950364;802;N;22;;;;;;455062;1;2804334;;;204;55;
6;136;700;N;V;;2026-03-18-00.00.00.000000;S;192,83;6539;INDUSTRIA E COMERCIO DE MASSAS DITALIA;1072953;43260300610350001141557000000001361643239462;S;Autorizada;4;;2026-03-18-15.55.59.000000;P;;;2026-03-18-15.56.09.000000;243260088828581;JOSIANEC;;N;5931982;802;N;22;;;;;;225943;1;2785439;;;136;55;
11;206;700;N;V;;2026-03-19-00.00.00.000000;S;62,86;14322;COOPERATIVA SANTA CLARA LTDA;1092175;43260300610350001818557000000002061556716519;S;Autorizada;4;;2026-03-19-16.09.25.000000;P;;;2026-03-19-16.09.34.000000;243260090466964;CARLAMB11;;N;5950719;802;N;22;;;;;;2743092;1;2804724;;;206;55;
11;207;700;N;V;;2026-03-19-00.00.00.000000;S;59,98;13379;LATICINIOS CAROLINA LTDA;1092536;43260300610350001818557000000002071194078320;S;Autorizada;4;;2026-03-19-16.25.17.000000;P;;;2026-03-19-16.25.28.000000;243260090500609;CARLAMB11;;N;5951050;802;N;22;;;;;;1039969;1;2805048;;;207;55;
12;110;700;N;V;;2026-03-18-00.00.00.000000;E;2989,35;11587;ANDRE JESUS ROSA NOEMI AIRES ROSA;1076038;43260300610350001737557000000001101332669090;S;Autorizada;4;;2026-03-18-17.44.14.000000;P;;;2026-03-18-17.44.25.000000;243260089039044;ANDREIAMB12;;N;5934432;200;N;2;;;2026-03-18-00.00.00.000000;;C;65746433;890;2787921;;;110;55;
8;192;700;N;V;;2026-03-19-00.00.00.000000;S;247,68;21819;MACHADO COMERCIO DE ALIMENTOS LTDA;1085754;43260300610350000765557000000001921478265270;S;Autorizada;4;;2026-03-19-10.36.41.000000;P;;;2026-03-19-10.36.52.000000;243260089922669;ALEXANTU;;N;5944492;809;N;14;;;2026-03-19-00.00.00.000000;NFCes 4/7921, 4/7923, 4/7925, 4/7927 19/3/2026;;7921;704;2798373;;;192;55;
3;396;700;N;V;;2026-03-19-00.00.00.000000;S;317,86;17392;AFT DISTRIBUIDORA DE EQUIPAMENTOS LTDA;1082715;43260300610350000331557000000003961768442351;S;Autorizada;4;;2026-03-19-08.07.03.000000;P;;;2026-03-19-08.07.13.000000;243260089634243;VERIDI;;N;5941555;809;N;14;;;2026-03-19-00.00.00.000000;NFCes 15/8771 6/3/2026;;8771;715;2795385;;;396;55;
3;397;700;N;V;;2026-03-19-00.00.00.000000;S;43,16;17392;AFT DISTRIBUIDORA DE EQUIPAMENTOS LTDA;1082727;43260300610350000331557000000003971872965117;S;Autorizada;4;;2026-03-19-08.08.05.000000;P;;;2026-03-19-08.08.12.000000;243260089635934;VERIDI;;N;5941567;809;N;14;;;2026-03-19-00.00.00.000000;NFCes 6/11889 9/3/2026;;11889;706;2795397;;;397;55;
3;398;700;N;V;;2026-03-19-00.00.00.000000;S;952,12;6997;CHURRASCARIA BRASEIRUS RIVER LTDA;1082886;43260300610350000331557000000003981502822076;S;Autorizada;4;;2026-03-19-08.19.04.000000;P;;;2026-03-19-08.19.13.000000;243260089654997;VERIDI;;N;5941709;809;N;14;;;2026-03-19-00.00.00.000000;NFCes 13/4883 28/2/2026;;4883;713;2795543;;;398;55;
