NROEMPRESA;NUMERONF;SERIENF;TIPOTABELA;STATUSNF;NROSERIEECF;DTAEMISSAO;TIPNOTAFISCAL;VLRTOTAL;SEQPESSOA;NOMERAZAO;SEQNOTAFISCAL;NFECHAVEACESSO;INDEMISSAONF;DESCSTATUSNFE;STATUSNFE;DANFEEMITIDA;DTAIMPRESSAO;NFEAMBIENTE;NFEDTACANC;NFENROPROTCANC;NFEDTAENV;NFENROPROTENVIO;USUEMITIU;NROCARGA;INDENVIACANCELAMENTO;LINKERP;CODGERALOPER;INDLIBERADAINUTILIZACAO;APPORIGEM;INDRETORNOEVENTO;DTAVENCIMENTO;DTARECEBIMENTO;OBSERVACAOLF;TIPPEDIDOCOMPRA;NFREFERENCIANRO;NFREFERENCIASERIE;SEQNF;NUMERORPS;NUMERONFSE;NUMERONFPAINEL;MODELO;SEQPESSOATOMADORNFSE
3;30;700;N;V;;2026-02-06-00.00.00.000000;E;17,96;3;SUPERMERCADO BAKLIZI LTDA;179486;43260200610350000331557000000000301396626373;S;Autorizada;4;;;P;;;2026-02-06-11.58.52.000000;243260041124468;EPERRONI;;N;1106545;202;N;7;;;;Ref. NFCe 989 708 06/02 Usr: EPERRONI Just: Comprou errado;;1911;CF;1009254;;;30;55;
3;7;700;N;V;;2026-02-01-00.00.00.000000;E;15,89;3;SUPERMERCADO BAKLIZI LTDA;73433;43260200610350000331557000000000071202998190;S;Autorizada;4;;;P;;;2026-02-02-09.58.10.000000;243260034870136;DBATISTA;;N;155001;202;N;7;;;;Ref. NFCe 95 718 01/02 Usr: DBATISTA Just: Produto com defeito;;187;CF;845112;;;7;55;
18;5;700;N;V;;2026-02-02-00.00.00.000000;E;35,97;18;SUPERMERCADO BAKLIZI LTDA;95340;43260200610350002202557000000000051227175633;S;Autorizada;4;;;P;;;2026-02-03-09.08.34.000000;243260036116821;SILVIAV;;N;317005;202;N;7;;;;Ref. NFCe 70 713 02/02 Usr: ALIFER Just: 1;;174;CF;870613;;;5;55;
18;8;700;N;V;;2026-02-05-00.00.00.000000;S;165;15011;EXCELSIOR ALIMENTOS S.A;147669;43260200610350002202557000000000081678873655;S;Autorizada;4;;2026-02-05-07.56.35.000000;P;;;2026-02-05-07.56.55.000000;243260039165689;JEREDIA;;N;835050;802;N;39;;;;;;660565;101;953463;;;8;55;
8;10;700;N;V;;2026-02-06-00.00.00.000000;S;7,2;16654;NOP IND E COM DE ALIMENTOS LTDA EPP;176697;43260200610350000765557000000000101154851586;S;Autorizada;4;;2026-02-06-10.50.13.000000;P;;;2026-02-06-10.50.43.000000;243260041006586;ALEXANTU;;N;1084502;802;N;39;;;;;;176812;1;1004522;;;10;55;
5;3;700;N;C;;2026-02-03-00.00.00.000000;S;51,75;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;96465;43260200610350000684557000000000031489572487;S;Nota Inutilizada;8;;2026-02-03-09.52.18.000000;P;;;2026-02-03-09.52.45.000000;;JEIDER;;N;329040;802;N;39;;;;;;468156;3;872762;;;3;55;
11;48;700;N;V;;2026-02-24-00.00.00.000000;S;24,42;9379;LACTALIS BRASIL COM IMP EXP LTDA;614483;43260200610350001818557000000000481255756932;S;Autorizada;4;;2026-02-24-11.12.15.000000;P;;;2026-02-24-11.12.44.000000;243260059927533;CARLAMB11;;N;4725534;802;N;22;;;;;;3997867;1;2085053;;;48;55;
16;17;700;N;V;;2026-02-03-00.00.00.000000;S;1755,07;3638;FRIBOI LTDA.;106423;43260200610350001907557000000000171953018806;S;Autorizada;4;;2026-02-03-15.25.26.000000;P;;;2026-02-03-15.25.56.000000;243260036764404;RENANVI;;N;446502;802;N;39;;;;;;334592;1;887185;;;17;55;
3;34;700;N;V;;2026-02-07-00.00.00.000000;S;749,92;3527;FABIANO ZAFFALON E CIA LTDA;200671;43260200610350000331557000000000341368716990;S;Autorizada;4;;2026-02-07-09.23.02.000000;P;;;2026-02-07-09.23.27.000000;243260042102999;EZEQUIEL;;N;1233542;802;N;39;;;;;;905862;1;1045021;;;34;55;
3;25;700;N;V;;2026-02-04-00.00.00.000000;E;23,97;3;SUPERMERCADO BAKLIZI LTDA;146420;43260200610350000331557000000000251546383594;S;Autorizada;4;;;P;;;2026-02-04-21.30.58.000000;243260038818207;DANILIMA;;N;817027;202;N;7;;;;Ref. NFCe 268 709 04/02 Usr: LCASTRO Just: Passou duas vezes;;556;CF;951146;;;25;55;
3;16;700;N;V;;2026-02-03-00.00.00.000000;E;1,89;3;SUPERMERCADO BAKLIZI LTDA;98475;43260200610350000331557000000000161472042331;S;Autorizada;4;;;P;;;2026-02-03-10.44.57.000000;243260036317661;CARRAZONI;;N;348031;202;N;7;;;;Ref. NFCe 638 706 03/02 Usr: CARRAZONI Just: Comprou errado;;1319;CF;875687;;;16;55;
3;38;700;N;V;;2026-02-07-00.00.00.000000;E;39,99;3;SUPERMERCADO BAKLIZI LTDA;204488;43260200610350000331557000000000381799961756;S;Autorizada;4;;;P;;;2026-02-07-10.54.26.000000;243260042171686;SESTIVALET;;N;1265045;202;N;7;;;;Ref. NFCe 1098 715 05/02 Usr: NVIDELA Just: Comprou errado;;2401;CF;1049619;;;38;55;
17;13;700;N;V;;2026-02-06-00.00.00.000000;E;24,9;17;SUPERMERCADO BAKLIZI LTDA;200184;43260200610350002032557000000000131522497605;S;Autorizada;4;;;P;;;2026-02-07-09.02.50.000000;243260042088026;JBATISTA;;N;1227556;202;N;7;;;;Ref. NFCe 1408 705 06/02 Usr: JBATISTA Just: Passou duas vezes;;2024;CF;1043547;;;13;55;
12;7;700;N;V;;2026-02-09-00.00.00.000000;S;59,4;13063;DALI PET DIST ALIM E ACESS PEQ ANIM LTDA;238145;43260200610350001737557000000000071574190957;S;Autorizada;4;;2026-02-09-08.44.32.000000;P;;;2026-02-09-08.44.54.000000;243260042877264;ANDREIAMB12;;N;1350020;802;N;39;;;;;;148094;1;1092225;;;7;55;
17;10;700;N;V;;2026-02-06-00.00.00.000000;S;10,32;3528;FABIANO ZAFFALON E CIA.;172503;43260200610350002032557000000000101738441754;S;Autorizada;4;;2026-02-06-08.59.12.000000;P;;;2026-02-06-08.59.41.000000;243260040787110;ANAP;;N;1050027;802;N;39;;;;;;644354;1;997044;;;10;55;
3;2;700;N;V;;2026-02-01-00.00.00.000000;E;305,17;3;SUPERMERCADO BAKLIZI LTDA;59929;43260200610350000331557000000000021226789102;S;Autorizada;4;;2026-02-12-08.24.07.000000;P;;;2026-02-01-11.03.10.000000;243260034389559;GIPAZ;;N;138432;202;N;7;;;;Ref. NFCe 17 714 01/02 Usr: MITIF Just: Passou duas vezes, NFCe 54 704 01/02 Usr: MARTHAR Just: Passou duas vezes, NFCe 11 714 01/02 Usr: MITIF Just: Passou duas vezes, NFCe 24 713 01/02 Usr: CARRAZONI Just: Comprou errado, NFCe 54 704 01/02 Usr: MARTHAR Just: Comprou errado, NFCe 11 714 01/02 Usr: MITIF Just: Comprou errado, NFCe 74 703 01/02 Usr: BRENDAR Just: Comprou errado, NFCe 24 713 01/02 Usr: CARRAZONI Just: Passou duas vezes, NFCe 74 703 01/02 Usr: BRENDAR Just: Passou duas vezes, NFCe 17 714 01/02 Usr: MITIF Just: Comprou errado;;58;CF;831998;;;2;55;
3;4;700;N;V;;2026-02-01-00.00.00.000000;E;76,56;3;SUPERMERCADO BAKLIZI LTDA;62417;43260200610350000331557000000000041991466549;S;Autorizada;4;;;P;;;2026-02-01-11.58.52.000000;243260034403157;BRENDAR;;N;140001;202;N;7;;;;Ref. NFCe 113 705 01/02 Usr: VANESSAS Just: Comprou errado;;187;CF;834021;;;4;55;
3;5;700;N;V;;2026-02-01-00.00.00.000000;E;80,94;3;SUPERMERCADO BAKLIZI LTDA;62448;43260200610350000331557000000000051569386538;S;Autorizada;4;;;P;;;2026-02-01-16.04.21.000000;243260034447013;BRENDAR;;N;140501;202;N;7;;;;Ref. NFCe 46 704 01/02 Usr: MARTHAR Just: Passou duas vezes;;87;CF;834115;;;5;55;
15;84;700;N;V;;2026-02-03-00.00.00.000000;S;329,96;10368;MELITTA DO BRASIL E COMERCIO LTDA.;108845;43260200610350001575557000000000841612319706;S;Autorizada;4;;2026-02-03-18.11.34.000000;P;;;2026-02-03-18.13.05.000000;243260037073452;INDANIEL;;N;482528;802;N;39;;;;;;1278328;109;891671;;;84;55;
3;9;700;N;V;;2026-02-02-00.00.00.000000;E;1515;3;SUPERMERCADO BAKLIZI LTDA;75875;43260200610350000331557000000000091505079625;S;Autorizada;4;;;P;;;2026-02-02-11.14.07.000000;243260034995331;C5RLIMA;;N;173059;202;N;7;;;;Ref. NFCe 184 707 02/02 Usr: ELADIRM Just: CONVENIO ABERTO EM DINHEIRO;;387;CF;847971;;;9;55;
6;3;700;N;V;;2026-02-01-00.00.00.000000;E;95,36;6;SUPERMERCADO BAKLIZI LTDA;70858;43260200610350001141557000000000031339365968;S;Autorizada;4;;2026-02-10-08.16.53.000000;P;;;2026-02-02-09.37.27.000000;243260034834782;LEAL;;N;150441;202;N;7;;;;Ref. NFCe 168 702 01/02 Usr: LLEMOS Just: Passou duas vezes, NFCe 168 702 01/02 Usr: LLEMOS Just: PREO ERRADO, NFCe 210 702 01/02 Usr: KATIAC Just: PRECO ERRADO, NFCe 147 702 01/02 Usr: LLEMOS Just: PREO ERRADO, NFCe 210 702 01/02 Usr: KATIAC Just: Passou duas vezes, NFCe 210 702 01/02 Usr: KATIAC Just: PREO ERRADO, NFCe 147 702 01/02 Usr: LLEMOS Just: Passou duas vezes, NFCe 147 702 01/02 Usr: LLEMOS Just: PRECO ERRADO, NFCe 168 702 01/02 Usr: LLEMOS Just: PRECO ERRADO;;264;CF;842938;;;3;55;
12;4;700;N;V;;2026-02-06-00.00.00.000000;E;107,4;12;SUPERMERCADO BAKLIZI LTDA;200177;43260200610350001737557000000000041597445933;S;Autorizada;4;;;P;;;2026-02-07-09.02.47.000000;243260042087987;ELENICES;;N;1227549;202;N;7;;;;Ref. NFCe 798 709 06/02 Usr: ELENICES Just: Comprou errado;;1617;CF;1043540;;;4;55;
3;8;700;N;V;;2026-02-02-00.00.00.000000;E;26,99;3;SUPERMERCADO BAKLIZI LTDA;74502;43260200610350000331557000000000081377977688;S;Autorizada;4;;;P;;;2026-02-02-10.28.29.000000;243260034920950;VANESSAS;;N;161051;202;N;7;;;;Ref. NFCe 138 718 01/02 Usr: DBATISTA Just: Comprou errado;;282;CF;846413;;;8;55;
3;31;700;N;V;;2026-02-06-00.00.00.000000;E;12,33;3;SUPERMERCADO BAKLIZI LTDA;183836;43260200610350000331557000000000311435714050;S;Autorizada;4;;;P;;;2026-02-06-14.49.21.000000;243260041345530;C5RLIMA;;N;1136501;202;N;7;;;;Ref. NFCe 1517 704 06/02 Usr: LCASTRO Just: Comprou errado;;3131;CF;1014600;;;31;55;
3;22;700;N;V;;2026-02-04-00.00.00.000000;E;63,89;3;SUPERMERCADO BAKLIZI LTDA;127738;43260200610350000331557000000000221732752381;S;Autorizada;4;;;P;;;2026-02-04-11.29.25.000000;243260037986760;EPERRONI;;N;642029;202;N;7;;;;Ref. NFCe 784 707 04/02 Usr: ELISANDRAF Just: Comprou errado;;1620;CF;920641;;;22;55;
7;5;700;N;V;;2026-02-05-00.00.00.000000;E;39,99;7;SUPERMERCADO BAKLIZI LTDA;172607;43260200610350001060557000000000051681308249;S;Autorizada;4;;2026-02-25-07.47.24.000000;P;;;2026-02-06-09.03.03.000000;243260040793598;NATALIAC;;N;1051503;202;N;7;;;;Ref. NFCe 539 710 05/02 Usr: ANNAC Just: VALOR ERRADO;;980;CF;997117;;;5;55;
12;3;700;N;V;;2026-02-05-00.00.00.000000;E;361,93;12;SUPERMERCADO BAKLIZI LTDA;172608;43260200610350001737557000000000031821004616;S;Autorizada;4;;2026-02-12-14.41.57.000000;P;;;2026-02-06-09.03.07.000000;243260040793687;ANDREIAMB12;;N;1051504;202;N;7;;;;Ref. NFCe 10 706 01/02 Usr: GARRUEE Just: Comprou errado, NFCe 1014 705 05/02 Usr: TAINAC Just: Comprou errado, NFCe 348 709 03/02 Usr: IASMINS Just: Comprou errado, NFCe 41 708 01/02 Usr: MARIAAD Just: Comprou errado, NFCe 2 703 01/02 Usr: HPEREIRA Just: Comprou errado;;719;CF;997118;;;3;55;
14;15;700;N;V;;2026-02-05-00.00.00.000000;E;47,8;14;SUPERMERCADO BAKLIZI LTDA;172609;43260200610350001656557000000000151452437868;S;Autorizada;4;;;P;;;2026-02-06-09.03.10.000000;243260040793788;ERIKAF;;N;1051505;202;N;7;;;;Ref. NFCe 1272 707 05/02 Usr: GLEICEM Just: Comprou errado, NFCe 484 705 05/02 Usr: IGORP Just: Comprou errado, NFCe 1474 707 05/02 Usr: GLEICEM Just: Comprou errado;;2641;CF;997119;;;15;55;
17;11;700;N;V;;2026-02-05-00.00.00.000000;E;53,99;17;SUPERMERCADO BAKLIZI LTDA;172610;43260200610350002032557000000000111494470456;S;Autorizada;4;;;P;;;2026-02-06-09.03.05.000000;243260040793649;CAUAW;;N;1051506;202;N;7;;;;Ref. NFCe 1086 705 05/02 Usr: CAUAW Just: Passou duas vezes, NFCe 593 707 05/02 Usr: MARIAB Just: Passou duas vezes, NFCe 1086 705 05/02 Usr: CAUAW Just: 05, NFCe 593 707 05/02 Usr: MARIAB Just: 05;;867;CF;997120;;;11;55;
18;11;700;N;V;;2026-02-05-00.00.00.000000;E;126,23;18;SUPERMERCADO BAKLIZI LTDA;172611;43260200610350002202557000000000111597327087;S;Autorizada;4;;;P;;;2026-02-06-09.03.21.000000;243260040794178;SVAZ;;N;1051507;202;N;7;;;;Ref. NFCe 690 716 05/02 Usr: SVAZ Just: 4;;1771;CF;997121;;;11;55;
12;5;700;N;V;;2026-02-07-00.00.00.000000;S;76,86;14322;COOPERATIVA SANTA CLARA LTDA;213696;43260200610350001737557000000000051383224640;S;Autorizada;4;;2026-02-07-15.59.34.000000;P;;;2026-02-07-15.53.38.000000;243260042309653;ANDREIAMB12;;N;1308627;802;N;39;;;;;;2720234;1;1063577;;;5;55;
3;44;700;N;V;;2026-02-08-00.00.00.000000;E;71,76;3;SUPERMERCADO BAKLIZI LTDA;229315;43260200610350000331557000000000441474432530;S;Autorizada;4;;;P;;;2026-02-08-11.03.04.000000;243260042493051;APAVAO;;N;1332223;202;N;7;;;;Ref. NFCe 1803 707 08/02 Usr: ELADIRM Just: Comprou errado;;3674;CF;1080386;;;44;55;
3;18;700;N;V;;2026-02-03-00.00.00.000000;E;5,59;3;SUPERMERCADO BAKLIZI LTDA;104191;43260200610350000331557000000000181905071426;S;Autorizada;4;;;P;;;2026-02-03-13.50.41.000000;243260036574265;KBARBOSA;;N;412021;202;N;7;;;;Ref. NFCe 639 714 03/02 Usr: MITIF Just: Comprou errado;;1352;CF;882458;;;18;55;
18;7;700;N;V;;2026-02-03-00.00.00.000000;E;27,99;18;SUPERMERCADO BAKLIZI LTDA;122640;43260200610350002202557000000000071617080062;S;Autorizada;4;;;P;;;2026-02-04-09.08.45.000000;243260037700908;ASARAIVA;;N;586030;202;N;7;;;;Ref. NFCe 269 712 03/02 Usr: ASARAIVA Just: 5;;615;CF;904623;;;7;55;
3;40;700;N;V;;2026-02-07-00.00.00.000000;E;94,35;3;SUPERMERCADO BAKLIZI LTDA;209869;43260200610350000331557000000000401990478566;S;Autorizada;4;;;P;;;2026-02-07-13.04.57.000000;243260042245519;PAULAM;;N;1296565;202;N;7;;;;Ref. NFCe 950 712 07/02 Usr: PAULAM Just: Comprou errado;;1932;CF;1059560;;;40;55;
3;32;700;N;V;;2026-02-06-00.00.00.000000;E;45,79;3;SUPERMERCADO BAKLIZI LTDA;185538;43260200610350000331557000000000321223951285;S;Autorizada;4;;;P;;;2026-02-06-15.39.41.000000;243260041439005;MITIF;;N;1155502;202;N;7;;;;Ref. NFCe 1776 714 06/02 Usr: NPEDRO Just: Comprou errado;;3640;CF;1019573;;;32;55;
3;41;700;N;V;;2026-02-07-00.00.00.000000;E;,99;3;SUPERMERCADO BAKLIZI LTDA;210295;43260200610350000331557000000000411410168334;S;Autorizada;4;;;P;;;2026-02-07-13.20.14.000000;243260042250923;SANSOA;;N;1297600;202;N;7;;;;Ref. NFCe 1678 715 07/02 Usr: RDORNELES Just: Comprou errado;;3537;CF;1059958;;;41;55;
4;12;700;N;V;;2026-02-05-00.00.00.000000;E;,99;4;SUPERMERCADO BAKLIZI LTDA;172590;43260200610350000501557000000000121165200836;S;Autorizada;4;;;P;;;2026-02-06-09.02.44.000000;243260040793036;FSOUZA;;N;1051025;202;N;7;;;;Ref. NFCe 682 706 05/02 Usr: VBENITES Just: Passou duas vezes;;1201;CF;997114;;;12;55;
5;7;700;N;V;;2026-02-05-00.00.00.000000;E;48,36;5;SUPERMERCADO BAKLIZI LTDA;172605;43260200610350000684557000000000071476524712;S;Autorizada;4;;;P;;;2026-02-06-09.02.55.000000;243260040793359;ESTEFA;;N;1051501;202;N;7;;;;Ref. NFCe 407 705 05/02 Usr: ISAMEDI Just: Comprou errado, NFCe 1054 703 05/02 Usr: KARENN Just: Comprou errado, NFCe 916 703 04/02 Usr: VALVES Just: Comprou errado;;1788;CF;997115;;;7;55;
6;8;700;N;V;;2026-02-05-00.00.00.000000;E;60,36;6;SUPERMERCADO BAKLIZI LTDA;172606;43260200610350001141557000000000081798561844;S;Autorizada;4;;2026-02-10-08.16.54.000000;P;;;2026-02-06-09.03.01.000000;243260040793562;LEAL;;N;1051502;202;N;7;;;;Ref. NFCe 1127 702 05/02 Usr: CLENIRF Just: Comprou errado, NFCe 1238 702 05/02 Usr: MARIAP Just: Comprou errado;;2179;CF;997116;;;8;55;
3;43;700;N;V;;2026-02-07-00.00.00.000000;E;47,94;3;SUPERMERCADO BAKLIZI LTDA;220446;43260200610350000331557000000000431278268840;S;Autorizada;4;;;P;;;2026-02-07-19.31.23.000000;243260042387197;PAULAM;;N;1321616;202;N;7;;;;Ref. NFCe 1912 714 06/02 Usr: NVIDELA Just: Comprou errado;;3926;CF;1071235;;;43;55;
4;13;700;N;C;;2026-02-09-00.00.00.000000;S;,01;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;237319;43260200610350000501557000000000131987889588;S;Cancelada;7;;2026-03-04-10.45.22.000000;P;2026-03-04-10.53.19.000000;243260070573086;2026-03-04-10.45.28.000000;243260070556500;DAGUBERT;;N;1342023;802;N;39;;;;;;464;6;1088793;;;13;55;
11;2;700;N;C;;2026-02-02-00.00.00.000000;S;31,41;9379;LACTALIS BRASIL COM IMP EXP LTDA;77144;43260200610350001818557000000000021570362601;S;Nota Inutilizada;8;;2026-02-02-14.08.16.000000;P;;;2026-02-02-14.08.38.000000;;CARLAMB11;;N;183536;802;N;22;;;;;;;;849698;;;2;55;
3;37;700;N;V;;2026-02-07-00.00.00.000000;E;14,98;3;SUPERMERCADO BAKLIZI LTDA;202253;43260200610350000331557000000000371175891822;S;Autorizada;4;;;P;;;2026-02-07-10.08.48.000000;243260042136401;MITIF;;N;1248501;202;N;7;;;;Ref. NFCe 1790 704 07/02 Usr: NPEDRO Just: Impróprio para consumo;;3711;CF;1046625;;;37;55;
3;3;700;N;V;;2026-02-01-00.00.00.000000;E;15,99;3;SUPERMERCADO BAKLIZI LTDA;62267;43260200610350000331557000000000031476520094;S;Autorizada;4;;;P;;;2026-02-01-11.23.32.000000;243260034394823;BRENDAR;;N;139807;202;N;7;;;;Ref. NFCe 96 705 01/02 Usr: VANESSAS Just: Comprou errado;;167;CF;833419;;;3;55;
3;23;700;N;V;;2026-02-04-00.00.00.000000;E;1,89;3;SUPERMERCADO BAKLIZI LTDA;131619;43260200610350000331557000000000231144215366;S;Autorizada;4;;;P;;;2026-02-04-13.54.54.000000;243260038155455;PAULAM;;N;685009;202;N;7;;;;Ref. NFCe 11 711 04/02 Usr: PAULAM Just: Comprou errado;;64;CF;927476;;;23;55;
14;20;700;N;C;;2026-02-06-00.00.00.000000;S;68,73;12142;LATICINIOS BIO LTDA;185432;43260200610350001656557000000000201816423345;S;Nota Inutilizada;8;;2026-02-06-15.36.26.000000;P;;;2026-02-06-15.36.23.000000;;THIAJA;;N;1154005;802;N;22;;;;;;;;1019040;;;20;55;
3;46;700;N;V;;2026-02-08-00.00.00.000000;E;41,5;3;SUPERMERCADO BAKLIZI LTDA;234695;43260200610350000331557000000000461912436293;S;Autorizada;4;;;P;;;2026-02-08-17.03.47.000000;243260042566419;BRENDAR;;N;1337604;202;N;7;;;;Ref. NFCe 1959 715 08/02 Usr: BRENDAR Just: Comprou errado;;4073;CF;1085881;;;46;55;
4;14;700;N;C;;2026-02-09-00.00.00.000000;S;,01;21155;BAKLIZI VAREJO E ATACADO E HORTI LTDA;237343;43260200610350000501557000000000141860650334;S;Cancelada;7;;2026-03-04-10.45.24.000000;P;2026-03-04-10.53.52.000000;243260070574241;2026-03-04-10.45.33.000000;243260070556670;DAGUBERT;;N;1342056;802;N;39;;;;;;433;6;1088817;;;14;55;
14;24;700;N;V;;2026-02-08-00.00.00.000000;E;42,78;14;SUPERMERCADO BAKLIZI LTDA;238526;43260200610350001656557000000000241374205746;S;Autorizada;4;;;P;;;2026-02-09-09.02.52.000000;243260042911649;MANUELLAI;;N;1354530;202;N;7;;;;Ref. NFCe 1575 708 08/02 Usr: AMANDAM Just: Passou duas vezes, NFCe 1267 708 07/02 Usr: RUDIB Just: Comprou errado, NFCe 1575 708 08/02 Usr: AMANDAM Just: Comprou errado, NFCe 1267 708 07/02 Usr: RUDIB Just: Passou duas vezes;;2230;CF;1092508;;;24;55;
3;50;700;N;V;;2026-02-09-00.00.00.000000;E;10,55;3;SUPERMERCADO BAKLIZI LTDA;238536;43260200610350000331557000000000501531711054;S;Autorizada;4;;;P;;;2026-02-09-09.03.05.000000;243260042912074;MITIF;;N;1355002;202;N;7;;;;Ref. NFCe 1095 716 09/02 Usr: VANESSAS Just: Comprou errado;;2292;CF;1092509;;;50;55;
3;42;700;N;V;;2026-02-07-00.00.00.000000;E;39,96;3;SUPERMERCADO BAKLIZI LTDA;214848;43260200610350000331557000000000421432879796;S;Autorizada;4;;;P;;;2026-02-07-16.35.51.000000;243260042327892;CARSANTOS;;N;1313572;202;N;7;;;;Ref. NFCe 602 718 07/02 Usr: TUANES Just: Comprou errado;;1320;CF;1064709;;;42;55;
3;28;700;N;V;;2026-02-05-00.00.00.000000;E;85;3;SUPERMERCADO BAKLIZI LTDA;156390;43260200610350000331557000000000281638888570;S;Autorizada;4;;;P;;;2026-02-05-12.58.47.000000;243260039675779;ELISSFER;;N;922001;202;N;7;;;;Ref. NFCe 1291 714 05/02 Usr: CARSANTOS Just: Comprou errado;;2692;CF;968074;;;28;55;
18;4;700;N;V;;2026-02-02-00.00.00.000000;E;55,82;18;SUPERMERCADO BAKLIZI LTDA;95196;43260200610350002202557000000000041541074227;S;Autorizada;4;;2026-02-20-18.08.06.000000;P;;;2026-02-03-09.03.12.000000;243260036106347;GIPAZ;;N;316060;202;N;7;;;;Ref. NFCe 122 716 02/02 Usr: MGARCIA Just: Impróprio para consumo, NFCe 99 715 02/02 Usr: MAIARAM Just: Comprou errado, NFCe 122 716 02/02 Usr: MGARCIA Just: Comprou errado, NFCe 99 715 02/02 Usr: MAIARAM Just: Impróprio para consumo, NFCe 122 716 02/02 Usr: MGARCIA Just: 5, NFCe 99 715 02/02 Usr: MAIARAM Just: 5;;253;CF;870470;;;4;55;
5;5;700;N;V;;2026-02-03-00.00.00.000000;E;118,42;5;SUPERMERCADO BAKLIZI LTDA;122463;43260200610350000684557000000000051861649460;S;Autorizada;4;;;P;;;2026-02-04-09.02.58.000000;243260037689598;KARENN;;N;584534;202;N;7;;;;Ref. NFCe 301 702 03/02 Usr: DTOMAS Just: Passou duas vezes, NFCe 445 703 02/02 Usr: JULISAN Just: Impróprio para consumo, NFCe 445 703 02/02 Usr: JULISAN Just: Comprou errado, NFCe 445 703 02/02 Usr: JULISAN Just: Passou duas vezes, NFCe 341 706 03/02 Usr: BFARIAS Just: Passou duas vezes, NFCe 301 702 03/02 Usr: DTOMAS Just: Comprou errado, NFCe 341 706 03/02 Usr: BFARIAS Just: Comprou errado, NFCe 301 702 03/02 Usr: DTOMAS Just: Impróprio para consumo, NFCe 457 703 03/02 Usr: KARENN Just: Impróprio para consumo, NFCe 341 706 03/02 Usr: BFARIAS Just: Impróprio para consumo, NFCe 457 703 03/02 Usr: KARENN Just: Passou duas vezes, NFCe 457 703 03/02 Usr: KARENN Just: Comprou errado;;581;CF;904055;;;5;55;
6;4;700;N;V;;2026-02-03-00.00.00.000000;E;170,15;6;SUPERMERCADO BAKLIZI LTDA;122483;43260200610350001141557000000000041487428485;S;Autorizada;4;;2026-02-10-08.16.53.000000;P;;;2026-02-04-09.03.08.000000;243260037689846;LEAL;;N;584555;202;N;7;;;;Ref. NFCe 400 704 03/02 Usr: CLENIRF Just: ERRO NO SISTEMA, NFCe 403 704 03/02 Usr: CLENIRF Just: PRODUTO PASSOU PELO VALOR DA CAIXA, NFCe 403 704 03/02 Usr: CLENIRF Just: Comprou errado, NFCe 400 704 03/02 Usr: CLENIRF Just: Comprou errado, NFCe 31 708 01/02 Usr: DERDIAS Just: DESISTENCIA, NFCe 31 708 01/02 Usr: DERDIAS Just: ERRO NO SISTEMA, NFCe 400 704 03/02 Usr: CLENIRF Just: DESISTENCIA, NFCe 31 708 01/02 Usr: DERDIAS Just: Comprou errado, NFCe 403 704 03/02 Usr: CLENIRF Just: DESISTENCIA, NFCe 31 708 01/02 Usr: DERDIAS Just: PRODUTO PASSOU PELO VALOR DA CAIXA, NFCe 400 704 03/02 Usr: CLENIRF Just: PRODUTO PASSOU PELO VALOR DA CAIXA, NFCe 403 704 03/02 Usr: CLENIRF Just: ERRO NO SISTEMA;;763;CF;904075;;;4;55;
7;2;700;N;V;;2026-02-03-00.00.00.000000;E;49,9;7;SUPERMERCADO BAKLIZI LTDA;122486;43260200610350001060557000000000021987714382;S;Autorizada;4;;2026-02-25-07.47.21.000000;P;;;2026-02-04-09.03.17.000000;243260037690084;NATALIAC;;N;584558;202;N;7;;;;Ref. NFCe 14 705 01/02 Usr: KLEDESMA Just: VALOR CADASTRADO INCORRETO;;43;CF;904078;;;2;55;
3;24;700;N;V;;2026-02-04-00.00.00.000000;E;23,97;3;SUPERMERCADO BAKLIZI LTDA;146314;43260200610350000331557000000000241816006057;S;Autorizada;4;;;P;;;2026-02-04-21.25.54.000000;243260038814962;DANILIMA;;N;816001;202;N;7;;;;Ref. NFCe 268 709 04/02 Usr: LCASTRO Just: Passou duas vezes;;556;CF;951069;;;24;55;
11;4;700;N;C;;2026-02-03-00.00.00.000000;S;45,9;9379;LACTALIS BRASIL COM IMP EXP LTDA;106463;43260200610350001818557000000000041801220062;S;Nota Inutilizada;8;;2026-02-03-15.33.33.000000;P;;;2026-02-03-15.33.57.000000;;CARLAMB11;;N;447001;802;N;22;;;;;;;;887210;;;4;55;
