SEQPRODUTO;QTDEMBALAGEM;NROSEGMENTO;NROEMPRESA;STATUSVENDA;PRECOBASENORMAL;MOTIVOPRECOBASE;PRECOGERNORMAL;PRECOGERPROMOC;MOTIVOPRECOGERADO;PRECOVALIDNORMAL;PRECOVALIDPROMOC;MOTIVOPRECOVALIDO;FAIXAGERACRFIN;FAIXAVALIDACRFIN;INDEMIETIQUETA;PROCESSOALTERACAO;INDREPLICACAO;INDGEROUREPLICACAO;PRECOINDENIZACAO;SEQLISTAPRECOGER;SEQLISTAPRECOVALID;DTAGERACAOPRECO;DTAVALIDACAOPRECO;DTABASEEXPORTACAO;CODPROMPDVGER;FATPROMPDVGER;CODPROMPDVVALID;FATPROMPDVVALID;PONTOBASENORMAL;PONTOGERNORMAL;PONTOGERPROMOC;PONTOVALIDNORMAL;PONTOVALIDPROMOC;DTAALTERACAO;USUALTERACAO;PRECOMAXCONSUMIDOR;NROBASEEXPORTACAO;INDPRECOMONIT;MGMMINNORMAL;MGMMAXNORMAL;MGMMINPROMOC;MGMMAXPROMOC;PRECOMINNORMAL;PRECOMAXNORMAL;PRECOMINPROMOC;PRECOMAXPROMOC;VLRCUSTOLIQDIAPRECIF;INDBASESUGPRECO;SEQCCACORDOASSOCPRECOBASE;SEQCCACORDOASSOCPRECOGER;SEQCCACORDOASSOCPRECOVALIDO;MARGEMLUCROPRODEMPSEG;INDREVISAOPRECO;DTAGERREVISAOPRECO;USUGERREVISAOPRECO;DTAULTREVISAOPRECO;USUREVISAOPRECO;INDETIQUETARF;DTAGERACAOPRECOPROG;PRECOGERNORMALPROG;PRECOGERPROMOCPROG;PRECOEMITIDOPROMOC;USUAPROVASTATUSVDA;DTAAPROVASTATUSVDA;DTAHORALTSTATUSVDA;DTAHORIMPORTECOMMERCE;SEQCAMPANHABASE;VLRDIFCAMPANHAPRECOBASE;SEQCAMPANHAGER;VLRDIFCAMPANHAPRECOGER;SEQCAMPANHAVALID;VLRDIFCAMPANHAPRECOVALID;DTAHORCOLETAPRECO;USUVALIDAPRECO;DATAHORAALTERACAO;QTDETIQUETA;SEQPROMOCAO;INDETIQUETAMGL;NROBASEEXPORTACAOERP
9;1;1;14;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2025-11-13-14.58.07.000000;;2025-11-13-14.58.07.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.10.000000;;;;0
9;1;1;15;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2025-11-13-14.58.07.000000;;2025-11-13-14.58.07.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.10.000000;;;;0
9;1;1;10;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2025-11-13-14.58.07.000000;;2025-11-13-14.58.07.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.10.000000;;;;0
9;1;1;9;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2025-11-13-14.58.07.000000;;2025-11-13-14.58.07.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.10.000000;;;;0
9;1;1;1;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2025-11-13-14.58.07.000000;;2025-11-13-14.58.07.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.10.000000;;;;0
9;1;1;12;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2025-11-13-14.58.07.000000;;2025-11-13-14.58.07.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.10.000000;;;;0
9;1;1;900;A;0;;0;0;;0;0;;A;A;S;;S;;;;;2025-11-13-14.58.07.000000;;2025-11-13-14.58.07.000000;;;;;;;;;;;;;5520287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2026-07-03-11.48.11.000000;;;;0
10;1;1;13;A;10,69;teste;10,69;0;teste;10,69;0;teste;A;A;S;;S;;;;;2026-08-17-03.04.11.000000;2026-08-17-03.04.11.000000;2026-08-17-03.04.11.000000;;;;;;;;;;2026-08-17-03.04.11.000000;AUTOMATICO;;5612193;;;;;;;;;;9,100268;;;;;;;;;;;N;;;;-1;;;;;;;;;;;;AUTOMATICO;2026-08-24-10.17.30.000000;;;N;0
10;1;1;50;A;10,69;teste;10,69;0;teste;10,69;0;teste;A;A;N;;S;;;;;2026-08-17-03.06.08.000000;2026-08-17-03.06.08.000000;2026-08-17-03.06.08.000000;;;;;;;;;;2026-08-17-03.06.08.000000;AUTOMATICO;;5612193;;;;;;;;;;9,100268;;;;;;;;;;;;;;;-1;;;;;;;;;;;;AUTOMATICO;2026-08-24-10.17.30.000000;;;;0
10;1;1;6;A;10,69;teste;10,69;0;teste;10,69;0;teste;A;A;S;;S;;;;;2026-08-17-03.02.26.000000;2026-08-17-03.02.26.000000;2026-08-17-03.02.26.000000;;;;;;;;;;2026-08-17-03.02.26.000000;AUTOMATICO;;5612193;;;;;;;;;;9,100268;;;;;;;;;;;N;;;;-1;;;;;;;;;;;;AUTOMATICO;2026-08-24-10.17.30.000000;;;N;0
