CODIGO_PRODUTO;DESCRICAO;EAN_DUN;DEPARTAMENTO;GRUPO;SUBGRUPO;NIVEL_4
4545;CANECA PLASUTIL TRIO BAILARINA 6149;7896042061498;NAO ALIMENTO;BAZAR;BAZAR;UTILIDADES DOMESTICAS
4546;CANECA GZT 360ML BE0013 PORCEL;7890950010234;NAO ALIMENTO;BAZAR;BAZAR;UTILIDADES DOMESTICAS
4547;CANECA OXFORD 360ML 91 SORTIDA;7891361069569;NAO ALIMENTO;BAZAR;BAZAR;UTILIDADES DOMESTICAS
4548;CANECA GRASSRAL TABERNA OURO 340ML GREMIO GR1215;17898640210053;NAO ALIMENTO;BAZAR;BAZAR;UTILIDADES DOMESTICAS
4548;CANECA GRASSRAL TABERNA OURO 340ML GREMIO GR1215;7898640210056;NAO ALIMENTO;BAZAR;BAZAR;UTILIDADES DOMESTICAS
4549;CANECA GRASSRAL TABERNA OURO 340ML INTER GR1217;17898640210077;NAO ALIMENTO;BAZAR;BAZAR;UTILIDADES DOMESTICAS
4549;CANECA GRASSRAL TABERNA OURO 340ML INTER GR1217;7898640210070;NAO ALIMENTO;BAZAR;BAZAR;UTILIDADES DOMESTICAS
4550;CANETA HIDROGRAFICA LEO LEO 12UN REF 4517;17897256230011;NAO ALIMENTO;LIVRARIA;LIVRARIA E PAPELARIA;PAPELARIA
4550;CANETA HIDROGRAFICA LEO LEO 12UN REF 4517;7897256230014;NAO ALIMENTO;LIVRARIA;LIVRARIA E PAPELARIA;PAPELARIA
4551;CANETA JOCAR MARCA TEXTO C/2 AMARELA;67897256260785;NAO ALIMENTO;LIVRARIA;LIVRARIA E PAPELARIA;PAPELARIA
4551;CANETA JOCAR MARCA TEXTO C/2 AMARELA;7897256260783;NAO ALIMENTO;LIVRARIA;LIVRARIA E PAPELARIA;PAPELARIA
4552;CANETA JOGAR OFFICE 8ML CORRETIVA;7503002943281;NAO ALIMENTO;LIVRARIA;LIVRARIA E PAPELARIA;PAPELARIA
4552;CANETA JOGAR OFFICE 8ML CORRETIVA;7897256291428;NAO ALIMENTO;LIVRARIA;LIVRARIA E PAPELARIA;PAPELARIA
4553;CANUDO BRINKFEST 20UN SANF DECOR;7898521161958;NAO ALIMENTO;BAZAR;BAZAR;ARTIGOS FESTAS E DESCART
4634;CESTO PLASVALE P/PAPEL 9L REF 173;7891115001739;NAO ALIMENTO;BAZAR;BAZAR;UTILIDADES DOMESTICAS
4634;CESTO PLASVALE P/PAPEL 9L REF 173;7891115441733;NAO ALIMENTO;BAZAR;BAZAR;UTILIDADES DOMESTICAS
4641;CHALEIRA MOR ARCO INOX 2L;7896020677017;NAO ALIMENTO;BAZAR;BAZAR;UTILIDADES DOMESTICAS
4642;CHIN CARTAGO DAKAR 42 RF1073821733;7909510586970;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4643;CHIN IPANEMA FEELINGS 35 RF2642222296;7909510812833;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4644;CHIN IPANEMA GLITTER 35 RF2648125229;7909510556881;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4645;CHIN IPANEMA GLITTER 35 RF2648125369;7909510694965;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4646;CHIN IPANEMA GLITTER 36 RF2648125229;7909510556898;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4647;CHIN IPANEMA GLITTER 36 RF2648125369;7909510694972;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4648;CHIN IPANEMA GLITTER 37/8 2648125228;7909510556850;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
4649;CHIN IPANEMA GLITTER 37/8 2648125229;7909510556904;NAO ALIMENTO;CAMA- MESA- BANHO;CAMA-MESA-BANHO;VESTUARIO E ACESSORIOS
