DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_CONSINCO;descricao;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;QUANTIDADE_DISPONIVEL;QTD_PEND_PEDCOMPRA;QTD_VENDIDA_30D;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO;Pedir;Estq_CD_cx
MERCEARIA;NIDAL TUBASI;12;2484;KETCHUP ODERICH SH 200G;Ativo;24;24;4;24;452;72;96;3;33
MERCEARIA;NIDAL TUBASI;12;31251;KETCHUP TRAD VAL 1 010K;Ativo;9;9;-35;0;44;27;36;4;168,11
MERCEARIA;WETER SONNENFELDET;12;2668;LEITE PO ELEGE DESNATADO SH 400G;Ativo;25;25;7;0;44;19;44;2;20
MERCEARIA;WETER SONNENFELDET;12;20344;MAC INST NISSIN 85G CARNE TOMATE;Ativo;50;50;0;0;19;38;88;2;16,98
MERCEARIA;WETER SONNENFELDET;12;20357;MAC INST NISSIN 85G PICANHA;Ativo;50;50;-11;0;61;38;88;2;2
MERCEARIA;WETER SONNENFELDET;12;34884;MAC INST NISSIN CHICO BENTO 75G CH B CARNE BAT;Ativo;50;50;0;0;0;38;88;2;16
MERCEARIA;WETER SONNENFELDET;12;20339;MAC INST NISSIN CHICO BENTO 75G SUAV MILH MANT;Ativo;50;50;0;0;20;38;88;2;21,54
MERCEARIA;WETER SONNENFELDET;12;2740;MACARRAO CUP NOODLES 69G CHEDDAR;Ativo;24;24;0;0;9;18;42;2;22,96
MERCEARIA;WETER SONNENFELDET;12;20318;MACARRAO INST GERMANI 63G GALINHA;Ativo;50;50;172;0;872;250;400;5;543,1
MERCEARIA;NIDAL TUBASI;12;2813;MAIONESE ODERICH PRE 220G LIMAO;Ativo;12;12;4;0;3;10;22;2;6
MERCEARIA;WETER SONNENFELDET;12;20621;MAS FURADINHO ISABELA SEMOLA 400G;Ativo;24;24;23;24;119;72;120;3;83
MERCEARIA;WETER SONNENFELDET;12;20676;MAS PENNE BOM GOSTO SEMOLA 400G;Ativo;24;24;1;0;40;24;48;2;2
MERCEARIA;WETER SONNENFELDET;12;20638;MASSA C OVOS GERMANI 500G NHOQUE;Ativo;20;20;10;0;23;16;36;1;13,75
MERCEARIA;WETER SONNENFELDET;12;20611;MASSA SEMOLA GERMANI 1KG ESPAG;Ativo;10;10;10;0;59;40;50;4;3,3
MERCEARIA;WETER SONNENFELDET;12;20664;MASSA SEMOLA GERMANI 1KG PARAF;Ativo;10;10;2;0;19;8;18;2;33,7
MERCEARIA;WETER SONNENFELDET;12;20702;MASSA SEMOLA GERMANI TALHARIM 500G;Ativo;24;24;18;24;55;48;72;1;38,42
MERCEARIA;WETER SONNENFELDET;12;33372;MIST P BOLO APTI 380G CHOC C MOR;Ativo;12;12;-4;0;47;24;48;4;55,92
MERCEARIA;WETER SONNENFELDET;12;3707;MIST P BOLO APTI 400G LARANJA;Ativo;12;12;4;12;72;48;72;5;46,83
MERCEARIA;WETER SONNENFELDET;12;3712;MIST P BOLO APTI 400G QUATRO LEITES;Ativo;12;12;-15;0;101;36;48;4;4,75
MERCEARIA;NIDAL TUBASI;12;21038;MOL BARBECUE ODERICH PREMIUM 400G;Ativo;12;12;0;0;11;12;24;2;4
MERCEARIA;NIDAL TUBASI;12;921;MOLHO TOM ODERICH PASSATA LT 850G;Ativo;12;12;5;0;7;10;22;2;11,25
MERCEARIA;NIDAL TUBASI;12;2606;MOLHO TOM ODERICH SH 1 010G TRAD;Ativo;12;12;-22;30;78;36;48;2;604,5
MERCEARIA;NIDAL TUBASI;12;2609;MOLHO TOMATE ODERICH SH 1 010G PIZZA;Ativo;12;12;5;0;23;24;36;3;193
MERCEARIA;NIDAL TUBASI;12;985;MOSTARDA ODERICH SH 1KG;Ativo;6;6;29;0;45;30;60;5;10
MERCEARIA;NIDAL TUBASI;12;986;OLEO SOJA VITALIV PET 900ML;Ativo;20;20;158;400;1537;600;800;12;2288,2
MERCEARIA;WETER SONNENFELDET;12;1854;PAST DOCILE MINTY 14G MOR;Ativo;12;12;8;0;27;12;24;1;47
MERCEARIA;WETER SONNENFELDET;12;1837;PAST DOCILE ROLLY MINTY 29G FRUIT;Ativo;12;12;15;0;15;34;46;3;421
MERCEARIA;NIDAL TUBASI;12;2436;SALSICHA VIENA ODERICH 180G;Ativo;24;24;2;0;0;72;96;4;27
MERCEARIA;WETER SONNENFELDET;12;3772;VINAGRE ALCOOL KOLLER 750ML;Ativo;12;12;20;12;68;60;84;4;190
MERCEARIA;WETER SONNENFELDET;12;3790;VINAGRE VINHO KOLLER 500ML TINTO;Ativo;12;12;-5;0;20;10;22;2;54
PERECIVEIS;SANDRO MARTINS VIANNA;12;9756;LEITE TIROL INTEGRAL ZR LACTOSE 1L;Ativo;12;12;176;36;157;240;360;12;3,42
PERECIVEIS;SANDRO MARTINS VIANNA;12;6791;LEITE UHT PET ELEGE 1L DESNATADO;Ativo;6;6;84;0;0;96;120;6;60
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;12290;AGUA SANIT IMPERIAL 2L;Ativo;6;6;22;6;268;48;66;6;140,67
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;3951;AGUA SANIT Q BOA 2L;Ativo;6;6;-35;24;91;48;66;7;67,83
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;3954;AGUA SANIT YPE 2L;Ativo;6;6;-11;0;12;12;18;3;203
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;37433;AGUA SANITARIA SUPREMA 1 L;Ativo;12;12;0;0;0;96;132;11;170
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;37437;AGUA SANITARIA SUPREMA 2 L;Ativo;6;6;0;0;0;48;72;12;45
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;3971;ALCOOL 46 SUPER VALE 1L;Ativo;12;12;10;0;0;24;36;2;20
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;34845;ALVEJ BARBAREX 2L S CLORO;Ativo;6;6;3;6;22;12;18;2;91
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;4178;AMAC DOWNY 1 5L LIRIOS DO CAMPO;Ativo;9;9;-12;0;33;13;22;3;90,56
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;12395;AMACIANTE AQUAFAST 2L VERM SED;Ativo;6;6;4;6;26;18;24;2;38
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;12540;AP VENUS 3 INTIMA DISPO C 2;Ativo;1;1;9;0;0;10;22;13;12
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;5263;CR DENTAL ORAL B 50G KIDS MICKEY;Ativo;24;24;2;0;5;18;42;2;3
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;9279;DESINF AQUAFAST 1L CAMPOS LAVANDA;Ativo;12;12;0;0;0;18;22;2;4
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;37423;DESINF AQUAFAST 2L HARMONIA NAT;Ativo;6;6;11;0;1;12;18;1;23
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;5434;DESINF AQUAFAST HARMONIA 2L LAVANDA;Ativo;6;6;13;0;15;18;24;2;51
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;17190;DESINF IMPERIAL 5L LAVANDA;Ativo;4;4;2;16;60;24;32;4;51,5
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;5579;DESOD AERO OLD SPICE 93G MAR PROFUNDO;Ativo;12;12;2;0;2;6;12;1;5,83
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;17348;DET LIQ GIRANDO SOL 1L GLICA;Ativo;12;12;1;0;14;12;24;2;18
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;17420;DET PO TIXAN YPE CT 400PRIMAVERA;Ativo;28;28;14;28;70;56;84;2;25,96
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;5692;DETERG YPE 500 ML NEUTRO;Ativo;24;24;-234;72;314;96;144;3;583
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;6134;FRALDA DESC LOOMPIG JUMBINHO XXG 12 UN;Ativo;8;8;1;8;2;12;14;1;40
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;9620;INSET MAT INSET MULTI 360ML GT33ML EUCALIPTO;Ativo;12;12;5;0;14;10;22;2;8
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;19378;INSET PROINSET SUPER ECONOMICO 750ML;Ativo;12;12;-12;0;120;180;200;17;313
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;6692;LAVA ROUPA BRILHANTE 3L LIMPEZA TOTAL;Ativo;4;4;8;16;35;30;36;3;502,75
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;6731;LAVA ROUPA OMO 900ML LAV PERF DOYP;Ativo;12;12;11;0;22;48;60;4;328
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;37435;LAVA ROUPA SUPREMA AZUL 3L;Ativo;6;6;0;6;0;30;36;5;5
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;37438;LAVA ROUPA SUPREMA VERDE 3L;Ativo;6;6;0;6;0;30;36;5;4
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;17339;LAVA ROUPAS LIQ BARBAREX 5L;Ativo;2;2;3;6;57;12;16;4;253,5
PERFUMARIA E LIMPEZA;NJOUD HASSAN ZITAWI;12;21296;ODORIZ AMAZONIA AROM 270ML ALFAZEMA;Ativo;12;12;-5;0;12;12;24;2;9,25
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;7354;PAPEL HIG DUETTO FD 12 UN DE 30M NEUTRO;Ativo;6;6;3;6;0;30;36;5;39,83
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;37439;REMOVEDOR MULTIUSO SUPREMA FLOR 1L;Ativo;12;12;0;0;0;12;24;2;19
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;23001;SAB FONTANA SENSUS 150G FOR MEN;Ativo;72;72;-13;0;0;72;144;2;62
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;7799;SABAO BARRA YPE 900G GLIC FRESH;Ativo;12;12;19;24;42;48;60;2;3
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;7808;SABAO PO BRILHANTE 1 6KG LIMPEZA TOTAL;Ativo;9;9;0;18;45;31;49;4;4
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;7804;SABAO PO BRILHANTE 1.450+150G GT LIMPEZA TOTAL;Ativo;9;9;-2;0;0;21;30;3;29
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;23162;SABAO ZAVASKI GLIC LIMAO C 5 200G;Ativo;10;10;5;0;35;10;20;2;45,8
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;7944;SABON PALMOLIVE NATURALS 150G KARITE;Ativo;72;72;0;0;143;54;126;2;17,67
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;10177;SABON PALMOLIVE NATURALS 85G LEITE ROSAS;Ativo;24;24;107;0;113;108;216;5;80,5
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;7883;SABONETE DOVE 90G ORIGINAL;Ativo;48;48;124;48;121;192;240;2;289
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;8292;SH PANTENE 175ML LISO EXTREMO;Ativo;6;6;5;0;5;6;12;1;20
PERFUMARIA E LIMPEZA;JOAO BATISTA;12;8552;TALCO ALMA DE FLORES 100G;Ativo;12;12;1;0;4;10;22;2;2
PRODUTOS PET;JOAO BATISTA;12;3976;ALIM CAO ALPO AD 10 1KG CAR FGO CER VEG;Ativo;1;1;5;0;2;8;12;7;2
PRODUTOS PET;JOAO BATISTA;12;3990;ALIM CAO DOG CHOW100G SACHE TOD TAM AD RA PEQ CARN;Ativo;15;15;12;0;7;75;90;5;21
PRODUTOS PET;JOAO BATISTA;12;22702;RAC DODOG ORIG 10 1K;Ativo;1;1;0;0;0;15;20;20;153
PRODUTOS PET;JOAO BATISTA;12;22707;RAC DODOPREM P RACAS 10 1K;Ativo;1;1;6;1;4;10;15;8;97
PRODUTOS PET;JOAO BATISTA;12;22744;RAC SNOW DOG FGO TOMATE 5K;Ativo;1;1;0;0;3;8;12;12;219
BEBIDAS;NICOLAS AUGUSTO P. BORGES;13;144;CERV AMSTEL LT 473ML LAGER;Ativo;12;12;77;216;687;300;420;11;2300,75
BEBIDAS;NICOLAS AUGUSTO P. BORGES;13;213;CERV SKOL PILSEN LT 473ML;Ativo;12;12;-240;0;9467;2760;3936;328;5280,33
BEBIDAS;NICOLAS AUGUSTO P. BORGES;13;764;REFRIG COCA COLA PET 200ML ZERO;Ativo;12;12;102;0;702;108;144;4;17,5
BEBIDAS;NICOLAS AUGUSTO P. BORGES;13;806;REFRIG FANTA LARANJA PET 2L;Ativo;8;8;123;304;1138;688;976;69;4,5
MERCEARIA;WETER SONNENFELDET;13;2913;ACHOC LIQ NESCAU 180ML ACTIC GO;Ativo;27;27;7;0;275;271;379;14;4
MERCEARIA;WETER SONNENFELDET;13;2909;ACHOC LIQ SHOWKINHO 200ML;Ativo;27;27;-909;540;4201;703;919;14;156,56
MERCEARIA;WETER SONNENFELDET;13;3400;BARRA CEREAL RITTER 25G BAN AVEIA MEL;Ativo;24;24;0;0;0;192;384;16;2
MERCEARIA;WETER SONNENFELDET;13;3383;CALDO APTI 19G GALINHA;Ativo;216;216;56;0;23;120;144;1;3,22
MERCEARIA;WETER SONNENFELDET;13;3373;CALDO MAGGI 57G CARNE;Ativo;150;150;0;0;12;50;60;1;2,85
MERCEARIA;WETER SONNENFELDET;13;3374;COCO RALADO MENINA 100G UMIDO ADOCADO;Ativo;12;12;0;12;0;18;42;3;3
MERCEARIA;NIDAL TUBASI;13;2747;FARINHA TRIGO ROSESOL 5KG;Ativo;5;5;23;0;72;31;41;4;100
MERCEARIA;WETER SONNENFELDET;13;2668;LEITE PO ELEGE DESNATADO SH 400G;Ativo;25;25;6;0;33;19;44;2;20
MERCEARIA;WETER SONNENFELDET;13;3862;SAL MOIDO PREMIUM 1KG;Ativo;30;30;105;0;386;120;150;2;252,27
PERECIVEIS;SANDRO MARTINS VIANNA;13;9741;LEITE SANTA CLARA LV SEMI DESN 1L;Ativo;12;12;-1;108;251;144;180;6;136
PERFUMARIA E LIMPEZA;JOAO BATISTA;13;36183;CD ELSEVE COLLAGEN LIFTER 200ML;Ativo;12;12;7;0;5;8;12;1;2
PERFUMARIA E LIMPEZA;JOAO BATISTA;13;37435;LAVA ROUPA SUPREMA AZUL 3L;Ativo;6;6;0;30;0;48;60;5;5
PERFUMARIA E LIMPEZA;JOAO BATISTA;13;37438;LAVA ROUPA SUPREMA VERDE 3L;Ativo;6;6;0;30;0;48;60;5;4
PERFUMARIA E LIMPEZA;JOAO BATISTA;13;7808;SABAO PO BRILHANTE 1 6KG LIMPEZA TOTAL;Ativo;9;9;-3;9;29;19;28;2;4
BEBIDAS;NICOLAS AUGUSTO P. BORGES;14;213;CERV SKOL PILSEN LT 473ML;Ativo;12;12;178;0;6858;1788;2328;179;5280,33
MERCEARIA;WETER SONNENFELDET;14;2913;ACHOC LIQ NESCAU 180ML ACTIC GO;Ativo;27;27;-10;0;99;87;114;4;4
MERCEARIA;NIDAL TUBASI;14;2177;ARROZ BCO SABOROSO TP1 5KG;Ativo;6;6;11;48;113;60;78;3;31
MERCEARIA;NIDAL TUBASI;14;2331;AZEITONA VERDE VALE FERTIL SH 120G S CAROCO;Ativo;24;24;9;24;54;38;62;1;5
MERCEARIA;WETER SONNENFELDET;14;3400;BARRA CEREAL RITTER 25G BAN AVEIA MEL;Ativo;24;24;0;24;0;144;336;13;2
MERCEARIA;WETER SONNENFELDET;14;994;BISC MUCILON LANCHINHO 35G LAR BAN;Ativo;15;15;11;15;5;31;46;1;2
MERCEARIA;WETER SONNENFELDET;14;2031;CAFE SOL 3C CAPPUCCINO SH 20G CANELA;Ativo;16;16;-47;16;82;50;100;5;2,38
MERCEARIA;WETER SONNENFELDET;14;20357;MAC INST NISSIN 85G PICANHA;Ativo;50;50;34;0;92;38;88;1;2
MERCEARIA;WETER SONNENFELDET;14;20318;MACARRAO INST GERMANI 63G GALINHA;Ativo;50;50;-27;200;778;240;340;3;543,1
MERCEARIA;NIDAL TUBASI;14;2468;SARDINHA COQUEIRO 125G OLEO;Ativo;54;54;3;0;487;54;108;2;4
PERFUMARIA E LIMPEZA;JOAO BATISTA;14;4156;AMAC CONC COMFORT 900ML RF BRISA ELEGANTE;Ativo;12;12;6;0;17;8;12;1;4
BEBIDAS;NICOLAS AUGUSTO P. BORGES;17;213;CERV SKOL PILSEN LT 473ML;Ativo;12;12;-2345;0;6688;2376;3384;282;5280,33
BEBIDAS;NICOLAS AUGUSTO P. BORGES;17;762;REFRIG COCA COLA PET 200ML;Ativo;12;12;91;0;1514;348;456;31;254,75
BEBIDAS;NICOLAS AUGUSTO P. BORGES;17;764;REFRIG COCA COLA PET 200ML ZERO;Ativo;12;12;113;0;656;120;156;4;17,5
MERCEARIA;WETER SONNENFELDET;17;2911;ACHOC LIQ ITALAC 200ML;Ativo;24;24;150;0;123;168;216;3;1204
MERCEARIA;WETER SONNENFELDET;17;2913;ACHOC LIQ NESCAU 180ML ACTIC GO;Ativo;27;27;-16;0;58;135;162;6;4
MERCEARIA;NIDAL TUBASI;17;12228;ACUCAR CRISTAL DOCESUCAR 5KG;Ativo;6;6;105;60;810;180;234;12;309,67
MERCEARIA;NIDAL TUBASI;17;2098;ARROZ BCO OESTE TP1 2KG;Ativo;15;15;15;0;98;45;60;3;50,6
MERCEARIA;NIDAL TUBASI;17;2323;ATUM SOLIDO NAUTIQUE 170G EM OLEO;Ativo;24;24;-97;24;265;48;72;2;2,96
MERCEARIA;WETER SONNENFELDET;17;3400;BARRA CEREAL RITTER 25G BAN AVEIA MEL;Ativo;24;24;-71;0;78;192;384;16;2
MERCEARIA;WETER SONNENFELDET;17;994;BISC MUCILON LANCHINHO 35G LAR BAN;Ativo;15;15;0;15;0;31;46;2;2
MERCEARIA;WETER SONNENFELDET;17;3373;CALDO MAGGI 57G CARNE;Ativo;150;150;-4;0;0;50;60;1;2,85
MERCEARIA;WETER SONNENFELDET;17;2229;CAPSULA DOLCE GUSTO 70G C 10 LUNGO;Ativo;6;6;-25;6;1;12;18;2;2
MERCEARIA;WETER SONNENFELDET;17;2278;CEVADA CORSETTI SOLUVEL 100G;Ativo;6;6;26;6;16;36;60;5;2
MERCEARIA;WETER SONNENFELDET;17;1272;CHOC BARRA GAROTO CHOC BCO 80G;Ativo;64;64;70;0;154;80;96;1;15,36
MERCEARIA;WETER SONNENFELDET;17;3411;CREME CULINARIO DAUS TP 200G;Ativo;27;27;243;378;3287;757;1000;14;4697,3
MERCEARIA;NIDAL TUBASI;17;2509;ERVA MATE PONCHE VERDE 500G MOIDA GROSSA;Ativo;20;20;20;0;160;80;120;5;23,3
MERCEARIA;NIDAL TUBASI;17;2737;FARINHA TRIGO ROSESOL 1KG;Ativo;10;10;21;0;1484;200;300;28;1244
MERCEARIA;NIDAL TUBASI;17;2747;FARINHA TRIGO ROSESOL 5KG;Ativo;5;5;-12;10;71;31;41;6;100
MERCEARIA;NIDAL TUBASI;17;2329;FEIJAO PRETO CALDO OURO 500G;Ativo;10;10;255;0;238;260;360;11;60,9
MERCEARIA;WETER SONNENFELDET;17;3524;FERM QUIMICO PO FLEISCHMANN PT 100G;Ativo;6;6;2;12;36;72;144;22;6,67
MERCEARIA;WETER SONNENFELDET;17;20357;MAC INST NISSIN 85G PICANHA;Ativo;50;50;9;0;46;38;88;2;2
MERCEARIA;NIDAL TUBASI;17;2767;MAIONESE HELLMANNS SH 200G;Ativo;24;24;231;432;1638;672;960;12;70
MERCEARIA;NIDAL TUBASI;17;2841;MAIONESE HELLMANNS SH 400G;Ativo;12;12;53;204;408;300;420;14;56
MERCEARIA;WETER SONNENFELDET;17;2503;MARROM GLACE VAL 300G;Ativo;24;24;19;0;102;24;48;1;2,46
MERCEARIA;WETER SONNENFELDET;17;20611;MASSA SEMOLA GERMANI 1KG ESPAG;Ativo;10;10;21;0;59;40;50;3;3,3
MERCEARIA;WETER SONNENFELDET;17;3682;MIST LACTEA COND TRIANGULO TP 395G;Ativo;27;27;404;0;704;405;567;6;165,15
MERCEARIA;WETER SONNENFELDET;17;3704;MIST P BOLO APTI 400G CHOC;Ativo;12;12;-8;60;298;72;96;3;140,17
MERCEARIA;WETER SONNENFELDET;17;3712;MIST P BOLO APTI 400G QUATRO LEITES;Ativo;12;12;3;12;105;36;48;3;4,75
MERCEARIA;NIDAL TUBASI;17;986;OLEO SOJA VITALIV PET 900ML;Ativo;20;20;588;0;4846;600;800;11;2288,2
PERECIVEIS;SANDRO MARTINS VIANNA;17;6799;LEITE SANTA CLARA 1L ZERO LACTOSE;Ativo;12;12;16;324;884;360;480;12;87,83
PERECIVEIS;SANDRO MARTINS VIANNA;17;9756;LEITE TIROL INTEGRAL ZR LACTOSE 1L;Ativo;12;12;100;240;348;360;480;12;3,42
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;17371;DET LIQ TIXAN YPE POUCH 900ML PRIMAVERA;Ativo;12;12;0;0;0;12;24;2;2
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;9542;FRALDA DESC BABYSEC JUMBINHO XG 12 UN;Ativo;8;8;10;0;12;12;14;1;21,5
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;37435;LAVA ROUPA SUPREMA AZUL 3L;Ativo;6;6;0;30;0;48;60;5;5
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;37438;LAVA ROUPA SUPREMA VERDE 3L;Ativo;6;6;0;30;0;48;60;5;4
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;6858;LIMP COZ MR MUSC GR 500ML 100ML AP;Ativo;12;12;7;0;19;8;12;1;2
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;7808;SABAO PO BRILHANTE 1 6KG LIMPEZA TOTAL;Ativo;9;9;1;9;40;19;28;2;4
PERFUMARIA E LIMPEZA;JOAO BATISTA;17;8552;TALCO ALMA DE FLORES 100G;Ativo;12;12;0;0;1;10;22;2;2
BEBIDAS;NICOLAS AUGUSTO P. BORGES;18;50;AGUA MIN AGUA DA PEDRA PET 5L S GAS;Ativo;4;4;0;0;0;28;40;10;522,75
BEBIDAS;NICOLAS AUGUSTO P. BORGES;18;213;CERV SKOL PILSEN LT 473ML;Ativo;12;12;572;0;5164;2052;2928;196;5280,33
BEBIDAS;NICOLAS AUGUSTO P. BORGES;18;188;CERVEJA POLAR LT 473ML EXPORT;Ativo;12;12;30;0;388;120;144;10;252,92
BEBIDAS;NICOLAS AUGUSTO P. BORGES;18;806;REFRIG FANTA LARANJA PET 2L;Ativo;8;8;468;0;864;472;672;26;4,5
BEBIDAS;NICOLAS AUGUSTO P. BORGES;18;838;REFRIG FRUKI PET 3L GUARANA;Ativo;4;4;73;16;308;148;208;30;35,75
MERCEARIA;WETER SONNENFELDET;18;2911;ACHOC LIQ ITALAC 200ML;Ativo;24;24;1;192;264;216;288;4;1204
MERCEARIA;WETER SONNENFELDET;18;2913;ACHOC LIQ NESCAU 180ML ACTIC GO;Ativo;27;27;-98;0;222;189;216;8;4
MERCEARIA;NIDAL TUBASI;18;2098;ARROZ BCO OESTE TP1 2KG;Ativo;15;15;-9;0;33;15;30;2;50,6
MERCEARIA;NIDAL TUBASI;18;2118;ARROZ BCO SABOROSO TP1 2KG;Ativo;15;15;15;45;151;75;90;2;10,67
MERCEARIA;WETER SONNENFELDET;18;3400;BARRA CEREAL RITTER 25G BAN AVEIA MEL;Ativo;24;24;0;48;0;192;384;14;2
MERCEARIA;WETER SONNENFELDET;18;994;BISC MUCILON LANCHINHO 35G LAR BAN;Ativo;15;15;-20;0;14;61;91;6;2
MERCEARIA;WETER SONNENFELDET;18;2031;CAFE SOL 3C CAPPUCCINO SH 20G CANELA;Ativo;16;16;31;16;19;50;100;3;2,38
MERCEARIA;WETER SONNENFELDET;18;3374;COCO RALADO MENINA 100G UMIDO ADOCADO;Ativo;12;12;0;0;3;18;42;4;3
MERCEARIA;NIDAL TUBASI;18;2747;FARINHA TRIGO ROSESOL 5KG;Ativo;5;5;-2;5;35;31;41;7;100
MERCEARIA;NIDAL TUBASI;18;2325;FEIJAO PRETO ARBAZA PREMIUM 500G;Ativo;12;12;102;48;141;156;168;2;4,5
MERCEARIA;WETER SONNENFELDET;18;3704;MIST P BOLO APTI 400G CHOC;Ativo;12;12;3;48;351;72;96;4;140,17
MERCEARIA;NIDAL TUBASI;18;2568;MOLHO TOM CAJAMAR SH 300G TRAD;Ativo;32;32;-521;128;878;174;238;4;200,78
MERCEARIA;NIDAL TUBASI;18;2573;MOLHO TOM FUGINI SH 300G TRAD;Ativo;36;36;102;576;874;684;972;8;843,11
MERCEARIA;NIDAL TUBASI;18;2468;SARDINHA COQUEIRO 125G OLEO;Ativo;54;54;8;0;888;54;108;2;4
MERCEARIA;WETER SONNENFELDET;18;1014;TEMP COMPLETO ODERICH 1KG S PIMENTA;Ativo;12;12;9;0;18;10;22;1;2
NAO ALIMENTO;SANDRO MARTINS VIANNA;18;20097;LENHA P FOGAO 10K;Ativo;1;1;0;0;2;5;10;10;125
PERFUMARIA E LIMPEZA;JOAO BATISTA;18;12293;AGUA SANIT ZAVASKI 5L;Ativo;4;4;-99;0;23;8;12;3;115,25
PERFUMARIA E LIMPEZA;JOAO BATISTA;18;37435;LAVA ROUPA SUPREMA AZUL 3L;Ativo;6;6;0;36;0;48;60;4;5
PERFUMARIA E LIMPEZA;JOAO BATISTA;18;37438;LAVA ROUPA SUPREMA VERDE 3L;Ativo;6;6;0;30;0;48;60;5;4
