DEPARTAMENTO;COMPRADOR;CODIGO_EMPRESA;CODIGO_CONSINCO;descricao;STATUS_COMPRA;EMBL_COMPRA;EMBL_TRANSFERENCIA;QUANTIDADE_DISPONIVEL;QTD_PEND_PEDCOMPRA;QTD_VENDIDA_30D;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO;Pedir;Estq_CD_cx
PERFUMARIA E LIMPEZA;JOAO BATISTA;5;37437;AGUA SANITARIA SUPREMA 2 L;Ativo;6;6;0;0;0;24;36;6;45
PERFUMARIA E LIMPEZA;JOAO BATISTA;5;17371;DET LIQ TIXAN YPE POUCH 900ML PRIMAVERA;Ativo;12;12;4;0;21;14;26;2;2
PERFUMARIA E LIMPEZA;JOAO BATISTA;5;9543;FRALDA DESC BABYSEC JUMBINHO XXG 12 UN;Ativo;8;8;0;0;0;8;16;2;29
PERFUMARIA E LIMPEZA;JOAO BATISTA;5;18746;FRALDA DESC FERINHA JUMBINHO C 14 XXG;Ativo;12;12;0;0;0;12;24;2;31
PERFUMARIA E LIMPEZA;JOAO BATISTA;5;9546;FRALDA MILI JUMBINHO G 20UN;Ativo;9;9;-1;0;0;13;22;3;85,89
PERFUMARIA E LIMPEZA;JOAO BATISTA;5;9549;FRALDA MILI JUMBINHO XG 18UN;Ativo;9;9;0;0;0;13;22;3;72,78
PERFUMARIA E LIMPEZA;JOAO BATISTA;5;37435;LAVA ROUPA SUPREMA AZUL 3L;Ativo;6;6;0;6;0;24;30;4;5
PERFUMARIA E LIMPEZA;JOAO BATISTA;5;37438;LAVA ROUPA SUPREMA VERDE 3L;Ativo;6;6;0;6;0;24;30;4;4
PERFUMARIA E LIMPEZA;JOAO BATISTA;5;23001;SAB FONTANA SENSUS 150G FOR MEN;Ativo;72;72;-124;0;29;54;126;2;62
PERFUMARIA E LIMPEZA;JOAO BATISTA;5;10197;SAB SENSUS BEAUTY ESSENCE 80G JARDINS TURQUIA;Ativo;108;108;57;0;192;74;182;1;41
PERFUMARIA E LIMPEZA;JOAO BATISTA;5;8677;TOALHINHA UMED MILI LOVE CARE 100UN;Ativo;12;12;9;0;12;12;24;1;18
BEBIDAS;NICOLAS AUGUSTO P. BORGES;6;213;CERV SKOL PILSEN LT 473ML;Ativo;12;12;-1628;0;13653;2304;3000;250;5280,33
MERCEARIA;WETER SONNENFELDET;6;2911;ACHOC LIQ ITALAC 200ML;Ativo;24;24;49;96;98;168;216;3;1204
MERCEARIA;WETER SONNENFELDET;6;2913;ACHOC LIQ NESCAU 180ML ACTIC GO;Ativo;27;27;16;0;82;109;163;6;4
MERCEARIA;NIDAL TUBASI;6;2098;ARROZ BCO OESTE TP1 2KG;Ativo;15;15;-2;0;27;11;26;2;50,6
