CODIGO_PRODUTO;DESCRICAO_PRODUTO;EMBL_TRANSFERENCIA;CODIGO_EMPRESA;NOVO_MINIMO;NOVO_MAXIMO;REGRA_MINIMO;REGRA_MAXIMO;QUANTIDADE_ESTOQUE_MINIMO;QUANTIDADE_ESTOQUE_MAXIMO;DIAS_RELATORIO_VENDA;VENDA_MEDIA
684;SUCO MAGUARY CONCENTRADO PET 500ML MARACUJA;12;15;104;260;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;90;180;60;0
143;VH ARBO RIESLING SC 750ML;6;15;36;90;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;30;36;60;0
281;VH RELAX FRISANTE BCO 750ML DEMI SEC;6;15;56;140;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;38;44;60;0
283;VH RELAX FRISANTE ROSE SV 750ML;6;15;56;140;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;48;54;60;0
655;WHISKY PASSPORT 1L;1;15;84;140;UNITARIO_PISO_6;UNITARIO_LENTO_FIXO_10;69;89;60;0
34306;REFRIG COCA COLA PET 1L;6;18;48;66;VENDA_4_DIAS;ALTO_VOLUME_35;36;48;60;11,97
3874;BOMBOM AMOR CARIOCA 200G;30;1;30;59;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;22;52;60;7,17
36101;CHOC BARRA NESTLE ALPINO 80G AO LEITE;64;1;40;103;PISO_60_EMBALAGEM+PAR;UMA_CAIXA_ACIMA;32;96;60;0,58
1962;BIS LACTA 100 8G BRANCO;65;2;110;175;VENDA_4_DIAS;UMA_CAIXA_ACIMA;65;130;60;27,48
3874;BOMBOM AMOR CARIOCA 200G;30;2;92;151;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;30;60;60;22,68
3875;BOMBOM AMOR CARIOCA 200G BRANCO;30;2;40;70;VENDA_4_DIAS;UMA_CAIXA_ACIMA;30;60;60;9,77
3876;BOMBOM AMOR CARIOCA 200G DUO;30;2;36;65;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;30;60;60;8,72
13712;BOMBOM NESTLE ESPECIALIDADES 251G;30;2;138;197;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;60;90;60;34,25
1296;CHOC BARRA NESTLE 80G GALAK GALAK;64;2;56;119;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;40;103;60;13,67
20596;MAS CASEIRA MOSMANN MULT PARAF 400G;20;2;12;32;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;6;26;60;0,03
1962;BIS LACTA 100 8G BRANCO;65;3;236;366;VENDA_4_DIAS;ALTO_VOLUME_35;76;141;60;58,87
1964;BIS LACTA 100 8G LIMAO;65;3;72;137;VENDA_4_DIAS;UMA_CAIXA_ACIMA;65;130;60;17,77
3874;BOMBOM AMOR CARIOCA 200G;30;3;98;158;VENDA_4_DIAS;ALTO_VOLUME_35;60;90;60;24,35
3875;BOMBOM AMOR CARIOCA 200G BRANCO;30;3;72;102;VENDA_4_DIAS;UMA_CAIXA_ACIMA;30;60;60;17,85
3876;BOMBOM AMOR CARIOCA 200G DUO;30;3;134;193;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;30;90;60;33,25
13712;BOMBOM NESTLE ESPECIALIDADES 251G;30;3;336;455;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;66;96;60;83,55
1296;CHOC BARRA NESTLE 80G GALAK GALAK;64;3;92;156;VENDA_4_DIAS;UMA_CAIXA_ACIMA;64;127;60;22,88
1433;CHOC KIT KAT 41 5G FINGER BRANCO;24;3;28;51;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;18;42;60;6,67
34290;CHOC STIKADINHO STICKS 29G MORANGO;64;3;40;103;PISO_60_EMBALAGEM+PAR;UMA_CAIXA_ACIMA;12;76;60;0,73
3657;LEITE COCO TRISANTI 200ML;12;3;18;29;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;12;24;60;4,17
20391;MAIONESE LIZA CASEIRA 450G;12;3;200;271;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;120;144;60;49,73
22637;QJO RAL PRESIDENTE 50G;20;3;48;68;VENDA_4_DIAS;UMA_CAIXA_ACIMA;40;80;60;11,97
36813;ARROZ BCO BOM DE PANELA TP1 5KG;6;4;38;55;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;30;48;60;9,23
1962;BIS LACTA 100 8G BRANCO;65;4;103;168;VENDA_4_DIAS;UMA_CAIXA_ACIMA;57;122;60;25,6
3874;BOMBOM AMOR CARIOCA 200G;30;4;46;75;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;22;52;60;11,22
3875;BOMBOM AMOR CARIOCA 200G BRANCO;30;4;34;64;VENDA_4_DIAS;UMA_CAIXA_ACIMA;22;52;60;8,48
3876;BOMBOM AMOR CARIOCA 200G DUO;30;4;48;77;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;24;54;60;11,75
37222;BOMBOM GAROTO FINOS 220G SORTIDOS;30;4;50;80;VENDA_4_DIAS;UMA_CAIXA_ACIMA;30;60;60;12,32
13712;BOMBOM NESTLE ESPECIALIDADES 251G;30;4;94;154;VENDA_4_DIAS;ALTO_VOLUME_35;54;84;60;23,33
37967;CHA BARAO 13G BOLDO;30;4;18;48;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;10;40;60;0
37957;CHA BARAO 13G PTO;30;4;18;48;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;10;45;60;0
20391;MAIONESE LIZA CASEIRA 450G;12;4;82;117;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;60;96;60;20,02
36813;ARROZ BCO BOM DE PANELA TP1 5KG;6;5;54;78;VENDA_4_DIAS;ALTO_VOLUME_35;30;48;60;13,5
1962;BIS LACTA 100 8G BRANCO;65;5;72;137;VENDA_4_DIAS;UMA_CAIXA_ACIMA;57;122;60;17,97
3874;BOMBOM AMOR CARIOCA 200G;30;5;56;86;VENDA_4_DIAS;UMA_CAIXA_ACIMA;22;52;60;13,93
13699;BOMBOM BEL SORT 180G;30;5;38;67;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;30;60;60;9,18
37222;BOMBOM GAROTO FINOS 220G SORTIDOS;30;5;46;76;VENDA_4_DIAS;UMA_CAIXA_ACIMA;30;60;60;11,48
13712;BOMBOM NESTLE ESPECIALIDADES 251G;30;5;64;94;VENDA_4_DIAS;UMA_CAIXA_ACIMA;54;84;60;15,82
37967;CHA BARAO 13G BOLDO;30;5;18;48;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;10;40;60;0
37957;CHA BARAO 13G PTO;30;5;18;48;PISO_60_EMBALAGEM;UMA_CAIXA_ACIMA;10;45;60;0
20391;MAIONESE LIZA CASEIRA 450G;12;5;68;91;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;60;96;60;16,7
1965;BIS LACTA 100 8G AO LEITE;65;6;211;341;VENDA_4_DIAS;ALTO_VOLUME_35;131;196;60;52,6
1962;BIS LACTA 100 8G BRANCO;65;6;120;185;VENDA_4_DIAS;UMA_CAIXA_ACIMA;65;130;60;29,77
3874;BOMBOM AMOR CARIOCA 200G;30;6;76;106;VENDA_4_DIAS;UMA_CAIXA_ACIMA;30;60;60;18,95
3875;BOMBOM AMOR CARIOCA 200G BRANCO;30;6;36;65;VENDA_4_DIAS+PAR;UMA_CAIXA_ACIMA;22;52;60;8,6
13699;BOMBOM BEL SORT 180G;30;6;68;98;VENDA_4_DIAS;UMA_CAIXA_ACIMA;60;120;60;16,92
13712;BOMBOM NESTLE ESPECIALIDADES 251G;30;6;152;211;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;60;90;60;37,75
2909;ACHOC LIQ SHOWKINHO 200ML;27;7;281;389;VENDA_4_DIAS;ALTO_VOLUME_35;240;320;60;70,02
36813;ARROZ BCO BOM DE PANELA TP1 5KG;6;7;74;103;VENDA_4_DIAS+PAR;ALTO_VOLUME_35;30;48;60;18,1
1962;BIS LACTA 100 8G BRANCO;65;7;89;154;VENDA_4_DIAS;UMA_CAIXA_ACIMA;57;122;60;22,17
