DEPARTAMENTO;SECAO;GRUPO;SUBGRUPO;NIVEL5;NIVEL6;COMPRADOR;CODIGO_PRODUTO;DESCRICAO_PRODUTO;STATUS;MARGEM_OBJETIVA;VENDA_VALOR;VENDA_PROMOCAO
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;16;AGUA MIN CRYSTAL PET 1 5L S GAS;A;24;420,49;101,7
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;16;AGUA MIN CRYSTAL PET 1 5L S GAS;A;24;534,31;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;16;AGUA MIN CRYSTAL PET 1 5L S GAS;A;24;663,22;178,3
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;16;AGUA MIN CRYSTAL PET 1 5L S GAS;A;24;965,35;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 1,5 L;;NICOLAS;16;AGUA MIN CRYSTAL PET 1 5L S GAS;A;24;2864,62;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;25;AGUA MIN DA PEDRA PET 2L C GAS;A;24;153,72;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;25;AGUA MIN DA PEDRA PET 2L C GAS;A;24;181,17;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;25;AGUA MIN DA PEDRA PET 2L C GAS;A;24;274,5;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;25;AGUA MIN DA PEDRA PET 2L C GAS;A;24;277,92;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;25;AGUA MIN DA PEDRA PET 2L C GAS;A;24;285,48;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;25;AGUA MIN DA PEDRA PET 2L C GAS;A;24;329,4;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;25;AGUA MIN DA PEDRA PET 2L C GAS;A;24;384,3;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;25;AGUA MIN DA PEDRA PET 2L C GAS;A;24;461,16;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;25;AGUA MIN DA PEDRA PET 2L C GAS;A;24;538,02;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;25;AGUA MIN DA PEDRA PET 2L C GAS;A;24;549;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;25;AGUA MIN DA PEDRA PET 2L C GAS;A;24;774,09;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;25;AGUA MIN DA PEDRA PET 2L C GAS;A;24;1103,49;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;25;AGUA MIN DA PEDRA PET 2L C GAS;A;24;1608,57;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;32;AGUA MIN SARANDI PET 2L C GAS;A;24;0;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;32;AGUA MIN SARANDI PET 2L C GAS;A;24;105,38;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;32;AGUA MIN SARANDI PET 2L C GAS;A;24;119,75;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;32;AGUA MIN SARANDI PET 2L C GAS;A;24;138,91;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;32;AGUA MIN SARANDI PET 2L C GAS;A;24;148,49;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;32;AGUA MIN SARANDI PET 2L C GAS;A;24;156,55;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;32;AGUA MIN SARANDI PET 2L C GAS;A;24;196,39;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;32;AGUA MIN SARANDI PET 2L C GAS;A;24;244,29;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;32;AGUA MIN SARANDI PET 2L C GAS;A;24;354,46;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;32;AGUA MIN SARANDI PET 2L C GAS;A;24;646,65;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;32;AGUA MIN SARANDI PET 2L C GAS;A;24;775,98;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;32;AGUA MIN SARANDI PET 2L C GAS;A;24;1044,22;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;32;AGUA MIN SARANDI PET 2L C GAS;A;24;1815,41;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;33;AGUA MIN SARANDI PET 2L S GAS;A;24;0;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;33;AGUA MIN SARANDI PET 2L S GAS;A;24;61,75;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;33;AGUA MIN SARANDI PET 2L S GAS;A;24;130,21;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;33;AGUA MIN SARANDI PET 2L S GAS;A;24;134,7;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;33;AGUA MIN SARANDI PET 2L S GAS;A;24;193,07;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;33;AGUA MIN SARANDI PET 2L S GAS;A;24;202,05;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;33;AGUA MIN SARANDI PET 2L S GAS;A;24;251,44;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;33;AGUA MIN SARANDI PET 2L S GAS;A;24;273,89;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;33;AGUA MIN SARANDI PET 2L S GAS;A;24;278,38;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;33;AGUA MIN SARANDI PET 2L S GAS;A;24;305,32;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;33;AGUA MIN SARANDI PET 2L S GAS;A;24;466,96;0
BEBIDAS;BEBIDA;BEBIDAS;AGUAS;AGUA 2 LITROS;;NICOLAS;33;AGUA MIN SARANDI PET 2L S GAS;A;24;704,93;0
