ORIGEM;EMPRESA;TITULO;PEDIDO;COD_FORNECEDOR;FORNECEDOR;COMPRADOR;DATA_EMISSAO;DATA_PREV_ENTREGA;PRAZO_PAGAMENTO_DIAS;PARCELA;DATA_VENCIMENTO;STATUS_PEDIDO;VALOR_PROJETADO
1-TITULO_REAL;2;2805948/1-1;;14322;COOPERATIVA SANTA CLARA LTDA;SANDRO;05/06/2026;;28;1;03/07/2026;FATURADO;1860,25
1-TITULO_REAL;13;2805975/1-1;;14322;COOPERATIVA SANTA CLARA LTDA;SANDRO;05/06/2026;;28;1;03/07/2026;FATURADO;3999,81
1-TITULO_REAL;15;14352/1-3;;22792;CROWIL DO BRASIL INDUSTRIA PET FOODS LTDA;BATISTA;29/05/2026;;35;3;03/07/2026;FATURADO;40453,99
1-TITULO_REAL;8;50620003/700-1;;1947;DELCIO LIMA GAVIAO;LAURINDO;18/06/2026;;15;1;03/07/2026;FATURADO;299,83
1-TITULO_REAL;12;1159543/1-2;;17032;DINAMICA DIST DE PROD ALIMENTICIOS LTDA;LAURINDO;12/06/2026;;21;2;03/07/2026;FATURADO;229,56
1-TITULO_REAL;3;1159540/1-2;;17032;DINAMICA DIST DE PROD ALIMENTICIOS LTDA;LAURINDO;12/06/2026;;21;2;03/07/2026;FATURADO;599,78
1-TITULO_REAL;2;1154007/1-3;;17032;DINAMICA DIST DE PROD ALIMENTICIOS LTDA;LAURINDO;05/06/2026;;28;3;03/07/2026;FATURADO;1517,44
1-TITULO_REAL;6;1159542/1-2;;17032;DINAMICA DIST DE PROD ALIMENTICIOS LTDA;LAURINDO;12/06/2026;;21;2;03/07/2026;FATURADO;229,56
1-TITULO_REAL;14;1159544/1-2;;17032;DINAMICA DIST DE PROD ALIMENTICIOS LTDA;LAURINDO;12/06/2026;;21;2;03/07/2026;FATURADO;542,76
1-TITULO_REAL;4;1159541/1-2;;17032;DINAMICA DIST DE PROD ALIMENTICIOS LTDA;LAURINDO;12/06/2026;;21;2;03/07/2026;FATURADO;522,88
1-TITULO_REAL;6;25883/1-1;;9622;DU DIGO DESCARTAVEIS LTDA;NUJUD;29/05/2026;;35;1;03/07/2026;FATURADO;6748,16
1-TITULO_REAL;18;25888/1-1;;9622;DU DIGO DESCARTAVEIS LTDA;NUJUD;29/05/2026;;35;1;03/07/2026;FATURADO;6748,16
1-TITULO_REAL;11;25879/1-1;;9622;DU DIGO DESCARTAVEIS LTDA;NUJUD;29/05/2026;;35;1;03/07/2026;FATURADO;6739,86
1-TITULO_REAL;17;25881/1-1;;9622;DU DIGO DESCARTAVEIS LTDA;NUJUD;29/05/2026;;35;1;03/07/2026;FATURADO;6361,29
1-TITULO_REAL;12;25886/1-1;;9622;DU DIGO DESCARTAVEIS LTDA;NUJUD;29/05/2026;;35;1;03/07/2026;FATURADO;6748,16
1-TITULO_REAL;2;25885/1-1;;9622;DU DIGO DESCARTAVEIS LTDA;NUJUD;29/05/2026;;35;1;03/07/2026;FATURADO;6748,16
1-TITULO_REAL;15;25878/1-1;;9622;DU DIGO DESCARTAVEIS LTDA;NUJUD;29/05/2026;;35;1;03/07/2026;FATURADO;2598,73
1-TITULO_REAL;11;224753/1-1;;7365;ERVATEIRA PICOLO BADALOTTI LTDA.;NIDAL;19/05/2026;;45;1;03/07/2026;FATURADO;2688
1-TITULO_REAL;6;298469/5-1;;16061;ERVATEIRA REI VERDE LTDA;NIDAL;04/05/2026;;60;1;03/07/2026;FATURADO;2547,5
1-TITULO_REAL;5;298470/5-1;;16061;ERVATEIRA REI VERDE LTDA;NIDAL;04/05/2026;;60;1;03/07/2026;FATURADO;856
1-TITULO_REAL;4;298471/5-1;;16061;ERVATEIRA REI VERDE LTDA;NIDAL;04/05/2026;;60;1;03/07/2026;FATURADO;2190,5
1-TITULO_REAL;11;298492/5-1;;16061;ERVATEIRA REI VERDE LTDA;NIDAL;04/05/2026;;60;1;03/07/2026;FATURADO;7139,5
1-TITULO_REAL;2;298473/5-1;;16061;ERVATEIRA REI VERDE LTDA;NIDAL;04/05/2026;;60;1;03/07/2026;FATURADO;2692,5
1-TITULO_REAL;8;298467/5-1;;16061;ERVATEIRA REI VERDE LTDA;NIDAL;04/05/2026;;60;1;03/07/2026;FATURADO;6684
1-TITULO_REAL;7;298468/5-1;;16061;ERVATEIRA REI VERDE LTDA;NIDAL;04/05/2026;;60;1;03/07/2026;FATURADO;1373,5
1-TITULO_REAL;3;298472/5-1;;16061;ERVATEIRA REI VERDE LTDA;NIDAL;04/05/2026;;60;1;03/07/2026;FATURADO;4887
1-TITULO_REAL;14;298466/5-1;;16061;ERVATEIRA REI VERDE LTDA;NIDAL;04/05/2026;;60;1;03/07/2026;FATURADO;2264
1-TITULO_REAL;12;65081/1-1;;17048;ERVATEIRA TOMELERO LTDA;NIDAL;03/06/2026;;30;1;03/07/2026;FATURADO;4210
1-TITULO_REAL;7;48756/1-3;;14196;ESDEL COMERCIO DE PRODUTOS ALIMENT LTDA;LAURINDO;29/05/2026;;35;3;03/07/2026;FATURADO;227,33
1-TITULO_REAL;13;48761/1-3;;14196;ESDEL COMERCIO DE PRODUTOS ALIMENT LTDA;LAURINDO;29/05/2026;;35;3;03/07/2026;FATURADO;227,33
1-TITULO_REAL;6;48755/1-3;;14196;ESDEL COMERCIO DE PRODUTOS ALIMENT LTDA;LAURINDO;29/05/2026;;35;3;03/07/2026;FATURADO;330,67
1-TITULO_REAL;17;48753/1-3;;14196;ESDEL COMERCIO DE PRODUTOS ALIMENT LTDA;LAURINDO;29/05/2026;;35;3;03/07/2026;FATURADO;144,67
1-TITULO_REAL;12;48760/1-3;;14196;ESDEL COMERCIO DE PRODUTOS ALIMENT LTDA;LAURINDO;29/05/2026;;35;3;03/07/2026;FATURADO;206,67
1-TITULO_REAL;4;48754/1-3;;14196;ESDEL COMERCIO DE PRODUTOS ALIMENT LTDA;LAURINDO;29/05/2026;;35;3;03/07/2026;FATURADO;372
1-TITULO_REAL;14;48762/1-3;;14196;ESDEL COMERCIO DE PRODUTOS ALIMENT LTDA;LAURINDO;29/05/2026;;35;3;03/07/2026;FATURADO;351,33
1-TITULO_REAL;11;48759/1-3;;14196;ESDEL COMERCIO DE PRODUTOS ALIMENT LTDA;LAURINDO;29/05/2026;;35;3;03/07/2026;FATURADO;124
1-TITULO_REAL;3;48758/1-3;;14196;ESDEL COMERCIO DE PRODUTOS ALIMENT LTDA;LAURINDO;29/05/2026;;35;3;03/07/2026;FATURADO;950,67
1-TITULO_REAL;18;48763/1-3;;14196;ESDEL COMERCIO DE PRODUTOS ALIMENT LTDA;LAURINDO;29/05/2026;;35;3;03/07/2026;FATURADO;227,33
1-TITULO_REAL;2;48757/1-3;;14196;ESDEL COMERCIO DE PRODUTOS ALIMENT LTDA;LAURINDO;29/05/2026;;35;3;03/07/2026;FATURADO;372
1-TITULO_REAL;18;480629/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;SANDRO;05/06/2026;;28;1;03/07/2026;FATURADO;2043,3
1-TITULO_REAL;18;480630/3-1;;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.;WERTER;05/06/2026;;28;1;03/07/2026;FATURADO;733,35
1-TITULO_REAL;15;16146/1-3;;7918;FERRUCCI E MIRANDA LTDA-EPP;NIDAL;12/06/2026;;21;3;03/07/2026;FATURADO;6488
1-TITULO_REAL;15;16105/1-4;;7918;FERRUCCI E MIRANDA LTDA-EPP;NIDAL;05/06/2026;;28;4;03/07/2026;FATURADO;6284
1-TITULO_REAL;15;772496/5-1;;7206;FRIGELAR COM E IND LTDA;MODELO;03/06/2026;;30;1;03/07/2026;FATURADO;1099,22
1-TITULO_REAL;15;533587/2-3;;10885;HIPER TEXTIL LTDA;BATISTA;04/05/2026;;60;3;03/07/2026;FATURADO;665,17
1-TITULO_REAL;15;533582/2-3;;10885;HIPER TEXTIL LTDA;BATISTA;04/05/2026;;60;3;03/07/2026;FATURADO;613,89
1-TITULO_REAL;15;533584/2-3;;10885;HIPER TEXTIL LTDA;BATISTA;04/05/2026;;60;3;03/07/2026;FATURADO;1283,77
1-TITULO_REAL;15;533589/2-3;;10885;HIPER TEXTIL LTDA;BATISTA;04/05/2026;;60;3;03/07/2026;FATURADO;856,91
1-TITULO_REAL;15;533585/2-3;;10885;HIPER TEXTIL LTDA;BATISTA;04/05/2026;;60;3;03/07/2026;FATURADO;642,75
1-TITULO_REAL;15;533581/2-3;;10885;HIPER TEXTIL LTDA;BATISTA;04/05/2026;;60;3;03/07/2026;FATURADO;532,11
1-TITULO_REAL;15;533586/2-3;;10885;HIPER TEXTIL LTDA;BATISTA;04/05/2026;;60;3;03/07/2026;FATURADO;834,84
1-TITULO_REAL;15;533588/2-3;;10885;HIPER TEXTIL LTDA;BATISTA;04/05/2026;;60;3;03/07/2026;FATURADO;568,45
1-TITULO_REAL;15;533583/2-3;;10885;HIPER TEXTIL LTDA;BATISTA;04/05/2026;;60;3;03/07/2026;FATURADO;580,46
1-TITULO_REAL;3;14963/21-1;;5714;IND E COMERCIO DE MASSA ROMENA LTDA;WERTER;04/05/2026;;60;1;03/07/2026;FATURADO;2382,06
1-TITULO_REAL;4;14964/21-1;;5714;IND E COMERCIO DE MASSA ROMENA LTDA;SANDRO;04/05/2026;;60;1;03/07/2026;FATURADO;1273,46
1-TITULO_REAL;2;14962/21-1;;5714;IND E COMERCIO DE MASSA ROMENA LTDA;SANDRO;04/05/2026;;60;1;03/07/2026;FATURADO;836,06
1-TITULO_REAL;3;14963/21-1;;5714;IND E COMERCIO DE MASSA ROMENA LTDA;SANDRO;04/05/2026;;60;1;03/07/2026;FATURADO;2382,06
1-TITULO_REAL;4;14964/21-1;;5714;IND E COMERCIO DE MASSA ROMENA LTDA;WERTER;04/05/2026;;60;1;03/07/2026;FATURADO;1273,46
