CODIGO_PRODUTO;EAN;DESCRICAO_PRODUTO;CODIGO_EMPRESA;EMBALAGEM_VENDA;COMPRADOR;PRECO_NORMAL;PRECO_PROMOCIONAL;PRECO_PRATICADO_DIA
11884;;QJO STA CLARA MUSSARELA ZR LACT KG;12;1;2 - SANDRO;89,69;0;89,69
11885;;QJO STA CLARA PARMESAO CUNHA KG;12;1;2 - SANDRO;158,45;0;158,45
11886;;QJO STA CLARA PORCO KG;12;1;2 - SANDRO;35,99;0;35,99
11887;;QJO STA CLARA PORCO KG EMB;12;1;2 - SANDRO;34,59;0;34,59
11888;;QJO STA CLARA PORCO KG FAT;12;1;2 - SANDRO;34,59;0;34,59
11890;;QJO STA CLARA PROVOLONE KG;12;1;2 - SANDRO;144,59;0;144,59
11891;;QJO STA CLARA PROVO P ESPETO KG;12;1;2 - SANDRO;117,99;0;117,99
11892;;QJO STA CLARA SANSOE KG;12;1;2 - SANDRO;117,99;0;117,99
11893;7896504305474;QJO STA CLARA ZR LAC 150G;12;1;2 - SANDRO;15,99;0;15,99
11908;;RABADA BOV KG CONG PAI;12;1;2 - SANDRO;28,99;0;28,99
11913;;SALG SUINO STA CLARA RABO BDJ KG;12;1;2 - SANDRO;18,99;0;18,99
11923;2233800000002;MORTAD PERDIGAO BOLOGNA OURO KG RETALHO;12;1;2 - SANDRO;37,39;0;37,39
11924;;PRES SADIA KG RETALHO;12;1;2 - SANDRO;32,9;0;32,9
11925;;PEITO PERDIGAO CHESTER DEF KG RETALHO;12;1;2 - SANDRO;49,99;0;49,99
11926;;PEITO PERU SADIA LIGHT DEF KG RETALHO;12;1;2 - SANDRO;69,99;0;69,99
11927;;RETALHO QJO KG;12;1;2 - SANDRO;39,9;0;39,9
11928;2239000000002;QJO PRESIDENT LANCHE KG RETALHO;12;1;2 - SANDRO;49,9;0;49,9
11929;;RICOTA DOM MIRO FRESCA KG;12;1;2 - SANDRO;21,9;0;21,9
11930;;RICOTA NONNA NITA TRAD KG;12;1;2 - SANDRO;21,9;0;21,9
11931;;RICOTA STA CLARA KG R 70802;12;1;2 - SANDRO;56,99;0;56,99
11932;2447600000005;RICOTA STA CLARA LIGHT KG R 70804;12;1;2 - SANDRO;56,99;0;56,99
11933;;RICOTA STA CLARA ZR LAC KG;12;1;2 - SANDRO;68,99;0;68,99
11934;;RINS BOV CONG KG;12;1;2 - SANDRO;9,99;0;9,99
11935;;RINS SUINO DALIA CONG KG;12;1;2 - SANDRO;5,99;0;5,99
11951;;SALAME DALIA ITALIANO KG;12;1;2 - SANDRO;83,99;0;83,99
11953;7891164137007;SALAME NOBREZA ITALIANO KG;12;1;2 - SANDRO;77,99;0;77,99
11954;;SALAME PERDIGAO ITALIANO TRAD KG SALT7;12;1;2 - SANDRO;87,49;0;87,49
11956;7893000290259;SALAME SADIA ITALIANO FAT 100G SSSF;12;1;2 - SANDRO;14,49;0;14,49
11959;7891515437015;SALAME SADIA SNACK SECO 36G;12;1;2 - SANDRO;5,99;0;5,99
11960;;SALAME STA CLARA ITALIANO KG;12;1;2 - SANDRO;102,99;0;102,99
11961;7896504302107;SALAME STA CLARA ITALIANO FAT 100G;12;1;2 - SANDRO;15,99;0;15,99
11963;2016000000009;SALAMINHO PAMPLONA KG FAT;12;1;2 - SANDRO;82,99;0;82,99
11965;2140800000003;SALAMINHO STA CLARA KG FAT;12;1;2 - SANDRO;109,99;0;109,99
11966;;SALAMINHO STA CLARA KG INT;12;1;2 - SANDRO;109,99;0;109,99
11971;7896610902192;SALSICHA EXCELSIOR 23CM 2KG;12;1;2 - SANDRO;31,98;0;31,98
11984;7899761705261;SALSICHA MAIS FGO LONGA 1 5KG;12;1;2 - SANDRO;14,99;0;14,99
11985;87891164135290;SALSICHA NOBRE KG;12;1;2 - SANDRO;10,99;0;10,99
11986;7891164135096;SALSICHA NOBRE 3KG;12;1;2 - SANDRO;32,99;0;32,99
11988;;SALSICHA PERDIGAO S CORANTE KG;12;1;2 - SANDRO;13,99;0;13,99
11992;7891164135423;SAMBIQUIRA FGO BIG 1KG;12;1;2 - SANDRO;5,99;0;5,99
11993;7891515853808;SAMBIQUIRA FGO PERDIGAO 1KG;12;1;2 - SANDRO;8,39;0;8,39
11999;2019800000002;SOBRECOXA FGO CONG;12;1;2 - SANDRO;12,99;0;12,99
12000;7893000005976;SOBRECOXA FGO SADIA IQF 1KG;12;1;2 - SANDRO;15,59;0;15,59
12001;7894904727483;SOBRECOXA FGO SEARA ASSA FACIL 800G ERVAS FINAS;12;1;2 - SANDRO;18,29;0;18,29
12002;7894904013180;SOBRECOXA FGO SEARA BDJ 1KG;12;1;2 - SANDRO;15,59;0;15,59
12003;7894904197712;SOBRECOXA FGO SEARA IQF 1KG;12;1;2 - SANDRO;15,49;0;15,49
