CODIGO_PRODUTO;DESCRICAO_PRODUTO;CODIGO_FORNECEDOR;DESCRICAO_FORNECEDOR
3;REFRE PO TANG 18G LARANJA;10617;MENON COMERCIO E REPRESENTACOES LTDA
4;REFRE PO TANG 18G ABACAXI;10617;MENON COMERCIO E REPRESENTACOES LTDA
5;REFRE PO TANG 18G UVA;10617;MENON COMERCIO E REPRESENTACOES LTDA
10;REFRIG COCA COLA PET 2L;15441;SPAL IND BRAS BEBIDAS AS
12;AGUA MIN DA PEDRA PET 1 5L S GAS;6424;BEBIDAS FRUKI LTDA
13;AGUA MIN CRYSTAL PET 1 5L C GAS;15441;SPAL IND BRAS BEBIDAS AS
14;AGUA SABORIZ H2OH PET 1 5L LIMAO;9638;CRBS AS CDD PELOTAS
15;AGUA SABORIZ H2OH PET 1 5L LIMONETO;9638;CRBS AS CDD PELOTAS
16;AGUA MIN CRYSTAL PET 1 5L S GAS;15441;SPAL IND BRAS BEBIDAS AS
18;AGUA TONICA FRUKI PET 1 5L;6424;BEBIDAS FRUKI LTDA
25;AGUA MIN DA PEDRA PET 2L C GAS;6424;BEBIDAS FRUKI LTDA
34;AGUA MIN DA PEDRA PET 500ML C GAS;6424;BEBIDAS FRUKI LTDA
35;AGUA MIN DA PEDRA 500ML S GAS;6424;BEBIDAS FRUKI LTDA
36;AGUA MIN CRYSTAL 500ML C GAS;15441;SPAL IND BRAS BEBIDAS AS
37;REFRE PO TANG 18G GOIABA;10617;MENON COMERCIO E REPRESENTACOES LTDA
38;REFRE PO TANG 18G GUARANA;10617;MENON COMERCIO E REPRESENTACOES LTDA
39;REFRE PO TANG 18G LARANJA DOCINHA;10617;MENON COMERCIO E REPRESENTACOES LTDA
40;REFRE PO TANG 18G LARANJA MAMAO;10617;MENON COMERCIO E REPRESENTACOES LTDA
41;REFRE PO TANG 18G LIMAO;10617;MENON COMERCIO E REPRESENTACOES LTDA
42;REFRE PO TANG 18G MANGA;10617;MENON COMERCIO E REPRESENTACOES LTDA
43;AGUA MIN CRYSTAL 500ML S GAS;15441;SPAL IND BRAS BEBIDAS AS
45;REFRE PO TANG 18G MORANGO;10617;MENON COMERCIO E REPRESENTACOES LTDA
46;REFRE PO TANG 18G TANGERINA;10617;MENON COMERCIO E REPRESENTACOES LTDA
47;REFRE PO TANG 18G UVA INTENSA;10617;MENON COMERCIO E REPRESENTACOES LTDA
48;AGUA MIN FLORESTA 500ML C GAS;10181;AGUAS MINERAIS SARANDI LTDA
49;AGUA MIN FLORESTA 500ML S GAS;10181;AGUAS MINERAIS SARANDI LTDA
50;AGUA MIN DA PEDRA PET 5L S GAS;6424;BEBIDAS FRUKI LTDA
51;AGUA MIN CRYSTAL 5L S GAS;15441;SPAL IND BRAS BEBIDAS AS
53;AGUA MIN SARANDI 5L S GAS;10181;AGUAS MINERAIS SARANDI LTDA
54;AGUA MIN DA PEDRA LT 350ML ABACAXI C HORT;6424;BEBIDAS FRUKI LTDA
55;AGUA MIN DA PEDRA LT 350ML FTAS VRM;6424;BEBIDAS FRUKI LTDA
56;AGUA MIN DA PEDRA LT 350ML LIM C ALECRIM;6424;BEBIDAS FRUKI LTDA
57;AGUA GASEIF CRYSTAL 510ML SPARK;15441;SPAL IND BRAS BEBIDAS AS
59;AGUA GASEIF CRYSTAL 510ML FRT VRM;15441;SPAL IND BRAS BEBIDAS AS
60;AGUA GASEIF CRYSTAL 510ML LIM;15441;SPAL IND BRAS BEBIDAS AS
62;AGUA GASEIF CRYSTAL 510ML MELAN;15441;SPAL IND BRAS BEBIDAS AS
63;AGUA MIN DA PEDRA LT 350ML C GAS;6424;BEBIDAS FRUKI LTDA
64;AGUA MIN DA PEDRA LT 350ML S GAS S GAS;6424;BEBIDAS FRUKI LTDA
66;AGUA MIN DA PEDRA PET 350ML C GAS;6424;BEBIDAS FRUKI LTDA
70;KEEP COOLER CLASSIC UVA 275ML;7246;COOP VINICOLA AURORA LTDA
74;AGUA MIN SARANDI CP 200ML S GAS;10181;AGUAS MINERAIS SARANDI LTDA
75;REFRE PO CLIGHT 8G ABACAXI;10617;MENON COMERCIO E REPRESENTACOES LTDA
76;REFRE PO CLIGHT 8G LARANJA;10617;MENON COMERCIO E REPRESENTACOES LTDA
77;REFRE PO CLIGHT 8G LIMONADA;10617;MENON COMERCIO E REPRESENTACOES LTDA
78;AGUA SABORIZ H2OH PET 500ML LIMAO;9638;CRBS AS CDD PELOTAS
80;AGUA TONICA ANTARCTICA LT 350ML ZR;9638;CRBS AS CDD PELOTAS
81;AGUA TONICA ANTARCTICA LT 350ML;9638;CRBS AS CDD PELOTAS
82;AGUA TONICA ANTARTICA PET 1L;9638;CRBS AS CDD PELOTAS
83;AGUA TONICA ANTARCTICA PET 1L ZR;9638;CRBS AS CDD PELOTAS
84;AGUA TONICA FRUKI LT 350ML;6424;BEBIDAS FRUKI LTDA
87;COOLER CANCAO 750ML PESSEGO;14066;ANTONIO BASSO & FILHOS LTDA
89;REFRE PO FRISCO 18G LARANJA;8702;CAFE TRES CORACOES S.A
90;AGUA TONICA SCHWEPPES S AC LT 350ML;15441;SPAL IND BRAS BEBIDAS AS
91;REFRE PO FRISCO 18G LIMAO;8702;CAFE TRES CORACOES S.A
92;REFRE PO FRISCO 18G MARACUJA C IOG;8702;CAFE TRES CORACOES S.A
93;REFRE PO FRISCO 18G MORANGO C IOG;8702;CAFE TRES CORACOES S.A
94;CERV AMSTEL 1L;14469;CARLOS CANCIAN E CIA LTDA
95;REFRE PO FRISCO 18G MORANGO;8702;CAFE TRES CORACOES S.A
96;REFRE PO CLIGHT 8G MARACUJA;10617;MENON COMERCIO E REPRESENTACOES LTDA
97;REFRE PO CLIGHT 8G MORANGO;10617;MENON COMERCIO E REPRESENTACOES LTDA
98;REFRE PO CLIGHT 8G TANGERINA;10617;MENON COMERCIO E REPRESENTACOES LTDA
99;REFRE PO CLIGHT 8G UVA;10617;MENON COMERCIO E REPRESENTACOES LTDA
100;REFRE PO FRISCO 18G TANGERINA;8702;CAFE TRES CORACOES S.A
101;REFRE PO FRISCO 18G UVA;8702;CAFE TRES CORACOES S.A
102;CERV ANTARCTICA SUBZERO GF 1L;9638;CRBS AS CDD PELOTAS
103;REFRE PO FRISCO 18G ABACAXI;8702;CAFE TRES CORACOES S.A
105;REFRE PO FRISCO 18G GUARANA;8702;CAFE TRES CORACOES S.A
106;REFRE PO FRISCO 18G LARANJA C ACER;8702;CAFE TRES CORACOES S.A
107;CERV BADEN GOLDEN GF 600ML GOLDEN;14469;CARLOS CANCIAN E CIA LTDA
108;CERV BADEN PEACH GF 600ML;14469;CARLOS CANCIAN E CIA LTDA
109;CERV BRAHMA CHOPP GF 1L CHOPP;9638;CRBS AS CDD PELOTAS
110;CERV BUDWEISER GF 990ML RETORNAVEL;9638;CRBS AS CDD PELOTAS
111;CERV GLACIAL PILSEN GF 1L;14469;CARLOS CANCIAN E CIA LTDA
113;CERV ORIGINAL1L RETORNAVEL;9638;CRBS AS CDD PELOTAS
114;CERV POLAR EXPORT GF 1L RETORNAVEL;9638;CRBS AS CDD PELOTAS
115;CERV SCHIN 1L RETORNAVEL;14469;CARLOS CANCIAN E CIA LTDA
116;CERV SKOL 1L;9638;CRBS AS CDD PELOTAS
118;REFRE PO FRISCO 18G MANGA;8702;CAFE TRES CORACOES S.A
119;REFRE PO FRISCO 18G MARACUJA;8702;CAFE TRES CORACOES S.A
120;REFRE PO FRISCO 18G SALADA DE FRUTA;8702;CAFE TRES CORACOES S.A
121;CERV BRAHMA CHOPP GF 300ML RETORNAVEL;9638;CRBS AS CDD PELOTAS
123;CERV BUDWEISER GF 300ML RETORNAVEL;9638;CRBS AS CDD PELOTAS
124;CERV DADO BIER WEISSE LT 350ML;6424;BEBIDAS FRUKI LTDA
126;CERV POLAR PILSEN GF 300ML RETORNAVEL;9638;CRBS AS CDD PELOTAS
128;CERV SKOL PILSEN GF 300ML RETORNAVEL;9638;CRBS AS CDD PELOTAS
132;CERV BADEN IPA GF 600ML;14469;CARLOS CANCIAN E CIA LTDA
134;CERV BADEN CRISTAL GF 600ML;14469;CARLOS CANCIAN E CIA LTDA
135;CERV BADEN WITBIER GF 600ML;14469;CARLOS CANCIAN E CIA LTDA
136;CERV HEINEKEN PILSEN GF 600ML;14469;CARLOS CANCIAN E CIA LTDA
139;CERV ORIGINAL PILSEN GF 600ML;9638;CRBS AS CDD PELOTAS
140;CERV SPATEN ONE WAY GF 600ML;9638;CRBS AS CDD PELOTAS
142;CERV STELLA ONE WAY GF 600ML;9638;CRBS AS CDD PELOTAS
144;CERV AMSTEL LAGER LT 473ML;14469;CARLOS CANCIAN E CIA LTDA
145;CERV ANTARCTICA SUBZERO LT 473ML;9638;CRBS AS CDD PELOTAS
147;CERV ANTARCTICA PILSEN LT 473ML;9638;CRBS AS CDD PELOTAS
149;CERV BELLAVISTA LAGER LT 473ML;6424;BEBIDAS FRUKI LTDA
151;CERV BOHEMIA LT 473ML;9638;CRBS AS CDD PELOTAS
152;CERV BRAHMA CHOPP LT 473ML;9638;CRBS AS CDD PELOTAS
154;CERV BRAHMA DUPLO MALTE LT 473ML;9638;CRBS AS CDD PELOTAS
156;CERV BUDWEISER LT 473ML;9638;CRBS AS CDD PELOTAS
158;CERV BUDWEISER ZERO LT SLEEK 350ML;9638;CRBS AS CDD PELOTAS
159;CERV CORONA EXTRA LT 473ML;9638;CRBS AS CDD PELOTAS
161;CERV CRYSTAL PILSEN LT 473ML;5391;CERVEJARIA PETROPOLIS S/A
162;CERV DADO BIER LAGER LEVE LT 473ML LAGER LEVE;14067;DIST BEBIDAS BORTOLAZZO LTDA
163;CERV EISENBAHN PILSEN LT 473ML;15441;SPAL IND BRAS BEBIDAS AS
164;CERV EST GALICIA P MALTE LT 473ML;15441;SPAL IND BRAS BEBIDAS AS
165;VH BELTRAME BCO PET 1 9L SC;10033;INDUSTRIA DE BEBIDAS SERRANA EIRELI
167;CERV GLACIAL PILSEN LT 473ML;14469;CARLOS CANCIAN E CIA LTDA
169;CERV HEINEKEN LT 473ML;14469;CARLOS CANCIAN E CIA LTDA
171;CERV HEINEKEN PILSEN LT 350ML;14469;CARLOS CANCIAN E CIA LTDA
173;CERV IMPERIO LAGER P MALTE LT 473ML;14067;DIST BEBIDAS BORTOLAZZO LTDA
174;VH BELTRAME TINTO PET 1 9L SC;10033;INDUSTRIA DE BEBIDAS SERRANA EIRELI
176;VH BELTRAME TINTO PET 1 9L SV;10033;INDUSTRIA DE BEBIDAS SERRANA EIRELI
177;CERV ITAIPAVA PILSEN LT 473ML;5391;CERVEJARIA PETROPOLIS S/A
178;CERV KAISER LT 473ML;15441;SPAL IND BRAS BEBIDAS AS
179;CERV ORIGINAL LT 473ML;9638;CRBS AS CDD PELOTAS
180;CERV PETRA PURO MALTE LT 473ML;5391;CERVEJARIA PETROPOLIS S/A
188;CERV POLAR EXPORT LT 473ML;9638;CRBS AS CDD PELOTAS
191;CERV PROVINCIA MALZBIER LT 473ML;4488;CIA ANDINA INDUSTRIA DE BEBIDAS LTDA
193;CERV PROVINCIA PILSEN PREM LT 473ML;4488;CIA ANDINA INDUSTRIA DE BEBIDAS LTDA
207;CERV SCHIN PILSEN LT 473ML;14469;CARLOS CANCIAN E CIA LTDA
208;CERV SKOL BEATS LT 269ML CAIPIRINHA;9638;CRBS AS CDD PELOTAS
209;CERV SKOL BEATS LT 269ML GIN TONICA;9638;CRBS AS CDD PELOTAS
210;CERV SKOL BEATS SENSES LT 269ML;9638;CRBS AS CDD PELOTAS
211;CERV SKOL BEATS LT 269ML TROPICAL;9638;CRBS AS CDD PELOTAS
213;CERV SKOL PILSEN LT 473ML;9638;CRBS AS CDD PELOTAS
216;CERV SPATEN PURO MALTE LT 473ML;9638;CRBS AS CDD PELOTAS
219;CERV STELLA ARTOIS LT 473ML;9638;CRBS AS CDD PELOTAS
223;CERV THEREZOPOLIS LAGER LT 473ML GOLD;15441;SPAL IND BRAS BEBIDAS AS
224;VH DEL GRANO BCO 1 48L SC;16728;BASSO VINHOS E ESPUMANTES LTDA
225;VH DEL GRANO BCO 1 48L SV;16728;BASSO VINHOS E ESPUMANTES LTDA
228;CERV AMSTEL LAGER LN 355ML;14469;CARLOS CANCIAN E CIA LTDA
230;VH DEL GRANO GOLD BORDO SC 750ML;16728;BASSO VINHOS E ESPUMANTES LTDA
232;CERV BECKS LN 330ML;9638;CRBS AS CDD PELOTAS
233;VH DEL GRANO GOLD NIAGARA BCO SC 1L;16728;BASSO VINHOS E ESPUMANTES LTDA
234;CERV BELLAVISTA PREM LAG LN 355ML;6424;BEBIDAS FRUKI LTDA
235;VH DEL GRANO GOLD ROSE BORDO SV 1L;16728;BASSO VINHOS E ESPUMANTES LTDA
236;CERV BRAHMA CHOPP LN 355ML;9638;CRBS AS CDD PELOTAS
237;CERV BUDWEISER LN 330ML;9638;CRBS AS CDD PELOTAS
244;CERV CORONA ZERO LN 330ML;9638;CRBS AS CDD PELOTAS
246;CERV CORONA EXTRA LN 330ML;9638;CRBS AS CDD PELOTAS
247;VH DEL GRANO PROMOCIONAL 1L SV;16728;BASSO VINHOS E ESPUMANTES LTDA
249;VH DEL GRANO TINTO 1 48L SC;16728;BASSO VINHOS E ESPUMANTES LTDA
251;VH DEL GRANO TINTO 1 48L SV;16728;BASSO VINHOS E ESPUMANTES LTDA
254;CERV EISENBAHN PILSEN LN 355ML PILSEN;15441;SPAL IND BRAS BEBIDAS AS
260;CERV HEINEKEN LN 330ML;14469;CARLOS CANCIAN E CIA LTDA
264;CERV IMPERIO GOLD LN 330ML;14067;DIST BEBIDAS BORTOLAZZO LTDA
279;VH QUINTA CARVALHO TINTO 750ML SV;11923;FANTE INDUSTRIA DE BEBIDAS LTDA
280;CERV ITAIPAVA MALZBIER LN 330ML;5391;CERVEJARIA PETROPOLIS S/A
282;CERV MICHELOB ULTRA LN 330ML;9638;CRBS AS CDD PELOTAS
284;CERV PATAGONIA IPA LN 355ML;9638;CRBS AS CDD PELOTAS
285;CERV SKOL BEATS LN 269ML CAIPIRINHA;9638;CRBS AS CDD PELOTAS
286;CERV SKOL BEATS LN 269ML GIN TONICA;9638;CRBS AS CDD PELOTAS
287;CERV SKOL BEATS SENSES LN 269ML;9638;CRBS AS CDD PELOTAS
288;CERV SKOL BEATS TROPICAL LN 269ML;9638;CRBS AS CDD PELOTAS
289;CERV SOL PREMIUM LN 330ML;15441;SPAL IND BRAS BEBIDAS AS
290;CERV SPATEN MUNICH HELL LN 355ML;9638;CRBS AS CDD PELOTAS
293;CERV STELLA ARTOIS LN 330ML;9638;CRBS AS CDD PELOTAS
295;CERV STELLA ARTOIS LN 330ML PURE GOLD;9638;CRBS AS CDD PELOTAS
297;CERV BRAHMA ZERO GF 300ML RETORNAVEL;9638;CRBS AS CDD PELOTAS
299;CERV BRAHMA ZERO LT 350ML;9638;CRBS AS CDD PELOTAS
300;VH SANGUE BOI TINTO 750ML SV;7246;COOP VINICOLA AURORA LTDA
301;CERV BUDWEISER ZERO LN 330ML;9638;CRBS AS CDD PELOTAS
303;CERV HEINEKEN ZERO LN 330ML;14469;CARLOS CANCIAN E CIA LTDA
304;VH SANGUE BOI TINTO 4L SV;7246;COOP VINICOLA AURORA LTDA
306;CERV HEINEKEN ZERO LT 350ML;14469;CARLOS CANCIAN E CIA LTDA
307;VH TRADICAO NIAGARA BCO 1 4L SC;7422;VINICOLA GRUTINHA LTDA
309;CERV PROVINCIA MALZBIER ZR LT 473ML;4488;CIA ANDINA INDUSTRIA DE BEBIDAS LTDA
310;VH TRADICAO TINTO 1 4L SC;7422;VINICOLA GRUTINHA LTDA
311;VH TRADICAO TINTO 1 4L SV;7422;VINICOLA GRUTINHA LTDA
312;CERV COLORADO GF 600ML APPIA;9638;CRBS AS CDD PELOTAS
313;CERV COLORADO GF 600ML CAUIM;9638;CRBS AS CDD PELOTAS
314;CERV COLORADO GF 600ML DEMOISELLE;9638;CRBS AS CDD PELOTAS
315;BEB A TAL DA CASTANHA 1L AMENDOA;8702;CAFE TRES CORACOES S.A
316;BEB A TAL DA CASTANHA 1L BARISTA;8702;CAFE TRES CORACOES S.A
317;BEB A TAL DA CASTANHA 1L CAJU COCO;8702;CAFE TRES CORACOES S.A
318;BEB A TAL DA CASTANHA 1L ORGAN ORIGINAL;8702;CAFE TRES CORACOES S.A
319;BEB ADES TP 1L ABACAXI;15441;SPAL IND BRAS BEBIDAS AS
320;BEB ADES TP 1L LARANJA;15441;SPAL IND BRAS BEBIDAS AS
321;BEB ADES TP 1L MACA;15441;SPAL IND BRAS BEBIDAS AS
323;BEB ADES TP 1L SOJA;15441;SPAL IND BRAS BEBIDAS AS
324;BEB ADES TP 1L SOJA ZERO;15441;SPAL IND BRAS BEBIDAS AS
325;BEB ADES TP 1L UVA;15441;SPAL IND BRAS BEBIDAS AS
326;BEB ADES TP 200ML MACA;15441;SPAL IND BRAS BEBIDAS AS
327;BEB ADES TP 200ML ABACAXI;15441;SPAL IND BRAS BEBIDAS AS
328;BEB ADES TP 200ML PESSEGO;15441;SPAL IND BRAS BEBIDAS AS
329;BEB ADES TP 200ML LARANJA;15441;SPAL IND BRAS BEBIDAS AS
330;BEB ADES TP 200ML UVA;15441;SPAL IND BRAS BEBIDAS AS
331;BEB ADES SEEDS TP 1L AMENDOAS BAUNIL;15441;SPAL IND BRAS BEBIDAS AS
332;BEB ADES SEEDS TP 1L AMENDOAS S A;15441;SPAL IND BRAS BEBIDAS AS
333;BEB ADES SEEDS TP 1L AMENDOAS;15441;SPAL IND BRAS BEBIDAS AS
334;BEB ADES SEEDS TP 1L COCO;15441;SPAL IND BRAS BEBIDAS AS
336;CHA ICE TEA LEAO PET 1 5L LIMAO;15441;SPAL IND BRAS BEBIDAS AS
337;CHA ICE TEA LEAO PET 1 5L LIMAO ZERO;15441;SPAL IND BRAS BEBIDAS AS
339;CHA ICE TEA LEAO PET 1 5L PESSEGO;15441;SPAL IND BRAS BEBIDAS AS
340;CHA ICE TEA LEAO PET 1 5L PESSEGO ZERO;15441;SPAL IND BRAS BEBIDAS AS
341;CERV COLORADO GF 600ML RIBEIRAO;9638;CRBS AS CDD PELOTAS
345;CERV PATAGONIA AMBER LAGER GF 740ML;9638;CRBS AS CDD PELOTAS
347;CERV PATAGONIA AMBER LT 473ML;9638;CRBS AS CDD PELOTAS
348;CHA ICE TEA LEAO PET 450ML LIMAO;15441;SPAL IND BRAS BEBIDAS AS
349;CHA ICE TEA LEAO PET 450ML PESSEGO;15441;SPAL IND BRAS BEBIDAS AS
350;CERV PATAGONIA BOHEMIAN LT 473ML;9638;CRBS AS CDD PELOTAS
352;CERV PATAGONIA BOHEM PIL LT 473ML;9638;CRBS AS CDD PELOTAS
353;CHA LEAO GUARANA C ACAI CP 300ML;15441;SPAL IND BRAS BEBIDAS AS
354;CHA LEAO GUARANA C ACAI PET 450ML;15441;SPAL IND BRAS BEBIDAS AS
355;CHA LEAO VERDE LIMAO PET 450ML;15441;SPAL IND BRAS BEBIDAS AS
357;CHA LEAO MATTE PET 1 5L LIMAO;15441;SPAL IND BRAS BEBIDAS AS
358;CHA LEAO MATTE PET 1 5L NATURAL;15441;SPAL IND BRAS BEBIDAS AS
359;CERV PATAGONIA IPA GF 740ML;9638;CRBS AS CDD PELOTAS
360;CHA LEAO VERDE LIMAO PET 1 5L;15441;SPAL IND BRAS BEBIDAS AS
361;CERV PATAGONIA WEISSE LT 473ML;9638;CRBS AS CDD PELOTAS
362;CERV PATAGONIA WEISSE GF 740ML;9638;CRBS AS CDD PELOTAS
363;CERV HEINEKEN PILSEN BARRIL 5L;14469;CARLOS CANCIAN E CIA LTDA
364;CHOPP PROVINCIA LAGER 500ML;4488;CIA ANDINA INDUSTRIA DE BEBIDAS LTDA
365;CHOPP PROVINCIA LAGER 1 5L PURO MALTE;4488;CIA ANDINA INDUSTRIA DE BEBIDAS LTDA
366;AGUARD VELHO BARREIRO 910ML CAFE;5127;IND.REUN.BEB.TATUZINHO 3 FAZENDAS LTDA
367;AGUARD VELHO BARREIRO 910ML GOLD;5127;IND.REUN.BEB.TATUZINHO 3 FAZENDAS LTDA
368;REFRE FRUKITO PET 2L FRUTAS CITRICAS;6424;BEBIDAS FRUKI LTDA
369;REFRE FRUKITO PET 2L LIMAO;6424;BEBIDAS FRUKI LTDA
370;AGUARDENTE VELHO BARREIRO LT 350ML LIMAO;5127;IND.REUN.BEB.TATUZINHO 3 FAZENDAS LTDA
371;REFRE FRUKITO PET 2L UVA;6424;BEBIDAS FRUKI LTDA
372;AGUARDENTE VELHO BARREIRO LT 350ML MARACUJA;5127;IND.REUN.BEB.TATUZINHO 3 FAZENDAS LTDA
373;REFRE FRUKITO PET 500ML FRUTAS CITRICAS;6424;BEBIDAS FRUKI LTDA
375;REFRE FRUKITO PET 500ML LIMAO;6424;BEBIDAS FRUKI LTDA
376;REFRE FRUKITO PET 500ML UVA;6424;BEBIDAS FRUKI LTDA
378;REFRE FRUKITO PET 200ML FRUTAS CITRICAS;6424;BEBIDAS FRUKI LTDA
379;REFRE FRUKITO PET 200ML LIMAO;6424;BEBIDAS FRUKI LTDA
384;BEB MISTA TAMPICO 450ML FRUTAS CITRICAS;10181;AGUAS MINERAIS SARANDI LTDA
385;AGUARD 51 965ML;3993;COMPANHIA MULLER DE BEBIDAS
386;ENERG MONSTER LT 473ML ABSOLUT ZERO;15441;SPAL IND BRAS BEBIDAS AS
387;ENERG MONSTER LT 473ML PACIFIC PUNCH;15441;SPAL IND BRAS BEBIDAS AS
388;ENERG MONSTER LT 473ML DRAGON LIMAO;15441;SPAL IND BRAS BEBIDAS AS
389;ENERG MONSTER LT 473ML GREEN;15441;SPAL IND BRAS BEBIDAS AS
390;ENERG MONSTER LT 473ML GREEN ZERO;15441;SPAL IND BRAS BEBIDAS AS
391;ENERG MONSTER LT 473ML KHAOTIC JUICE;15441;SPAL IND BRAS BEBIDAS AS
392;ENERG MONSTER LT 473ML MANGO LOCO;15441;SPAL IND BRAS BEBIDAS AS
393;ENERG MONSTER LT 473ML PESSEGO;15441;SPAL IND BRAS BEBIDAS AS
394;ENERG MONSTER LT 473ML ULTRA VIOLET;15441;SPAL IND BRAS BEBIDAS AS
395;ENERG MONSTER ULT PARADISE LT 473ML;15441;SPAL IND BRAS BEBIDAS AS
396;ENERG MONSTER LT 473ML ULTRA;15441;SPAL IND BRAS BEBIDAS AS
397;ENERG MONSTER LT 473ML WATERMELON;15441;SPAL IND BRAS BEBIDAS AS
400;ENERG ELEV LT 269ML ENERGY DRINK;6424;BEBIDAS FRUKI LTDA
401;ENERG ELEV LT 269ML MACA VERDE;6424;BEBIDAS FRUKI LTDA
402;ENERG ELEV LT 269ML ZERO;6424;BEBIDAS FRUKI LTDA
403;ENERG ELEV LT 473 ML ACAI COCO;6424;BEBIDAS FRUKI LTDA
404;ENERG ELEV LT 473 ML FRUT TROPICAIS;6424;BEBIDAS FRUKI LTDA
405;ENERG ELEV LT 473ML GUAR MARACUJA;6424;BEBIDAS FRUKI LTDA
406;ENERG ELEV LT 473ML MACA VERDE;6424;BEBIDAS FRUKI LTDA
407;ENERG ELEV LT 473 ML ORIGINAL;6424;BEBIDAS FRUKI LTDA
408;ENERG ELEV LT 473 ML ZERO;6424;BEBIDAS FRUKI LTDA
409;ENERG ELEV PET 2 L ACAI COCO;6424;BEBIDAS FRUKI LTDA
410;ENERG ELEV PET 2L FRUT TROPICAIS;6424;BEBIDAS FRUKI LTDA
412;ENERG ELEV PET 2L ORIGINAL;6424;BEBIDAS FRUKI LTDA
414;ENERG ELEV PET 2 L GUAR MARACUJA;6424;BEBIDAS FRUKI LTDA
415;ENERG ELEV PET 2L MACA VERDE;6424;BEBIDAS FRUKI LTDA
416;ENERG ELEV PET 2 L ZERO;6424;BEBIDAS FRUKI LTDA
417;BEB VIT BALY KIDS LT 220ML LARANJA;14226;BEBIDAS GRASSI DO BRASIL LTDA
422;AGUARDENTE VELHO BARREIRO 600ML;5127;IND.REUN.BEB.TATUZINHO 3 FAZENDAS LTDA
424;AGUARDENTE VELHO BARREIRO 910ML ADO;5127;IND.REUN.BEB.TATUZINHO 3 FAZENDAS LTDA
438;COQUETEL PATRICIA DO SUL 790ML;16380;DIST BEBIDAS F.A. CHIAMULERA
448;BEBIDA SCHWEPPES 269ML GIN TONICA;15441;SPAL IND BRAS BEBIDAS AS
453;BEBIDA SCHWEPPES 269ML SPRITZ;15441;SPAL IND BRAS BEBIDAS AS
454;BEBIDA SCHWEPPES 269ML VODKA E CITRUS;15441;SPAL IND BRAS BEBIDAS AS
455;ENERG BALY LT 473ML;14226;BEBIDAS GRASSI DO BRASIL LTDA
464;COQUETEL KISLLA 900ML LIMAO;8899;GLOBEV DISTRIBUIDORA DE BEBIDAS
470;COQUETEL KISLLA 900ML RED FRUTS;8899;GLOBEV DISTRIBUIDORA DE BEBIDAS
475;ICE KISLLA GIN LIMAO 275ML;8899;GLOBEV DISTRIBUIDORA DE BEBIDAS
499;ICE KISLLA 275ML BLUE;8899;GLOBEV DISTRIBUIDORA DE BEBIDAS
501;ICE KISLLA 275ML KIWI;8899;GLOBEV DISTRIBUIDORA DE BEBIDAS
502;ICE KISLLA 275ML MARACUJA;8899;GLOBEV DISTRIBUIDORA DE BEBIDAS
503;ENERG FUSION LT 473ML;9638;CRBS AS CDD PELOTAS
505;ICE 51 275ML BALADA;3993;COMPANHIA MULLER DE BEBIDAS
506;ENERG FUSION LT 473ML MELANCIA;9638;CRBS AS CDD PELOTAS
507;ENERG FUSION LT 473ML TROPICAL;9638;CRBS AS CDD PELOTAS
508;ENERG FUSION PET 2L;9638;CRBS AS CDD PELOTAS
510;ICE 51 275ML LIMAO;3993;COMPANHIA MULLER DE BEBIDAS
511;ICE 51 275ML MARACUJA;3993;COMPANHIA MULLER DE BEBIDAS
514;ENERG RED BULL LT 250ML ACAI;15318;PODAL IND E COM DE ALIMENTOS LTDA
515;ENERG RED BULL LT 250ML COCO ACAI;15318;PODAL IND E COM DE ALIMENTOS LTDA
516;ICE COROTE 275ML SEX ON THE BEAC;14067;DIST BEBIDAS BORTOLAZZO LTDA
517;ENERG RED BULL LT 250ML;15318;PODAL IND E COM DE ALIMENTOS LTDA
519;ENERG RED BULL LT 250ML MELANCIA;15318;PODAL IND E COM DE ALIMENTOS LTDA
520;ENERG RED BULL LT 250ML MORANGO PESSEGO;15318;PODAL IND E COM DE ALIMENTOS LTDA
521;ICE KISLLA 275ML BIG APPLE;8899;GLOBEV DISTRIBUIDORA DE BEBIDAS
522;ICE KISLLA 275ML LIMAO;8899;GLOBEV DISTRIBUIDORA DE BEBIDAS
523;ENERG RED BULL LT 250ML PERA CANELA;15318;PODAL IND E COM DE ALIMENTOS LTDA
524;ICE KISLLA 275ML RED FRUTS;8899;GLOBEV DISTRIBUIDORA DE BEBIDAS
525;ENERG RED BULL LT 250ML SUGAR FREE;15318;PODAL IND E COM DE ALIMENTOS LTDA
526;ENERG RED BULL LT 250ML TROPICAL;15318;PODAL IND E COM DE ALIMENTOS LTDA
527;ICE DRINK PET 275ML BLUE;16951;DISTRIBUIDORA MAXIMILIANO LTDA
528;ICE DRINK PET 275ML LIMAO;16951;DISTRIBUIDORA MAXIMILIANO LTDA
529;ICE KISLLA PET 275ML APPLE;8899;GLOBEV DISTRIBUIDORA DE BEBIDAS
531;ICE KISLLA PET 275ML LIMAO;8899;GLOBEV DISTRIBUIDORA DE BEBIDAS
532;ICE KISLLA PET 275ML RED FRUITS;8899;GLOBEV DISTRIBUIDORA DE BEBIDAS
533;ENERG RED BULL LT 355ML;15318;PODAL IND E COM DE ALIMENTOS LTDA
534;ENERG RED BULL LT 473ML;15318;PODAL IND E COM DE ALIMENTOS LTDA
