CODIGO_PRODUTO;DESCRICAO_PRODUTO;CODIGO_FORNECEDOR;DESCRICAO_FORNECEDOR
2984;MOLHO INGLES KISABOR 150G;5117;FOOD BRANDS INDUSTRIA DE PRODUTOS ALIMEN
2985;AMIDO MILHO MAIZENA 500G;17017;ZAFFALON E CIA LTDA
2987;MOLHO SHOYU KISABOR 150G;5117;FOOD BRANDS INDUSTRIA DE PRODUTOS ALIMEN
2998;AVEIA FLOCOS FINOS NESTLE 170G;15134;NESTLE BRASIL LTDA
3002;AVEIA FLOCOS QUAKER 165G REGULAR;10124;PEPSICO DO BRASIL LTDA
3003;AVEIA FLOCOS FINOS QUAKER 165G;10124;PEPSICO DO BRASIL LTDA
3007;ADOCANTE UNIAO MESA 500G LIGHT FIT;11411;CAMIL ALIMENTOS S/A
3020;BEBIDA NESCAFE 270ML SMOOVLATTE;15134;NESTLE BRASIL LTDA
3023;UTILIZAR FAMILIA 2221 E PRODUTO 3023;10617;MENON COMERCIO E REPRESENTACOES LTDA
3035;MOLHO TARTARO KISABOR PET 200G;5117;FOOD BRANDS INDUSTRIA DE PRODUTOS ALIMEN
3040;MOLHO BILLY JACK PET 200G VERDE;5117;FOOD BRANDS INDUSTRIA DE PRODUTOS ALIMEN
3043;MOLHO BILLY JACK PET 200G TASTY;5117;FOOD BRANDS INDUSTRIA DE PRODUTOS ALIMEN
3044;MOLHO BILLY JACK PET 200G CHEDDAR;5117;FOOD BRANDS INDUSTRIA DE PRODUTOS ALIMEN
3047;MOLHO BILLY JACK PET 200G ORIGINAL;5117;FOOD BRANDS INDUSTRIA DE PRODUTOS ALIMEN
3057;MOLHO ODERICH 220G TARTARO;15520;CONSERVAS ODERICH SA
3059;MOLHO ODERICH 220G ROSE;15520;CONSERVAS ODERICH SA
3061;FARINHA DE ARROZ MANINHO 1KG;3475;COMERCIAL DE CEREAIS MANINHO LTDA
3072;MOLHO ODERICH 220G PARMESAO;15520;CONSERVAS ODERICH SA
3074;FARINHA DE ARROZ MANINHO 1KG INT;3475;COMERCIAL DE CEREAIS MANINHO LTDA
3075;MOLHO ODERICH 220G CHEDDAR;15520;CONSERVAS ODERICH SA
3076;FARELO AVEIA SOBERANA 500G;16963;GERMANI ALIMENTOS LTDA
3080;FARINHA AVEIA YOKI 170G;3528;FABIANO ZAFFALON E CIA.
3081;MOLHO ODERICH 220G CEBOLA CARAMELI;15520;CONSERVAS ODERICH SA
3082;ANTIMOFO TRISANTI 1KG;16989;SANTI INDUSTRIA E COMERCIO LTDA
3083;MOLHO ODERICH 220G BURGUER;15520;CONSERVAS ODERICH SA
3089;MOSTARDA FUGINI BICO 180G;5791;FUGINI ALIMENTOS LTDA
3090;AMEND YOKI DESCASC 150G SALGADO;3528;FABIANO ZAFFALON E CIA.
3091;AMEND YOKI JAPONES 150G;3528;FABIANO ZAFFALON E CIA.
3092;MOSTARDA ODERICH TRADICIONAL 190G BISNAGA;15520;CONSERVAS ODERICH SA
3094;MOSTARDA ODERICH 190G PICANTE;15520;CONSERVAS ODERICH SA
3095;MOSTARDA FUGINI BICO 180G C MEL;5791;FUGINI ALIMENTOS LTDA
3099;MOSTARDA ODERICH PREM 250G DIJON;15520;CONSERVAS ODERICH SA
3100;MOSTARDA ODERICH PREM 250G ESCURA;15520;CONSERVAS ODERICH SA
3101;AMEND OVINHOS ELMA CHIPS 145G;10124;PEPSICO DO BRASIL LTDA
3105;AMEND JAPONES ELMA CHIPS 145G;10124;PEPSICO DO BRASIL LTDA
3108;MOSTARDA HELLMANNS 170G;17017;ZAFFALON E CIA LTDA
3109;AMEND YOKI DESCASC 500G SALGADO;3528;FABIANO ZAFFALON E CIA.
3128;SALG ELMA CHIPS 98G LANCHINHO 5UN SORTIDO;10124;PEPSICO DO BRASIL LTDA
3133;SALG CROCANTISSIMO 40G QUEIJO CEBOL;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
3136;SALG TORCIDA 35G PIMENTA MEXICAN;10124;PEPSICO DO BRASIL LTDA
3137;SALG TORCIDA 35G CAMARAO PIMENTA;10124;PEPSICO DO BRASIL LTDA
3138;SALG TORCIDA 35G CEBOLA;10124;PEPSICO DO BRASIL LTDA
3140;SALG TORCIDA 35G PAO DE ALHO;10124;PEPSICO DO BRASIL LTDA
3141;SALG TORCIDA 35G COSTELINHA LIM;10124;PEPSICO DO BRASIL LTDA
3142;SALG TORCIDA 35G QUEIJO;10124;PEPSICO DO BRASIL LTDA
3143;SALG TORCIDA 35G BACON;10124;PEPSICO DO BRASIL LTDA
3144;SALG TORCIDA 35G CHURRASCO;10124;PEPSICO DO BRASIL LTDA
3147;SALG ROMENA 90G TRAD;5714;IND E COMERCIO DE MASSA ROMENA LTDA
3155;SALG ELMA CHIPS PINGO DOURO 55G PICANHA;10124;PEPSICO DO BRASIL LTDA
3156;SALG ELMA CHIPS STIKSY 76G;10124;PEPSICO DO BRASIL LTDA
3157;SALG ELMA CHIPS PINGO DOURO 76G BACON;10124;PEPSICO DO BRASIL LTDA
3160;SALG EQLIBRI PANETINI 40G PRESUNTO DEFUM;10124;PEPSICO DO BRASIL LTDA
3161;SALG EQLIBRI PANETINI 40G QUEIJO SUAVE;10124;PEPSICO DO BRASIL LTDA
3167;GELATINA ZERO APTI 12G ABACAXI;10189;APTI ALIMENTOS LTDA
3170;PALITINHO KLAIN 160G ORIGINAL;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
3174;SALG POPCORNERS 57G SEA SALT;10124;PEPSICO DO BRASIL LTDA
3176;SALG ELMA CHIPS PINGO DOURO 120G PICANHA;10124;PEPSICO DO BRASIL LTDA
3177;SALG ELMA CHIPS STIKSY 160G;10124;PEPSICO DO BRASIL LTDA
3183;SALG KEVYTOS 55G BACON;2977;DELAVY ALIMENTOS LTDA
3187;SALG ELMA CHIPS 42G BACONZITOS;10124;PEPSICO DO BRASIL LTDA
3189;SALG ELMA CHIPS 86G BACONZITOS;10124;PEPSICO DO BRASIL LTDA
3190;SALG ELMA CHIPS PINGO DOURO 160G BACON;10124;PEPSICO DO BRASIL LTDA
3192;SALG TORCIDA VINAGRETE 35G;10124;PEPSICO DO BRASIL LTDA
3193;SALG BATATA OND PRATIC LEVE 40G BACON;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
3195;SALG BATATA OND PRATIC LEVE 40G ORIGINAL;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
3196;SALG BATATA OND PRATIC LEVE 40G CEBOLA E SALSA;3589;EVERTON RICARDO BIEHL SOTT & CIA LTDA.
3197;SALG BATATA RUFFLES 33G CHURRASCO;10124;PEPSICO DO BRASIL LTDA
3199;SALG BATATA RUFFLES 33G ORIGINAL;10124;PEPSICO DO BRASIL LTDA
3200;SALG BATATA YOKITOS OND NATURAL 45G C SAL;3528;FABIANO ZAFFALON E CIA.
3201;SALG BATATA YOKITOS OND 45G CEBOLA E SALSA;3528;FABIANO ZAFFALON E CIA.
3202;SALG BATATA YOKITOS LISA 45G;3528;FABIANO ZAFFALON E CIA.
3210;SALG BATATA RUFFLES OND 68G ORIGINAL;10124;PEPSICO DO BRASIL LTDA
3215;SALG LAYS LISA 70G CLASSICA;10124;PEPSICO DO BRASIL LTDA
3218;SALG BATATA YOKITOS OND 90G NATURAL;3528;FABIANO ZAFFALON E CIA.
3219;SALG BATATA YOKITOS OND 90G CHURRASCO;3528;FABIANO ZAFFALON E CIA.
3221;SALG BATATA RUFFLES 115G ORIGINAL;10124;PEPSICO DO BRASIL LTDA
3226;SALG BATATA PRINGLES 109G CREME E CEBOLA;12257;PARATI IND.COM.DE ALIMENTOS LTDA
3234;SALG LAYS LISA 115G SOUR CREAM;10124;PEPSICO DO BRASIL LTDA
3235;SALG LAYS LISA 115G CLASSICA;10124;PEPSICO DO BRASIL LTDA
3237;SALG BATATA YOKITOS OND 180G C SAL;3528;FABIANO ZAFFALON E CIA.
3238;SALG BATATA RUFFLES 167G ORIGINAL;10124;PEPSICO DO BRASIL LTDA
3248;GELATINA ROYAL ZERO 12G ABACAXI;13838;TOPFLEX DISTRIBUIDOR DE ALIMENTOS
3249;GELATINA ROYAL ZERO 12G CEREJA;13838;TOPFLEX DISTRIBUIDOR DE ALIMENTOS
3253;GELATINA ROYAL ZERO 12G FRAMBOESA;13838;TOPFLEX DISTRIBUIDOR DE ALIMENTOS
3254;SALG YOKITOS 54G ANEIS CEBOLA;3528;FABIANO ZAFFALON E CIA.
