Codigo_Produto;Descricao;Qtd_Lojas_Rede;Filtro_1_Apenas_3_Lojas;Filtro_2_Pequenas_Incompletas;Quais_Lojas_Ativas
10159;SAB LIQ PALMOLIVE RF 200ML CAMELIA AMEND;11;NAO;SIM;002, 003, 006, 008, 011, 012, 013, 014, 015, 017, 018
10160;SAB LIQ PALMOLIVE RF 200ML JASMIM CACAU;11;NAO;SIM;002, 003, 006, 008, 011, 012, 013, 014, 015, 017, 018
10163;SABON LIQ PALMOLIVE NATURALS 250ML FRAMB AMORA;7;NAO;SIM;002, 003, 008, 012, 014, 015, 018
12183;ABS MILI SUAVE PROT TOT C ABAS C 32;11;NAO;SIM;002, 003, 004, 006, 011, 012, 013, 014, 015, 017, 018
12491;AP BIC 3 INTENSITY C 2;10;NAO;SIM;002, 003, 006, 007, 011, 012, 013, 015, 017, 018
17695;ERVA MATE TOMELERO 500G;3;SIM;NAO;011, 012, 018
17696;ERVA MATE TOMELERO MOIDA GROSSA 1KG;3;SIM;NAO;011, 012, 018
17697;ERVA MATE TOMELERO TRAD 1KG;3;SIM;NAO;011, 012, 018
17698;ERVA MATE TOMELERO VAC PREMIUM 1KG;3;SIM;NAO;011, 012, 018
17819;ESC DENT SORRISO CARVAO C 2;11;NAO;SIM;002, 003, 006, 008, 011, 012, 013, 014, 015, 017, 018
20154;LIMP VEJA M USO 750ML ORIG;11;NAO;SIM;002, 003, 004, 006, 011, 012, 013, 014, 015, 017, 018
22638;QJO RAL PRESIDENTE PARMESAO 100G;9;NAO;SIM;002, 003, 004, 006, 011, 012, 014, 015, 018
24138;SC PANOSUL ALVEJADO 48X63CM R 14;10;NAO;SIM;002, 003, 004, 011, 012, 013, 014, 015, 017, 018
24332;SHAMPOO MONANGE 325ML DETOX TERAPIA;11;NAO;SIM;001, 002, 003, 004, 006, 011, 012, 013, 015, 017, 018
24841;TINTURA CORETON 170G 7 77 L MRM;12;NAO;SIM;002, 003, 004, 006, 007, 011, 012, 013, 014, 015, 017, 018
24984;TOAL SOCIAL PANOSUL 23X38CM;11;NAO;SIM;002, 003, 006, 007, 011, 012, 013, 014, 015, 017, 018
33833;LEITE UHT TIROL 1L BIO CICLOS;11;NAO;SIM;002, 003, 004, 006, 011, 012, 013, 014, 015, 017, 018
