NROPEDIDOSUPRIM;NROEMPRESA;CENTRALLOJA;SEQCOMPRADOR;SEQFORNECEDOR;TIPPEDIDOSUPRIM;SITUACAOPED;DTAEMISSAO;DTARECEBTO;DTALIMITERECEBTO;PZOPAGAMENTO;DTAVENCTOFIXA;CONDICAOFRETE;TXVENDOR;NROPEDFORNECEDOR;ADVRECEBIMENTO;ADVEXPEDICAO;OBSERVACAO;USUINCLUSAO;DTAHORINCLUSAO;USUAPROVACAO;DTAAPROVACAO;USUIMPRESSAO;DTAIMPRESSAO;USUALTERACAO;DTAALTERACAO;INDREPLICACAO;INDGEROUREPLICACAO;SEQADMESTQLOTE;SEQFINALIDBONIF;NROEMPRESAFAT;NROEMPRESALOGADA;NROPEDIDOBONIF;QTDTOTSOLICITADA;QTDTOTRECEBIDA;QTDTOTCANCELADA;SITUACAOQTDE;QTDTOTTRANSITO;SEQGERCOMPRA;CODORIGEM;VLRTOTPEDIDO;VLRTOTCANCELADO;VLRTOTRECEBIDO;NROPEDSUPRIMORIG;NROEMPRESAORIG;CENTRALLOJAORIG;SEQATACCOTACAO;CODGERALOPER;VLRFRETERETIRA;USUGEREDI;DTAHORGEREDI;USUALTERACAOEDI;DTAHORREENVEDI;USUREENVEDI;PERDESCDF;SEQTRANSPORTADOR;NROPEDSUPRIMORIGEDI;CATEGORIAABASTECAUTO;TXCOMPROR;PRAZOPAGTOCOMPROR;SEQFORNECEDI;NROPEDFORNECEDORNUM;SEQNROPEDIDOSUPRIM;NROACORDO;NROEMPRESAACORDO;INDUTILCSSEMACORDO;INDUTILCONTRSALDACORD;SEQCCACORDOASSOC;SEQCCACORDOPROMOC;NROREQUISICAO;INDESTTROCA;NROPEDIDOORIGEMMACX;SEQCONDCONDPRAZOPAGTO;INDUSAREGIAOCOMPRA;ENVIAEMAIL;INDTIPOEMBALAGEM;VLRTOTNAOPARTLIMCOMPRA;DTARECEBTOORIGINAL;TIPOPEDVENDA;INDIMPDIRETABONIF;INDTRANSFEMPSEC;NEGOCIACAO;NEGOCIACAOANT;USUMARCNEGOCIACAO;DTAHORMARCNEGOCIACAO;USUDESMARCNEGOCIACAO;DTAHORDESMARCNEGOCIACAO;CODIGOPENDENCIA;MOTIVOPENDENCIA;JUSTIFICATIVAAPROVACAO;DTAEMISSAOORIGINAL;SEQCONTRATO;SEQEXPFLUXOCAIXA;INDPEDBONIFACORDOPROMOC;INDPEDANALISADOALTPRECO;DTAHORAULTEMAIL;DIASPRORROGACAO;USUAPROVDESVINCULONFE;JUSTDESVINCULONFE;QTDTOTAPROVADA;INDUTILAPROVWEB;INDUTILLIMCOMPRWEB;IDPEDIDOEXTERNO;APPORIGEM
29876;8;L;9;16;T;C;2026-02-26-00.00.00.000000;2026-02-26-00.00.00.000000;;;;C;0;29875;;;;AUTOMATICO;2026-02-26-04.12.30.000000;;;;;;2026-02-26-04.12.32.000000;S;;;;;16;;15;0;15;T;0;27361;;279,53;279,53;;;;;;;;;;;;;;;;;;;;29875;29726;;;;;;;;;;;;;;0;2026-02-26-00.00.00.000000;;;;N;;;;;;;;;2026-02-26-00.00.00.000000;;13005;;;;;;;15;N;N;;
29877;16;L;9;16;X;A;2026-02-26-00.00.00.000000;2026-02-26-00.00.00.000000;;;;C;0;;;;;AUTOMATICO;2026-02-26-04.12.30.000000;AUTOMATICO;2026-02-26-00.00.00.000000;;;AUTOMATICO;2026-02-26-00.00.00.000000;S;;;;;16;;;;;T;;27361;;;;;;;;;;;;;;;;;;;;;;;;29727;;;;;;;;;;;;;;;2026-02-26-00.00.00.000000;;;;N;;;;;;;;;2026-02-26-00.00.00.000000;;12786;;;;;;;;N;N;;
29878;11;L;9;16;T;P;2026-02-26-00.00.00.000000;2026-02-26-00.00.00.000000;;;;C;0;29877;;;;AUTOMATICO;2026-02-26-04.12.30.000000;;;;;;2026-02-26-04.12.32.000000;S;;;;;16;;242;196,745;45,255;T;0;27361;;3707,77;549,35;3158,41;;;;;;;;;;;;;;;;;;;29877;29728;;;;;;;;;;;;;;0;2026-02-26-00.00.00.000000;;;;N;;;;;;;;;2026-02-26-00.00.00.000000;;13408;;;;;;;242;N;N;;
29879;16;L;9;16;X;A;2026-02-26-00.00.00.000000;2026-02-26-00.00.00.000000;;;;C;0;;;;;AUTOMATICO;2026-02-26-04.12.30.000000;AUTOMATICO;2026-02-26-00.00.00.000000;;;AUTOMATICO;2026-02-26-00.00.00.000000;S;;;;;16;;;;;T;;27361;;;;;;;;;;;;;;;;;;;;;;;;29729;;;;;;;;;;;;;;;2026-02-26-00.00.00.000000;;;;N;;;;;;;;;2026-02-26-00.00.00.000000;;12786;;;;;;;;N;N;;
29880;12;L;9;16;T;P;2026-02-26-00.00.00.000000;2026-02-26-00.00.00.000000;;;;C;0;29879;;;;AUTOMATICO;2026-02-26-04.12.30.000000;;;;;;2026-02-26-04.12.33.000000;S;;;;;16;;537;488,237;48,763;T;0;27361;;2852,96;540,5;2312,47;;;;;;;;;;;;;;;;;;;29879;29730;;;;;;;;;;;;;;0;2026-02-26-00.00.00.000000;;;;N;;;;;;;;;2026-02-26-00.00.00.000000;;13430;;;;;;;537;N;N;;
29881;16;L;9;16;X;A;2026-02-26-00.00.00.000000;2026-02-26-00.00.00.000000;;;;C;0;;;;;AUTOMATICO;2026-02-26-04.12.30.000000;AUTOMATICO;2026-02-26-00.00.00.000000;;;AUTOMATICO;2026-02-26-00.00.00.000000;S;;;;;16;;;;;T;;27361;;;;;;;;;;;;;;;;;;;;;;;;29731;;;;;;;;;;;;;;;2026-02-26-00.00.00.000000;;;;N;;;;;;;;;2026-02-26-00.00.00.000000;;12786;;;;;;;;N;N;;
29882;13;L;9;16;T;P;2026-02-26-00.00.00.000000;2026-02-26-00.00.00.000000;;;;C;0;29881;;;;AUTOMATICO;2026-02-26-04.12.30.000000;;;;;;2026-02-26-04.12.33.000000;S;;;;;16;;832,43;335,8;496,63;T;0;27361;;9501,54;7296,46;2205,08;;;;;;;;;;;;;;;;;;;29881;29732;;;;;;;;;;;;;;0;2026-02-26-00.00.00.000000;;;;N;;;;;;;;;2026-02-26-00.00.00.000000;;14238;;;;;;;832,43;N;N;;
29883;16;L;9;16;X;A;2026-02-26-00.00.00.000000;2026-02-26-00.00.00.000000;;;;C;0;;;;;AUTOMATICO;2026-02-26-04.12.30.000000;AUTOMATICO;2026-02-26-00.00.00.000000;;;AUTOMATICO;2026-02-26-00.00.00.000000;S;;;;;16;;;;;T;;27361;;;;;;;;;;;;;;;;;;;;;;;;29733;;;;;;;;;;;;;;;2026-02-26-00.00.00.000000;;;;N;;;;;;;;;2026-02-26-00.00.00.000000;;12786;;;;;;;;N;N;;
29884;14;L;9;16;T;P;2026-02-26-00.00.00.000000;2026-02-26-00.00.00.000000;;;;C;0;29883;;;;AUTOMATICO;2026-02-26-04.12.30.000000;;;;;;2026-02-26-04.12.33.000000;S;;;;;16;;234,824;163,5;71,324;T;0;27361;;3447,6;1711,06;1736,54;;;;;;;;;;;;;;;;;;;29883;29734;;;;;;;;;;;;;;0;2026-02-26-00.00.00.000000;;;;N;;;;;;;;;2026-02-26-00.00.00.000000;;13428;;;;;;;234,824;N;N;;
22950;15;C;9;15;X;A;2026-02-19-00.00.00.000000;2026-02-19-00.00.00.000000;;;;C;0;;;;;AUTOMATICO;2026-02-19-04.20.29.000000;AUTOMATICO;2026-02-19-00.00.00.000000;;;AUTOMATICO;2026-02-19-00.00.00.000000;S;;;;;15;;;;;T;;20521;;;;;;;;;;;;;;;;;;;;;;;;22779;;;;;;;;;;;;;;;2026-02-19-00.00.00.000000;;;;N;;;;;;;;;2026-02-19-00.00.00.000000;;6843;;;;;;;;N;N;;
