SEQFAMILIA;SEQMARCA;FAMILIA;PESAVEL;INDISENTOPIS;INDICEFORMBASEIPI;ALIQUOTAIPI;PMTDECIMAL;PMTMULTIPLICACAO;INDVASILHAME;SEQVASILHAME;ARQUIVOFIGURA;DTAHORINCLUSAO;USUARIOINCLUSAO;DTAHORALTERACAO;USUARIOALTERACAO;INDREPLICACAO;INDGEROUREPLICACAO;INDCALCIPISAIDA;PERBASEIPI;PERISENTOIPI;PEROUTROIPI;PERALIQUOTAIPI;VLRIPIPAUTA;INDTRIBPISCOFINS;INDCONTROLEVDA;INDGENERICO;INDPRECOMONITORADO;INDSTPISCOFINS;INDUSALOTEESTOQUE;INDISENTODEBPISCOFINS;INDCONFAZ;INDALIQZPISCOFINS;INDPERMCONVENIO;OBSEMERGENCIAL;CODTIPI;INDCOMPLVLRIMP;INDMONOPISCOFINS;TIPORECEITA;CODSERVICO;INDDIGCHECKOUT;CODSEFAZCOMBLUB;INDEXIGLICENCA;CODNBMSH;COMPCESTABASICA;PAPELIMUNE;INDUSAFIGURA;INDSIMILAR;INDRECEITA;INDRECEITACOR;SEQFAMILIATMP;SITUACAONFPIS;SITUACAONFCOFINS;INDISENTOSUFRAMA;PERBASEPIS;PERBASECOFINS;INDINCONSISTANVISA;NROBASEEXPORTACAO;NROEMPRESAABASTEC;ATUALIZNCMIPI;INDMEDICAMENTO;INDETICO;ALIQPADRAOICMS;CODNATREC;SITUACAONFPISSAI;SITUACAONFCOFINSSAI;INDISENTOTSA;SEQNATREC;INDACEITAVENDAFRAC;SEQCERTIFICADO;TEXTONFCOMPLEMCERTIF;ATUALIZANCMIMPIMPORT;PERIMPOSTOIMPORT;PERREDIMPOSTOIMPORT;PERREDBASEIPIENT;INDMEDCONTROLADO;LISTAMEDCONTROLADO;CODMEDCONTROLADO;SUBITEMCODSERVICO;INDBEBIDAALCOOLICA;CODISENTAGIARS;CODOUTRASGIARS;SEQINFCONSERVDOMEST;INDETIQUETAANTIFURTO;SITPISCOFINSSIMPLES;INDEXIGEREQUISICAO;SITUACAONFIPI;SITUACAONFIPISAI;NRODIAGARANTIA;INDTIPORECEITA;INDANTIMICROBIANO;DTAHORALTERACARGAPDV;INDUSOPROLONGADO;UNIDADEMEDIDAMED;INDFARMACIAPOPULAR;ALIQPADRAOICMSPROTEGE;INDESCRITOUTROSEI;QTDPARCELAETIQUETA;NRODIASGARANTIAFAB;TIPOMODALGARANTIA;CODPRODDACAL;CODNVE;DTAHORINCLUSAOMSGCONT;USUARIOINCLUSAOMSGCONT;LEITURAMSGCONT;SEQTIPOFAMILIA;SEQMARCAFAMILIA;SEQCOMPLEMENTOFAMILIA;SEQGRAMATURAFAMILIA;INDPERMSUSPPISCOFINS;INDEXIGELOTE;CLASSEENQUADRAMENTOIPI;CODIGOSELOIPI;CODIGOENQUADRAMENTOIPI;GIARSTIPO;GIARSCODIGO;GIARSESPECIFICACAO;LITROSTABIPIPISCOFINS;CODGIACREDITOPRESUMIDO;CODGIATRANSFERENCIA;CODGIARECEBIMENTO;CODGIAOUTROSCREDITOS;CODGIAOUTROSDEBITOS;QTDMAXTRANSFLOCAL;CODCEST;PERCADICPRECOSETOR;EXIGEDTAVENCCONF;INDFAMTIPOEMBALAGEM;NROCODDCB;DESCDCB;APRESENTCONC;CHECAPESO;INDCADASTROATIVO;CODNBMSHAPROVACAO;INDENVIAQTDMAXTRANSPNFE;QTDMAXPERMNFE;CODISENTAGIARSINTEREST;CODOUTRASGIARSINTEREST;TIPOCALCTCIF;PERREDTCIF;VLRLIMTCIF;INDIMEI;INDEMITERELCALCIPIEQUIPIND;NROSERVREINF;DESCENCARTE;TIPOEVENTO;TIPOREPASSE;DESCRICAORECURSO;INDMATERIALAPOIO;SITUACAONFPISAUX;SITUACAONFCOFINSAUX;SITUACAONFIPIAUX;ALIQUOTAIPIAUX;CODCESTAUX;CODNATRECAUX;DTAALTERAIMPOSTOFAM;PERTRIBUTADOINT;SITUACAONFPISSAIAUX;SITUACAONFCOFINSSAIAUX;SITUACAONFIPISAIAUX;SEQNATRECAUX;CODNBMSHAUX;OBSENCARTE;INDALTERAIMPOSTO;INDEXIGEMAPA;SEQFAMILIAIMPORTACAOERP;INDUSAPESODRENADO;INDPERMITELERPESOPDV;TIPOCADASTRO;CODTIPMERCADORIA;INDDEDUZICMSDESONERADO;NROBASEEXPORTACAOERP;INDCONFIGTRIBUFDEVFORN;CODDIRBI
23987;;INAT E MATE MADRUG COMP 500G C 10;N;N;100;0;N;S;N;;;;;2026-03-27-11.34.08.000000;JOB_ETCCOM;S;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;09030090;;;;N;N;;36689;50;50;;;;;5614195;;S;;;;;01;01;N;;;;;;;;;;;;;;601;;;N;N;;;;;;;2026-03-27-11.34.10.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1709800;;;;;;;S;;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;;;;;M;;;0;;
19388;;ARROZ ITAOBI PARB T1 1K;N;N;100;0;N;S;N;;;;;2025-07-23-15.19.54.000000;JOB_ETCCOM;;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;10063011;;;;N;N;;32090;73;73;;;;;5614195;;S;;;;105;06;06;N;157;;;;;;;;;;;;;601;;;N;;;;;;;;2025-06-21-23.27.28.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M;;;0;;
19403;;ARROZ RAROZ TP1 2K;N;N;100;0;N;S;N;;;;;2025-07-23-15.21.17.000000;JOB_ETCCOM;;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;10063021;;;;N;N;;32105;73;73;;;;;5614195;;S;;;;105;06;06;N;157;;;;;;;;;;;;;601;;;N;;;;;;;;2025-06-21-23.27.27.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M;;;0;;
19405;;ARROZ RAROZ TP2 2K;N;N;100;0;N;S;N;;;;;2025-07-23-15.21.28.000000;JOB_ETCCOM;;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;10063021;;;;N;N;;32107;73;73;;;;;5614195;;S;;;;105;06;06;N;157;;;;;;;;;;;;;601;;;N;;;;;;;;2025-06-21-23.27.27.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M;;;0;;
19397;;ARROZ NUTRIARROZ TP1 1K;N;N;100;0;N;S;N;;;;;2025-07-23-15.20.42.000000;JOB_ETCCOM;;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;10063021;;;;N;N;;32099;73;73;;;;;5614195;;S;;;;105;06;06;N;157;;;;;;;;;;;;;601;;;N;;;;;;;;2025-06-21-23.27.28.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M;;;0;;
19359;;ARROZ BCO ELO TP2 5K;N;N;100;0;N;S;N;;;;;2025-07-23-15.18.00.000000;JOB_ETCCOM;;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;10063021;;;;N;N;;32061;73;73;;;;;5614195;;S;;;;105;06;06;N;157;;;;;;;;;;;;;601;;;N;;;;;;;;2025-06-21-23.27.32.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M;;;0;;
19349;1578;INA ARROZ BCO ARTESAO TP1 1K;N;N;100;0;N;S;N;;;;;2025-11-17-16.39.31.000000;JOB_ETCCOM;S;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;10063021;;;;N;N;;32051;73;73;;;;;5614195;;S;;;;105;06;06;N;157;;;;;;;;;;;;;601;;;N;;;;;;;;2025-11-17-16.32.24.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M;;;0;;
19350;1580;INA ARROZ BCO BIJU TP1 1K;N;N;100;0;N;S;N;;;;;2025-11-17-17.03.56.000000;JOB_ETCCOM;S;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;10063021;;;;N;N;;32052;73;73;;;;;5614195;;S;;;;105;06;06;N;157;;;;;;;;;;;;;601;;;N;;;;;;;;2025-11-17-17.03.28.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M;;;0;;
19402;;ARROZ RAROZ PRIME TP1 5K;N;N;100;0;N;S;N;;;;;2025-07-23-15.21.10.000000;JOB_ETCCOM;;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;10063021;;;;N;N;;32104;73;73;;;;;5614195;;S;;;;105;06;06;N;157;;;;;;;;;;;;;601;;;N;;;;;;;;2025-06-21-23.27.36.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M;;;0;;
19408;;ARROZ ROCUI TP3 5K;N;N;100;0;N;S;N;;;;;2025-07-23-15.21.45.000000;JOB_ETCCOM;;;;;;;;;I;;;;;;;;;;;;;;1;;S;;;10063021;;;;N;N;;32110;73;73;;;;;5614195;;S;;;;105;06;06;N;157;;;;;;;;;;;;;601;;;N;;;;;;;;2025-06-21-23.27.45.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M;;;0;;
