SEQREDE;SEQPESSOA;DTAALTERACAO;USUALTERACAO;STATUS;INDREPLICACAO;INDGEROUREPLIC;NROBASEEXPORTACAO;RESPFINANCEIRO;DTAHORINCLUSAO;USUINCLUSAO
483;17064;2026-03-13-00.00.00.000000;SAMARTIN;A;S;;5286767;;2026-03-13-11.32.48.000000;SAMARTIN
483;12140;2026-03-13-00.00.00.000000;SAMARTIN;A;S;;5286767;;2026-03-13-11.32.48.000000;SAMARTIN
483;9777;2026-03-13-00.00.00.000000;SAMARTIN;A;S;;5286767;;2026-03-13-11.32.48.000000;SAMARTIN
483;9776;2026-03-13-00.00.00.000000;SAMARTIN;A;S;;5286767;;2026-03-13-11.32.48.000000;SAMARTIN
483;9775;2026-03-13-00.00.00.000000;SAMARTIN;A;S;;5286767;;2026-03-13-11.32.48.000000;SAMARTIN
483;9774;2026-03-13-00.00.00.000000;SAMARTIN;A;S;;5286767;;2026-03-13-11.32.48.000000;SAMARTIN
483;16353;2026-03-13-00.00.00.000000;SAMARTIN;A;S;;5286767;;2026-03-13-11.32.48.000000;SAMARTIN
483;16352;2026-03-13-00.00.00.000000;SAMARTIN;A;S;;5286767;;2026-03-13-11.32.48.000000;SAMARTIN
483;16351;2026-03-13-00.00.00.000000;SAMARTIN;A;S;;5286767;S;2026-03-13-11.32.48.000000;SAMARTIN
483;14246;2026-03-13-00.00.00.000000;SAMARTIN;A;S;;5286767;;2026-03-13-11.32.48.000000;SAMARTIN
483;14245;2026-03-13-00.00.00.000000;SAMARTIN;A;S;;5286767;;2026-03-13-11.32.48.000000;SAMARTIN
483;11864;2026-03-13-00.00.00.000000;SAMARTIN;A;S;;5286767;;2026-03-13-11.32.48.000000;SAMARTIN
483;3634;2026-03-13-00.00.00.000000;SAMARTIN;A;S;;5286767;;2026-03-13-11.32.48.000000;SAMARTIN
483;3633;2026-03-13-00.00.00.000000;SAMARTIN;A;S;;5286767;;2026-03-13-11.32.48.000000;SAMARTIN
483;3632;2026-03-13-00.00.00.000000;SAMARTIN;A;S;;5286767;;2026-03-13-11.32.48.000000;SAMARTIN
602;10421;2026-04-17-00.00.00.000000;AD_WALLACE;A;S;;5363649;S;2026-04-17-14.32.12.000000;AD_WALLACE
602;14322;2026-04-17-00.00.00.000000;AD_WALLACE;A;S;;5363649;;2026-04-17-14.32.12.000000;AD_WALLACE
641;13385;2026-04-28-00.00.00.000000;KEDOUGLA;A;S;;5387225;;2026-04-28-17.33.18.000000;KEDOUGLA
641;10025;2026-04-28-00.00.00.000000;KEDOUGLA;A;S;;5387225;S;2026-04-28-17.33.18.000000;KEDOUGLA
641;16424;2026-04-28-00.00.00.000000;KEDOUGLA;A;S;;5387225;;2026-04-28-17.33.18.000000;KEDOUGLA
721;16261;2026-06-01-00.00.00.000000;DEIZABEL;A;S;;5461823;;2026-06-01-14.56.34.000000;DEIZABEL
721;16846;2026-06-01-00.00.00.000000;DEIZABEL;A;S;;5461823;;2026-06-01-14.56.34.000000;DEIZABEL
761;9164;2026-07-01-00.00.00.000000;KEDOUGLA;A;S;;5517317;;2026-07-01-14.38.19.000000;KEDOUGLA
761;13363;2026-07-01-00.00.00.000000;KEDOUGLA;A;S;;5517317;S;2026-07-01-14.38.19.000000;KEDOUGLA
681;6979;2026-07-08-00.00.00.000000;DAMARQUE;A;S;;5529381;;2026-07-08-16.05.51.000000;DAMARQUE
681;14671;2026-07-08-00.00.00.000000;DAMARQUE;A;S;;5529381;;2026-07-08-16.05.51.000000;DAMARQUE
841;13542;2026-07-20-00.00.00.000000;DEIZABEL;A;S;;5550127;N;2026-07-20-17.04.27.000000;DEIZABEL
841;2672;2026-07-20-00.00.00.000000;DEIZABEL;A;S;;5550125;;2026-07-20-17.04.27.000000;DEIZABEL
841;15756;2026-07-20-00.00.00.000000;DEIZABEL;A;S;;5550127;S;2026-07-20-17.06.02.000000;DEIZABEL
861;11969;2026-07-22-00.00.00.000000;DEIZABEL;A;S;;5553165;S;2026-07-22-08.40.13.000000;DEIZABEL
861;6546;2026-07-22-00.00.00.000000;DEIZABEL;A;S;;5553163;;2026-07-22-08.40.13.000000;DEIZABEL
