CODIGO_EMPRESA;CODIGO_PRODUTO;DESCRICAO_PRODUTO;DEPARTAMENTO;NRO_PEDIDO;DATA;NRO_PED_EXPEDICAO;CARGA;EMBALAGEM;ESTOQUE_DISPONIVEL_CD;QUANTIDADE_A_EXPEDIR;QTD_SEPARADA;QTD_CONFERIDA;DATA_CONFERENCIA;USUARIO_CONFERENCIA;ESTOQUE_DISPONIVEL_LOJA
11;18170;ESP 3M SCHOTCH BRITE ECONOMICA;PERFUMARIA E LIMPEZA;74147;01/06/2026;136064;70915;10;510;10;1;0;01/06/2026;RONAS;15
11;24096;SC LIXO PRO LIXO ROLAO 100L C 25;PERFUMARIA E LIMPEZA;74147;01/06/2026;136064;70915;12;60;12;1;0;01/06/2026;RONAS;4
11;10084;PREND ROUPA PARANA PLAST EMB 12UN;PERFUMARIA E LIMPEZA;74147;01/06/2026;136064;70915;60;1200;60;1;0;01/06/2026;RONAS;6
11;24084;SC LIXO ALMOF CASAFORT 100L C 5;PERFUMARIA E LIMPEZA;74147;01/06/2026;136064;70915;50;200;50;1;0;01/06/2026;RONAS;50
11;24121;SC LIXO ROL DOBRASIL 10L C 50;PERFUMARIA E LIMPEZA;74147;01/06/2026;136064;70915;25;25;25;1;0;01/06/2026;RONAS;51
11;33967;LIMPA PNEUS MIL MILHAS 485ML;PERFUMARIA E LIMPEZA;74147;01/06/2026;136064;70915;20;300;20;1;0;01/06/2026;RONAS;7
11;8704;VASSOURA CONDOR LIMPA PISO S CABO;PERFUMARIA E LIMPEZA;74147;01/06/2026;136064;70915;12;1740;12;0;0;01/06/2026;RONAS;2
18;20454;MANG DUOCOLOR 10MTS;NAO ALIMENTO;75213;02/06/2026;138253;72284;1;0;1;0;0;;;9
3;9751;LEITE SANTA CLARA UHT INT 1L;PERECIVEIS;75413;03/06/2026;140915;;12;94680;1020;0;0;;;3494
3;34846;ALVEJ BARBAREX 5L S CLORO;PERFUMARIA E LIMPEZA;75441;03/06/2026;140915;73749;2;230;154;0;0;;;5
3;35020;DUCHA GORDUCHA ZAFONEL 4T 220V;NAO ALIMENTO;76240;04/06/2026;140199;73129;1;0;2;0;0;10/06/2026;RAMIRES;0
3;33305;TAPETE BOX OVAL PVC 61X35CM;NAO ALIMENTO;76240;04/06/2026;140199;73129;1;0;1;0;0;10/06/2026;RAMIRES;3
3;14985;CAD ESPI CD 1 4 80FLS FROZEN;NAO ALIMENTO;76240;04/06/2026;140199;73129;5;0;5;0;0;10/06/2026;RAMIRES;9
3;15115;CAD ESPI CD 80FLS CARTOGRAFIA T DUDA;NAO ALIMENTO;76240;04/06/2026;140199;73129;4;0;4;0;0;10/06/2026;RAMIRES;25
3;17550;EMB PRATICA GABOARDI 5KG;NAO ALIMENTO;76240;04/06/2026;140199;73129;25;125;50;0;0;10/06/2026;RAMIRES;61
3;35870;GARFO SOBREMESA FORFEST 25UN PRT;NAO ALIMENTO;76240;04/06/2026;140199;73129;32;32;32;0;0;10/06/2026;RAMIRES;-17
3;17012;CUIA PINTADA S/TAPA ERVA;NAO ALIMENTO;76240;04/06/2026;140199;73129;1;0;1;0;0;10/06/2026;RAMIRES;-4
