DEPARTAMENTO	CORRESPONDENCIA
A CLASSIFICAR	40
BEBIDAS	14
MERCEARIA	10
NAO ALIMENTO	30
PERFUMARIA E LIMPEZA	16
PERFUMARIA E LIMPEZA	17
PRODUTOS PET	13
MERCEARIA	19
PERECIVEIS	20
PERECIVEIS	21
PERECIVEIS	22
PERECIVEIS	23
PERECIVEIS	24
PERECIVEIS	25
PERECIVEIS	26
PERECIVEIS	27
