TABLE_NAME;OWNER
MFTX_DADOSEMPENHO;CONSINCO
MFTX_DADOS_MANIFESTO_CARGA;CONSINCO
MFTX_MANIFESTO_DF;CONSINCO
MFTX_TOTALCARGA;CONSINCO
MFT_CARGAIMPORT;CONSINCO
MFT_CCFRETE;CONSINCO
MFT_EMPENHODF;CONSINCO
MFT_EMPENHO_CARGADF;CONSINCO
MFT_MANIFESTO_CARGA;CONSINCO
MFT_MANIFESTO_DF;CONSINCO
MFT_NFIMPORT;CONSINCO
MHCV_BASEROMANEIOENTREGAS;CONSINCO
MHCV_CTRLENTREGACARGAEXPED;CONSINCO
MHCV_CTRLENTREGACARGAEXPEDDOC;CONSINCO
MLFV_BASENFE;CONSINCO
MLFV_NFENTRADA;CONSINCO
MLF_SERVICOLOGISTICA;CONSINCO
MLOV_AUDITORIAVOLUME;CONSINCO
MLOV_BASEARMAZENAGEMGERAL;CONSINCO
MLOV_BASEETQCARGARESSEPAR;CONSINCO
MLOV_BASEETQCLIENTE;CONSINCO
MLOV_BASEETQCLIENTEPROD;CONSINCO
MLOV_BASEETQCLIENTEVOLPROD;CONSINCO
MLOV_BASEETQCLIENTE_DPCLINHA;CONSINCO
MLOV_BASEETQCLIENTE_LUNAR;CONSINCO
MLOV_BASEETQCLIENTE_MEGALINHA;CONSINCO
MLOV_BASEETQCLIENTE_RGD;CONSINCO
MLOV_BASEETQCLIENTE_SORTER;CONSINCO
MLOV_BASEETQCLIENTE_TESTEDPC;CONSINCO
MLOV_BASEETQCLIQUEBRAMAISCLI;CONSINCO
MLOV_BASEETQCLI_LOTE_MTGRN_C5;CONSINCO
MLOV_BASEETQCLI_LOTE_SORTERCAR;CONSINCO
MLOV_BASEETQCLI_VOL_MTGRN_C5;CONSINCO
MLOV_BASEETQCLI_VOL_SORTERCAR;CONSINCO
MLOV_BASEETQLOTECLIENTE;CONSINCO
MLOV_BASEETQMASTERSORTERUNI;CONSINCO
MLOV_BASEETQPALARMAZSORTERUNI;CONSINCO
MLOV_BASEETQPALCARREG;CONSINCO
MLOV_BASEETQPALCARREGAGRUP;CONSINCO
MLOV_BASEETQPALCARREG_BAKLIZI;CONSINCO
MLOV_BASEETQPALETE;CONSINCO
MLOV_BASEETQPALETEARMAZ;CONSINCO
MLOV_BASEETQPALETEARMAZATAC;CONSINCO
MLOV_BASEETQPALETEARMAZCARROS;CONSINCO
MLOV_BASEETQPALETEARMAZSORTER;CONSINCO
MLOV_BASEETQPALETEARMAZ_BAK_15;CONSINCO
MLOV_BASEETQPALETEARMAZ_BAK_15_V1;CONSINCO
MLOV_BASEETQPALETEARMAZ_IMP;CONSINCO
MLOV_BASEETQPALETEAVULSO;CONSINCO
MLOV_BASEETQPALETEMASTERSORTER;CONSINCO
MLOV_BASEETQPALETEPROD;CONSINCO
MLOV_BASEETQPRODUTOCARGA;CONSINCO
MLOV_BASEETQRECPALETE;CONSINCO
MLOV_BASEETQSEPARACAO_BAK_15;CONSINCO
MLOV_BASEETQSEPARMASTERSORTER;CONSINCO
MLOV_BASEETQSEPARVOLUMESORTER;CONSINCO
MLOV_BASEETQSEPCARGA;CONSINCO
MLOV_BASEETQSEPCARGA_BAKLIZI_15;CONSINCO
MLOV_BASEETQSEPMASTERSORTERUNI;CONSINCO
MLOV_BASEETQSEPVOLUMESORTERUNI;CONSINCO
MLOV_BASEETQTRANSFERENCIA;CONSINCO
MLOV_BASEETQUNICACLI;CONSINCO
MLOV_BASEEXPORTACANCELCARGA;CONSINCO
MLOV_BASEEXPORTAJUSTSORTER;CONSINCO
MLOV_BASEEXPORTEXPEDICAO;CONSINCO
MLOV_BASEEXPORTFATPALETE;CONSINCO
MLOV_BASEEXPORTRECEBIMENTO;CONSINCO
MLOV_CARGAEXPEDICAO;CONSINCO
MLOV_CARGAEXPEDICAO_SORTER;CONSINCO
MLOV_CARGAGERAL;CONSINCO
MLOV_CARGARECEBDIVERGSEMMOTIVO;CONSINCO
MLOV_CARGARECPRODCONTROLESI;CONSINCO
MLOV_CARGARECPRODDIVERG;CONSINCO
MLOV_CONSULTADETALHEXPEDETQ;CONSINCO
MLOV_CONSULTASTAGEIN;CONSINCO
MLOV_CONSULTASTAGEINCARGA;CONSINCO
MLOV_CONTROLEDTAVALBLOQEXP;CONSINCO
MLOV_CONTROLEETQSORTER;CONSINCO
MLOV_CONTROLEETQSORTERCARREG;CONSINCO
MLOV_CONTROLEETQSORTEREXPED;CONSINCO
MLOV_CRITICACANCETQSORTEREXPED;CONSINCO
MLOV_CW_ATVCARGARECEMEXECUCAO;CONSINCO
MLOV_CW_BASEBUSCAPENDENCIA;CONSINCO
MLOV_CW_BASEMONTAGEMSELINV;CONSINCO
MLOV_CW_BASERESEPARACAO;CONSINCO
MLOV_CW_BASESEPARACAO;CONSINCO
MLOV_CW_BASESEPARAGRUPLOTE;CONSINCO
MLOV_CW_BUSCAPRODSDIVABAIXOTOL;CONSINCO
MLOV_CW_CARGAEXPLOTESDETALHES;CONSINCO
MLOV_CW_CARGARECEBIMENTO_CR;CONSINCO
MLOV_CW_CARGARECEB_CR_ARMDEP;CONSINCO
MLOV_CW_CARGARECEB_CR_AUTSERV;CONSINCO
MLOV_CW_CARREGAMENTLOTESCARINT;CONSINCO
MLOV_CW_DADOSCARGA_CV;CONSINCO
MLOV_CW_EMBALAGEMSEPAR;CONSINCO
MLOV_CW_LISTACARGAEXPLIBFAT;CONSINCO
MLOV_CW_LISTACONFERENCIA_CE;CONSINCO
MLOV_CW_LISTACONF_CR_ARMDEP;CONSINCO
MLOV_CW_LISTACONF_CR_AUTSERV;CONSINCO
MLOV_CW_LISTADIVERGENCIACR;CONSINCO
MLOV_CW_LISTADIVERGENCIA_BP;CONSINCO
MLOV_CW_LISTADIVERGENCIA_CV;CONSINCO
MLOV_CW_LISTADIVERGENCIA_RS;CONSINCO
MLOV_CW_LISTADIVERGENCIA_SE;CONSINCO
MLOV_CW_LISTADIVERGENCIA_SEAG;CONSINCO
MLOV_CW_LISTAENDERECO_BP;CONSINCO
MLOV_CW_LISTAENDERECO_SE;CONSINCO
MLOV_CW_LISTAENDERECO_SEAG;CONSINCO
MLOV_CW_LISTAETIQUETAPROCPR_CT;CONSINCO
MLOV_CW_LISTALACRE_TA;CONSINCO
MLOV_CW_LISTAPRODCLI_SE_AGRUP;CONSINCO
MLOV_CW_LISTAPRODCONFSEPAR;CONSINCO
MLOV_CW_LISTAPRODPESAVELCARGA;CONSINCO
MLOV_CW_LISTAPRODRECONFSEPAR;CONSINCO
MLOV_CW_LISTAPRODRECONF_CR_E;CONSINCO
MLOV_CW_LISTAPRODREC_CR_ARMDEP;CONSINCO
MLOV_CW_LISTAPRODUTOCARGA;CONSINCO
MLOV_CW_LISTAPRODUTOCR;CONSINCO
MLOV_CW_LISTAQTDSEPAR_SE_AGRUP;CONSINCO
MLOV_CW_NROVOLUME_SE;CONSINCO
MLOV_CW_PRODDIVERGCONFSEPAR;CONSINCO
MLOV_CW_PRODDIVERGRECONFSEPAR;CONSINCO
MLOV_DADOSCARGAEXPLIB;CONSINCO
