TABLE_NAME;COLUMN_NAME;DATA_TYPE
MLO_CARGAENROVOLUME;QTDCONFERIDA;NUMBER
MLO_CARGAEPALETE;CODUSUARIOLIBERACAO;VARCHAR2
MLO_CARGAEPALETE;DTAHORALIBERACAO;DATE
MLO_CARGAEPALETE;QTDFINALIZCONFRF;NUMBER
MLO_CARGAEPALETE;SEQUSUARIOLIBERACAO;NUMBER
MLO_CARGAEPRODUTO;USUCANCELAMENTO;VARCHAR2
MLO_CARGAEQUEBRA;CODUSUARIO;VARCHAR2
MLO_CARGAEQUEBRA;DTAHORGERACAO;DATE
MLO_CARGAEQUEBRA;DTAHORIMPRESSAO;DATE
MLO_CARGAEQUEBRA;DTAIMPRESSAO;DATE
MLO_CARGAEQUEBRA;QTDVOLUMECONF;NUMBER
MLO_CARGAEQUEBRA;USUGERACAO;VARCHAR2
MLO_CARGAERESEPAR;CONFDIVERGENCIA;VARCHAR2
MLO_CARGAERESEPAR;INDCONFRESEPAR;VARCHAR2
MLO_CARGAERESEPAR;SEQATIVCONFRESEP;NUMBER
MLO_CARGAESEPARLOTE;INDRECONFERENCIA;VARCHAR2
MLO_CARGAESEPARLOTE;QTDEMBCONFERIDA;NUMBER
MLO_CARGAESEPARLOTE;QTDEMBULTCONFERENCIA;NUMBER
MLO_CARGAESEPESTACAO;DTAHORFIMSEPAR;DATE
MLO_CARGAESEPESTACAO;DTAHORLIBSEPAR;DATE
MLO_CARGAEXPCLI;DTAHORLIBFAT;DATE
MLO_CARGAEXPCLI;INDCONFENTREGA;VARCHAR2
MLO_CARGAEXPCLI;INDRECONFERENCIA;VARCHAR2
MLO_CARGAEXPCLI;INDRECONFPEDVDA;VARCHAR2
MLO_CARGAEXPCLI;OBSCONFERENCIA;VARCHAR2
MLO_CARGAEXPCLI;USULIBFAT;VARCHAR2
MLO_CARGAEXPLOG;CODUSUARIO;VARCHAR2
MLO_CARGAEXPLOG;DATA;DATE
MLO_CARGAEXPLOG;DATAHORA;DATE
MLO_CARGAEXPLOG;QTDCONFERIDA;NUMBER
