NOME_TABELA;DESCRICAO_TABELA;QTD_LINHAS_ESTIMADA;TABLESPACE_NAME;DATA_ULTIMA_ANALISE
ABAX_FILTROPARAMETROCOMB;;;;
ABAX_GERAMODELOEXPORTCOLUNA;;;;
ABAX_GERAMODELOEXPORTLINHA;;;;
ABAX_GROUPSALDOCOMB;Utilizada para armazenar o saldo de cada plano de contas por combinação.;;;
ABAX_HISTORICOCONTA;;;;
ABAX_HISTORICOCONTAPARAM;;;;
ABAX_IMPLANCCONTA;;;;
ABAX_IMPLANCPARAM;;;;
ABAX_IMPLANCTO;;;;
ABAX_LALURAPURACAO;;;;
ABAX_LALURCONTASPADRAO;;;;
ABAX_LANCAMENTOOPCOES;Tabela utilizada para passar parâmetros para a rotina de consistência do lançamento.;;;
ABAX_LANCCOMBINACAO;;;;
ABAX_LANCCONTA;;;;
ABAX_LANCPARAM;;;;
ABAX_LANCTOIGNORADOS;;;;
ABAX_LANCTOIMPORTACAO;;;;
ABAX_LANCTOS;;;;
ABAX_LISTASEQ;;;;
ABAX_LIVRODIARIOANALITICO;;;;
ABAX_LIVRODIARIOSINTETICO;;;;
ABAX_LIVRORAZAOANALITICO;;;;
ABAX_LIVRORAZAOSINTETICO;;;;
ABAX_MINLANCCOMB;;;;
ABAX_PARAMETROSAGRUPAMENTO;;;;
ABAX_PARAMETROVALOR;;;;
ABAX_PERIODOLANCTOECD;;;;
ABAX_PERIODOLANCTOECF;;;;
ABAX_RAZAOANALITICO;;;;
ABAX_REGISTROECD;;;;
ABAX_REGISTROECF;;;;
ABAX_RELATORIOCSV;;;;
ABAX_RELCENTRORESULTADO;;;;
ABAX_RELFILTROCONTA;;;;
ABAX_RELFILTROCONTASALDO;;;;
ABAX_RELLOTES;;;;
ABAX_RELPARAMBUSCA;;;;
ABAX_RELPLANOCONTA;;;;
ABAX_RELSALDOCOMBINACAO;;;;
ABAX_RELTERMO;;;;
ABAX_RETORNOAGRUPADO;;;;
ABAX_RETORNOLANCIMPORTACAO;;;;
ABAX_RETORNOLANCTO;;;;
ABAX_RETPERCENTUALPORCRITERIO;Retorna o valor e o percentual de cada critério;;;
ABAX_RETSALDO;;;;
ABAX_SALDO;;;;
ABAX_SALDOAGRUPAMENTOCONTA;;;;
ABAX_SALDOCOMBINACAO;;;;
ABAX_SALDOCONTA;;;;
ABAX_SALDOCONTASECD;;;;
ABAX_SALDOCONTASECF;;;;
ABAX_SALDORAZAO;;;;
ABAX_TOTALDEBCRED;;;;
ABAX_VALIDACAOMIGRACAO;;;;
ABA_ANALISEGRUPO;;4;TSD_CONSINCO;2026-08-16-22.49.22.000000
ABA_ARQUIVODIGITAL;;0;TSD_CONSINCO;2026-07-26-22.49.47.000000
ABA_ARQUIVODIGITALLOG;;0;TSD_CONSINCO;2026-07-26-22.49.43.000000
ABA_ARQUIVOEXPORTACAORELATORIO;;0;TSD_CONSINCO;2026-07-26-22.49.47.000000
ABA_AUDITOR;;0;TSD_CONSINCO;2026-08-09-22.50.58.000000
ABA_AUDITOREMPRESA;;0;TSD_CONSINCO;2026-08-09-22.50.58.000000
ABA_AUDITORIAECDECF;;11;TSD_CONSINCO;2026-08-09-22.51.27.000000
ABA_AUDITORIAINTEGRIDADE;Registrar tentativas de alteração indevida em tabelas do tipo ABA;10;TSD_CONSINCO;2026-07-26-22.49.33.000000
ABA_AUDITORIASALDO;;0;TSD_CONSINCO;2026-08-09-22.50.30.000000
ABA_BALANCOPATRIMONIALREL;;81;TSD_CONSINCO;2026-08-02-22.49.19.000000
ABA_CAMPODINAMICOECF;;142;TSD_CONSINCO;2026-08-09-22.51.29.000000
