TABLE_NAME;OWNER
BKP_MADV_EDI_ORDER_NEOGRID_32_260326;CONSINCO
CMPX_MENSAGEM_LIMCOMPRA;CONSINCO
EDI_PEDIDOSUPRIM;CONSINCO
FIV_TITACORDO_EM_ABERTO;CONSINCO
FLC_PEDCOMPRAEXCLUIDO;CONSINCO
GEX_SELECROWID;CONSINCO
MACV_BASEPSITEMEXPEDIR;CONSINCO
MACV_BASEPSITEMRECEBER;CONSINCO
MACV_GERCOMPRA;CONSINCO
MACV_GERCOMPRAITEMREC;CONSINCO
MACV_LIMCOMPRACOMPDIVCATEGDIF;CONSINCO
MACV_LIMCOMPRACOMPEMPCATEGDIF;CONSINCO
MACV_MOB_LOTECOMPRAITEM;CONSINCO
MACV_MOB_PAINELBOX;CONSINCO
MACV_MOB_PEDIDOSTRANSF;CONSINCO
MACV_PEDIDOSTRANSITO;CONSINCO
MACV_PSITEMEXPEDIR;CONSINCO
MACV_PSITEMRECEBER;CONSINCO
MACX_PEDABASTEC;CONSINCO
MAC_CCLIMCOMPRA;CONSINCO
MAC_CCLIMCOMPRALOG;CONSINCO
MAC_CCLIMCOMPRAREG;CONSINCO
MAC_GERCOMPRAITEM;CONSINCO
MAC_PEDTRANSF;CONSINCO
MAC_PEDTRANSF_LOG;CONSINCO
MADVEDI_DAG;CONSINCO
MADVEDI_MERCADOR_ORDER;CONSINCO
MADV_EDI_ORDER_NEOGRID;CONSINCO
MADV_EDI_ORDER_NEOGRID_32;CONSINCO
MADV_ETQPEDEXPED;CONSINCO
MADV_PREVADICAOITEMSALDO;CONSINCO
MADV_PRODPROCMIX;CONSINCO
MADXEDI_DANONE_ORDER;CONSINCO
MADXEDI_MERCADOR_ORDER;CONSINCO
MADXEDI_NEOGRID_ORDER;CONSINCO
MAD_LOGTRAFEGOEDI;CONSINCO
MAD_PEDVENDAITEMSELINVERSA;CONSINCO
MAD_PIPEDIDOIMPORT;CONSINCO
MAD_PRODPROCMIX;CONSINCO
MAFV_AGENDPEDCOMPRALOTECOT;CONSINCO
MAXV_MSUPEDIDOSUPRIMEXP;CONSINCO
MAXV_MSUPEDIDOSUPRIMNF;CONSINCO
MAXV_MSUPEDIDOSUPRIMREC;CONSINCO
MAXV_RELANLCORTECOMPRADOR;CONSINCO
MAXX_RELANLCORTECOMPRADOR;CONSINCO
MGCV_RELAPURACAODET;CONSINCO
MGCV_RETORNOAPURACAONFRETITEM;CONSINCO
MGCX_APURACAONSERV;CONSINCO
MGCX_PREVIAAPURACAONIVELSERV;CONSINCO
MGCX_RELGESTAOCONTRATO;CONSINCO
MGCX_RETORNOAPURACAONF;CONSINCO
MGCX_RETORNOAPURACAOPEDIDO;CONSINCO
MGC_APURACAONSERVDET;CONSINCO
MGC_APURACAOPRODNIVELSERV;CONSINCO
MGC_AUXAPURACAONFDETITEM;CONSINCO
MGC_RETORNOAPURACAONF;CONSINCO
MGC_RETORNOAPURACAONFITEM;CONSINCO
MGC_RETORNOAPURACAONFREL;CONSINCO
MGC_RETORNOAPURACAOPEDIDO;CONSINCO
MLFV_AUXNFINCONSISTENCIA;CONSINCO
MLFV_AUXNFITEMVERBA;CONSINCO
