CATEGORIA;NIVELHIERARQUIA
MOCHILAS E ESTOJOS;4
MUSGO;4
OUTRAS CARNES;4
OUTROS;4
OVOS;4
PADARIA INDUSTRIAL;4
PADARIA PROD PROPRIA;4
PAES-CONFEIT FORNECEDORES;4
PANETONES;4
PAPEL HIGIENICOS;4
PAPELARIA;4
PARAFUSOS-PREGOS-REBITES;4
PASCOA;4
PEIXE CONGELADO EMBALADO;4
PEIXE INTEIRO CONGELADO;4
PEIXES EVISCERADOS FRECOS;4
PEIXES INTEIROS FRESCOS;4
PEIXES POSTAS FRESCOS;4
PERFUMARIA INFANTIL;4
PERFUMES ACESS AUTOMOVEIS;4
PILHAS E BATERIAS;4
PINOS;4
PLANTAS;4
POSTAS CONGELADAS;4
PRATO P VASO;4
PRE PRONTOS FORNECEDORES;4
PRE PRONTOS GRANEL FORNEC;4
PROD ECOLOGICOS-ORGANICOS;4
PROD. P SECAR ROUPA;4
PRODUTOS JARDINAGEM;4
PRODUTOS MATINAIS;4
PRODUTOS NATALINOS;4
PRODUTOS NATURAIS DIETETI;4
PRODUTOS P BARBA;4
PRODUTOS P LAVAGEM;4
PRODUTOS PASCOA;4
PRODUTOS PETS;4
PRODUTOS SOLARES;4
PRONTO SOCORRO;4
PROTETOR P MOVEIS;4
PULVERIZADOR;4
PURIFICADOR DE AR;4
RALO P PIA;4
RATOEIRA;4
REFRESCOS EM PO;4
REFRIGERANTES;4
REGADOR;4
RESISTENCIA CHUVEI TORNEI;4
REVISTAS E JORNAIS;4
SABONETES;4
SAITH;4
SALGADINHOS;4
SALGADOS DEF CURAD GRANEL;4
SALMAO;4
SAPONACEOS E DETERGENTES;4
SILICONES;4
SOBREMESAS;4
SOPAS, CALDOS ESPECIALIDA;4
SORVETES- GELOS;4
SUBSTRATOS E TERRAS;4
SUCO NATURAL BAK;4
SUCOS - COCO CONGELADO;4
SUPORTES;4
TANQUES PARA ROUPAS;4
TEMPEROS E CONDIMENTOS;4
TEMPOEROS LOCAIS;4
TERMICOS;4
TESSOURA P PODA;4
TINTAS E AFINS;4
TINTURA PA CABELO;4
TOALHAS E GUARDANAPOS;4
TOMADAS E PROTETORES;4
TORNEIRAS E CHUVEIROS;4
UTENSILIOS P CHURRASCO;4
UTILIDADES DOMESTICAS;4
UTILIDADES PARA LIMPEZA;4
VASOS E CACHEPOS;4
VERDURAS;4
VESTUARIO E ACESSORIOS;4
VINHOS;4
ABACATE;5
ABACAXI;5
ABACAXI CALDA;5
ABAJURES;5
ABOBORA-ABOBRINHA;5
ABOBORA-MAMAL EM CALDA;5
ABRIDOR LATA E GARRAFA;5
ABSORVENTE COMUM;5
ABSORVENTE DIARIO;5
ABSORVENTE INTERNO;5
ABSORVENTE NORMAL C ABAS;5
ABSORVENTE NORMAL S ABAS;5
ABSORVENTE NOTURNO;5
ABSORVENTE POS PARTO;5
ACAI;5
ACESSORIOS;5
ACESSORIOS - BIJUTERIAS;5
ACESSORIOS DIVERSOS PET;5
ACESSORIOS P CABELO;5
ACESSORIOS PARA CABELO;5
ACESSORIOS PISCINA;5
ACESSORIOS TERMICOS;5
ACETONA E REMOVEDOR;5
ACHOCOLATADO;5
ACHOCOLATADO LIQUIDO;5
ACHOCOLATADO PO;5
