CATEGORIA;NIVELHIERARQUIA
FRUTAS CALDA A GRANEL;5
FRUTAS CRISTALIZADAS;5
FRUTAS DO CONDE;5
FRUTAS EM PASSAS;5
FRUTAS ESPECIAIS;5
FRUTAS PASSAS;5
FRUTAS SECAS;5
FRUTAS SECAS A GRANEL;5
FRUTAS SECAS EMBALADAS;5
FRUTAS SECAS PARA CHA;5
FRUTAS-SEMENTES;5
FRUTEIRAS;5
FRUTOS DO MAR;5
FUMOS E PALHAS;5
FUMOS E PALHAS BARRA QUAR;5
FUNDO P DOCINHO;5
FURADOR DE PAPEL;5
GALHETEIRO;5
GARFO DESCARTAVEL;5
GARRAFA TERMICA 1 2L;5
GARRAFA TERMICA 1 3L;5
GARRAFA TERMICA 1 8L;5
GARRAFA TERMICA 1 9L;5
GARRAFA TERMICA 1L;5
GARRAFA TERMICA 2 3L;5
GARRAFA TERMICA 250ML;5
GARRAFA TERMICA 2L;5
GARRAFA TERMICA 350ML;5
GARRAFA TERMICA 4L;5
GARRAFA TERMICA 500ML;5
GARRAFA TERMICA 750ML;5
GARRAFA TERMICA-LANCHEIRA;5
GARRAFAS PLASTICAS;5
GAZEBO;5
GEL DENTAL;5
GEL DENTAL PET;5
GELADINHO;5
GELATINA;5
GELATINA FOLHA;5
GELATINA GRANEL;5
GELATINA SEM SABOR;5
GELEIAS;5
GELEIAS GRANEL;5
GELO;5
GENGIBRE;5
GERGELIM;5
GILO;5
GIM;5
GIZ;5
GIZ DE CERA;5
GLICOSE;5
GLOSS;5
GOIABA;5
GOIABA ALDA;5
GOMA DE MASCAR;5
GOMAS;5
GORDURA COCO;5
GORDURAS E MARGARINAS;5
GRAFITES;5
GRAMPEADOR;5
GRAMPOS;5
GRANOLA;5
GRAP DE BICO;5
GRAVATAS;5
GRELHAS PARRILLA;5
GRELHAS SIMPLES;5
GRELHAS SUPER GRILL;5
GUARDA CHUVA;5
GUARDA SOL;5
GUARDANAPOS;5
GUIA;5
GUISADO;5
HAMBURGER;5
HASTES FLEXIVEIS;5
HIDRATANTE;5
HIGIENES PET;5
ILUMINADOR;5
INCENSOS;5
INDUSTRIALIZADOS;5
INFLADOR;5
INFORMATICA;5
INHAME;5
INSETICIDA AEROSOL;5
INSETICIDA GRANULADO;5
INSETICIDA LIQUIDO;5
INSETICIDA PASTA;5
INSETICIDA PO;5
INSETIIDA ESPIRAL;5
IOG LIQUIDO-BEBIDA LACTEA;5
IOGURTE BIFI ATIVOS;5
IOGURTE NATURAL-DIETETICO;5
IOGURTE PEDACOS FRUTAS;5
IOGURTE POLPA FRUTA;5
ISOTONICOS;5
ISQUEIROS;5
JABUTICABA;5
JACA;5
JARRAS;5
JOGOS DE CAMA;5
JOGOS EDUCATIVOS;5
JORNAIS REVISTAS E LIVROS;5
KIT BABY;5
KIT CONFEITEIRO;5
KIT COSTURA;5
KIT ENXAGUANTE;5
KIT ESCOLAR;5
KIT MERGULHO;5
KIT P BANHEIRO;5
KIT PINTURA;5
KIT SHAMPOO E CONDICIONAD;5
KIT SOPA;5
KIT VINHO;5
KIWI;5
LA ACO;5
LAMINADOS;5
LAMPIAO;5
LANCA AGUA;5
LANCHES E SALGASDOS CAFET;5
LAPIS DE COR;5
LAPIS LABIAL;5
LAPIS OLHOS;5
LAPIS PRETO;5
LAPISEIRAS;5
LARANJA CALDA;5
LAVA AUTO;5
LAVA FRALDAS;5
LAVA LOUA PASTA;5
LAVA ROUPA LIQ 3L;5
LAVA ROUPA LIQ 5 LITROS;5
LAVA ROUPA LIQUIDO;5
LAVA ROUPAS 7L;5
LAVA ROUPAS LIQ 2 LITROS;5
LAVA TENIS;5
LAZANHA;5
LAZANHA PRONTA;5
LEGUMES ESPECIAIS;5
LEGUMES-FRUTAS-VERDURAS;5
LEITE AMENDOA;5
LEITE AROMATIZADO;5
LEITE COCO;5
LEITE COLONIA HIGIPORO;5
LEITE CONDENSADO;5
LEITE DESNATADO;5
LEITE GELIFICADO;5
LEITE INFANTIL;5
LEITE INSTANTANEO;5
LEITE INTEGRAL;5
LEITE LIGTH;5
LEITE LONGA VIDA DESNATAD;5
LEITE LONGA VIDA INTEGRAL;5
LEITE LONGA VIDA SEMI DES;5
LEITE PO COMPOSTO;5
LEITE PO SEM LACTOSE;5
LEITE TIPO A;5
LEITE TIPO B;5
LEITE TIPO C;5
LENCOIS;5
LENCOS DE PAPEL;5
LENCOS DESCARTAVEIS;5
LENTILHA;5
LICOR;5
LIMPA METAIS-ALUM-ELETRON;5
LIMPA PNEUS;5
LIMPA VIDROS;5
LIMPADOR AR CONDICIONADO;5
LIMPADOR C BRILHO;5
LIMPADOR CONCENTRADO;5
LIMPADOR DESENGORDURANTE;5
LIMPADOR MULTI USO;5
LIMPADOR MULTI-USO;5
LIMPEZA PISCINA;5
LINGUA;5
LINGUICA;5
LINGUICA MISTA;5
LINHA ALMOCO E JANTAR;5
LINHA BAR;5
LINHA CHA E CAFE;5
LINHA SOBREMESA;5
LINHAS PESCA;5
LIXA UNHA E PES;5
LIXAS;5
LIXEIRA INFANTIL;5
LIXEIRAS;5
LLIMPA FORNO-LIMPA CARPET;5
LOAVA ROUPA LIQ. 1L;5
LOCAO BRONZEADORA;5
LOCAO DESODORANTE;5
LOCAO HIDRATANTE;5
LOCAO POS BARBA;5
LOCOES;5
LOMBO;5
LOMBO SUINO;5
LTE FERMENTADO-COMP.VITAM;5
LUGAR AMERICANO;5
LUMINARIA;5
LUPAS;5
LUSTRA MOVEIS;5
LUSTRES;5
LUVA PET;5
LUVA TERMICA COZINHA;5
LUVAS;5
LUVAS PARA LIMPEZA;5
MACA;5
MACARRAO CUP NOODLES;5
MACARRAO INS 500G;5
MAIONESE;5
MALAS;5
MALETAS;5
MAMADEIRAS;5
MAMAO;5
MANDIOQUINHA;5
MANGA;5
MANGA CALDA;5
MANJAR - CURAU;5
MANTA PET;5
MANTAS;5
MANTEGUEIRA;5
MANTEIGA EXTRA;5
MANTEIGA LATA;5
MANTEIGA PRIMEIRA;5
MAQUIAGENS-ACESSORIOS;5
MARACUJA;5
MARCADORES DE TEXTO;5
MARGARINA 1KG;5
MARGARINA 250G;5
MARGARINA 500G;5
MARGARINA CULINARIA;5
MARGARINA TABLETE;5
MARGARINAS CREMOSAS;5
MARIOLAS;5
MARMITAS TERMICAS;5
MARMITEX;5
MASCARA CAPILAR;5
MASSA C OVOS-MASSA S OVOS;5
MASSA CONGELADA;5
MASSA DAGUA;5
MASSA ESPECIAL;5
MASSA FRESCA CANELONE;5
MASSA FRESCA CAPELETI;5
MASSA FRESCA LAZANHA;5
MASSA FRESCA NHOQUE;5
MASSA FRESCA PASTEL;5
MASSA FRESCA PIZZA;5
MASSA FRESCA RAVIOLI;5
MASSA FSCA TALHARIN-ESPAG;5
MASSA INSTANTANEA;5
MASSA MODELAR;5
MASSA SEMOLA;5
MASSAS;5
MASSAS BARQUETE-CANUDINHO;5
MASSAS DOCES;5
MASSAS LASANHA;5
MATERIAL ESCRITORIO;5
MATERIAL LIMPEZA PET;5
MEDICAMENTOS;5
MEL ABELHA;5
MEL GRANEL;5
MELADO-DOCE COLONIAL;5
MELANCIA;5
MELAO;5
MERENGUES;5
MESA CAMPING;5
MIDIA-ACESSORIOS MUSICAIS;5
MILHO ESPIGA;5
MILHO PIPOCA;5
MILHO VERDE;5
MISTORA BOLO-TORTA;5
MISTURA P PAO QUEIJO;5
MISTURA P PATE;5
MISTURA PARA BOLO;5
MISTURA SALGADINHOS-PADAR;5
MISTURA SOLUVEL SABORES;5
MISTURA-FAROFA PRONTA;5
MIUDEZA SUINA;5
MIUDEZAS;5
MIUDEZAS BOVINA;5
MIUDO AVES CONG;5
MIUDOS AVES RESFRIADAS;5
MOCHILAS E LANCHEIRAS;5
MOCOTO E DOBRADINHA;5
MODA INTIMA;5
MODELADORES;5
MOEDOR TEMPERO;5
MOLHO BARBECUE;5
MOLHO BRANCO;5
MOLHO DE TOMATE;5
MOLHO INGLES;5
MOLHO MADEIRA;5
MOLHO MOSTARDA;5
MOLHO PIMENTA;5
MOLHO SHOYU;5
MOLHOS;5
MOLHOS CONGELADOS;5
MOLHOS E CONDIMENTOS;5
MOLHOS ESPECAIS;5
MOP;5
MORANGA;5
MORANGO;5
MORANGO CALDA;5
MORCELA;5
MORDEDOR INFANTIL;5
MORDEDORES-PREND CHUPETAS;5
MORTADELA;5
MOSTARDA;5
MOUSE PAD;5
MOUSSE;5
NAFTALINA;5
NATA E CREME DE LEITE GRA;5
NATAS-CREME DE LEITE;5
NECTARINA;5
NHOQUE;5
NHOQUE E BATATA;5
NUTREN;5
OCULOS NATACAO;5
OLEO ALGODAO;5
OLEO AMENDOIM;5
OLEO ARROZ;5
OLEO BRONZEADOR;5
OLEO CANOLA;5
OLEO CORPORAL;5
OLEO GERGELIN;5
OLEO GIRASSOL;5
OLEO MILHO;5
OLEO MISTO;5
OLEO PARA CARRO;5
OLEO SABORIZADO;5
OLEO SECANTE;5
OLEO SOJA;5
OLEOS;5
OLEOS DIVERSOS;5
ORELHA - CARA;5
ORGANIZADOR P MAQUIAGEM;5
OSSO CAO;5
OSSO CLIENTE;5
OSSO FAROS;5
OSSOS;5
OUTRAS COMIDAS PRONTAS;5
OUTRAS CONSERVAS;5
OUTRAS ERVAS EMBALADAS;5
OUTRAS MASSAS;5
OUTRAS MASSAS FRESCAS;5
OUTROS;5
OUTROS ACESSORIOS;5
OUTROS ART LOUCA CERAMICA;5
OUTROS ARTIGOS DECORACAO;5
OUTROS BIBELOS;5
OUTROS DOCES E COMPOTAS;5
OUTROS FIAMBRES;5
OUTROS MATERI ESCOLARES;5
OUTROS QUEIJOS;5
OVO BRANCO;5
OVO CODORNA;5
OVO DUAS GEMAS;5
OVO VERMELHO;5
OVOS;5
PA PARA LIXO;5
PA-TA-PE-JOELHO;5
PACOTES-PROMOCAO;5
PAES;5
PAES DOCES;5
PAES PRE PRONTOS;5
PAES TORRADOS-FAR PAO;5
PAES-CROISSANT;5
PAIO;5
PALETA OVINA;5
PALETA SOMBRAS;5
PALHA ACO;5
PALHAS;5
PALITEIROS;5
PALITO CAO;5
PALITOS DESCARTAVEIS;5
PALMITO;5
PANELAS;5
PANO DE COPA;5
PANOS LIMPEZA;5
PANQUECA PRONTA;5
PANQUEQUEIRAS;5
PANTUFAS;5
PAO FRANCES;5
PAO SOVADO;5
PAPEIS;5
PAPEL FILME;5
PAPEL HIGIENICO;5
PAPINHAS;5
PASCOA;5
PASSA ROUPA;5
PASTAS DE PLASTICO;5
PASTEL;5
PASTEL PRONTA;5
PASTEL-PASTAS;5
PASTILHAS;5
PATE;5
PATES 100G;5
PATES 250G;5
PATES GRANEL;5
PAZINHAS PET;5
PE DE MOCA;5
PE DE MOLEQUE;5
PEGADOR;5
PEITO AVES;5
PEITO AVES CONG;5
PEITO AVES RESFRIADAS;5
PEITO DEFUMADO;5
PEITORAL;5
PEIXE;5
PEIXE INTEIRO CONGELADO;5
PEIXES;5
PELE-COURO;5
PENEIRAS;5
PENTE CABELO;5
PEPINO;5
PEPINOS;5
PERA;5
PERA CALDA;5
PERTENCES P FEIJOADA;5
PESSEGO;5
PESSEGO CALDA;5
PETISCO CAO;5
PETISCO GATO;5
PETISCOS E SNACKS;5
PETISQUEIRAS;5
PETIT SUISSE;5
PICANHA SUINA;5
PICKLES;5
PICLES;5
PICLES-OUTROS;5
PICOLE;5
PIMENTA;5
PIMENTA CONSERVA;5
PIMENTAO;5
PINCEIS;5
PINCEIS DE BARBA;5
PINCEL ATOMICO;5
PINCEL P MAQUIAGEM;5
PINHAO;5
PIPOCA MICRO ONDAS;5
PIPOQUEIRAS;5
PIRULITOS;5
PISCINAS;5
PISTOLAS;5
PIZZA;5
PIZZA PRONTA;5
PLACA ISOPOR;5
PLACAS DECORATIVA;5
PO COMPACTO;5
PO P CHANTILLY;5
PO P MARIA MOLE;5
PO PARA QUINDIM;5
PO PARA SORVETE;5
POLENTA;5
POLENTA INSTANTEA;5
POLPA DE FRUTA;5
POLPA DE TOMATE;5
POLTRONA;5
POLVILHO;5
POMADA;5
POMADA QUEIMADURA SOLAR;5
PORCIONADOS DE PRIMEIRA;5
PORCIONADOS DIANTEIRO;5
PORTA COMPRIMIDOS;5
PORTA CONDIMENTOS;5
PORTA DETERGENTE;5
PORTA ESCOVA;5
PORTA FILTRO-CAFE;5
PORTA LATA - LITRAO;5
PORTA OVOS;5
PORTA RETRATOS;5
PORTA SABONETE LIQ;5
PORTA TALHERES;5
PORTA TRAVESSEIROS;5
POSTAS CONGELADAS;5
POTES;5
PRANCHA;5
PRANCHETAS;5
PRATO DESCARTAVEL;5
PRATO PAREDE;5
PRATOS INFANTIL;5
PRATOS PRE PRONTOS;5
PRATOS VIDRO FUNDO;5
PRATOS VIDRO RASOS;5
PRATOS VIDRO SOBREMESA;5
PRE COZIDOS EMBALADOS;5
PRE MISTURAS;5
PRE PRONTOS;5
PRENDEDOR;5
PRENDEDORES DE ROUPA;5
PRESERVATIVOS;5
PRESUNTADA E FIAMBRADA;5
PRESUNTO E TENDER;5
PRESUNTO TENDER;5
PROCESSADOR E TRITURADOR;5
PRODUTOS NATALINOS;5
PRODUTOS VEGANOS;5
PROPOLIS;5
PROTEINA SOJA;5
PROTETOR P FOGAO;5
PROTETOR POS SOL;5
PROTETOR SOLAR;5
PUDIM;5
PUDIM SABORES;5
PURE BATATA;5
PURE DE TOMATE;5
PURES;5
PURIFICADOR AMB AEROSOL;5
PURIFICADOR AMB REFIL;5
PURIFICAROD AMB GEL;5
PURIFICAROR AMB APARELHO;5
QUADROS;5
QUARK KASCHIMIER GRANEL;5
QUARK-KASCHIMIER-MOLHOS;5
QUEIJEIRAS;5
QUEIJO COBOCO;5
QUEIJO FUNDIDO;5
QUEIJO MINAS;5
QUEIJO MUSSARELA;5
QUEIJO MUSSARELA FAT;5
QUEIJO PARMESAO;5
QUEIJO PRATO LANCHE;5
QUEIJO PROVOLONE;5
QUEIJO RALADO;5
QUEIJO RICOTA;5
QUEIJOS CUNHA;5
QUEIJOS ESPECIAIS;5
QUEIJOS FATIADOS;5
QUEJO CASSIO CAVALO;5
QUENTAO;5
QUIABO;5
RABANETE;5
RABO;5
RACAO AVES;5
RACAO CAO 5KG-7KG;5
RACAO CAO 900G-1KG;5
RACAO CAO GRANEL;5
RACAO CAO SH;5
RACAO COELHO-HAMSTER;5
RACAO GATO 500G;5
RACAO GATO 900G-1KG;5
RACAO GATO GRANEL;5
RACAO GATO LT;5
RACAO GATO SH;5
RACAO PEIXES;5
RACAO TARTARUGA;5
RALADOR;5
RAPADURAS;5
RAVIOLI;5
REFIL E PASTILHAS;5
REFIL MOP;5
REFIL PARA CADEIRA;5
REFIL PARA FICHARIO;5
REFRESCO EM PO LIGHT-DIET;5
REFRESCOS EM PO;5
REFRIG 1.5 LITROS;5
REFRIG 2 LITROS;5
REFRIG 200 ML;5
REFRIG 237 ML;5
REFRIG 250 ML;5
REFRIG 290ML;5
REFRIG 3 LITROS;5
REFRIG 510 ML;5
REFRIG 600 ML;5
REFRIG LT 220 ML;5
REFRIG LT 269 ML;5
REFRIG LT 310 ML;5
REFRIG LT 350 ML;5
REGUAS;5
RELOGIO;5
REMENDOS;5
REMOVEDORES;5
REPARDOR DE PONTAS;5
REPELENTES INSETOS;5
REQUEIJAO;5
REST MOVEIS-OLEOS;5
RETALHOS;5
RODO PIA;5
RODOS;5
ROLO ALUMINIO;5
ROLO TIRA PELOS;5
ROMA;5
ROUPAO;5
ROUPAS PET;5
RUCULA COMUM;5
RUCULA HIDROPONICA;5
RUM;5
SABAO BARRA CONJUNTO;5
SABAO BARRAS;5
SABAO PASTA;5
SABONETE;5
SABONETE CAO;5
SABONETE INFANTIL;5
SABONETEIRAS;5
SABONETES;5
SABONETES EM BARRA;5
SABONETES LIQUIDOS;5
SACO A VACUO P ROUPA;5
SACO DORMIR;5
SACO PROTETOR P ROUPAS;5
SACOS PARA LIXO;5
SACOS RESIDUOS PET;5
SAGU;5
SAHAMPOO INFANTIL;5
SAIAS CAIPIRA;5
SAITH;5
SAL;5
SAL CHURRASCO;5
SAL GROSSO;5
SAL MOIDO;5
SAL REFINADO;5
SAL TEMPERADO;5
SALADA DE FRUTAS;5
SALADAS;5
SALADEIRA;5
SALAMES E SALAMITOS;5
SALEIROS;5
SALGADINHO APERITIVO;5
SALGADINHO BACON;5
SALGADINHO BATATA FRITA;5
SALGADINHO CARNE;5
SALGADINHO CEBOLA;5
SALGADINHO CHURRASCO;5
SALGADINHO FRITO;5
SALGADINHO MILHO;5
SALGADINHO PIZZA;5
SALGADINHO PRES-CALABRESA;5
SALGADINHO QUEIJO;5
SALGADOS;5
SALGADOS - DOCES;5
SALMAO;5
SALSICHA E SALSICHAO;5
SALSICHA ESPECIAL;5
SALSICHA VIENA;5
SALSICHA-SALSICHAO;5
SALSICHAO;5
SAMBIQUIRA-GALETO;5
SANDUICHEIRAS;5
SANDUICHES;5
SAPONACEO;5
SARDINHA;5
SAZONAIS;5
SCHIMIER;5
SEBO;5
SECADOR;5
SECANTE PARA LOUCA;5
SEITE SEMI DESNATADO;5
SELETA-JARDINEIRA;5
SEMENTES;5
SEMENTES FLORES;5
SEMENTES HORTALICAS;5
SEMENTES TEMPERO;5
SHAKEIRAS;5
SHAMPOO;5
SHAMPOO - CREME RINSE PET;5
SHAMPOO 2X1 E 3X1;5
SHAMPOO ANTI CASPA;5
SHAMPOO PARA TAPETES;5
SIDRA;5
SILICONE AUTO;5
SNACKS-CHOCOLATES C WAFER;5
SOBRECOXA;5
SOBREMESA;5
SOBREMESAS;5
SOBREPALETA SUINA;5
SODA CAUSTICA-DESENTUPIDO;5
SOLUCAO BUCAL;5
SOMBRINHA;5
SOPA NATURAL;5
SOPAS;5
SOPAS CLARAS;5
SOPAS CREME;5
SOPAS DIVERTIDAS;5
SOPAS INTERNACIONAIS;5
SOPOES;5
SORVETES 1 L;5
SORVETES 1,5 L;5
SORVETES 2L;5
SORVETES 800 ML;5
SORVETES-COBERTURA;5
SUCO BAK;5
SUCO DE FRUTA;5
SUCO DE UVA INTEGRAL;5
SUCO RESFRIADO;5
SUPLEMENTO ALIMENTAR;5
SUPORTE P UNHA;5
SUPORTE SHAMPOO;5
TABUA PARA COZINHA;5
TACAS;5
TALCO;5
TALCO - LENCO PET;5
TALCO INFANTIL;5
TALHERES;5
TALHERES DE SILICONE;5
TAPETE HIG PET;5
TAPETE HIGIENICO;5
TAPETE P BOX;5
TAPETE PARA COMEDOURO;5
TAPETES;5
TEMPERAS E TINTAS;5
TEMPERO ADOBO;5
TEMPERO ALECRIM;5
TEMPERO COM MOEDOR;5
TEMPERO LOURO;5
TEMPERO PIMENTA;5
TEMPERO VERDE COMUM;5
TEMPERO VERDE HIDROPONICO;5
TEMPEROS;5
TEMPEROS ESPECIAIS;5
TESOURAS;5
TESOURAS MULTIUSO;5
TESSOURA P UNHA;5
TIARAS CAIPIRA;5
TIGELAS;5
TINTA P CALCADO;5
TINTA PARA TINGIR ROUPAS;5
TINTA SPRAY P CABELO;5
TINTAS GUACHE;5
TINTURA P CABELO DESCOLOR;5
TINTURAS PARA CABELOS;5
TIRA MANCHAS E AFINS;5
TOALHA DE BANHO;5
TOALHA DE PISO;5
TOALHA DE ROSTO;5
TOALHA GUARDANAPOS DE PAP;5
TOALHAS MESA - TRILHOS;5
TOALHAS PAPEL;5
TOALHAS UMEDECIDAS;5
TOMATE;5
TONICO-OLEO CAPILAR-SILIC;5
TORRADA;5
TORRADAS;5
TORRADOS;5
TORRESMO;5
TORRONES;5
TORTAS;5
TOUCA NATACAO;5
TOUCAS;5
TOUCAS E LUVAS;5
TOUCINHO;5
TRAVESSAS;5
TRAVESSEIROS;5
TREMOCO;5
TREMOCOS;5
TRIGO E BURGOL P QUIBE;5
TRONINHO;5
TUBO GAS REFRIGERANTES;5
UTENSILIOS DE COZINHA;5
UVA BAND;5
UVA KG;5
VAGEM;5
VARAL;5
VAROES;5
VASOS;5
VASSOURAS;5
VELAS;5
VELAS ANIVERSARIO;5
VELAS E INCENSOS;5
VERDDURAS PRA COZINHAR;5
VERDURAS ESPECIAIS;5
VERDURAS PARA TEMPEROS;5
VERDURAS SALADAS;5
VERMUTE;5
VESTIDOS CAIPIRA;5
VIDRO E CAMISA P-LAMPIAO;5
VINAGRE ALCOOL;5
VINAGRE ESPECIAL;5
VINAGRE MACA;5
VINAGRE VINHO;5
VINAGREIROS;5
VINHO BRANCO;5
VINHO FRISANTE;5
VINHO ROSE;5
VINHO TINTO;5
VINHO TIPO COOLER;5
VITELA SUAN;5
VODKA;5
WAFFERS E LANCHES;5
WHISKY;5
XAROPE;5
XAROPE REFRIGERANTE;5
XICARAS;5
ALCATRA BOV PORC;6
ALCATRA BOVINA;6
CAPA COXAO BOV;6
CAPA FILE BOV;6
CARNE BOV SEGUNDA S OSSO;6
CARNE SALG-DEF BOV;6
CHOCOLATE;6
CHULETA BOV;6
CONTRA FILE BOV;6
CONTRA FILE BOV PORC;6
COPA DO MUNDO;6
COXAO DENTRO BOV;6
COXAO DENTRO BOV PORC;6
COXAO FORA BOV;6
COXAO FORA BOV PORC;6
DIANTEIRO BOV PORC;6
DIANTEIRO BOVINO;6
FILE MIGNON BOV;6
FILE MIGNON BOV PORC;6
FRUTAS;6
MAMINHA BOV;6
PICANHA BOV;6
QUARTO BOVINO;6
VAZIO BOV;6
