SEQPONTOEXTRA;DESCRICAO;SEQPRODUTO;DESCCOMPLETA;NROEMPRESA;FANTASIA;ESTQMINIMO;ESTQMAXIMO;ESTQLOJA;DTAVIGENCIAINICIO;DTAVIGENCIAFIM;QTDDIASSUGESTAO;STATUS;SEQVIGENCIA;APELIDO
121;Pontas fixas;39232;AGUA MIN TABYS 500ML S GAS;2;FRANCISCO ETCHEPARE;4032;5232;960;2026-08-25-00.00.00.000000;2026-12-30-00.00.00.000000;;A;506;NICOLAS
121;Pontas fixas;39232;AGUA MIN TABYS 500ML S GAS;3;GENERAL CANABARRO;6048;7860;2004;2026-08-25-00.00.00.000000;2026-12-30-00.00.00.000000;;A;505;NICOLAS
121;Pontas fixas;39232;AGUA MIN TABYS 500ML S GAS;4;BENTO MARTINS;2016;2616;238;2026-08-25-00.00.00.000000;2026-12-30-00.00.00.000000;;A;504;NICOLAS
121;Pontas fixas;39232;AGUA MIN TABYS 500ML S GAS;5;PINHEIRO MACHADO;2016;2616;240;2026-08-25-00.00.00.000000;2026-12-30-00.00.00.000000;;A;503;NICOLAS
121;Pontas fixas;39232;AGUA MIN TABYS 500ML S GAS;6;SETEMBRINO DE CARVALHO;4032;5232;960;2026-08-25-00.00.00.000000;2026-12-30-00.00.00.000000;;A;502;NICOLAS
121;Pontas fixas;39232;AGUA MIN TABYS 500ML S GAS;7;PINHEIRO MACHADO;2016;2616;0;2026-08-25-00.00.00.000000;2026-12-30-00.00.00.000000;;A;501;NICOLAS
121;Pontas fixas;39232;AGUA MIN TABYS 500ML S GAS;8;FLORES DA CUNHA;2016;2616;0;2026-08-25-00.00.00.000000;2026-12-30-00.00.00.000000;;A;500;NICOLAS
121;Pontas fixas;39232;AGUA MIN TABYS 500ML S GAS;11;DOMINGOS MARTINS;4032;5232;960;2026-08-25-00.00.00.000000;2026-12-30-00.00.00.000000;;A;499;NICOLAS
121;Pontas fixas;39232;AGUA MIN TABYS 500ML S GAS;12;GENERAL MARQUES;4032;5232;960;2026-08-25-00.00.00.000000;2026-12-30-00.00.00.000000;;A;498;NICOLAS
121;Pontas fixas;39232;AGUA MIN TABYS 500ML S GAS;13;GENERAL CANABARRO;4032;5232;0;2026-08-25-00.00.00.000000;2026-12-30-00.00.00.000000;;A;497;NICOLAS
121;Pontas fixas;39232;AGUA MIN TABYS 500ML S GAS;14;SETE DE SETEMBRO;2016;2616;0;2026-08-25-00.00.00.000000;2026-12-30-00.00.00.000000;;A;496;NICOLAS
121;Pontas fixas;39232;AGUA MIN TABYS 500ML S GAS;17;JOAO BATISTA LUZARDO;4032;5232;0;2026-08-25-00.00.00.000000;2026-12-30-00.00.00.000000;;A;495;NICOLAS
121;Pontas fixas;39232;AGUA MIN TABYS 500ML S GAS;18;BENTO MANOEL;4032;5232;840;2026-08-25-00.00.00.000000;2026-12-30-00.00.00.000000;;A;494;NICOLAS
121;Pontas fixas;144;CERV AMSTEL LAGER LT 473ML;2;FRANCISCO ETCHEPARE;1716;2640;2051;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;246;NICOLAS
121;Pontas fixas;144;CERV AMSTEL LAGER LT 473ML;3;GENERAL CANABARRO;2640;3432;1894;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;245;NICOLAS
121;Pontas fixas;144;CERV AMSTEL LAGER LT 473ML;6;SETEMBRINO DE CARVALHO;1716;2640;212;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;244;NICOLAS
121;Pontas fixas;144;CERV AMSTEL LAGER LT 473ML;11;DOMINGOS MARTINS;1716;2640;3013;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;243;NICOLAS
121;Pontas fixas;144;CERV AMSTEL LAGER LT 473ML;12;GENERAL MARQUES;1320;1716;1198;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;242;NICOLAS
121;Pontas fixas;144;CERV AMSTEL LAGER LT 473ML;18;BENTO MANOEL;1320;1716;1306;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;241;NICOLAS
121;Pontas fixas;147;CERV ANTARCTICA PILSEN LT 473ML;2;FRANCISCO ETCHEPARE;1320;1716;484;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;231;NICOLAS
121;Pontas fixas;147;CERV ANTARCTICA PILSEN LT 473ML;3;GENERAL CANABARRO;1716;2640;563;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;230;NICOLAS
121;Pontas fixas;147;CERV ANTARCTICA PILSEN LT 473ML;6;SETEMBRINO DE CARVALHO;1320;1716;495;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;229;NICOLAS
121;Pontas fixas;145;CERV ANTARCTICA SUBZERO LT 473ML;2;FRANCISCO ETCHEPARE;2640;3432;2115;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;228;NICOLAS
121;Pontas fixas;145;CERV ANTARCTICA SUBZERO LT 473ML;3;GENERAL CANABARRO;2640;3432;2458;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;227;NICOLAS
121;Pontas fixas;145;CERV ANTARCTICA SUBZERO LT 473ML;6;SETEMBRINO DE CARVALHO;1320;2640;0;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;226;NICOLAS
121;Pontas fixas;145;CERV ANTARCTICA SUBZERO LT 473ML;14;SETE DE SETEMBRO;840;1320;1199;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;225;NICOLAS
121;Pontas fixas;145;CERV ANTARCTICA SUBZERO LT 473ML;17;JOAO BATISTA LUZARDO;840;1320;10;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;224;NICOLAS
121;Pontas fixas;151;CERV BOHEMIA LT 473ML;3;GENERAL CANABARRO;660;1320;1388;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;239;NICOLAS
121;Pontas fixas;152;CERV BRAHMA CHOPP LT 473ML;2;FRANCISCO ETCHEPARE;2640;3432;2914;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;192;NICOLAS
121;Pontas fixas;152;CERV BRAHMA CHOPP LT 473ML;3;GENERAL CANABARRO;2640;5280;5162;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;191;NICOLAS
121;Pontas fixas;152;CERV BRAHMA CHOPP LT 473ML;4;BENTO MARTINS;600;720;843;2026-06-10-00.00.00.000000;2026-12-30-00.00.00.000000;;A;190;NICOLAS
121;Pontas fixas;152;CERV BRAHMA CHOPP LT 473ML;5;PINHEIRO MACHADO;600;720;832;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;189;NICOLAS
121;Pontas fixas;152;CERV BRAHMA CHOPP LT 473ML;6;SETEMBRINO DE CARVALHO;2640;3432;1812;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;188;NICOLAS
121;Pontas fixas;152;CERV BRAHMA CHOPP LT 473ML;7;PINHEIRO MACHADO;600;720;682;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;187;NICOLAS
121;Pontas fixas;152;CERV BRAHMA CHOPP LT 473ML;8;FLORES DA CUNHA;600;720;-2269;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;186;NICOLAS
121;Pontas fixas;152;CERV BRAHMA CHOPP LT 473ML;11;DOMINGOS MARTINS;2640;3432;2686;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;185;NICOLAS
121;Pontas fixas;152;CERV BRAHMA CHOPP LT 473ML;12;GENERAL MARQUES;2640;3432;2792;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;184;NICOLAS
121;Pontas fixas;152;CERV BRAHMA CHOPP LT 473ML;13;GENERAL CANABARRO;600;720;1200;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;183;NICOLAS
121;Pontas fixas;152;CERV BRAHMA CHOPP LT 473ML;14;SETE DE SETEMBRO;1320;1716;1493;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;182;NICOLAS
121;Pontas fixas;152;CERV BRAHMA CHOPP LT 473ML;18;BENTO MANOEL;2640;3432;3029;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;181;NICOLAS
121;Pontas fixas;156;CERV BUDWEISER LT 473ML;2;FRANCISCO ETCHEPARE;2640;3432;1323;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;223;NICOLAS
121;Pontas fixas;156;CERV BUDWEISER LT 473ML;3;GENERAL CANABARRO;2640;3432;1122;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;222;NICOLAS
121;Pontas fixas;156;CERV BUDWEISER LT 473ML;6;SETEMBRINO DE CARVALHO;1320;2640;2578;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;221;NICOLAS
121;Pontas fixas;156;CERV BUDWEISER LT 473ML;11;DOMINGOS MARTINS;1320;2640;509;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;220;NICOLAS
121;Pontas fixas;156;CERV BUDWEISER LT 473ML;12;GENERAL MARQUES;1320;2640;1671;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;219;NICOLAS
121;Pontas fixas;156;CERV BUDWEISER LT 473ML;13;GENERAL CANABARRO;840;1320;1178;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;218;NICOLAS
121;Pontas fixas;156;CERV BUDWEISER LT 473ML;14;SETE DE SETEMBRO;840;1320;944;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;217;NICOLAS
121;Pontas fixas;156;CERV BUDWEISER LT 473ML;17;JOAO BATISTA LUZARDO;1320;2640;500;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;216;NICOLAS
121;Pontas fixas;156;CERV BUDWEISER LT 473ML;18;BENTO MANOEL;1320;2640;942;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;215;NICOLAS
121;Pontas fixas;163;CERV EISENBAHN PILSEN LT 473ML;2;FRANCISCO ETCHEPARE;1320;2640;2123;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;277;NICOLAS
121;Pontas fixas;163;CERV EISENBAHN PILSEN LT 473ML;3;GENERAL CANABARRO;2640;3432;3672;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;276;NICOLAS
121;Pontas fixas;163;CERV EISENBAHN PILSEN LT 473ML;6;SETEMBRINO DE CARVALHO;720;1320;2635;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;275;NICOLAS
121;Pontas fixas;167;CERV GLACIAL PILSEN LT 473ML;2;FRANCISCO ETCHEPARE;2640;3432;1074;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;263;NICOLAS
121;Pontas fixas;167;CERV GLACIAL PILSEN LT 473ML;3;GENERAL CANABARRO;2640;3432;-16;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;262;NICOLAS
121;Pontas fixas;167;CERV GLACIAL PILSEN LT 473ML;4;BENTO MARTINS;360;480;58;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;260;NICOLAS
121;Pontas fixas;167;CERV GLACIAL PILSEN LT 473ML;5;PINHEIRO MACHADO;840;1320;753;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;259;NICOLAS
121;Pontas fixas;167;CERV GLACIAL PILSEN LT 473ML;6;SETEMBRINO DE CARVALHO;2640;3432;727;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;261;NICOLAS
121;Pontas fixas;167;CERV GLACIAL PILSEN LT 473ML;7;PINHEIRO MACHADO;840;1320;-115;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;258;NICOLAS
121;Pontas fixas;167;CERV GLACIAL PILSEN LT 473ML;8;FLORES DA CUNHA;480;600;234;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;257;NICOLAS
121;Pontas fixas;169;CERV HEINEKEN LT 473ML;2;FRANCISCO ETCHEPARE;604;3244;2512;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;;A;132;NICOLAS
121;Pontas fixas;169;CERV HEINEKEN LT 473ML;3;GENERAL CANABARRO;1096;3736;3325;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;;A;131;NICOLAS
121;Pontas fixas;169;CERV HEINEKEN LT 473ML;6;SETEMBRINO DE CARVALHO;1320;1716;275;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;;A;130;NICOLAS
121;Pontas fixas;169;CERV HEINEKEN LT 473ML;11;DOMINGOS MARTINS;1320;1716;1357;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;;A;129;NICOLAS
121;Pontas fixas;169;CERV HEINEKEN LT 473ML;12;GENERAL MARQUES;1320;1716;907;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;;A;128;NICOLAS
121;Pontas fixas;169;CERV HEINEKEN LT 473ML;18;BENTO MANOEL;1320;1716;2891;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;;A;127;NICOLAS
121;Pontas fixas;178;CERV KAISER LT 473ML;2;FRANCISCO ETCHEPARE;1506;3882;397;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;193;NICOLAS
121;Pontas fixas;178;CERV KAISER LT 473ML;3;GENERAL CANABARRO;1872;4248;554;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;201;NICOLAS
121;Pontas fixas;178;CERV KAISER LT 473ML;5;PINHEIRO MACHADO;1188;1536;244;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;200;NICOLAS
121;Pontas fixas;178;CERV KAISER LT 473ML;6;SETEMBRINO DE CARVALHO;1248;3624;5;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;199;NICOLAS
121;Pontas fixas;178;CERV KAISER LT 473ML;7;PINHEIRO MACHADO;1188;1536;479;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;198;NICOLAS
121;Pontas fixas;178;CERV KAISER LT 473ML;8;FLORES DA CUNHA;1188;1536;-2;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;197;NICOLAS
121;Pontas fixas;178;CERV KAISER LT 473ML;14;SETE DE SETEMBRO;744;1932;253;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;195;NICOLAS
121;Pontas fixas;178;CERV KAISER LT 473ML;18;BENTO MANOEL;1188;1536;995;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;194;NICOLAS
121;Pontas fixas;179;CERV ORIGINAL LT 473ML;2;FRANCISCO ETCHEPARE;1716;2640;510;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;237;NICOLAS
121;Pontas fixas;179;CERV ORIGINAL LT 473ML;3;GENERAL CANABARRO;2640;3432;2259;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;236;NICOLAS
121;Pontas fixas;179;CERV ORIGINAL LT 473ML;6;SETEMBRINO DE CARVALHO;1716;2640;856;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;235;NICOLAS
121;Pontas fixas;179;CERV ORIGINAL LT 473ML;11;DOMINGOS MARTINS;1716;2640;540;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;234;NICOLAS
121;Pontas fixas;179;CERV ORIGINAL LT 473ML;12;GENERAL MARQUES;1716;2640;491;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;233;NICOLAS
121;Pontas fixas;179;CERV ORIGINAL LT 473ML;14;SETE DE SETEMBRO;1320;1716;1346;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;238;NICOLAS
121;Pontas fixas;193;CERV PROVINCIA PILSEN PREM LT 473ML;2;FRANCISCO ETCHEPARE;2640;3432;1590;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;256;NICOLAS
121;Pontas fixas;193;CERV PROVINCIA PILSEN PREM LT 473ML;3;GENERAL CANABARRO;2640;3432;1879;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;255;NICOLAS
121;Pontas fixas;193;CERV PROVINCIA PILSEN PREM LT 473ML;4;BENTO MARTINS;600;720;394;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;254;NICOLAS
121;Pontas fixas;193;CERV PROVINCIA PILSEN PREM LT 473ML;5;PINHEIRO MACHADO;840;1320;1211;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;253;NICOLAS
121;Pontas fixas;193;CERV PROVINCIA PILSEN PREM LT 473ML;6;SETEMBRINO DE CARVALHO;2640;3432;1907;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;252;NICOLAS
121;Pontas fixas;193;CERV PROVINCIA PILSEN PREM LT 473ML;7;PINHEIRO MACHADO;840;1320;1038;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;251;NICOLAS
121;Pontas fixas;193;CERV PROVINCIA PILSEN PREM LT 473ML;8;FLORES DA CUNHA;600;720;339;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;250;NICOLAS
121;Pontas fixas;193;CERV PROVINCIA PILSEN PREM LT 473ML;11;DOMINGOS MARTINS;1320;1716;868;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;249;NICOLAS
121;Pontas fixas;193;CERV PROVINCIA PILSEN PREM LT 473ML;14;SETE DE SETEMBRO;1320;1716;1469;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;248;NICOLAS
121;Pontas fixas;193;CERV PROVINCIA PILSEN PREM LT 473ML;18;BENTO MANOEL;2640;3432;1194;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;247;NICOLAS
121;Pontas fixas;207;CERV SCHIN PILSEN LT 473ML;2;FRANCISCO ETCHEPARE;2640;3432;2683;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;272;NICOLAS
121;Pontas fixas;207;CERV SCHIN PILSEN LT 473ML;3;GENERAL CANABARRO;2640;3432;1602;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;271;NICOLAS
121;Pontas fixas;207;CERV SCHIN PILSEN LT 473ML;4;BENTO MARTINS;720;1320;1099;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;270;NICOLAS
121;Pontas fixas;207;CERV SCHIN PILSEN LT 473ML;5;PINHEIRO MACHADO;1320;1716;1572;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;269;NICOLAS
121;Pontas fixas;207;CERV SCHIN PILSEN LT 473ML;6;SETEMBRINO DE CARVALHO;2640;3432;2074;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;268;NICOLAS
121;Pontas fixas;207;CERV SCHIN PILSEN LT 473ML;7;PINHEIRO MACHADO;1320;1716;1418;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;267;NICOLAS
121;Pontas fixas;207;CERV SCHIN PILSEN LT 473ML;8;FLORES DA CUNHA;1320;1716;1269;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;266;NICOLAS
121;Pontas fixas;207;CERV SCHIN PILSEN LT 473ML;11;DOMINGOS MARTINS;5280;7920;6698;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;265;NICOLAS
121;Pontas fixas;207;CERV SCHIN PILSEN LT 473ML;12;GENERAL MARQUES;2640;3432;1201;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;264;NICOLAS
121;Pontas fixas;116;CERV SKOL 1L;3;GENERAL CANABARRO;600;780;619;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;316;NICOLAS
121;Pontas fixas;116;CERV SKOL 1L;11;DOMINGOS MARTINS;600;780;585;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;315;NICOLAS
121;Pontas fixas;213;CERV SKOL PILSEN LT 473ML;2;FRANCISCO ETCHEPARE;3960;5280;3616;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;;A;145;NICOLAS
121;Pontas fixas;213;CERV SKOL PILSEN LT 473ML;3;GENERAL CANABARRO;3960;5280;5340;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;;A;144;NICOLAS
121;Pontas fixas;213;CERV SKOL PILSEN LT 473ML;4;BENTO MARTINS;1320;1716;1276;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;;A;143;NICOLAS
121;Pontas fixas;213;CERV SKOL PILSEN LT 473ML;5;PINHEIRO MACHADO;1320;2640;1927;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;;A;142;NICOLAS
121;Pontas fixas;213;CERV SKOL PILSEN LT 473ML;6;SETEMBRINO DE CARVALHO;3960;5280;6374;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;;A;141;NICOLAS
121;Pontas fixas;213;CERV SKOL PILSEN LT 473ML;7;PINHEIRO MACHADO;1320;2640;1370;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;;A;140;NICOLAS
121;Pontas fixas;213;CERV SKOL PILSEN LT 473ML;8;FLORES DA CUNHA;2640;3432;941;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;;A;139;NICOLAS
121;Pontas fixas;213;CERV SKOL PILSEN LT 473ML;11;DOMINGOS MARTINS;3960;5280;2222;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;;A;138;NICOLAS
121;Pontas fixas;213;CERV SKOL PILSEN LT 473ML;12;GENERAL MARQUES;3960;5280;2701;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;;A;137;NICOLAS
121;Pontas fixas;213;CERV SKOL PILSEN LT 473ML;13;GENERAL CANABARRO;2640;3432;597;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;;A;136;NICOLAS
121;Pontas fixas;213;CERV SKOL PILSEN LT 473ML;14;SETE DE SETEMBRO;1320;1716;974;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;;A;135;NICOLAS
121;Pontas fixas;213;CERV SKOL PILSEN LT 473ML;17;JOAO BATISTA LUZARDO;2640;3432;2295;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;;A;134;NICOLAS
121;Pontas fixas;213;CERV SKOL PILSEN LT 473ML;18;BENTO MANOEL;2640;3432;2159;2026-06-09-00.00.00.000000;2026-12-31-00.00.00.000000;;A;133;NICOLAS
121;Pontas fixas;784;REFRIG ANTARCTICA GUARANA PET 2L;2;FRANCISCO ETCHEPARE;600;780;797;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;302;NICOLAS
121;Pontas fixas;784;REFRIG ANTARCTICA GUARANA PET 2L;3;GENERAL CANABARRO;600;780;868;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;301;NICOLAS
121;Pontas fixas;784;REFRIG ANTARCTICA GUARANA PET 2L;6;SETEMBRINO DE CARVALHO;320;480;329;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;300;NICOLAS
121;Pontas fixas;784;REFRIG ANTARCTICA GUARANA PET 2L;11;DOMINGOS MARTINS;320;480;420;2026-06-10-00.00.00.000000;2026-12-31-00.00.00.000000;;A;299;NICOLAS
